,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
183,5.260177705937371e+18,150.154729633412,-54.79434007100967,10.892049
670,5.260177568498441e+18,150.20890719436323,-54.78544585441689,11.662475
394,5.26017774029713e+18,150.17502859980542,-54.77461330733675,11.848602
292,5.260177534138699e+18,150.18829895359403,-54.783617192571356,11.948454
39,5.260177495456252e+18,150.17175700802255,-54.79348604625631,11.957215
45,5.26017753413869e+18,150.17627997117359,-54.78952423591968,12.763337
578,5.260177327980242e+18,150.13666025302464,-54.79888490268762,13.32813
145,5.260177499778944e+18,150.17163284524966,-54.798105012069,13.409075
20,5.260177499778947e+18,150.16627203130895,-54.78778037457339,13.487999
781,5.260177809016599e+18,150.14271352494043,-54.76907908942436,13.495198
752,5.260177396699718e+18,150.126038281084,-54.79473854844053,13.748744
193,5.26017752981599e+18,150.18515616836365,-54.78757326668415,13.77392
762,5.26017739670277e+18,150.12674003430712,-54.78288265397357,14.008988
421,5.260177637217917e+18,150.18679613612898,-54.77701275273153,14.373962
643,5.260177637217921e+18,150.19327020692342,-54.771956300974885,14.529912
864,5.260177637217924e+18,150.18949925589152,-54.765265040030236,14.541398
293,5.260177740297125e+18,150.16745388106247,-54.777167942136664,14.555047
625,5.260177774647568e+18,150.1366180652175,-54.77800250324247,14.750158
48,5.260177705937375e+18,150.1619809812035,-54.790415869062485,14.771743
573,5.260177327970905e+18,150.13391545308755,-54.79341598333973,14.84151
19,5.260177499778949e+18,150.16979535214506,-54.78740949765571,14.859468
378,5.260177705937382e+18,150.155080262127,-54.776945550744976,14.883485
446,5.260177637217917e+18,150.18369353987072,-54.775245343892266,14.925524
171,5.260177705937376e+18,150.15597776686653,-54.78491774342171,14.988712
115,5.260177499778942e+18,150.16064319158332,-54.79510959747786,15.023668
137,5.260177534138692e+18,150.18315905828834,-54.79021832647373,15.038669
466,5.260177327980244e+18,150.14083813213173,-54.79662068747726,15.107738
482,5.260177637217918e+18,150.19126177969463,-54.77717187646047,15.142074
534,5.260177637217918e+18,150.18013022332872,-54.77133458009277,15.156976
729,5.260177637217923e+18,150.1979876149865,-54.771692838855444,15.4198
165,5.260177705937372e+18,150.15361790121273,-54.79116356957207,15.437653
739,5.260177770334706e+18,150.13286466556306,-54.776203832996266,15.474203
14,5.260177499778945e+18,150.1656798102768,-54.791262716907326,15.481566
506,5.260177431059466e+18,150.18507304099268,-54.80639408602963,15.595271
353,5.260177705937378e+18,150.15115745845353,-54.7795324124587,15.597191
615,5.260177735974988e+18,150.15381926404012,-54.76996439248119,15.626658
509,5.260177705937381e+18,150.14996672309812,-54.77464688400562,15.6482935
245,5.260177534138697e+18,150.17786365625517,-54.78007435203806,15.652883
27,5.260177499779105e+18,150.17161558210168,-54.78709501505423,15.659453
577,5.26017712182197e+18,150.17014197039617,-54.810642130275696,15.670817
164,5.260177529816921e+18,150.17723382633372,-54.78234174659647,15.682911
57,5.260177701615239e+18,150.16172631274316,-54.78861484395735,15.718758
693,5.260177121821811e+18,150.1615425108274,-54.81358649619483,15.767341
614,5.260177293623553e+18,150.14670625819537,-54.807620813905906,15.795628
278,5.260177534129471e+18,150.17553599814786,-54.7783970172114,15.805552
261,5.260177705937373e+18,150.14941097770634,-54.78844333337413,15.809784
1002,5.260176709504967e+18,150.21366997267847,-54.810728878258374,15.826257
722,5.260177637208731e+18,150.198176069086,-54.77199582532521,15.833938
184,5.260177534138695e+18,150.18403239377255,-54.786110660679626,15.835932
952,5.260177431059465e+18,150.19944920819924,-54.81535432314325,15.846433
91,5.260177499778949e+18,150.17902257633628,-54.79127708581925,15.9144745
780,5.260177396699726e+18,150.12833780513142,-54.77936552043837,15.926486
424,5.260177121822071e+18,150.17406574991318,-54.80627344804713,15.927729
213,5.260177705937561e+18,150.15147328055048,-54.78953155279214,15.928576
765,5.260177637217923e+18,150.19323695108707,-54.76856642024082,15.934214
291,5.260177740297121e+18,150.15953028437073,-54.77852718310391,16.020979
159,5.260177740297122e+18,150.165940458721,-54.781406006792004,16.063047
54,5.260177499778947e+18,150.17517254252678,-54.7927920339271,16.089655
402,5.260177499778943e+18,150.18056363638246,-54.80477537474032,16.102745
679,5.260177843376348e+18,150.1696113309731,-54.76636026673812,16.114021
474,5.260177327980243e+18,150.14516624654107,-54.8011505676903,16.1374
787,5.260177637218085e+18,150.20377750332392,-54.77327409259154,16.148508
495,5.260177121821816e+18,150.1720045644921,-54.80842845397835,16.17129
520,5.260177327980397e+18,150.14726756530985,-54.80451453235617,16.189241
7,5.260177499778947e+18,150.16905858400324,-54.788453828535815,16.205236
220,5.260177121821817e+18,150.1601501555621,-54.79901300779763,16.216303
745,5.260177396690397e+18,150.12694616447365,-54.783641893555725,16.285334
605,5.260177327980241e+18,150.13986169685896,-54.80333895925182,16.292837
201,5.260177534129457e+18,150.18485799547832,-54.786347143074536,16.299616
221,5.260177534129467e+18,150.18404936258804,-54.78412223119893,16.308022
94,5.260177534138692e+18,150.17467413034214,-54.784989771442454,16.317112
16,5.260177495461257e+18,150.16505750341923,-54.79033981470826,16.349182
0,5.260177495457183e+18,150.1691549230867,-54.78968579445233,16.357164
140,5.260177705937374e+18,150.15543342651003,-54.78809735546973,16.372427
44,5.260177701619687e+18,150.16326343126966,-54.78765172706267,16.402748
173,5.260177705928079e+18,150.15334425474936,-54.79091447618202,16.415142
586,5.260177327970892e+18,150.14053093733946,-54.802774102120914,16.447456
627,5.260177637218072e+18,150.19375869019507,-54.77281559532439,16.474932
347,5.260177121821815e+18,150.157662818628,-54.802917346130755,16.492619
272,5.260177534138698e+18,150.18601876417958,-54.782985181614855,16.49936
437,5.260177740287909e+18,150.16907835336048,-54.773216187468954,16.512133
135,5.260177534138691e+18,150.18294237404285,-54.79101050414433,16.52028
339,5.2601775341387e+18,150.18955866507935,-54.78187536465789,16.54765
905,5.260177053102497e+18,150.18919924835166,-54.816431448568245,16.551464
646,5.260177327980242e+18,150.13068313710454,-54.79540043706782,16.557266
608,5.260177770334718e+18,150.1470241175748,-54.77243962191075,16.59186
12,5.260177499769682e+18,150.16705823481536,-54.788399246922744,16.608427
249,5.260177701615241e+18,150.15744728622377,-54.78109875686128,16.654747
204,5.260177534138696e+18,150.1816711540109,-54.78320646720199,16.66266
768,5.260177053102339e+18,150.18501617825657,-54.813910621460316,16.673916
273,5.260177499769655e+18,150.1768686980697,-54.801138649174696,16.679096
393,5.260177740287904e+18,150.16849906298214,-54.77425210164373,16.744364
198,5.260177499769645e+18,150.16692465869875,-54.79961279704884,16.748774
404,5.260177465419214e+18,150.19448211864014,-54.79711113695889,16.765928
96,5.260177495456743e+18,150.16662778501214,-54.795897763791004,16.773327
480,5.260177117504051e+18,150.17070942657858,-54.808020566884636,16.79155
100,5.260177534129448e+18,150.1737574481966,-54.7844056133635,16.830746
829,5.26017777033473e+18,150.13641667895493,-54.77100517145136,16.850657
707,5.260177431059467e+18,150.19489020316604,-54.809174150645624,16.866062
957,5.260177293620497e+18,150.13696696377008,-54.81473691295841,16.872707
139,5.260177705937373e+18,150.1551301812313,-54.79075791823372,16.879585
24,5.260177495461257e+18,150.16556852148005,-54.792201462326666,16.907343
268,5.26017749545674e+18,150.18498486008033,-54.79741828257601,16.911188
230,5.260177534129469e+18,150.1819656638545,-54.78234409808756,16.952122
465,5.260177705937374e+18,150.14279082025163,-54.781146054330605,16.985933
166,5.260177499778943e+18,150.17135252820455,-54.79894767889946,16.989853
398,5.260177632895753e+18,150.18892754115905,-54.7788876134437,17.018772
55,5.260177534129434e+18,150.17665172011505,-54.78888664042471,17.030418
468,5.260177465419216e+18,150.19741427383997,-54.79680286878755,17.060204
741,5.260177293611143e+18,150.13250441713367,-54.8035046972708,17.094435
8,5.260177499778947e+18,150.1680993720937,-54.78851447256698,17.11029
134,5.260177705928091e+18,150.1556274470642,-54.788312264006414,17.132061
127,5.260177534138694e+18,150.17615010812568,-54.783506854750556,17.14502
490,5.260177121821814e+18,150.16550195277998,-54.80828223341257,17.165537
190,5.260177534138694e+18,150.18495997015353,-54.7873223133273,17.167688
555,5.260177843376347e+18,150.17477198694283,-54.7700681230007,17.19685
441,5.26017770162442e+18,150.1515294886216,-54.77654013621481,17.2154
102,5.260177499778943e+18,150.1656580151035,-54.79590326161341,17.218525
988,5.260176705187194e+18,150.21387207602055,-54.80952394560348,17.241278
248,5.26017752981649e+18,150.1870672751529,-54.794266242901095,17.257132
288,5.260177740297126e+18,150.16845025611494,-54.77745952448009,17.271835
751,5.260177637217923e+18,150.19026091037054,-54.76782121784137,17.292137
129,5.260177534138694e+18,150.18034310213483,-54.785710097573165,17.312284
431,5.26017746109702e+18,150.1980779852008,-54.79015876007885,17.31256
170,5.260177499778946e+18,150.17914175303267,-54.797078493354626,17.318872
419,5.260177740287906e+18,150.16829776828226,-54.773519276801984,17.32616
825,5.260177293620499e+18,150.1448584102594,-54.81269670766479,17.333706
744,5.260177396699724e+18,150.12798646086645,-54.78169085661545,17.338167
936,5.260176709495733e+18,150.21503791952364,-54.80457962070436,17.344038
408,5.260177705937375e+18,150.1445586984637,-54.782066143952676,17.351345
162,5.260177499769656e+18,150.17282136124004,-54.798678183325805,17.375444
886,5.260177839054219e+18,150.18344094488955,-54.76311023711065,17.381258
151,5.26017749976967e+18,150.17738276784388,-54.796977585385946,17.39722
732,5.260177774656851e+18,150.13303923980743,-54.776386918230585,17.397442
