,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
805,5.26017704878008e+18,150.17615572288867,-54.81603273779816,16.959082
880,5.26017708313983e+18,150.1453791810369,-54.814329749614764,16.997343
1005,5.260177774656859e+18,150.13243455004502,-54.764557576945556,17.19854
848,5.26017708746512e+18,150.15886971241468,-54.816445176413126,17.755407
822,5.260177396699723e+18,150.124622117109,-54.78279130736099,17.853361
861,5.260177087452715e+18,150.15856688024203,-54.81657148759416,17.878073
776,5.260177121821811e+18,150.16215096290168,-54.81546672942253,17.884024
1009,5.260177289298258e+18,150.13557653562233,-54.81709021468688,18.531738
993,5.260177598545204e+18,150.21174916936204,-54.768826511597325,18.672754
915,5.260177293611124e+18,150.1353140625791,-54.811899550534655,18.749857
921,5.260177770339162e+18,150.13474933782146,-54.76807389694649,19.248165
911,5.260177431050206e+18,150.20703536504055,-54.80937548229583,19.516941
884,5.260177087452702e+18,150.14664117446515,-54.81489527391618,19.93597
918,5.260177431051952e+18,150.19469594523812,-54.815463448748794,20.073599
959,5.260176705187194e+18,150.21370622358822,-54.80731062574879,20.12612
907,5.260177293612374e+18,150.1290042643314,-54.807530354033226,20.17785
1038,5.260177190531887e+18,150.12249080965975,-54.814158274862926,20.339445
968,5.260177774657123e+18,150.12356290153426,-54.77310409551753,20.38635
899,5.260177431053534e+18,150.19894866450738,-54.81288190195437,20.73475
