,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
271,371,150.15474827799,0.0523,-54.79434733182,0.0492,5260177705937370880,0.217,0.0585,-4.007,0.106,2.698,0.094,1,820870.0,930.83,10.9027,0.0012,113800.0,702.43,12.7111,0.0067,1129500.0,3886.1,9.6297,0.0037,3.0814,,,3387.0,2.2037,1.1428,,,IN,FILLER,3,9,1,-54.79412233182,-54.79457233182
333,436,150.16910972419,0.0517,-54.77322703699,0.0503,5260177740287908608,0.2817,0.0609,-7.082,0.109,4.507,0.098,0,4579.2,3.5202,16.5364,0.0008,1168.6,14.02,17.6822,0.013,6032.4,58.977,15.3107,0.0106,2.3715,,,3537.25,,,,,IN,FILLER,3,9,1,-54.77300203699,-54.77345203699
220,304,150.20892546095,0.0262,-54.78545292086,0.0236,5260177568498441600,0.1214,0.0299,-4.147,0.053,2.62,0.044,0,402200.0,112.76,11.6773,0.0003,91627.0,205.94,12.9463,0.0024,483480.0,757.54,10.551,0.0017,2.3954,46.68,0.58,3562.61,1.5547,0.7757,,,IN,FILLER,3,9,1,-54.78522792086,-54.78567792086
238,336,150.16328979653,0.0519,-54.78766067289,0.0485,5260177701619687424,0.061,0.0613,-5.99,0.108,3.535,0.095,0,5094.8,3.8531,16.4205,0.0008,1469.0,9.7241,17.4338,0.0072,5743.6,12.059,15.364,0.0023,2.0698,,,3642.0,1.318,0.617,,,IN,FILLER,3,9,1,-54.78743567289,-54.78788567289
116,181,150.17377946535,0.0607,-54.78441447117,0.0599,5260177534129448192,0.0336,0.0726,-4.787,0.127,3.696,0.116,0,3433.4,3.6877,16.849,0.0012,931.53,8.9084,17.9284,0.0104,4113.3,16.527,15.7264,0.0044,2.202,,,3665.33,,,,,IN,FILLER,3,9,1,-54.78418947117,-54.78463947117
323,424,150.17504719687,0.0295,-54.77462040776,0.0273,5260177740297129600,0.0235,0.0332,-4.072,0.06,2.773,0.052,0,337720.0,121.68,11.867,0.0004,72161.0,229.5,13.2056,0.0035,417890.0,656.07,10.7093,0.0017,2.4964,42.08,0.46,3671.0,,,,,IN,FILLER,3,9,1,-54.77439540776,-54.77484540776
39,85,150.13395920132,0.0337,-54.7934222765,0.0317,5260177327970905088,0.1754,0.039,-10.064,0.069,2.304,0.06,0,21600.0,8.0257,14.8522,0.0004,6020.3,17.309,15.9024,0.0031,24198.0,24.201,13.8025,0.0011,2.0999,,,3854.22,1.6315,0.797,,,IN,FILLER,3,9,1,-54.7931972765,-54.7936472765
18,47,150.16157433858,0.0324,-54.81359235686,0.0296,5260177121821811200,0.2873,0.0381,-7.221,0.066,2.466,0.057,0,9146.9,4.7965,15.7852,0.0006,2793.4,15.689,16.7361,0.0061,9798.6,20.326,14.784,0.0023,1.9521,,,3857.83,1.845,0.8825,,,IN,FILLER,3,9,1,-54.81336735686,-54.81381735686
19,48,150.1576767334,0.053,-54.80292305977,0.0498,5260177121821814528,0.3226,0.0614,-3.317,0.109,2.323,0.094,0,4681.8,3.2836,16.5123,0.0008,1435.1,6.7913,17.4592,0.0051,4945.7,9.083,15.5263,0.002,1.9328,,,3883.53,,,,,IN,FILLER,3,9,1,-54.80269805977,-54.80314805977
64,124,150.13071101402,0.0522,-54.79540903518,0.049,5260177327980242304,0.3397,0.0599,-6.354,0.105,3.462,0.093,0,4419.0,3.2556,16.5751,0.0008,1506.3,9.1124,17.4066,0.0066,4473.9,11.043,15.6352,0.0027,1.7714,,,3974.0,2.352,1.238,,,IN,FILLER,3,9,1,-54.79518403518,-54.79563403518
