,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
23,0,1636148068921376768,Gaia DR3 4418927920543879808,4418927920543879808,754995542,2016.0,229.05450906366923,0.8951634,0.0938741477123467,0.87379193,0.940858957340084,1.0981243,0.8567873,41.87708,-26.39129901410012,1.1832314,-32.514443654641035,1.158659,-0.14984185,0.058318954,-0.08838172,-0.22036205,-0.5088303,-0.46360978,0.48695707,0.30815253,-0.4859974,-0.44469923,135,0,133,2,0.6546541,144.28593,0.48108965,0.05438475,95,False,,0.76934755,0.24691857,-0.22398,0.051129654,0.057784826,-0.15487795,-0.1394287,16,12,2.06021,16,5,0,0.07744723,97.98385,0,0,1.0386974,0.3725579,0.26622954,0.35441718,0.83898133,-103.82332,44.45788,-12.055293,-29.07866,False,133,102.96686328622482,1.0035559,102.60203,20.655622,9,50.90957580501093,10.976117,4.6382136,21.071543,13,114.82302505391976,14.716875,7.8021336,19.597822,1.6095722,0.0,0.0,0.0,0.0,1,1.4737206,0.41592026,1.0578003,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1054096635829629,45.97006689692811,226.57316462243784,17.575190486151783,False,False,0,False,False,False,False,False,False,False,False,8.831577e-11,7.725364e-13,0.99999726,,,,,,,,,,,,,,,,,,,,,,,0.0234931030188739,IN,3,0
15,3,1636148068921376768,Gaia DR3 4418927134564754944,4418927134564754944,585900851,2016.0,229.0565314499441,2.4596405,0.0720245508077585,2.5356205,,,,,,,,,-0.2181768,,,,,,,,,,138,0,137,1,18.828724,733.04865,13.603638,31.627283,3,False,,,,,,,,,17,11,5.2625356,17,2,0,0.16678788,168.61057,0,0,,0.36126384,0.15198836,0.44206104,0.839144,-83.61622,12.589298,-20.406769,-29.975887,False,137,152.3819508742657,2.693309,56.577965,20.230034,17,531.7596549581865,25.775143,20.630716,18.524254,16,1323.5027190733365,57.283623,23.104382,16.943583,12.175079,0.0,1.0,0.0,0.0,0,1.5806713,-1.70578,3.2864513,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.083548188236642,45.954237903958784,226.5814714089914,17.554726452738677,False,True,0,False,False,False,False,False,False,False,False,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0292318471307342,IN,2,0
14,4,1636148068921376768,Gaia DR3 4418927920543547776,4418927920543547776,1144045510,2016.0,229.0578229445043,0.38086477,0.091659685862771,0.31138524,-0.8418922402549187,0.41157794,-2.0455232,3.2551115,-0.9716296804526724,0.4863695,-3.106716438818877,0.37821662,-0.054616705,-0.015917398,-0.24314348,-0.038770385,-0.105219,-0.010785354,-0.036802076,-0.26513627,0.06424062,-0.07959437,197,0,196,1,-0.55618155,190.96872,0.0,1.4541812e-15,31,False,1.5628018,,,,,,,,23,14,0.68861544,24,9,0,0.034288485,38.909676,0,0,0.9699506,0.26976985,0.18915708,0.3084554,0.8200616,-111.232735,34.385174,-11.715169,-29.762295,False,192,211.2233167963856,1.0261476,205.84106,19.875513,19,104.9849215573072,8.748543,12.000276,20.285725,20,115.20357080794082,9.839395,11.708401,19.59423,1.0424441,0.0,0.0,0.0,0.0,0,0.691494,0.41021156,0.28128242,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.106120310369861,45.9661119455244,226.5771434297621,17.573966539350895,False,False,0,False,False,False,False,False,False,False,False,7.392406e-06,2.0669613e-09,0.99999255,,,,,,,,,,,,,,,,,,,,,,,0.0201021014613514,IN,2,0
22,5,1636148068921376768,Gaia DR3 4418927164629297280,4418927164629297280,1543075341,2016.0,229.06019779518627,4.5268226,0.0856731050794286,8.2215185,,,,,,,,,-0.7050435,,,,,,,,,,120,0,117,3,17.495544,628.81335,18.692053,67.63718,3,False,,,,,,,,,14,9,24.67246,15,5,1,0.12661085,101.1046,0,6,,0.2899288,0.24205512,0.3355606,0.83308154,-98.53848,39.524586,-10.364618,-26.865694,True,119,102.85965862470312,1.5692508,65.54698,20.656754,13,227.3060442003223,13.086518,17.369482,19.447014,11,544.7060663690239,10.549053,51.63554,17.90749,7.50549,0.0,13.0,0.0,11.0,0,1.5395241,-1.2097397,2.7492638,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1018436349354082,45.96039867083338,226.58125650660435,17.56885738042411,False,True,0,False,False,False,False,False,False,False,False,0.0081895245,0.9918105,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0188027690711672,IN,3,0
6,6,1636148068921376768,Gaia DR3 4418927130269547136,4418927130269547136,473743734,2016.0,229.06166316128127,0.12129948,0.0753861171433949,0.09678988,0.370057758846815,0.13449267,2.751509,9.039998,-5.333894870409743,0.13732515,-7.298706970339679,0.11256452,0.023027586,-0.24513015,-0.20150404,-0.1336546,-0.21164487,-0.07249494,0.004917995,-0.1853585,0.12966813,-0.1000936,191,0,188,3,0.07008777,191.43704,0.0,0.0,31,False,1.5160294,,,,,,,,22,14,0.19443512,23,8,0,0.016877858,38.758102,0,0,1.0018426,0.32372352,0.15304708,0.36221448,0.81708694,-103.63708,18.435366,-11.851004,-29.75278,False,189,1254.799780135348,1.9784797,634.22424,17.940931,21,564.2499968096469,10.747675,52.499725,18.459864,20,742.881482487877,53.87641,13.788622,17.570597,1.0417053,0.0,1.0,0.0,1.0,0,0.88926697,0.51893234,0.37033463,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.0920348985918418,45.95255841671109,226.5856848682634,17.55936291453423,False,False,0,False,False,False,False,False,False,True,False,2.4677982e-08,3.4240495e-06,0.9999717,5498.774,5475.6147,5519.903,4.566,4.5409,4.5901,0.1012,-0.0175,0.235,3528.9912,3307.1943,3780.8132,0.0022,0.0006,0.0056,0.0018,0.0005,0.0046,0.0009,0.0002,0.0024,PHOENIX,0.0232087074470626,IN,1,0
13,9,1636148068921376768,Gaia DR3 4418927134565013760,4418927134565013760,1387406137,2016.0,229.0629620297099,2.793399,0.0748886532929397,2.6365883,,,,,,,,,0.016870666,,,,,,,,,,135,0,134,1,21.999409,900.77625,16.56714,47.53036,3,False,,,,,,,,,17,11,5.8365574,17,17,0,0.33333406,116.504196,1,0,,0.22933102,0.17020741,0.27023458,0.8538678,-74.00194,-5.9097943,-15.722473,-27.015572,False,132,128.8158980672305,1.9639957,65.588684,20.412443,14,319.90039776715486,17.493563,18.286749,19.076006,14,787.9513543936725,42.077835,18.726044,17.506647,8.600272,0.0,0.0,0.0,0.0,0,1.5693588,-1.3364372,2.905796,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.0927166227088314,45.951250795768914,226.5871379593518,17.559239480138235,False,True,0,False,False,False,False,False,False,False,False,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0226895732802891,IN,2,0
29,10,1636148068921376768,Gaia DR3 4418927065845536896,4418927065845536896,1022613757,2016.0,229.0640902440016,4.105573,0.0699948111276736,3.4435468,,,,,,,,,0.15287532,,,,,,,,,,106,0,104,2,14.244289,463.26273,18.741867,385.75204,3,False,,,,,,,,,14,9,10.80763,14,14,0,0.38555622,96.257034,0,0,,0.118102334,0.23135245,0.18509342,0.82241696,-86.83123,-5.0325627,-14.703777,-26.327183,False,104,94.43863826600732,2.440392,38.698143,20.749493,13,392.88883638132177,17.164341,22.88983,18.852867,11,1092.1344062824558,118.95631,9.180971,17.152205,15.724742,0.0,0.0,0.0,0.0,0,1.7006626,-1.8966255,3.5972881,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.0884571421687446,45.94719475170036,226.58967939811305,17.55484045985856,False,True,0,False,False,False,False,False,False,False,False,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0259469142092047,IN,4,0
12,11,1636148068921376768,Gaia DR3 4418928023622771456,4418928023622771456,1069639490,2016.0,229.06488674443847,0.35958925,0.100426940805366,0.3177068,0.674311202071035,0.40865442,1.6500769,4.7915993,-4.768304208241124,0.46678948,-0.4719097161280236,0.40915093,-0.08725297,-0.118507,-0.11399358,0.015621377,-0.11537387,0.030440854,0.053269144,-0.18643156,0.0705895,-0.08034921,220,0,218,2,-0.10793386,218.77408,0.0,0.0,95,False,,1.5944989,0.105924375,-0.08279846,-0.07866697,0.017143784,-0.022623036,-0.27406958,26,15,0.6560261,27,8,0,0.023129562,133.64276,0,0,0.9931937,0.29770905,0.1511291,0.30264196,0.8703389,-110.68687,36.34047,-8.995971,-29.278214,False,217,213.61190125753828,0.953099,224.12352,19.863304,21,93.42888442677126,8.41242,11.106065,20.41234,21,176.64393709072843,6.8711534,25.708048,19.130148,1.2643154,0.0,3.0,0.0,1.0,0,1.2821922,0.549036,0.7331562,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.122308278553846,45.966506210041175,226.581756423446,17.584331059018147,False,False,0,False,False,False,False,False,False,False,False,2.3621567e-09,3.4835986e-07,0.99999326,,,,,,,,,,,,,,,,,,,,,,,0.0155516543948158,IN,2,0
5,14,1636148068921376768,Gaia DR3 4418928023622768768,4418928023622768768,590248993,2016.0,229.065949933316,0.1829471,0.0966084724579915,0.15524335,0.4325266359582777,0.20101911,2.1516693,8.217756,-7.78659981198281,0.24183701,-2.6268564264861114,0.1978632,-0.0063039917,-0.089816816,-0.030371971,-0.007437699,-0.09702704,0.031165114,0.12936583,-0.1806048,0.11051669,0.023796316,195,0,192,3,1.4992791,226.42067,0.60026914,1.6681796,31,False,1.5764704,,,,,,,,23,15,0.33563733,26,9,0,0.036081158,30.514887,0,0,1.0766916,0.2064238,0.13794418,0.24432737,0.850851,-102.24344,6.9648514,-14.609689,-29.185766,False,192,684.8675483353908,1.6317918,419.70276,18.59835,25,348.7516640287152,10.3781805,33.604317,18.982252,21,422.0704991341104,9.747225,43.301605,18.184433,1.1255054,0.0,0.0,0.0,0.0,0,0.79781914,0.3839016,0.41391754,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1191542500360896,45.96320399719004,226.5839243337809,17.580948736372378,False,False,0,False,False,False,False,False,True,False,False,8.301363e-09,1.06719535e-05,0.9999461,5785.832,5763.596,5804.319,4.7119,4.6943,4.7213,-1.4128,-1.5941,-1.2305,3845.2913,3782.964,3928.9514,0.0033,0.0008,0.0098,0.0028,0.0007,0.0083,0.0015,0.0003,0.0046,MARCS,0.0128485033250077,IN,1,0
40,15,1636148068921376768,Gaia DR3 4418928027918067200,4418928027918067200,577252690,2016.0,229.0671488815064,7.761211,0.1094838436525705,8.460918,,,,,,,,,-0.46264088,,,,,,,,,,91,0,91,0,20.414595,724.9141,30.110332,29.33699,3,False,,,,,,,,,11,7,70.65563,12,0,0,0.38695782,105.93568,1,0,,0.5285929,0.42375308,0.50357425,0.9613812,-114.91832,55.80031,-8.201307,-31.804405,False,90,53.81023109658171,1.3115364,41.028393,21.360205,10,69.44552056093944,9.5581255,7.2656,20.734432,11,163.26510781194648,15.046407,10.850771,19.215662,4.324654,0.0,0.0,0.0,0.0,0,1.5187702,-0.6257725,2.1445427,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.13429313873882,45.970719770063056,226.5814414807905,17.593661364739713,False,False,0,False,False,False,False,False,False,False,False,0.00017022253,0.00018835244,0.998759,,,,,,,,,,,,,,,,,,,,,,,0.0205821226706028,IN,5,0
