,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight
8,1636148068921376768,Gaia DR3 4418928027917955200,4418928027917955200,952334705,2016.0,229.0618344611902,0.034850728,0.09590261735179512,0.035181772,0.3824566389821473,0.04243403,9.01297,0.7130717,-0.6072497141293748,0.04285573,-0.37379011933344336,0.040719133,-0.22814356,-0.11038921,0.06732875,-0.1837695,-0.2775729,-0.13262503,0.24803038,-0.17837667,-0.0027324676,-0.29382923,205,0,205,0,0.9771739,229.71591,0.10018968,1.0163214,31,False,1.5754031,,,,,,,,24,14,0.066893816,25,8,0,0.030589214,35.811016,0,0,1.0475613,0.32860658,0.22036608,0.38677412,0.82872456,-98.87019,39.245144,-14.548933,-30.128454,False,204,9648.524600988027,4.2862244,2251.0544,15.726214,25,5356.059824814799,17.915985,298.95425,16.016428,21,6159.604407233812,12.982899,474.43985,15.2740135,1.1935155,0,13,0,10,0,0.7424145,0.29021358,0.4522009,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.114512649930588,45.96585459788334,226.5799741543848,17.579144609356064,False,False,0,True,False,False,False,False,True,True,False,1.0278251e-13,5.1317105e-13,0.9999293,6046.707,6024.1006,6075.486,4.2915,4.2483,4.338,-0.6437,-0.6759,-0.61,1803.3417,1696.531,1905.9053,0.1159,0.1003,0.1328,0.099,0.0857,0.1135,0.0537,0.0465,0.0616,MARCS,0.01656768467300371,IN,1
34,1636148068921376768,Gaia DR3 4418926992830585856,4418926992830585856,1662695076,2016.0,229.0945559384555,0.08792997,0.06807608219997442,0.077985354,0.24151510596221043,0.09999402,2.4152954,15.155549,-15.083521268685683,0.10926112,-1.4758255680687429,0.09654243,-0.07731553,-0.109966405,-0.09262724,-0.13730146,-0.26217142,-0.12238336,0.15364291,-0.13401721,-0.06159322,-0.19804224,203,0,203,0,1.3840271,235.30775,0.16917793,0.4978197,31,False,1.5584048,,,,,,,,24,16,0.15892719,24,8,0,0.03431893,82.68787,0,0,1.0686284,0.32254004,0.16778989,0.38580266,0.8161027,-95.083725,12.535617,-13.369513,-29.115698,False,200,1890.9318671821086,2.109373,896.44257,17.495678,21,1032.5645181541247,11.564501,89.28743,17.80375,19,1249.1764408676656,13.519867,92.395615,17.006336,1.2066754,0,0,0,0,0,0.7974129,0.30807114,0.48934174,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.115037481958308,45.922902581231995,226.62096738014054,17.561320456493004,False,False,0,False,False,False,False,False,True,True,False,1.5819204e-10,1.0206947e-11,0.9999568,5576.4175,5563.23,5593.4893,4.6703,4.6432,4.7053,-1.6748,-1.8066,-1.5662,2050.6545,1964.9862,2122.722,0.0063,0.0014,0.0163,0.0052,0.0012,0.0137,0.0029,0.0006,0.0075,MARCS,0.029094201091845292,IN,1
6,1636148068921376768,Gaia DR3 4418927130269547136,4418927130269547136,473743734,2016.0,229.06166316128127,0.12129948,0.07538611714339497,0.09678988,0.370057758846815,0.13449267,2.751509,9.039998,-5.333894870409743,0.13732515,-7.298706970339679,0.11256452,0.023027586,-0.24513015,-0.20150404,-0.1336546,-0.21164487,-0.07249494,0.004917995,-0.1853585,0.12966813,-0.1000936,191,0,188,3,0.07008777,191.43704,0.0,0.0,31,False,1.5160294,,,,,,,,22,14,0.19443512,23,8,0,0.016877858,38.758102,0,0,1.0018426,0.32372352,0.15304708,0.36221448,0.81708694,-103.63708,18.435366,-11.851004,-29.75278,False,189,1254.7997801353479,1.9784797,634.22424,17.940931,21,564.2499968096469,10.747675,52.499725,18.459864,20,742.881482487877,53.87641,13.788622,17.570597,1.0417053,0,1,0,1,0,0.88926697,0.51893234,0.37033463,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.0920348985918418,45.95255841671109,226.5856848682634,17.55936291453423,False,False,0,False,False,False,False,False,False,True,False,2.4677982e-08,3.4240495e-06,0.9999717,5498.774,5475.6147,5519.903,4.566,4.5409,4.5901,0.1012,-0.0175,0.235,3528.9912,3307.1943,3780.8132,0.0022,0.0006,0.0056,0.0018,0.0005,0.0046,0.0009,0.0002,0.0024,PHOENIX,0.02320870744706261,IN,1
35,1636148068921376768,Gaia DR3 4418926992830596096,4418926992830596096,1513004345,2016.0,229.0958302308005,0.12057582,0.07786538239372803,0.10169915,4.565837421154516,0.13393967,34.088764,48.267895,-44.99274524543101,0.15123956,17.47691688395576,0.124246635,-0.03269211,-0.117685616,-0.12651733,-0.045486066,-0.16301095,-0.0074013667,-0.0114508,-0.23428474,0.0382096,-0.073715396,220,0,220,0,0.09158524,271.03845,0.44080767,1.9239712,95,False,,1.1992207,0.032095805,-0.038462076,-0.029102216,0.020237816,-0.1266439,-0.13487802,26,16,0.21222676,26,9,0,0.04187852,92.86467,0,0,1.0028707,0.24128106,0.14920436,0.30144808,0.82961684,-101.177765,13.280118,-13.038573,-29.093323,False,219,1205.5976600786353,2.1083465,571.8215,17.984362,22,217.47538994761547,9.469508,22.965858,19.495016,22,1541.3958701971733,20.029448,76.95648,16.77811,1.4589206,0,1,0,1,0,2.7169056,1.5106544,1.2062511,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1268797250978242,45.928343173246056,226.61944783954522,17.571085472371507,False,False,0,False,False,False,False,False,True,True,False,1.076538e-13,5.390647e-13,0.99944246,3240.137,3215.8945,3255.601,4.6038,4.5311,4.6288,-1.0352,-1.0786,-0.9759,209.6938,203.6345,215.2651,0.6681,0.6116,0.714,0.4265,0.3897,0.4558,0.2733,0.2505,0.2917,MARCS,0.022780660963573413,IN,1
42,1636148068921376768,Gaia DR3 4419021138513011840,4419021138513011840,1292413817,2016.0,229.09997610423082,0.1526082,0.11395427932930562,0.12373305,0.7362473171041217,0.16364305,4.4991055,8.148767,-5.386001773545159,0.18991484,-6.1150138554091695,0.15110773,-0.023027709,-0.092676364,-0.22374037,-0.03296304,-0.13742359,-0.0049750106,-0.073576204,-0.23165539,0.021955796,-0.08169534,210,0,210,0,0.36022496,220.77325,0.18965429,0.20952706,31,False,1.4131267,,,,,,,,25,16,0.26827788,26,10,0,0.03887828,93.63962,0,0,1.0162077,0.23712978,0.15914549,0.287762,0.8221865,-110.51682,20.204344,-10.88974,-28.97307,False,210,775.5224638977321,1.5209645,509.8886,18.46338,24,290.3884800267741,15.466641,18.775148,19.181093,22,685.0374797756513,11.548897,59.31627,17.65861,1.2577662,0,0,0,1,0,1.5224838,0.7177124,0.8047714,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1700380907463468,45.94880732351859,226.61328755121633,17.606933944474864,False,False,0,False,False,False,False,False,True,False,False,1.04095165e-13,1.5045491e-11,0.99998057,4152.9844,4127.383,4170.89,4.7979,4.765,4.8691,-0.8349,-1.2818,-0.6476,1164.0468,1000.4052,1242.7731,0.0027,0.0006,0.0094,0.002,0.0004,0.007,0.0011,0.0002,0.0038,MARCS,0.031155398567502424,IN,1
14,1636148068921376768,Gaia DR3 4418928023622768768,4418928023622768768,590248993,2016.0,229.065949933316,0.1829471,0.09660847245799152,0.15524335,0.4325266359582777,0.20101911,2.1516693,8.217756,-7.78659981198281,0.24183701,-2.6268564264861114,0.1978632,-0.0063039917,-0.089816816,-0.030371971,-0.007437699,-0.09702704,0.031165114,0.12936583,-0.1806048,0.11051669,0.023796316,195,0,192,3,1.4992791,226.42067,0.60026914,1.6681796,31,False,1.5764704,,,,,,,,23,15,0.33563733,26,9,0,0.036081158,30.514887,0,0,1.0766916,0.2064238,0.13794418,0.24432737,0.850851,-102.24344,6.9648514,-14.609689,-29.185766,False,192,684.8675483353908,1.6317918,419.70276,18.59835,25,348.7516640287152,10.3781805,33.604317,18.982252,21,422.07049913411043,9.747225,43.301605,18.184433,1.1255054,0,0,0,0,0,0.79781914,0.3839016,0.41391754,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1191542500360896,45.963203997190035,226.58392433378094,17.580948736372378,False,False,0,False,False,False,False,False,True,False,False,8.301363e-09,1.06719535e-05,0.9999461,5785.832,5763.596,5804.319,4.7119,4.6943,4.7213,-1.4128,-1.5941,-1.2305,3845.2913,3782.964,3928.9514,0.0033,0.0008,0.0098,0.0028,0.0007,0.0083,0.0015,0.0003,0.0046,MARCS,0.012848503325007775,IN,1
31,1636148068921376768,Gaia DR3 4418927095909809024,4418927095909809024,1213346556,2016.0,229.08428762083076,0.29479066,0.0760660911009365,0.24283223,0.3934103798145892,0.31913593,1.232736,8.719587,5.442280690862208,0.37097535,-6.81269301623874,0.29921967,-0.042751707,-0.063647084,-0.15547511,-0.0146331275,-0.1524029,0.010551512,-0.0366878,-0.19900772,0.014287343,-0.10420205,209,0,205,4,1.7770442,247.55606,1.1274532,2.4230778,31,False,1.4113165,,,,,,,,25,16,0.52236956,25,9,0,0.07318132,96.03839,0,0,1.0884404,0.23893669,0.16371104,0.2906637,0.8190738,-110.605865,19.26975,-11.388271,-29.109095,False,205,350.43310509615293,1.3417535,261.17548,19.325853,22,152.44884241173983,6.9147983,22.046753,19.880732,22,277.7392275758501,8.929164,31.104729,18.638802,1.2275897,0,1,0,1,0,1.24193,0.55487823,0.6870518,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.114065755566891,45.935895718270274,226.60831692001045,17.566200775703887,False,False,0,False,False,False,False,False,False,False,False,8.3908075e-10,3.5693924e-07,0.9999913,,,,,,,,,,,,,,,,,,,,,,,0.017108776721643796,IN,1
22,1636148068921376768,Gaia DR3 4418927168923557248,4418927168923557248,998611532,2016.0,229.0753509373571,0.33668885,0.08393847310436228,0.24571408,-0.44784239040353596,0.3448313,-1.298729,10.30006,-10.086909405631987,0.37905318,-2.084584808566982,0.2948047,0.08430891,-0.23070768,-0.2964156,-0.11837041,-0.1761884,-0.0839972,-0.046974994,-0.14313053,0.12994108,-0.054033518,201,0,200,1,-1.9941262,165.75081,0.0,0.0,31,False,1.5268915,,,,,,,,24,15,0.5399156,24,8,0,0.01884132,60.25674,0,0,0.8990921,0.31370884,0.15625481,0.32883745,0.82491755,-111.03483,8.92803,-10.332177,-29.757019,False,199,294.2982091142172,1.1696662,251.60872,19.515398,22,121.06482964580829,9.3890915,12.8942,20.130997,22,126.6998740824746,12.942886,9.789151,19.490955,0.8418831,0,0,0,0,0,0.64004135,0.6155987,0.024442673,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1142187184343957,45.94780484249557,226.5970431205522,17.571331116981455,False,True,0,False,False,False,False,False,False,False,False,0.00015810927,0.000116315176,0.9997166,,,,,,,,,,,,,,,,,,,,,,,0.008411393330286105,IN,1
11,1636148068921376768,Gaia DR3 4418928023622771456,4418928023622771456,1069639490,2016.0,229.06488674443852,0.35958925,0.10042694080536607,0.3177068,0.674311202071035,0.40865442,1.6500769,4.7915993,-4.7683042082411236,0.46678948,-0.4719097161280236,0.40915093,-0.08725297,-0.118507,-0.11399358,0.015621377,-0.11537387,0.030440854,0.053269144,-0.18643156,0.0705895,-0.08034921,220,0,218,2,-0.10793386,218.77408,0.0,0.0,95,False,,1.5944989,0.105924375,-0.08279846,-0.07866697,0.017143784,-0.022623036,-0.27406958,26,15,0.6560261,27,8,0,0.023129562,133.64276,0,0,0.9931937,0.29770905,0.1511291,0.30264196,0.8703389,-110.68687,36.34047,-8.995971,-29.278214,False,217,213.61190125753828,0.953099,224.12352,19.863304,21,93.42888442677126,8.41242,11.106065,20.41234,21,176.64393709072843,6.8711534,25.708048,19.130148,1.2643154,0,3,0,1,0,1.2821922,0.549036,0.7331562,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1223082785538459,45.966506210041175,226.581756423446,17.584331059018147,False,False,0,False,False,False,False,False,False,False,False,2.3621567e-09,3.4835986e-07,0.99999326,,,,,,,,,,,,,,,,,,,,,,,0.015551654394815853,IN,2
4,1636148068921376768,Gaia DR3 4418927920543547776,4418927920543547776,1144045510,2016.0,229.0578229445043,0.38086477,0.091659685862771,0.31138524,-0.8418922402549187,0.41157794,-2.0455232,3.2551115,-0.9716296804526723,0.4863695,-3.106716438818877,0.37821662,-0.054616705,-0.015917398,-0.24314348,-0.038770385,-0.105219,-0.010785354,-0.036802076,-0.26513627,0.06424062,-0.07959437,197,0,196,1,-0.55618155,190.96872,0.0,1.4541812e-15,31,False,1.5628018,,,,,,,,23,14,0.68861544,24,9,0,0.034288485,38.909676,0,0,0.9699506,0.26976985,0.18915708,0.3084554,0.8200616,-111.232735,34.385174,-11.715169,-29.762295,False,192,211.2233167963856,1.0261476,205.84106,19.875513,19,104.98492155730719,8.748543,12.000276,20.285725,20,115.20357080794082,9.839395,11.708401,19.59423,1.0424441,0,0,0,0,0,0.691494,0.41021156,0.28128242,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.106120310369861,45.9661119455244,226.57714342976206,17.573966539350895,False,False,0,False,False,False,False,False,False,False,False,7.392406e-06,2.0669613e-09,0.99999255,,,,,,,,,,,,,,,,,,,,,,,0.02010210146135144,IN,2
