,MainID,ra_now,dec_now,Gmag
59,6471702527440900096,303.05187422086345,-56.82391520572059,14.039206
26,6471701908965593472,303.1164386683091,-56.84584768409701,14.325916
4,6471701702807173504,303.0642238909795,-56.85363207180687,15.747216
5,6471701496648738816,303.0797923078854,-56.85785991737941,17.376001
20,6471701805886379648,303.1039673731608,-56.857709842741805,17.832298
29,6471702527440900608,303.0408091103465,-56.8377138449202,18.013
8,6471701870309721088,303.0935747264982,-56.85686860184343,18.122427
23,6471701664151292288,303.04587076343523,-56.85735772354279,18.354218
61,6471690050559712256,303.1186724616885,-56.868910311744486,18.602701
28,6471701801590235520,303.1014859492225,-56.86655316639115,18.617443
42,6471701904669477760,303.12205753186527,-56.837695799190286,18.746778
22,6471701492352590592,303.07175577039845,-56.86750962239199,18.748032
43,6471702110831936768,303.11533145084485,-56.83171841225516,18.836098
37,6471701423633108736,303.08174449970915,-56.87386072248084,19.048038
35,6471702527440899840,303.052236076843,-56.828321174273576,19.163073
11,6471702149483772800,303.07295919031776,-56.83497734261738,19.172844
19,6471701664151294592,303.04924676180656,-56.85447402808245,19.195145
6,6471701698512113792,303.0622581827725,-56.8536024402707,19.210684
21,6471702149483773184,303.0700812255756,-56.83240197008881,19.26294
47,6471702527440901632,303.03904558372477,-56.831737917926155,19.271643
51,6471701904670064128,303.11940312285395,-56.83307295390309,19.40358
32,6471702115122317184,303.106710500358,-56.83071782708409,19.600561
14,6471701771526654336,303.0544037588223,-56.840426514149186,19.603918
10,6471701771526651776,303.06672955056206,-56.83674327947497,19.877298
16,6471701767230527360,303.0597793892388,-56.83654473629397,19.891874
2,6471702080762582784,303.088969358884,-56.8474545696128,19.90694
9,6471702080765102208,303.09588888560046,-56.84003530103245,19.90707
0,6471702080765102720,303.07895236398537,-56.84488410508537,19.912817
33,6471701805885439616,303.1046889612589,-56.86890070320451,20.27544
18,6471701737166916480,303.0480359106663,-56.85019871130782,20.348038
34,6471702527439960320,303.03945441235203,-56.83581824649062,20.48046
40,6471701462288062080,303.0597639705417,-56.87314131316513,20.535093
39,6471701737165976064,303.03329576214753,-56.85674288720977,20.570951
55,6471701805885437696,303.115818484224,-56.8679572615576,20.582785
41,6471702115123090816,303.10622672966343,-56.82761591307929,20.724726
25,6471701492352589184,303.0813676929748,-56.869404136232085,20.761038
12,6471701702807529472,303.0506542050471,-56.8518894713788,20.785387
1,6471701496647800320,303.08004263792475,-56.853532647510995,20.839458
3,6471701496649588992,303.0786080663273,-56.855964566104205,20.869091
30,6471702115123091200,303.1023302158897,-56.82952616597904,20.893684
27,6471701496647798400,303.0734511980184,-56.870275607976104,20.920315
13,6471702080765102080,303.0979494545099,-56.83816465025482,20.92773
46,6471701462288317824,303.04961827112845,-56.87108088069757,20.986477
36,6471701805885438848,303.1169608520977,-56.86186558528588,21.072552
17,6471702080763607168,303.0976684606596,-56.837068342314915,21.075497
15,6471701496647798016,303.08212440681797,-56.864375832285596,21.103786
49,6471701805885437824,303.1179203777481,-56.86558247219326,21.119303
50,6471701668446748672,303.0452990483369,-56.869911829559115,21.149504
31,6471701737165975552,303.0362845219283,-56.85622151290338,21.188349
60,6471702115122313856,303.1138613607635,-56.82678285644592,21.351482
7,6471701496649098752,303.08385935834116,-56.85833578527146,21.558998
24,6471702076468177792,303.09179289922815,-56.83005975808225,21.812654
