,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,14.43,481592584,32,0,201218.94-565041.3,303.078896,-56.84488,36,57,57956.6493,0,0.921,,,,,,,,,,,,,18.2741,0.0423,18.124,0.0232,18.3017,0.0136,17.7032,0.037,17.5566,0.0555,17.7085,0.0125,17.1708,0.0287,17.0432,0.0249,17.1789,0.0104,16.8405,0.0327,16.6667,0.0446,16.8742,0.0156,15.0,
1,17.33,1585661230,1,0,201219.20-565112.6,303.079982,-56.853542,36,36,58317.5438,0,0.499,,,,,,,,,,,,,,,,,,,,,,,,,19.8753,0.0772,19.9361,0.1461,19.9106,0.1284,,,,,,,9.23,481592557.0
2,22.17,481592588,6,0,201221.33-565050.5,303.088928,-56.847426,66,36,58396.5522,0,0.804,,,,,,,,,,,,,,,,,,,20.4353,0.0602,20.7726,0.0984,20.4536,0.109,19.0673,0.0333,19.1496,0.0975,19.0953,0.0483,18.5777,0.0483,18.6977,0.1076,18.578,0.0658,15.0,
3,25.71,481592557,19,3,201218.86-565121.3,303.078591,-56.85599,36,63,57957.7158,0,0.834,,,,,,,,,,,,,18.9566,0.0529,18.7721,0.0392,18.9921,0.0162,18.3677,0.0634,18.2234,0.0359,18.4064,0.0148,17.9396,0.0442,17.7756,0.0516,17.9608,0.0165,17.678,0.05,17.4303,0.087,17.691,0.0265,7.08,481592558.0
4,31.85,481592556,39,0,201215.45-565112.7,303.064301,-56.853589,36,39,57947.9332,0,0.987,,,,,,,,,,,,,16.7431,0.0163,16.6786,0.0195,16.7462,0.0103,15.8594,0.0092,15.842,0.0097,15.8688,0.0074,15.1156,0.0072,15.1137,0.0097,15.1259,0.0065,14.8128,0.007,14.8169,0.0111,14.815,0.0076,15.0,
5,32.54,481592558,38,3,201219.15-565128.1,303.079818,-56.857839,36,46,57939.1266,0,0.983,,,,,,,18.655,0.0535,18.8533,0.1204,18.6388,0.0654,17.6788,0.0108,17.594,0.0222,17.6883,0.009,17.3697,0.0106,17.3224,0.0204,17.3803,0.0097,17.1619,0.0104,17.1135,0.0392,17.175,0.0103,17.0836,0.0128,17.0078,0.046,17.0878,0.0155,7.08,481592557.0
6,35.95,481592559,12,3,201220.11-565129.9,303.083751,-56.858328,39,50,58325.3733,0,0.677,,,,,,,,,,,,,19.9928,0.1308,19.8926,0.131,20.1236,0.0505,18.9657,0.1349,18.5853,0.0643,19.1562,0.0239,18.4039,0.0838,18.1342,0.1248,18.511,0.0475,18.2288,0.0791,18.2796,0.1151,18.2352,0.0802,7.94,481592558.0
7,41.55,1585661278,2,1,201221.35-565020.2,303.088887,-56.838977,103,106,58317.5416,0,0.643,,,,,,,,,,,,,,,,,,,19.9513,0.2124,19.5079,0.1376,20.0472,0.0771,19.4283,0.185,18.9875,0.1495,19.4538,0.0861,,,,,,,10.84,2686746295.0
8,42.06,481592589,22,0,201222.46-565124.5,303.093519,-56.856872,36,56,58140.7762,2,0.982,,,,,,,,,,,,,19.4051,0.0153,19.4706,0.0373,19.4023,0.0211,18.458,0.0127,18.4931,0.0231,18.4659,0.0152,17.3885,0.0092,17.4492,0.0244,17.3971,0.0118,16.9535,0.0118,16.9954,0.027,16.9553,0.0156,15.0,
9,45.16,2686746295,0,16,201222.58-565023.7,303.094106,-56.839938,36,36,56926.4262,0,0.483,,,,,,,,,,,,,,,,,,,,,,,,,16.763,,17.1493,,17.632,,,,,,,,3.92,481592586.0
10,48.28,481592586,27,2,201223.05-565023.7,303.096086,-56.839817,90,305,57959.9824,8,0.172,,,,,,,,,,,,,16.308,0.1369,15.7423,0.0296,17.0722,0.0201,15.6558,0.1543,15.1667,0.0364,16.4879,0.0244,15.1141,0.1442,14.7332,0.0355,15.9501,0.0241,14.878,0.1321,14.3875,0.0297,15.6901,0.0199,3.92,2686746295.0
11,48.86,1585661273,5,0,201216.04-565012.1,303.066789,-56.836739,36,36,58317.97,0,0.602,,,,,,,,,,,,,20.3776,0.035,20.7038,0.1226,20.4023,0.054,19.9,0.0243,19.9381,0.0882,19.8823,0.0528,19.7073,0.0716,19.808,0.1935,19.7257,0.1088,,,,,,,13.74,481592582.0
12,49.32,481592591,7,0,201224.69-565101.1,303.102863,-56.850423,63,47,58322.2701,0,0.609,,,,,,,,,,,,,,,,,,,19.7073,0.1032,19.5571,0.0709,19.782,0.0391,18.9583,0.0749,18.8523,0.1063,19.0954,0.0739,18.6705,0.2209,18.5563,0.159,18.6887,0.0973,15.0,
13,51.04,481592582,8,0,201217.51-565005.6,303.072948,-56.834948,69,36,58320.0751,0,0.95,,,,,,,,,,,,,19.5144,0.0168,19.6813,0.0509,19.5083,0.0265,19.2122,0.0236,19.1801,0.0887,19.218,0.0309,18.9665,0.025,19.0406,0.0924,19.0157,0.0411,18.7932,0.0418,19.2377,0.1918,18.8389,0.1105,10.73,481592583.0
14,53.88,481592550,7,3,201212.24-565106.0,303.051103,-56.851698,80,36,58058.4268,0,0.537,,,,,,,,,,,,,,,,,,,18.6112,0.2726,18.1464,0.0681,18.8596,0.0312,18.1316,0.1352,17.8068,0.0671,18.2407,0.026,17.8593,0.1169,17.4391,0.1677,17.9374,0.0428,7.94,481592549.0
15,54.7,481592587,8,3,201223.48-565017.4,303.097786,-56.838204,36,119,57372.6833,0,0.171,,,,,,,,,,,,,,,,,,,17.1739,0.2306,16.7437,0.2588,17.4398,0.0513,16.6321,0.1462,16.3788,0.032,16.9053,0.0158,16.29,0.2244,15.8461,0.063,16.5976,0.0391,6.7,481592586.0
16,55.51,481592553,36,0,201213.05-565025.3,303.054368,-56.840422,36,52,57894.3078,3,0.78,,,,,,,,,,,,,17.5595,0.0574,17.3491,0.0228,17.6745,0.0107,16.9937,0.0538,16.7319,0.0287,17.0534,0.0108,16.4068,0.049,16.2076,0.0117,16.5131,0.0082,16.0877,0.0443,15.8354,0.0214,16.1689,0.01,15.0,
17,57.0,1585661272,5,0,201214.37-565011.3,303.059818,-56.836523,36,39,58317.97,0,0.67,,,,,,,,,,,,,20.3432,0.0352,20.4665,0.0822,20.3756,0.0528,19.8953,0.0265,20.0653,0.0873,19.9004,0.0536,19.602,0.0302,19.8465,0.1477,19.6968,0.1063,,,,,,,13.75,1585661273.0
18,59.01,481592549,37,2,201211.51-565100.5,303.048103,-56.850224,111,143,57906.9307,0,0.572,,,,,,,,,,,,,17.6701,0.0956,17.0386,0.0344,18.0207,0.0101,17.0586,0.0845,16.5234,0.0339,17.405,0.0266,16.5731,0.0818,16.0668,0.0436,16.8648,0.011,16.3112,0.0725,15.8011,0.03,16.5488,0.0116,7.94,481592550.0
19,60.15,481592548,11,0,201211.83-565115.8,303.0492,-56.854481,36,66,58405.7849,0,0.965,,,,,,,,,,,,,19.9034,0.022,20.0573,0.0621,19.9313,0.0318,19.2545,0.021,19.357,0.0652,19.273,0.0261,18.8165,0.0227,18.9419,0.12,18.8456,0.0437,18.5995,0.0649,18.6594,0.3331,18.6927,0.08,10.7,481592550.0
