,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
48,303.0464142,-56.83579683,24620.4978,23984.39325,-0.194169879,-0.035373088,0.615636408,0.001204044,5.116616249,1,4.09e-06,0,-0.10769974,-0.004766995,-0.016756118,0.026451856,-0.107724622,-0.004844626,-0.016774265,0.026426408,0.009241462,0.0451596,21.61505811,0.011378591,20.83742645,0.010753959,20.44645024,0.002587533,19.54849052,0.002486748,19.69854222,0.001419387,18.76176759,0.001368081,19.42165788,0.002187539,18.39073993,0.002159407,19.15891171,0.001522384,18.2132921,0.001458911,19.12344452,0.002554675,18.15895008,0.002304608,1007909,5,IN,1
44,303.0506463,-56.85186283,24587.3519,23765.10582,0.295451343,0.246402755,0.808178604,0.002117117,9.625718117,1,0.661611167,0,0.182887334,0.208187453,-0.017700268,0.02260173,0.187461317,0.212883919,-0.017739644,0.02264606,0.006881405,0.040767959,24.51472972,0.150177992,24.35876714,0.15038214,21.97801297,0.005467688,21.47586356,0.005035602,20.86548247,0.002322226,20.37965734,0.00219385,19.7729742,0.002270264,19.29110582,0.002251006,19.2129677,0.001580842,18.78164267,0.001556184,19.05784548,0.0025625,18.61684243,0.002500233,1006699,5,IN,1
39,303.0696417,-56.87021313,24446.15892,23513.47713,-0.440436602,0.049592141,0.716813087,0.018206777,5.860739708,1,0.104946617,0,-0.307725929,0.042267236,-0.020910094,0.022038933,-0.306892782,0.042725202,-0.020933867,0.022006687,0.008117625,0.038958747,23.60942767,0.068626114,22.54336883,0.059806022,23.58781235,0.023863731,22.73372369,0.01939266,22.76097147,0.009249112,21.93321829,0.007846246,22.52233421,0.008870908,21.5847121,0.00742044,22.16376472,0.012996533,21.22358429,0.011027815,22.04337031,0.035621279,21.15478058,0.029292979,1004498,5,IN,1
35,303.0786055,-56.85595957,24379.24445,23708.6371,0.201772839,0.10585577,0.53223902,0.000606968,4.856291771,1,0.00021991,0,0.074866098,0.058095905,-0.01923492,0.022111089,0.074937925,0.058242846,-0.019280761,0.022159591,0.008465846,0.040732579,20.86717807,0.006884015,20.2748344,0.006692856,19.54543827,0.002265421,18.82726363,0.002234331,18.715653,0.001276888,17.99535669,0.001261764,18.40142673,0.002108676,17.59279477,0.002102002,18.09554553,0.001285548,17.35799847,0.001269404,18.02726693,0.001284149,17.26292079,0.001197761,1006451,5,IN,1
28,303.0896314,-56.87305076,24296.59098,23474.74377,-0.060523964,0.082849488,0.68460232,0.017713711,5.455904484,1,0.006164758,0,-0.046657236,0.059119953,-0.019618029,0.024885779,-0.04618258,0.059122685,-0.019655133,0.024783408,0.008322514,0.039717456,24.26246253,0.124313647,23.61890834,0.103389123,23.34979914,0.0177732,22.49945315,0.015483103,22.72591761,0.008878623,21.84340803,0.007779362,22.53717012,0.009127952,21.47759108,0.007861422,22.3020188,0.01421164,21.27254377,0.012251138,22.34274456,0.047268408,21.22480612,0.045714402,1004499,5,IN,1
26,303.0917782,-56.83006398,24280.85525,24063.16517,0.151166841,0.081641093,0.369190723,0.004041778,3.83833313,1,0.492544117,0,0.031805134,0.045087949,-0.017835244,0.028519941,0.031880822,0.045110896,-0.017875429,0.028577859,0.009205133,0.045685194,21.5461289,0.012060894,21.26223953,0.011947124,20.89306711,0.003128408,20.52002322,0.003049493,20.32437903,0.00178307,19.9591553,0.001736322,20.17862452,0.002510146,19.74902639,0.002471343,19.83180676,0.002159221,19.46186365,0.002104142,19.48817005,0.003567016,19.12084642,0.003400367,1011420,5,IN,1
25,303.0940649,-56.86311281,24263.49616,23610.79488,0.387647718,0.20676294,0.777149916,0.002165053,5.456317425,1,1.24e-05,0,0.259567511,0.154428999,-0.020032698,0.025285986,0.259900481,0.154939473,-0.020070219,0.025186902,0.007670789,0.039999286,22.56383107,0.025987698,21.81231215,0.022501509,21.75681064,0.004739239,20.74376071,0.003988933,20.65031166,0.001941796,19.59093298,0.001694343,20.29714723,0.002432456,19.03677425,0.002296023,19.89866874,0.00207495,18.76361512,0.001824146,19.86600336,0.004848984,18.72851263,0.003980387,1006166,5,IN,1
23,303.0958005,-56.87351741,24250.43931,23468.38101,0.013337676,-0.20385538,0.491203547,0.010477305,2.906206131,1,0.0,0,-0.004960721,-0.077127459,-0.019593847,0.024998708,-0.004886818,-0.077175006,-0.0196309,0.024896696,0.008175681,0.040210123,23.48262944,0.060219969,22.97732134,0.057842314,22.38736051,0.007689103,21.90043913,0.007280794,21.70411524,0.003750854,21.26512926,0.003542114,21.45992608,0.003967156,20.89078756,0.003769571,21.26330808,0.005772638,20.82984719,0.005458989,21.2205143,0.016194946,20.77165246,0.015224995,984296,5,IN,1
21,303.0976544,-56.8371413,24236.80268,23966.31153,0.065397374,0.531736672,0.972921848,0.002136788,26.65325546,1,0.860689486,0,0.043574602,0.512787976,-0.017328285,0.028226388,0.05882166,0.48490715,-0.017366653,0.028286751,0.008413993,0.04449036,24.54006033,0.159365377,22.32123475,0.178177259,22.14874283,0.006599497,19.2699447,0.004041451,21.15195332,0.002783071,18.13484541,0.002002159,20.79832651,0.003022555,17.72555626,0.002588753,20.39853584,0.003016976,17.38457,0.002250446,20.25428536,0.006952647,17.20727281,0.004459252,1007194,5,IN,1
18,303.0992548,-56.8243106,24224.8968,24141.9463,0.69532007,-0.374413759,0.697709739,0.006867012,8.022760391,1,0.790652225,0,0.398711332,-0.206605525,-0.017651802,0.031462258,0.398582935,-0.206968352,-0.01769257,0.031526923,0.008084079,0.040546574,22.36415801,0.024780448,21.94130656,0.025233308,22.19379903,0.006896027,21.14145637,0.006119724,21.80839994,0.004797964,20.69563628,0.00413052,21.75141944,0.005651264,20.54555055,0.004849843,21.49177277,0.007746382,20.32383882,0.006583427,21.09609015,0.014895973,19.86881855,0.012322268,1011432,5,IN,1
