,MainID,ra_now,dec_now,Gmag
44,6471702905398020352,303.06550288299263,-56.81958905771595,11.900736
25,6471703042836971008,303.0885622381702,-56.79203826555094,14.2460785
16,6471702252562978176,303.13182883370746,-56.80311810141392,15.774934
40,6471702905398021504,303.0631665490432,-56.80947818443014,16.43535
14,6471702286922719616,303.1181303215631,-56.795193759463956,16.49535
31,6471703042836965760,303.1115292786071,-56.786624312924914,16.497593
26,6471702213907144320,303.14007267255147,-56.81506960197763,16.716728
29,6471702321282456448,303.1281864163011,-56.790360971220444,17.004503
0,6471702286922904704,303.1036752885322,-56.802533527288894,18.330952
12,6471702939756052864,303.09049479057506,-56.799403325802494,18.444885
65,6471701939029222912,303.15250116997356,-56.82972040222391,18.681965
41,6471703004181148416,303.0702859706012,-56.7935241994595,18.78379
39,6471702110831936768,303.1153314508401,-56.83171841227318,18.836098
23,6471702939757757696,303.0774767489245,-56.8022560398544,19.263178
15,6471702939757754624,303.08972288237266,-56.79881156030965,19.375362
34,6471703077196704512,303.1126489991619,-56.784181007649664,19.569082
5,6471703042836965504,303.10665161286954,-56.797815972691716,19.579456
35,6471702115122317184,303.10671050035734,-56.83071782708424,19.600561
9,6471702286923531776,303.1227889421309,-56.800134611183914,19.771265
37,6471702905398020864,303.0660238035229,-56.81287527697745,19.772083
24,6471702183843510272,303.0816738369145,-56.8185813661508,19.784065
17,6471702321282455808,303.1286225669752,-56.79832131974589,19.804312
1,6471702183843505408,303.10415294788083,-56.81468927065722,19.805664
4,6471702218203240448,303.124572588409,-56.81012817028508,20.000446
10,6471702286921007744,303.12475734401704,-56.80043967858165,20.071354
22,6471703042837149056,303.10134831567854,-56.79047389512535,20.117575
2,6471702286923081472,303.1229208433446,-56.80559329482584,20.12748
19,6471702218203604352,303.1319295553334,-56.81605998505906,20.177563
42,6471702007749276416,303.13427815227476,-56.82805995367661,20.296942
27,6471702248267450752,303.1436941930824,-56.808344392080265,20.29888
8,6471702286921004416,303.12592362732113,-56.803220812441836,20.298883
3,6471702183843508352,303.09296105201196,-56.807899237911016,20.352911
33,6471702012045621376,303.12837880415316,-56.82709939795692,20.454666
36,6471703111555512832,303.08690886995964,-56.78670204639258,20.532314
46,6471703004181975680,303.07340660071645,-56.78845524983611,20.652012
6,6471702286921785088,303.1194535617644,-56.79932428723146,20.65916
20,6471702218203238144,303.1376086529141,-56.81239833137873,20.695547
30,6471702115123090816,303.10622672987773,-56.82761591310258,20.724726
47,6471702046403608448,303.14920428017757,-56.82245208358662,20.862474
32,6471702115123091200,303.10233021591046,-56.82952616593697,20.893684
7,6471702935461467136,303.0913917492618,-56.803062219529366,20.993084
13,6471702939758222464,303.0877865640834,-56.801200858225464,21.140564
21,6471702248267724416,303.13876623850746,-56.8031373029875,21.181011
28,6471702115122313856,303.1138613607635,-56.82678285644592,21.351482
11,6471702321283270272,303.12723360881324,-56.80038072393638,21.574886
18,6471702939758663680,303.08352912532945,-56.80116530760837,21.797564
38,6471702076468177792,303.09179289922815,-56.83005975808225,21.812654
