,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,19.59,481592579,15,0,201224.88-564808.8,303.103655,-56.802505,36,37,58224.8549,0,0.98,,,,,,,,,,,,,18.997,0.0197,19.1712,0.0346,19.0195,0.0192,18.3744,0.0237,18.5004,0.0918,18.3774,0.0181,17.937,0.0209,17.9921,0.0521,17.9362,0.0175,17.7064,0.0234,17.8658,0.0569,17.7626,0.0378,15.0,
1,28.07,481592581,7,0,201225.01-564852.6,303.104158,-56.814664,36,55,58294.477,0,0.846,,,,,,,,,,,,,20.4817,0.0501,20.6708,0.1202,20.5742,0.0633,19.8265,0.0267,20.4748,0.2084,19.8188,0.0504,19.3432,0.0342,19.4304,0.0901,19.3314,0.0558,,,,,,,11.77,1585661265.0
2,29.03,1585661405,3,0,201229.51-564819.8,303.122932,-56.805538,81,53,58408.9502,0,0.812,,,,,,,,,,,,,,,,,,,,,,,,,19.0803,0.1223,18.8916,0.0911,19.0639,0.0614,18.5,0.1277,18.6849,0.101,18.6033,0.0916,15.0,
3,30.88,481592580,23,0,201222.29-564828.4,303.092916,-56.807892,36,49,58069.0789,3,0.518,,,,,,,,,,,,,18.1189,0.1115,17.8685,0.0522,18.2628,0.0133,17.6392,0.0754,17.2992,0.0643,17.6796,0.0134,17.1344,0.0526,16.8933,0.0462,17.1924,0.0128,16.8529,0.0464,16.649,0.0286,16.8897,0.0134,13.8,2686746283.0
4,32.61,1585661265,1,0,201223.58-564851.4,303.098217,-56.814327,36,36,58317.5438,0,0.493,,,,,,,,,,,,,,,,,,,,,,,,,19.9361,0.1018,20.2002,0.3454,19.8881,0.1261,,,,,,,11.77,481592581.0
5,33.28,481592671,25,0,201229.90-564836.3,303.124585,-56.810122,36,36,58067.2823,0,0.887,,,,,,,,,,,,,18.2602,0.1223,18.1211,0.0293,18.3208,0.0198,17.7749,0.0697,17.538,0.0335,17.7325,0.0176,17.1565,0.0345,17.0241,0.019,17.2057,0.0097,16.8661,0.0409,16.6898,0.0237,16.9039,0.0132,15.0,
6,34.14,481592665,25,0,201225.59-564752.0,303.106634,-56.79782,36,45,57897.793,9,0.714,,,,,,,,,,,,,17.307,0.0582,17.0224,0.0186,17.3749,0.0102,16.5773,0.0695,16.3778,0.0184,16.7361,0.012,16.0514,0.0564,15.8432,0.0175,16.1845,0.008,15.7331,0.0566,15.4915,0.0177,15.8515,0.0101,15.0,
7,35.67,2686746283,0,24,201221.92-564814.9,303.091339,-56.804158,422,539,57879.7293,113,0.111,,,,,,,,,,,,,,,,,,,,,,,,,17.5102,,17.3387,,18.6289,,17.1844,,17.2727,,17.8037,,4.04,481592578.0
8,37.1,481592578,25,3,201221.94-564810.9,303.091357,-56.803036,36,45,57897.793,0,0.288,,,,,,,,,,,,,16.7658,0.114,16.3518,0.0287,17.1361,0.0097,16.0957,0.1292,15.7344,0.0126,16.5286,0.0104,15.5373,0.1023,15.188,0.0293,15.9802,0.0102,15.2705,0.093,14.854,0.0316,15.6631,0.0098,4.04,2686746283.0
9,38.26,2686746311,0,1024,201228.65-564857.8,303.119379,-56.816062,36,36,58317.5423,7,0.645,,,,,,,17.1981,,18.6835,,18.4362,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,
10,38.31,481592667,23,3,201229.47-564800.2,303.122971,-56.80012,70,36,57939.8085,0,0.359,,,,,,,18.7102,0.2164,18.7061,0.1389,18.7958,0.1309,16.7458,0.1167,16.0214,0.0724,17.0009,0.0127,16.0675,0.1377,15.4487,0.0842,16.4115,0.0129,15.4009,0.1069,14.8487,0.0263,15.8724,0.0101,15.1503,0.1081,14.5937,0.0449,15.5604,0.0112,12.6,481592668.0
11,45.4,2686746435,0,16,201231.25-564810.7,303.130229,-56.802999,135,36,57504.7128,0,0.535,,,,,,,,,,,,,16.6238,,18.0082,,16.9672,,,,,,,,15.8993,,18.3079,,16.5126,,,,,,,,3.08,481592669.0
12,47.35,481592666,31,2,201228.35-564742.5,303.118105,-56.795181,36,36,58075.047,0,0.984,18.3186,0.028,18.4878,0.0934,18.329,0.0488,18.0463,0.0325,18.2189,0.1136,18.0562,0.031,16.8035,0.0127,16.79,0.0196,16.8057,0.0121,16.4753,0.0215,16.4765,0.0241,16.475,0.018,16.2921,0.0073,16.253,0.0249,16.2894,0.0119,16.2418,0.0096,16.2481,0.0209,16.2482,0.0112,15.0,
13,47.58,481592577,29,3,201221.55-564755.9,303.089796,-56.798915,44,64,57990.0056,9,0.534,,,,,,,18.1682,0.1378,18.0997,0.244,18.4746,0.0616,16.4172,0.1356,15.7801,0.0481,16.9167,0.0094,15.8706,0.1451,15.3063,0.0499,16.4435,0.0103,15.5072,0.1124,15.0179,0.0363,16.0331,0.0122,15.3734,0.1009,14.8078,0.0361,15.8052,0.01,14.56,1585661266.0
14,48.21,481592669,41,3,201231.62-564810.9,303.131786,-56.803086,36,36,57803.541,5,0.984,17.5185,0.0191,17.7099,0.0517,17.5412,0.024,17.0548,0.0214,17.2201,0.0608,17.0806,0.0182,16.1239,0.0121,16.1238,0.0133,16.1286,0.0142,15.7969,0.0101,15.8219,0.0232,15.797,0.0113,15.5587,0.0073,15.528,0.0307,15.5603,0.008,15.4741,0.0082,15.4845,0.0179,15.4746,0.0093,3.08,2686746435.0
15,50.71,481592668,24,3,201230.86-564754.1,303.128481,-56.798345,58,69,57781.6581,9,0.434,,,,,,,18.5426,0.2242,18.2759,0.1556,18.6217,0.1134,16.452,0.1445,15.9373,0.0716,16.8477,0.0223,15.8426,0.1464,15.6066,0.1768,16.2526,0.0182,15.0976,0.1197,14.4016,0.0484,15.7216,0.0104,14.8568,0.1169,14.2281,0.0537,15.4332,0.0092,12.6,481592667.0
16,53.05,2686746310,0,16,201227.17-564918.3,303.113238,-56.821756,36,36,58591.7603,0,0.351,,,,,,,,,,,,,,,,,,,,,,,,,17.7076,,17.4555,,18.9613,,,,,,,,15.0,
17,53.78,1585661266,7,1,201220.08-564804.0,303.083633,-56.801146,36,36,58491.1061,0,0.725,,,,,,,,,,,,,19.5171,0.1884,19.2969,0.1187,19.6202,0.0452,,,,,,,18.6174,0.0851,18.1289,0.1702,18.5849,0.049,18.5181,0.0578,18.4646,0.1425,18.4867,0.0611,12.8,481592576.0
18,56.05,1585661418,1,0,201231.68-564857.7,303.131961,-56.816078,36,36,58317.5438,0,0.608,,,,,,,,,,,,,,,,,,,,,,,,,19.3883,0.0329,19.5946,0.1275,19.4301,0.0839,,,,,,,15.0,
19,59.4,481592673,22,1,201233.01-564844.4,303.137157,-56.812421,185,44,57808.9163,92,0.677,,,,,,,,,,,,,17.9647,,17.9027,,18.4865,,17.6009,0.1458,17.5372,0.0894,17.791,0.0837,17.3037,0.0563,16.9558,0.0371,17.3897,0.0122,17.0536,0.0541,16.7048,0.0332,17.1003,0.0167,11.07,481592672.0
20,61.15,2686746278,0,1040,201218.71-564815.3,303.077995,-56.804259,36,36,57879.73,7,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9018,,18.6299,,18.432,,7.25,481592576.0
21,62.37,1585661397,4,0,201224.32-564725.2,303.101313,-56.790378,36,86,58317.8088,0,0.617,,,,,,,,,,,,,20.4863,0.0285,20.7004,0.0975,20.5384,0.0682,20.0034,0.0686,20.0768,0.0861,19.9644,0.0715,19.7643,0.0657,19.7928,0.1523,19.8168,0.1178,,,,,,,15.0,
22,62.78,1585661403,1,0,201226.55-564723.3,303.11057,-56.789842,36,36,58317.5438,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,19.914,0.0711,19.9027,0.1706,19.9032,0.1275,,,,,,,11.8,481592662.0
23,63.8,481592576,28,0,201218.60-564808.0,303.077472,-56.802266,36,36,57744.6072,2,0.969,,,,,,,,,,,,,17.7589,0.0401,17.6401,0.0215,17.7773,0.013,17.158,0.0403,17.0309,0.0359,17.1755,0.0134,16.6521,0.0247,16.5535,0.0175,16.6609,0.0088,16.375,0.022,16.3,0.0187,16.3586,0.0113,7.25,2686746278.0
