,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
37,303.0690841,-56.78430074,24451.36661,24689.46056,0.291101098,0.592490911,0.915948987,0.058330335,19.86305428,1,0.663452887,0,0.084474488,0.236332601,-0.018957811,0.027387244,0.242780715,0.474123269,-0.018995011,0.027427075,0.005367816,0.036301777,24.65194281,0.176511629,22.01080229,0.170143982,24.98172588,0.067926439,22.17524343,0.07251166,24.69323047,0.049284656,21.30866703,0.031209604,24.33689618,0.045156531,20.91493997,0.031491581,24.08651202,0.075439401,21.4271053,0.096286716,24.83263986,0.442688145,22.34814669,0.385282532,1014679,1,IN,1
50,303.0897193,-56.79880025,24296.52264,24491.10104,-0.215477884,0.278544903,0.742591262,0.000102372,7.72535181,1,0.207779025,0,-0.135406915,0.179830762,-0.018612398,0.024797953,-0.135359243,0.180070043,-0.018654807,0.024847904,0.006930026,0.041538439,19.27977765,0.004512573,18.00942214,0.004448121,18.16930152,0.002145785,16.69015325,0.00213299,17.41770366,0.001225338,15.93243786,0.001218936,17.17370289,0.002089944,15.60311777,0.002086671,16.86061401,0.00122346,15.38064984,0.001215975,16.73690205,0.000832211,15.2318097,0.0007867,1011401,1,IN,1
11,303.0921871,-56.79906927,24278.77188,24487.76175,-0.613442123,-0.039537698,0.99403125,0.001695663,43.57022858,1,0.930474815,0,-0.565961963,-0.041774843,-0.018629796,0.024815159,-0.603437066,-0.037562527,-0.018667234,0.02486925,0.006898691,0.041554203,26.57900812,1.074428835,21.1012956,0.152063135,22.42038519,0.007865926,18.31816837,0.002882004,22.01055844,0.005072002,17.82603456,0.001730605,22.05733177,0.006631404,17.66128031,0.002528718,21.56105368,0.008004154,17.36782457,0.002282899,21.27386834,0.017382163,16.98545648,0.004012189,1011429,1,IN,1
35,303.0992548,-56.8243106,24224.8968,24141.9463,0.69532007,-0.374413759,0.697709739,0.006867012,8.022760391,1,0.790652225,0,0.398711332,-0.206605525,-0.017651802,0.031462258,0.398582935,-0.206968352,-0.01769257,0.031526923,0.008084079,0.040546574,22.36415801,0.024780448,21.94130656,0.025233308,22.19379903,0.006896027,21.14145637,0.006119724,21.80839994,0.004797964,20.69563628,0.00413052,21.75141944,0.005651264,20.54555055,0.004849843,21.49177277,0.007746382,20.32383882,0.006583427,21.09609015,0.014895973,19.86881855,0.012322268,1011432,1,IN,1
59,303.1016265,-56.83029652,24207.09878,24060.01737,0.255287886,-0.345249802,0.665223122,0.011366213,9.093849182,1,0.862558456,0,0.118259512,-0.149856823,-0.017817604,0.028640812,0.118971169,-0.149357542,-0.017857581,0.028699018,0.009092441,0.045806339,22.80745679,0.035424486,22.35745279,0.038162998,22.81065481,0.011901197,21.46508653,0.010588827,22.36475971,0.00763207,20.9578795,0.006512953,22.22022592,0.00800995,20.68855915,0.00674209,21.96984073,0.011652761,20.51107048,0.009722938,21.70701368,0.025585297,20.19349438,0.020856425,1011437,5,IN,1
41,303.1104942,-56.78980383,24140.84055,24614.31266,0.022039898,-0.055821266,0.716562808,0.002400368,6.429919243,1,9.5e-05,0,0.006446515,-0.024673806,-0.019554203,0.025030085,0.006467436,-0.024769783,-0.019596314,0.025078651,0.005608401,0.037983181,22.69858179,0.030318731,21.63798871,0.027662573,21.50014368,0.003768208,20.25031456,0.003387854,20.74334578,0.001942288,19.47712276,0.001752605,20.46495317,0.002550136,19.08750629,0.002412008,20.17181145,0.002493777,18.895383,0.002221398,20.12541374,0.006114625,18.76981778,0.005155931,1014316,1,IN,1
15,303.1133896,-56.805409,24119.04884,24400.50197,0.112232089,0.102907293,0.620298147,0.048393965,10.3532486,1,0.000974969,0,-0.112286807,0.336604352,-0.019827965,0.026142075,0.0596564,0.066997483,-0.019844959,0.026228791,0.006179571,0.040688727,25.31051628,0.333767933,24.03235813,0.357949016,24.17902464,0.033288179,22.46760155,0.029376312,23.6364124,0.018643879,21.77158331,0.014619535,23.5181465,0.020845568,21.64232761,0.017751266,23.16887783,0.031814438,21.34569199,0.02626521,23.24586134,0.099837609,21.5411458,0.093725381,1008308,1,IN,1
23,303.1179025,-56.80807029,24085.31872,24364.2861,0.294793785,0.113075748,0.834009051,0.016697107,15.79491329,1,0.0,0,-0.060603504,0.352842461,-0.019906663,0.026171594,0.208667457,0.081734166,-0.019952327,0.026251227,0.006151715,0.039858185,23.60028917,0.070729545,23.02744247,0.066486073,23.52325532,0.01831164,22.59952626,0.015498777,23.09659854,0.01164755,21.55888434,0.009259743,22.61512522,0.009575754,21.26008916,0.008050958,22.24600468,0.013831958,20.82411171,0.011611548,22.33106136,0.04365608,21.39628409,0.036848905,1008283,1,IN,1
2,303.1227758,-56.80012526,24048.74894,24473.04789,-0.574449837,0.266038954,0.734898806,7.89e-05,7.28354311,1,0.103786915,0,-0.370912634,0.180509165,-0.019459656,0.02497077,-0.372226924,0.181387767,-0.019504411,0.025023494,0.006411267,0.040759733,19.37736677,0.004569217,18.24930591,0.004512553,17.93685874,0.002138091,16.58392612,0.002129496,17.08489809,0.001221068,15.6918662,0.001216518,16.77913345,0.002087071,15.27250399,0.002085019,16.4165276,0.001215705,15.00425752,0.001211148,16.33365546,0.000781512,14.88921596,0.000752931,1011398,1,IN,1
21,303.128618,-56.79831329,24004.9611,24497.85292,0.023849409,-0.196840897,0.793546796,6.07e-05,9.402187347,1,0.066184572,0,0.008797136,-0.117709699,-0.019379159,0.025040591,0.008793476,-0.11771062,-0.019423045,0.025092088,0.005959117,0.040972108,19.14913737,0.004473586,17.60126023,0.004413401,17.81506811,0.002134929,16.02503193,0.002125857,16.98864546,0.001219548,15.16447525,0.001214852,16.68978036,0.00208669,14.74508765,0.002084461,16.32944527,0.001214518,14.49242175,0.001209663,16.23958766,0.000774167,14.37813331,0.000743956,1011397,1,IN,1
