,MainID,ra_now,dec_now,Gmag
27,6471752039823954304,302.71549999544686,-56.77837550265736,15.351774
24,6471705448018715392,302.7820830835039,-56.777853939528434,15.41731
12,6471752486500673664,302.7687792196817,-56.75366043488548,16.269922
29,6471752486500545024,302.77357406507923,-56.74611423745528,16.530998
33,6471752039823955584,302.7080373885697,-56.78062871173925,16.8856
44,6471752035527817984,302.71097769643524,-56.786573426448754,17.006344
0,6471752452139153664,302.74902379907155,-56.76520725860759,17.639088
5,6471752383421330304,302.7616757331082,-56.768087852126285,17.733925
19,6471752654003147136,302.7548943354396,-56.744748913395334,17.762777
40,6471751966808339200,302.72072267015415,-56.78885015749809,18.20641
21,6471752413484958976,302.78722620716826,-56.76147422531846,18.558367
4,6471752379125221888,302.75167613040253,-56.76973034990976,18.616343
7,6471752001168090880,302.75426085110325,-56.773302127197965,18.788252
8,6471752069887579904,302.7334343244191,-56.759991047370185,18.855772
35,6471751971104474240,302.7286020233932,-56.79028010905688,18.904854
13,6471752482205525888,302.7709953475686,-56.75422602951172,18.943874
1,6471752452139153536,302.74826090480497,-56.76517882415477,18.953392
25,6471752276046016768,302.71455159315184,-56.75365373621645,19.091642
15,6471752039823952896,302.7261904864893,-56.777584507081556,19.344917
31,6471752654003150080,302.73589257319884,-56.74270308814494,19.42274
11,6471752276046007552,302.7222660093286,-56.762205501799805,19.495758
14,6471752035527830400,302.72103813909683,-56.772509592949966,19.880152
2,6471752452140808832,302.7521239671285,-56.76546298594013,20.014078
9,6471752001168087168,302.75304947210117,-56.77623221684944,20.026089
20,6471752654003146240,302.73587845878615,-56.74539286652973,20.044405
23,6471705443722594816,302.7784015014744,-56.78004052911913,20.167332
39,6471752482204452864,302.78426153182414,-56.7449294556574,20.284937
3,6471752069887575552,302.7440940512421,-56.76259426804887,20.332241
17,6471752417780122624,302.77855185203487,-56.75510082860193,20.382969
18,6471705448017770240,302.7829472744796,-56.77340908148556,20.460896
30,6471705448019473408,302.77628577197584,-56.78367553847514,20.593292
6,6471752074182742400,302.7371516757649,-56.77008180584678,20.654009
16,6471752658298297472,302.7500822062222,-56.74622247772522,20.923836
28,6471752039823490304,302.7116453092866,-56.77493215165739,21.030674
26,6471705070060894592,302.75192143698325,-56.78760590451986,21.03683
10,6471752452140106880,302.7652205270264,-56.75561015815612,21.059645
22,6471751971105255296,302.7289089108536,-56.783564998974946,21.113049
32,6471752654007017600,302.73084519504437,-56.742114055329544,21.134949
50,6471752585283671296,302.7904842167496,-56.742515847945484,21.590734
