,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,0.47,481591804,9,19,201059.76-564554.5,302.74885,-56.765226,320,42,57499.7045,0,0.834,,,,,,,18.7355,0.0954,18.5386,0.1378,18.8205,0.0806,17.4181,0.1578,17.3737,0.1266,17.6297,0.0499,16.9633,0.1547,16.4575,0.2201,17.1018,0.0395,16.6645,0.1333,16.2775,0.0298,16.7643,0.0207,16.0937,,15.5985,,16.6546,,6.34,481591805.0
1,6.0,481591805,22,3,201100.52-564555.5,302.75204,-56.765442,69,36,57817.8733,0,0.493,,,,,,,18.2931,0.3378,17.8782,0.1268,18.5698,0.1036,16.0384,0.1307,15.3786,0.0379,16.7114,0.0139,15.3862,0.1392,14.8045,0.0502,16.0972,0.0082,14.933,0.171,14.505,0.0755,15.5483,0.0116,14.6669,0.1382,14.1555,0.0412,15.2433,0.0128,6.34,481591804.0
2,13.64,1585660140,2,1,201058.61-564545.4,302.744087,-56.762662,36,36,58317.5416,0,0.775,,,,,,,,,,,,,,,,,,,20.1494,0.1251,20.0392,0.2094,20.1604,0.0825,19.3769,0.3252,18.946,0.1387,19.6339,0.0971,,,,,,,13.17,481591804.0
3,16.44,1585660144,10,3,201100.41-564610.6,302.751658,-56.769654,36,36,58369.0157,0,0.727,,,,,,,,,,,,,18.7747,0.0345,18.8034,0.1133,18.7907,0.0151,18.5122,0.0569,18.3666,0.1266,18.559,0.0203,18.341,0.0862,18.1387,0.1136,18.398,0.0305,18.4921,0.0624,18.4637,0.1679,18.5526,0.0649,14.02,1585660145.0
4,26.79,481591829,19,1,201102.80-564605.0,302.761621,-56.768076,36,36,57779.903,1,0.981,,,,,,,,,,,,,18.0602,0.0107,17.9859,0.0308,18.0674,0.0105,17.7241,0.0127,17.6698,0.0513,17.7297,0.0178,17.4973,0.0119,17.5432,0.0537,17.5126,0.0161,17.4418,0.0198,17.5181,0.0417,17.4327,0.0354,15.0,
5,30.45,1585660145,11,0,201101.02-564623.7,302.754178,-56.773296,36,36,58405.7849,0,0.972,,,,,,,,,,,,,19.1115,0.0181,19.2217,0.0337,19.1135,0.0173,18.8056,0.0185,18.9729,0.0727,18.8103,0.0185,18.624,0.0161,18.6788,0.0801,18.6319,0.0306,18.5565,0.0809,18.6933,0.1163,18.5943,0.0667,10.71,1585660143.0
6,36.31,1585660136,11,0,201056.03-564535.7,302.733414,-56.759967,36,36,58405.7849,0,0.969,,,,,,,,,,,,,19.1956,0.0212,19.1733,0.051,19.1808,0.0236,18.8927,0.0159,18.8661,0.0462,18.8866,0.02,18.7225,0.0402,18.3459,0.0472,18.654,0.0401,18.5879,0.0519,18.718,0.0797,18.6687,0.0709,6.75,1585660135.0
7,39.04,1585660135,1,0,201056.22-564529.1,302.734182,-56.758141,36,36,58317.5438,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,19.3072,0.2331,18.6456,0.1147,19.3666,0.0769,,,,,,,6.75,1585660136.0
8,39.91,1585660143,6,0,201100.73-564634.1,302.752968,-56.776197,36,36,58322.3531,0,0.66,,,,,,,,,,,,,20.2376,0.0506,20.4632,0.1142,20.2874,0.0596,20.0591,0.0157,20.3893,0.1056,20.1276,0.0721,19.851,0.047,20.0422,0.1737,19.8708,0.1189,,,,,,,10.71,1585660145.0
9,40.91,2686745105,0,16,201057.30-564630.7,302.73876,-56.775205,36,36,59019.614,0,0.348,,,,,,,,,,,,,18.4504,,22.5067,,19.3862,,,,,,,,,,,,,,,,,,,,8.71,2686745106.0
