,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
74,302.708058,-56.75569492,27160.85783,25071.49933,0.609210253,-0.133431375,0.803458214,0.002191479,7.353722572,1,0.037775748,0,0.428814987,-0.08631193,-0.015376122,0.036275148,0.429316312,-0.086517498,-0.015367038,0.03629721,0.013120406,0.032951549,22.14705545,0.014840594,20.69809548,0.012606339,21.18449632,0.003293075,19.61880695,0.002904526,20.79767855,0.002098873,19.23161726,0.00179905,20.6933649,0.0028411,19.01596939,0.002546693,20.49251551,0.003445297,18.86592262,0.002803739,20.46958755,0.00852118,18.79965693,0.006561012,1015192,3,IN,1
70,302.7096427,-56.76644595,27147.28719,24925.03059,0.80617249,0.285566539,0.993430436,0.011005961,47.80062103,1,0.917031654,0,0.799276628,0.28739133,-0.014532332,0.033956489,0.78954792,0.280885309,-0.014560862,0.034036718,0.01397113,0.029891285,28.48766301,4.573501419,21.73911414,0.15799048,23.5823529,0.020653797,19.54652117,0.008347311,23.50975754,0.01755254,19.44671975,0.007174083,23.45667731,0.022596192,19.25747806,0.008880493,23.09979442,0.034302048,18.83551629,0.013116686,24.18309672,0.264992253,19.25503687,0.070257847,1015218,3,IN,1
68,302.7113645,-56.78822253,27133.326,24626.41067,0.474139363,0.589244962,0.960106313,0.128845125,31.87677002,1,0.980030101,0,-0.157338631,0.145524563,-0.016497157,0.026032906,0.450273603,0.551042616,-0.016538722,0.026094612,0.013615869,0.027217708,,21.17748791,21.92415761,0.113653975,26.01472732,0.187692468,21.94222324,0.068235891,26.33194385,0.209566049,20.91549169,0.02418951,26.27387977,0.285646566,20.68742616,0.030083756,25.41386712,0.268755581,20.00298048,0.030205816,28.17523992,9.984538834,18.79396538,0.029797581,1012924,3,IN,1
66,302.7136499,-56.76589304,27118.04798,24932.16283,0.63428688,0.574660301,0.972840369,0.000635184,15.84648991,1,0.2958456,0,0.603908258,0.531068546,-0.014503829,0.034322768,0.601501465,0.536852956,-0.014540951,0.0344042,0.014355272,0.03042913,21.04540051,0.006466838,18.32663837,0.005057096,20.40549743,0.002543313,17.47715448,0.002214632,20.27000368,0.00163371,17.38176905,0.001311394,20.24591335,0.002466279,17.24355148,0.002162564,19.9395813,0.002313215,16.99463641,0.001514453,19.93260306,0.005474346,16.83286051,0.002502345,1015187,3,IN,1
60,302.722087,-56.74307277,27056.61192,25244.90934,0.650953531,0.423325539,0.574739277,0.016894158,5.251951694,1,0.000525239,0,0.319511551,0.228420016,-0.011515778,0.034714915,0.319152772,0.228425682,-0.011500168,0.034736425,0.014697431,0.027916225,23.27392723,0.042700839,22.7715116,0.041393754,22.82132368,0.01037489,22.275376,0.009612355,22.39957321,0.00698293,21.78833566,0.006442712,22.3217714,0.008315469,21.66364109,0.007687168,22.22538546,0.014897322,21.60185471,0.013963135,22.19595342,0.04251413,21.46913386,0.039104408,1017848,3,IN,1
57,302.7235223,-56.77886754,27042.93213,24755.01099,0.017413875,0.468213171,0.56333971,0.180997774,9.520866394,1,-0.001394042,0,-0.252639329,-0.194272705,-0.015758539,0.029680094,-0.007424175,0.222150564,-0.015503588,0.029685952,0.012849826,0.026858955,25.68517316,0.322660307,22.30015359,0.205989226,25.30036458,0.092954568,21.96654016,0.079470914,25.0381203,0.064877303,21.60026442,0.040803453,25.11634833,0.09881542,21.81217543,0.100044574,24.8319912,0.156911969,21.39502661,0.118420155,22.84694228,0.073830377,19.0511019,0.027472386,1008566,3,IN,1
55,302.7255405,-56.78346853,27027.4253,24692.12159,-0.9130463,-0.038175948,0.818392634,0.05385907,14.60124111,1,0.172332181,0,-0.549225927,-0.024774574,-0.015617014,0.029606422,-0.694043159,0.010917694,-0.0156589,0.029679155,0.012266382,0.026747701,26.00770182,0.427846688,23.5976305,0.483048037,25.28663813,0.092785536,22.24743375,0.071538476,24.48480212,0.037994338,21.33472718,0.027670818,24.44594807,0.05269162,21.3838682,0.047672088,24.25833166,0.092023921,21.41121901,0.093049207,22.57295885,0.056777139,18.25576711,0.0125602,1014657,3,IN,1
52,302.7271939,-56.74037515,27018.49415,25282.06112,0.751096666,-0.437178016,0.846776187,0.003930734,6.748248577,1,0.040562905,0,0.592940541,-0.339424688,-0.011237078,0.033768518,0.593206048,-0.339453936,-0.011269646,0.03372924,0.012914097,0.02566632,23.84994507,0.06495403,22.58667523,0.049152404,22.94346132,0.011528431,21.54731936,0.008783329,21.40517777,0.003086687,20.03296068,0.002565469,20.75132323,0.002893463,19.25483059,0.002642553,20.22578531,0.002749875,18.80661116,0.002382815,20.02545902,0.005991412,18.5486348,0.005016163,1017989,3,IN,1
50,302.7289106,-56.78355931,27002.14809,24691.02743,-0.273927629,0.536235452,0.578275502,0.000467026,4.786516666,1,1.7e-05,0,-0.141215713,0.27933272,-0.014255404,0.03150866,-0.141176194,0.279389143,-0.014246658,0.031527076,0.012277152,0.026599378,20.81519679,0.005762424,20.28838869,0.005633307,19.48036438,0.002238147,18.80180917,0.002209891,18.67887836,0.00126504,17.96549756,0.001250669,18.37557618,0.002110006,17.58384683,0.002102306,18.08496069,0.001284792,17.34913232,0.001266066,18.01822281,0.001256825,17.24262565,0.001159074,1014653,3,IN,1
46,302.7342458,-56.7581546,26964.15018,25039.00199,-0.467082977,-0.211649701,0.340242863,0.007645014,3.957150221,1,0.332882785,0,-0.139910175,-0.031131767,-0.013351366,0.035319347,-0.140562013,-0.031792346,-0.013386727,0.035286631,0.011787752,0.029648684,24.37409303,0.10740502,24.27227239,0.110793473,22.58980167,0.008673388,22.25986892,0.008402393,20.9148138,0.002363609,20.62044771,0.002302618,20.07427791,0.002452019,19.73581642,0.002419582,19.51235574,0.001919439,19.19708709,0.001869451,19.2820335,0.003255974,18.92176143,0.003106094,1015190,3,IN,1
