,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,19.17,1585661159,3,0,201204.26-564527.0,303.017696,-56.757519,36,37,58317.8971,0,0.561,,,,,,,,,,,,,20.0485,0.2058,19.8957,0.0822,20.3939,0.0538,19.7593,0.2667,19.7401,0.1497,19.9628,0.0714,,,,,,,,,,,,,15.0,
1,22.18,1585661160,6,0,201201.71-564551.4,303.007131,-56.764331,36,43,58441.5512,0,0.901,,,,,,,,,,,,,,,,,,,19.9748,0.0456,20.069,0.0926,20.0331,0.0554,19.0413,0.0222,19.1802,0.0749,19.0526,0.0438,18.7057,0.0268,19.1115,0.1734,18.8123,0.1084,15.0,
2,24.63,1585661161,13,0,201207.10-564536.6,303.029576,-56.760233,36,36,58434.3967,0,0.639,,,,,,,,,,,,,19.1601,0.1771,18.7123,0.0697,19.5931,0.0454,18.6013,0.1806,18.1928,0.0637,19.0162,0.0359,18.2539,0.1305,17.872,0.0597,18.5934,0.0312,17.9928,0.1866,17.8387,0.232,18.4144,0.0501,15.0,
3,30.9,481592516,25,3,201205.86-564614.4,303.024352,-56.770697,81,36,57972.3488,0,0.981,,,,,,,18.6386,0.2084,18.7709,0.1886,18.7623,0.1268,17.9189,0.0313,17.5697,0.1039,18.1002,0.0689,17.5747,0.0185,17.4931,0.0225,17.5821,0.0105,17.3781,0.019,17.1606,0.118,17.433,0.0453,17.2928,0.019,17.1737,0.0518,17.3008,0.0187,6.66,1585661164.0
4,31.06,1585661164,10,3,201206.56-564611.1,303.027315,-56.769812,36,36,58422.3623,0,0.186,,,,,,,,,,,,,18.9285,0.3056,18.6082,0.0736,19.302,0.0356,18.4238,0.1546,18.0436,0.1126,18.7122,0.0176,17.919,0.1575,17.4995,0.0418,18.2704,0.0243,17.7648,0.1583,17.504,0.0721,18.02,0.0485,6.66,481592516.0
5,41.89,481592514,35,3,201200.42-564519.2,303.001744,-56.755383,36,36,58210.6584,7,0.988,16.1535,0.0144,16.2027,0.0186,16.1534,0.0178,15.7929,0.014,15.8212,0.0238,15.7903,0.0156,14.8694,0.0067,14.8656,0.0068,14.8731,0.0069,14.6245,0.0077,14.6286,0.0074,14.627,0.0078,14.4874,0.0064,14.4851,0.0111,14.4889,0.0071,14.457,0.0088,14.4062,0.0475,14.4694,0.0114,15.0,
6,42.61,481592511,25,2,201159.23-564539.1,302.996726,-56.760929,36,37,58161.5707,16,0.621,,,,,,,18.2318,0.1389,18.3787,0.1121,18.4694,0.0511,15.8466,0.1332,15.4262,0.0214,16.4579,0.0076,15.2297,0.1493,14.8464,0.0598,15.8365,0.0096,14.6838,0.1143,14.3142,0.0172,15.2809,0.0078,14.4137,0.1081,14.0135,0.0247,14.96,0.0093,15.0,
7,48.81,481592512,23,0,201204.59-564634.8,303.019105,-56.776388,36,38,57991.0531,1,0.983,,,,,,,,,,,,,18.0198,0.0114,18.0168,0.0152,18.0204,0.0102,17.592,0.0126,17.607,0.0203,17.589,0.0106,17.305,0.0118,17.3324,0.0158,17.3022,0.0114,17.1933,0.0219,17.2113,0.027,17.1662,0.0193,15.0,
8,50.19,481592515,21,0,201209.66-564521.2,303.040148,-56.755951,36,36,57992.6015,0,0.982,,,,,,,,,,,,,18.7296,0.0155,18.7512,0.0434,18.7277,0.0186,18.0612,0.0129,18.0758,0.0446,18.0519,0.0171,17.602,0.0134,17.6432,0.033,17.5954,0.0132,17.4466,0.0177,17.4523,0.0412,17.4241,0.0313,15.0,
9,51.42,481592507,26,2,201200.90-564503.0,303.003727,-56.750905,36,36,58193.2245,13,0.996,13.6563,0.0129,13.6522,0.0127,13.6595,0.0161,13.2685,0.0132,13.2646,0.0129,13.2705,0.0144,12.3648,0.0145,12.3601,0.0141,12.3667,0.0158,12.1502,0.0147,12.1498,0.0139,12.1521,0.0168,12.0581,0.0083,12.0567,0.0082,12.0603,0.0093,12.0566,0.0083,12.059,0.008,12.0559,0.0091,15.0,
