,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
43,302.8197222,-56.75415299,26323.02427,25097.07625,0.238616586,0.012163723,0.675317824,0.006548204,5.247431278,1,5.36e-06,0,0.134258385,0.012799191,-0.015245254,0.044147576,0.134936273,0.0119659,-0.015278994,0.044091359,0.006839588,0.029693988,23.01584428,0.034468854,22.15233011,0.031657199,22.70344725,0.009021522,21.91000022,0.007925046,21.52097021,0.003676812,20.56956983,0.003235964,21.03741741,0.003443831,20.00304609,0.003160882,20.66766224,0.004054159,19.68622849,0.003663558,20.52131547,0.010040997,19.46167211,0.009020911,1015057,7,IN,0
41,302.8207439,-56.76010115,26315.00236,25015.70211,0.117484935,0.053837735,0.726639748,0.004632105,6.099768162,1,0.2340257,0,0.068220579,0.046599505,-0.016420857,0.039143636,0.06823317,0.046617199,-0.01645573,0.039073396,0.0078577,0.029889584,22.71131382,0.026159731,21.82467117,0.023281363,22.01243381,0.005241739,20.84682344,0.004587969,21.37628957,0.003060086,20.16153282,0.002634408,21.12008137,0.003678138,19.77276363,0.003227654,21.0411578,0.005601303,19.82305103,0.004834005,21.58812144,0.026848617,20.16841735,0.023415549,1015055,7,IN,0
40,302.8217461,-56.7397019,26308.72486,25294.95368,0.170787409,-0.12728104,0.405526161,0.021266701,4.054376125,1,0.046035942,0,0.049616348,-0.021151417,-0.015169203,0.034601182,0.049831379,-0.020578342,-0.01519963,0.034526501,0.009805,0.024149382,23.46773235,0.048326279,23.29387981,0.047809072,23.088707,0.012920412,22.76095478,0.012435095,22.22191074,0.005858737,21.87609739,0.005641056,21.45447952,0.00441932,21.07098084,0.004280559,21.09621407,0.005773711,20.74249672,0.005609433,21.03035023,0.016100722,20.68588182,0.015642913,1018087,7,IN,0
39,302.823553,-56.73964761,26295.16333,25295.75753,-0.25649038,0.181745648,0.530520916,0.012780118,4.205839634,1,0.009889709,0,-0.138895021,0.109894261,-0.015269196,0.03458041,-0.137624323,0.110431701,-0.015299729,0.034505673,0.009706062,0.024125106,22.83781067,0.027335214,22.57360875,0.02678794,22.49376243,0.008086886,22.0728226,0.007662247,21.94969664,0.004672492,21.47669385,0.004345485,21.53695105,0.004635107,21.0000375,0.004285928,21.35702953,0.007369776,20.8684331,0.006773374,21.30377476,0.020802554,20.77340481,0.018780033,1018086,7,IN,0
36,302.8243953,-56.75691574,26287.78686,25059.41671,-0.667761028,-0.794534028,0.632865906,0.020705916,5.190557003,1,0.404221736,0,-0.355594743,-0.399681648,-0.017156982,0.041997699,-0.356555223,-0.401103914,-0.017193096,0.041935343,0.007229002,0.030325199,23.65236551,0.063571538,23.18682154,0.064464254,23.4846486,0.019396911,22.73413932,0.017829423,22.70957293,0.009938646,21.9340117,0.009127397,22.15608446,0.008108222,21.3404172,0.007493806,22.01839151,0.013393656,21.24714295,0.012473423,21.823708,0.033300013,20.99470369,0.030009694,1015069,7,IN,0
35,302.8259945,-56.7570544,26275.77894,25057.57199,-0.580176353,-0.358655453,0.67724812,0.018023558,5.705989361,1,0.176099189,0,-0.376800661,-0.21539033,-0.016979185,0.044636263,-0.377231658,-0.215855032,-0.017014094,0.044582028,0.007129596,0.03033033,23.7032584,0.066483583,23.29629591,0.064237361,23.5308742,0.020063798,22.88568276,0.017741373,22.56976764,0.008704521,21.88296801,0.007641999,22.36750426,0.009692294,21.61580915,0.008459879,22.13796457,0.015096462,21.47289527,0.013572194,22.22123786,0.04807045,21.32267231,0.04938978,1015068,7,IN,0
32,302.8271219,-56.73367762,26268.73187,25377.59475,0.074046776,-0.271482348,0.841624916,0.016219521,10.46555233,1,0.002313271,0,0.042039897,-0.189439002,-0.014149659,0.031149595,0.042132176,-0.188920587,-0.01417858,0.031061966,0.010310458,0.02388401,25.01715319,0.194589165,24.03891236,0.163098557,23.7524036,0.023546187,22.17146769,0.018941297,23.1270975,0.012740641,21.2237007,0.009735792,22.89681715,0.014206899,20.85924284,0.010751429,22.71834553,0.025791889,20.8999979,0.020627769,22.79819039,0.081913505,20.97576355,0.063535348,1017426,7,IN,0
31,302.8294122,-56.72468202,26252.07528,25500.80365,0.434581548,0.263169169,0.812938213,0.201661497,15.18331146,1,0.109060612,0,0.03859174,0.180927204,-0.015440058,0.028509452,0.337265819,0.195023909,-0.015375547,0.028503295,0.010706854,0.025411787,,0.513960934,inf,,27.02457545,0.480065024,23.10761124,0.164395616,25.50004551,0.110046454,21.84001762,0.05014343,25.4916316,0.148467806,21.51095971,0.055214043,25.74267984,0.422355375,21.55318979,0.119812174,25.52184511,1.025756964,20.96754795,0.20771645,1019445,7,IN,0
30,302.8412631,-56.76144841,26160.95346,24997.92066,0.384803832,0.408512354,0.856957436,0.000819358,8.227920532,1,2.45e-06,0,0.296602185,0.326769222,-0.017318564,0.038196562,0.296743393,0.326904744,-0.017315023,0.038223289,0.007553991,0.037921341,21.55202893,0.010580742,20.50819078,0.009099378,20.5170254,0.002579606,18.9449609,0.00236291,19.85885269,0.001458079,18.22409091,0.001333933,19.65318361,0.002273367,17.94099086,0.002170176,19.34484835,0.001760852,17.75493989,0.001506503,19.32252046,0.003329279,17.72315715,0.002392454,1016343,7,IN,0
29,302.848626,-56.74287637,26106.75412,25252.36748,-0.498187542,-0.172847092,0.712226927,0.000513814,5.812914848,1,0.034160681,0,-0.315981951,-0.094567366,-0.017758171,0.037299868,-0.316296905,-0.094892196,-0.017798623,0.037375983,0.003738825,0.033308891,20.94609773,0.006773571,19.91408319,0.006343446,19.71373852,0.002264042,18.52658792,0.002212718,18.94076619,0.001308486,17.74445896,0.001272862,18.6228999,0.00212769,17.34099614,0.002110946,18.34198998,0.001332625,17.12137391,0.001291839,18.26814007,0.001604476,16.95182728,0.001374765,1017385,7,IN,0
