,MainID,ra_now,dec_now,Gmag
9,6471754307566675200,302.8231324663492,-56.68814618071878,15.468053
43,6471754032688896896,302.84131037567937,-56.724637095755405,15.597742
1,6471752830097926784,302.80463558261,-56.703871352967404,15.845656
19,6471754376286152576,302.8168564078745,-56.68458315243062,16.099201
46,6471754032688758912,302.85532497586837,-56.717702173688224,16.795462
33,6471753654731654400,302.776093041947,-56.6924786602687,16.984453
12,6471754341926411264,302.83566556720933,-56.69163260276038,17.286299
38,6471753620371916928,302.76938650055024,-56.69878078937987,17.397804
39,6471754032688759808,302.8487640038556,-56.719787906821146,17.554148
5,6471754376286152704,302.8136254575347,-56.689527834012104,17.665136
6,6471752894521370368,302.7986648431465,-56.69254435158975,17.742125
45,6471752585283688448,302.79168254480186,-56.726312136027694,17.818958
44,6471753616075877632,302.76905526754507,-56.69274954878056,17.854065
22,6471754131471946368,302.84573035124345,-56.69526582867703,17.857153
27,6471754371990135040,302.81169568203734,-56.680851394334375,18.245064
32,6471754131471942272,302.85477440918936,-56.69876194844397,18.625837
56,6471754337630394624,302.8506111507087,-56.68059697703652,18.745731
23,6471754028392710912,302.8434059569864,-56.714022546351096,18.761282
41,6471754131471950464,302.8567395663927,-56.69093743954725,18.804575
13,6471752894525212928,302.7865336036892,-56.6966995179129,18.83497
18,6471754097112192512,302.843535760998,-56.710061036159516,19.165144
17,6471754101408241280,302.8306315623665,-56.71790166042717,19.183926
3,6471754097112197888,302.82835116237527,-56.705205684349835,19.192965
0,6471752825801885952,302.8074966935512,-56.69857236979212,19.214466
24,6471752795738188672,302.79535790470266,-56.719343657268105,19.234592
54,6471752860161603968,302.7706064715394,-56.71877405663321,19.257874
35,6471754028392709248,302.8525987835927,-56.71456870203024,19.263035
15,6471754303270648320,302.8291852898333,-56.68741479934528,19.292278
2,6471754303270628224,302.82317739511035,-56.70526285221656,19.406347
21,6471754371990127232,302.7982142388241,-56.68666301021795,19.514406
47,6471754341926408064,302.85326462177306,-56.6845058546446,19.518408
4,6471754101408241408,302.83738166190335,-56.70090525979478,19.617022
36,6471753620370265088,302.7701694472943,-56.69881297292298,19.695911
20,6471752898815749888,302.78904822769573,-56.69101284142046,19.790276
53,6471752795738189824,302.7859756605727,-56.726664555854775,19.812653
11,6471752898818160640,302.78649871440575,-56.69940000021183,19.835602
34,6471752860161611136,302.7761001471587,-56.71278977459145,20.008574
14,6471754131471937920,302.8447901659264,-56.70274135501073,20.010633
16,6471752830096985856,302.7981108239894,-56.71772731351185,20.242886
31,6471755127904922496,302.79852988233495,-56.68187470507862,20.322903
29,6471752864456729856,302.77470306477153,-56.70129648810527,20.385761
7,6471754371990594304,302.81788749959156,-56.68863837709089,20.558954
28,6471752795737247360,302.7948698104867,-56.721358680529946,20.863842
8,6471754307565735168,302.8273718528191,-56.690324858616165,20.873598
25,6471754341925717888,302.8312162396017,-56.68439495497565,20.969692
37,6471753654730957568,302.7782096509731,-56.6877874619717,21.08229
10,6471752623938929024,302.82306750542466,-56.716725879142196,21.123425
57,6471754032688062976,302.85724282331694,-56.72198515360649,21.124392
26,6471754032687822080,302.8498469803748,-56.71171626852607,21.259497
30,6471754337630387584,302.8408419075049,-56.68601246925555,21.392113
