,MainID,ra_now,dec_now,Gmag
29,6471758392079175040,302.6576516530377,-56.54609869935599,14.448819
16,6471759835188712960,302.7144676386355,-56.54430910954671,16.976711
47,6471758396375579520,302.6523960013537,-56.55699500638843,17.201643
15,6471759869548450048,302.6755386091953,-56.546991735758546,18.102938
30,6471770147406102784,302.6508329985369,-56.5388096654811,18.455336
24,6471760006987427328,302.7221282967869,-56.520697900639185,18.511938
33,6471759732109501952,302.7347102020056,-56.53919707621203,18.603018
28,6471771723658218496,302.6701749905901,-56.51353148994279,18.618372
13,6471759800828970752,302.68560647944815,-56.54894979065583,18.854233
32,6471771758017958528,302.69950781851406,-56.50890762322299,19.093513
5,6471759903908208768,302.7019557064576,-56.525343215909096,19.413883
0,6471759908204168064,302.6944021180766,-56.5325476007541,19.421286
14,6471760006987425536,302.71547490974393,-56.52210863099693,19.45567
31,6471759942563905408,302.7333371372669,-56.52731915606309,19.643303
10,6471760006987427968,302.7059590687026,-56.5204870275368,19.79159
34,6471771689298474624,302.64944814448364,-56.52054523667211,19.832556
27,6471759629030272384,302.7049153073626,-56.552820172754345,19.860012
11,6471759839484690560,302.7129329442311,-56.54148334230489,19.938715
9,6471759938267944192,302.71524608954206,-56.52730230296394,19.954615
23,6471759805123914368,302.69996772731287,-56.55252696831691,19.979843
12,6471759869548452864,302.6732407322707,-56.54369128895769,20.03065
26,6471771723658217472,302.67318190932644,-56.514095822367906,20.127132
6,6471759873845057280,302.68773987380007,-56.54153912299821,20.188677
22,6471759938270559360,302.7258248644036,-56.52492326823216,20.212008
2,6471759908202649344,302.69786374866686,-56.53247544923789,20.349813
18,6471759873844430208,302.6687596078454,-56.54548208706176,20.432678
8,6471771624875640704,302.66908563410084,-56.52653387584973,20.474766
46,6471771693593403008,302.6478817330769,-56.51129409395852,20.511753
1,6471759908203133824,302.6907952804241,-56.52979295630856,20.597675
25,6471759942562868480,302.72547229335225,-56.52319851682242,20.722855
17,6471759805124156928,302.69541407915153,-56.550175978228786,20.805285
35,6471760006988184704,302.72555130691006,-56.513118993768686,20.911442
4,6471759873843845888,302.67662814381157,-56.5322261885402,20.98938
19,6471759736404677888,302.7243244382478,-56.54021574579607,21.010494
7,6471760011282346624,302.7099466249415,-56.529190617410556,21.045668
20,6471771624874163712,302.6558872994405,-56.53041054220761,21.347866
3,6471759903908207104,302.6830879349398,-56.52898311519622,21.35017
21,6471759629029756416,302.7100807471819,-56.549810980584375,21.667734
