,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,5.69,481591411,39,0,201046.67-563157.0,302.69449,-56.532525,36,54,57993.9654,8,0.576,,,,,,,18.169,0.113,17.8535,0.0869,18.363,0.0397,15.9169,0.1037,15.4308,0.0417,16.4577,0.0076,15.2892,0.0969,14.8615,0.0445,15.8502,0.0073,14.7552,0.0966,14.3856,0.0241,15.3192,0.007,14.5308,0.0867,14.1337,0.0217,15.005,0.0083,15.0,
1,18.56,481591410,13,1,201045.13-563139.9,302.688061,-56.527758,36,50,58412.5368,0,0.652,,,,,,,,,,,,,19.856,0.0624,19.5469,0.2644,19.9022,0.0314,19.2286,0.0622,18.7234,0.1728,19.2358,0.0441,18.8152,0.0409,18.4821,0.1652,18.7908,0.0347,18.5719,0.1323,18.477,0.143,18.5281,0.0842,10.72,481591409.0
2,21.02,481591409,22,1,201043.93-563144.1,302.683165,-56.529014,36,71,57912.3197,0,0.619,,,,,,,,,,,,,18.6882,0.1233,18.3469,0.1697,18.945,0.0214,18.1166,0.0972,17.659,0.119,18.3284,0.0135,17.7132,0.0851,17.2942,0.0923,17.8589,0.0153,17.4205,0.0812,17.1304,0.0681,17.5615,0.0223,10.72,481591410.0
3,23.67,1585659517,8,3,201044.85-563218.7,302.686851,-56.53855,36,81,58409.0436,0,0.195,,,,,,,,,,,,,19.523,0.1116,19.551,0.1725,19.7067,0.0269,19.3088,0.1069,19.1773,0.2028,19.5125,0.0295,18.9608,0.3072,18.7374,0.1556,19.1936,0.0674,,,,,,,10.89,481591404.0
4,33.01,481591412,13,0,201048.46-563131.2,302.701936,-56.525331,36,43,58427.8531,0,0.956,,,,,,,,,,,,,20.1664,0.0254,20.3425,0.1222,20.1829,0.0391,19.4976,0.0197,19.564,0.0503,19.5154,0.0292,18.9547,0.0204,19.0476,0.0921,18.9991,0.04,18.6796,0.0841,18.7267,0.1406,18.6607,0.0707,15.0,
5,33.34,481591404,35,2,201045.05-563229.4,302.687749,-56.541535,36,50,57904.8989,3,0.624,,,,,,,,,,,,,17.7555,0.0765,17.2438,0.0592,17.9419,0.0098,17.0142,0.0758,16.5696,0.0323,17.2476,0.0092,16.5058,0.0751,16.0256,0.0388,16.7153,0.0127,16.2027,0.0692,15.7851,0.0413,16.4131,0.0112,10.89,1585659517.0
6,43.49,1585659533,1,2,201050.78-563138.9,302.711589,-56.527557,36,36,58346.4009,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.817,0.4878,15.4803,0.0949,17.4837,0.0545,7.34,1585659534.0
7,49.42,1585659532,1,0,201051.10-563131.3,302.712944,-56.525442,36,36,58346.3995,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,16.4236,0.458,14.7913,0.0261,18.1195,0.0459,,,,,,,7.96,1585659534.0
8,49.66,1585659515,1,0,201040.59-563135.4,302.669099,-56.52653,36,36,58317.5438,0,0.458,,,,,,,,,,,,,,,,,,,,,,,,,19.9256,0.0238,20.5013,0.265,19.9586,0.1293,,,,,,,15.0,
9,50.4,481591413,12,0,201048.34-563110.4,302.701209,-56.51956,36,36,58418.0482,0,0.504,,,,,,,,,,,,,19.6315,0.0895,19.4727,0.1157,19.7429,0.0294,19.0347,0.0909,18.7541,0.0449,19.1703,0.0226,18.5961,0.0899,18.5166,0.0592,18.6993,0.046,18.418,0.175,18.2471,0.2709,18.5495,0.1357,9.96,481591414.0
10,50.6,1585659534,7,0,201051.66-563138.0,302.715246,-56.527251,36,36,58321.8191,0,0.811,,,,,,,,,,,,,20.2383,0.0702,20.2752,0.1352,20.2291,0.0921,19.8669,0.0362,20.0512,0.0654,19.8948,0.0427,19.8949,0.0318,19.9885,0.166,19.9461,0.1283,,,,,,,7.34,1585659533.0
11,52.01,481591414,6,0,201049.42-563113.9,302.705969,-56.520435,36,53,58322.8792,0,0.893,,,,,,,,,,,,,,,,,,,20.0191,0.0252,20.1452,0.0955,20.0537,0.056,19.1552,0.0347,19.3079,0.1369,19.1636,0.0459,18.8107,0.0391,19.3116,0.2491,18.9411,0.1202,9.96,481591413.0
12,53.08,1585659536,5,0,201051.11-563229.1,302.712926,-56.541437,39,36,58320.5352,0,0.561,,,,,,,,,,,,,20.3609,0.0261,20.7558,0.1349,20.3643,0.052,19.9015,0.0498,20.1273,0.0923,19.9533,0.0513,19.6221,0.0441,19.9615,0.1588,19.6302,0.0969,,,,,,,10.58,481591415.0
13,54.23,1585659516,5,0,201041.59-563237.1,302.673252,-56.543675,39,36,58320.5352,0,0.499,,,,,,,,,,,,,20.573,0.0456,20.6915,0.0998,20.6848,0.068,20.1138,0.0492,20.2756,0.1689,20.1618,0.0613,19.7442,0.0464,19.7935,0.1631,19.7318,0.1056,,,,,,,10.63,1585659513.0
14,56.45,1585659535,5,1,201050.45-563239.8,302.710179,-56.544407,98,36,58320.5352,0,0.661,,,,,,,,,,,,,20.2734,0.0315,20.5121,0.1143,20.2664,0.0481,19.8053,0.0661,19.9852,0.108,19.783,0.0446,19.4458,0.1384,19.4726,0.1595,19.3929,0.0789,,,,,,,8.45,481591415.0
15,60.28,481591407,13,0,201044.55-563256.1,302.685584,-56.548934,36,36,58412.5368,0,0.971,,,,,,,,,,,,,19.2059,0.0209,19.2864,0.0663,19.2282,0.0269,18.8669,0.0114,18.9448,0.0681,18.8751,0.0184,18.6438,0.028,18.6749,0.0422,18.648,0.0325,18.5356,0.0441,18.6345,0.1182,18.5578,0.0644,15.0,
16,60.42,481591500,10,0,201051.72-563119.6,302.71545,-56.522086,36,55,58392.5555,1,0.903,,,,,,,,,,,,,19.9102,0.0384,19.8532,0.1173,19.9217,0.0315,19.4957,0.0279,19.6028,0.0561,19.5157,0.0293,19.1781,0.0571,19.2733,0.1133,19.2165,0.0773,,,,,,,13.07,1585659532.0
17,61.08,481591406,21,0,201042.10-563248.9,302.675485,-56.546969,36,49,57958.9835,0,0.982,,,,,,,,,,,,,18.5342,0.0112,18.5938,0.0191,18.5334,0.0125,18.1,0.0097,18.1481,0.0224,18.1055,0.0121,17.8219,0.0113,17.9151,0.0294,17.8293,0.015,17.6777,0.0171,17.6839,0.0412,17.7112,0.031,12.66,1585659516.0
18,61.91,481591415,45,0,201051.46-563239.3,302.71443,-56.544256,36,36,58027.7083,0,0.983,18.3749,0.1085,18.7367,0.0998,18.4,0.1048,18.2325,0.0234,18.3899,0.0798,18.2535,0.0366,17.311,0.0078,17.3193,0.0115,17.3093,0.0082,17.0002,0.008,17.0151,0.015,17.0007,0.0086,16.7812,0.0082,16.8176,0.0175,16.7881,0.0096,16.6967,0.0098,16.7552,0.0181,16.7081,0.0124,8.45,1585659535.0
19,64.64,1585659513,1,0,201040.53-563243.3,302.668859,-56.545364,36,36,58317.5438,0,0.673,,,,,,,,,,,,,,,,,,,,,,,,,19.6325,0.068,19.7491,0.1417,19.5896,0.0935,,,,,,,10.63,1585659516.0
20,71.49,481591403,17,0,201037.40-563149.3,302.655823,-56.530388,36,47,58202.2916,0,0.625,,,,,,,,,,,,,18.9913,0.1038,18.7095,0.13,19.1694,0.0181,18.3962,0.0919,18.1098,0.0563,18.5479,0.0152,18.0549,0.0908,17.7332,0.0639,18.037,0.0247,17.6816,0.0705,17.3596,0.0823,17.7717,0.029,15.0,
21,72.68,481591416,31,0,201050.54-563259.8,302.71027,-56.549899,65,72,57927.1419,0,0.514,,,,,,,,,,,,,17.5491,0.1726,16.8169,0.073,18.1422,0.014,16.8697,0.1489,16.4382,0.0365,17.6758,0.0111,16.7053,0.1157,16.1768,0.0378,17.2382,0.013,16.5035,0.1086,16.062,0.0541,16.9346,0.0145,14.8,1585659524.0
22,73.29,1585659666,2,0,201054.20-563129.5,302.725833,-56.524877,42,36,58317.5416,0,0.525,,,,,,,,,,,,,,,,,,,20.2207,0.0457,20.4934,0.1565,20.3293,0.0969,19.7573,0.0473,19.9037,0.1664,19.9025,0.1234,,,,,,,6.1,1585659665.0
23,73.67,1585659523,7,0,201047.99-563308.7,302.699948,-56.552468,36,58,58321.8191,0,0.62,,,,,,,,,,,,,20.2462,0.0431,20.44,0.1547,20.2973,0.0428,20.0419,0.0299,20.5256,0.117,20.0673,0.0495,19.7666,0.0333,19.9127,0.1841,19.7628,0.1087,,,,,,,9.92,1585659524.0
24,74.02,1585659511,4,0,201037.28-563213.8,302.655306,-56.537186,47,100,58317.8088,0,0.608,,,,,,,,,,,,,20.453,0.0387,20.412,0.1044,20.4385,0.0553,20.0143,0.144,20.272,0.181,20.0012,0.0729,19.8387,0.0716,19.8316,0.1558,19.7754,0.1099,,,,,,,10.68,481591401.0
25,74.06,481591501,19,0,201053.32-563114.4,302.722117,-56.520678,36,69,58127.1095,0,0.979,,,,,,,,,,,,,18.9356,0.0126,18.9908,0.0285,18.9335,0.0156,18.5158,0.0106,18.5433,0.0229,18.5219,0.0148,18.2511,0.0212,18.0978,0.2428,18.2428,0.0354,18.1085,0.0537,18.265,0.106,18.1087,0.0708,11.12,1585659665.0
26,74.87,1585659665,1,0,201054.08-563123.5,302.725334,-56.523206,36,36,58317.5438,0,0.434,,,,,,,,,,,,,,,,,,,,,,,,,19.8073,0.0515,20.0482,0.2209,19.8138,0.114,,,,,,,6.1,1585659666.0
27,76.01,1585659459,2,0,201041.55-563050.4,302.673111,-56.514044,52,36,58317.5388,0,0.646,,,,,,,,,,,,,20.4767,0.0411,20.5644,0.1116,20.5053,0.0924,20.1883,0.0301,20.4668,0.1747,20.204,0.0871,,,,,,,,,,,,,6.11,481591365.0
28,77.49,1585659524,6,0,201049.19-563309.9,302.70492,-56.552762,36,39,58320.2152,0,0.758,,,,,,,,,,,,,20.4943,0.0402,20.7864,0.2908,20.5065,0.0587,19.9284,0.0238,20.1741,0.0865,19.9513,0.0449,19.508,0.0334,19.8772,0.1722,19.5592,0.0911,,,,,,,9.92,1585659523.0
29,80.59,481591365,15,2,201040.83-563048.5,302.670186,-56.513516,36,54,58277.742,2,0.975,,,,,,,,,,,,,19.0196,0.0276,18.93,0.0625,19.0307,0.0287,18.619,0.0178,18.5644,0.067,18.6416,0.0265,18.3917,0.0238,18.3893,0.0588,18.3798,0.0221,18.3126,0.0351,18.2798,0.0876,18.2988,0.0459,6.11,1585659459.0
30,82.3,481591408,10,0,201044.86-563318.8,302.686841,-56.555232,36,49,58392.5555,0,0.481,,,,,,,,,,,,,19.2836,0.1646,19.1236,0.1033,19.7057,0.0437,19.0842,0.132,19.0575,0.1363,19.4248,0.0273,18.7941,0.148,18.7421,0.0752,19.0877,0.0771,,,,,,,15.0,
31,83.22,481591402,53,0,201037.83-563245.7,302.657655,-56.546076,36,36,58131.8848,9,0.987,17.5666,0.0225,17.6366,0.0483,17.5628,0.0246,17.1243,0.0145,17.152,0.0243,17.1317,0.0182,15.0034,0.0064,15.0057,0.0062,15.0006,0.0063,14.4479,0.0065,14.4532,0.0064,14.4469,0.0068,14.0991,0.0057,14.1066,0.0056,14.1008,0.0065,13.9313,0.0069,13.9428,0.0071,13.9331,0.0076,15.0,
32,84.17,481591401,10,1,201036.20-563219.5,302.650769,-56.53878,36,36,58228.5291,0,0.979,,,,,,,,,,,,,18.9058,0.0243,18.9116,0.0428,18.9082,0.0267,18.4556,0.0191,18.4209,0.0304,18.4648,0.0188,18.1974,0.0291,18.2298,0.1182,18.1927,0.0267,18.0629,0.0516,17.9461,0.1564,18.0386,0.0473,10.68,1585659511.0
33,84.74,481591502,9,0,201055.99-563138.3,302.73324,-56.527299,36,51,58322.8822,0,0.694,,,,,,,,,,,,,20.1182,0.038,20.1037,0.1054,20.1075,0.0598,19.6179,0.0306,19.5133,0.0973,19.61,0.0337,19.2525,0.0401,19.3142,0.0635,19.2686,0.05,,,,,,,15.0,
34,86.59,481591459,11,0,201047.90-563031.9,302.699493,-56.508866,58,36,58386.2853,0,0.958,,,,,,,,,,,,,19.3473,0.021,19.3597,0.0875,19.3625,0.0219,19.1079,0.0165,19.0654,0.0547,19.1196,0.0218,19.0368,0.0187,19.2118,0.0711,19.1079,0.0437,,,,,,,10.71,481591458.0
35,88.73,481591417,16,0,201056.32-563221.0,302.734662,-56.53918,36,61,58094.6636,0,0.977,,,,,,,,,,,,,19.0562,0.0194,19.0386,0.0913,19.0631,0.0271,18.5732,0.0141,18.5373,0.0263,18.5721,0.016,18.2935,0.015,18.2964,0.044,18.2894,0.0235,18.1811,0.0385,18.2134,0.0607,18.1937,0.0385,11.1,481591418.0
36,93.46,1585659540,1,0,201055.89-563242.1,302.732887,-56.545028,36,36,58317.5395,0,0.53,,,,,,,,,,,,,,,,,,,19.9791,0.2605,19.5832,0.1152,20.1933,0.0861,,,,,,,,,,,,,12.61,481591418.0
37,93.66,481591364,11,0,201038.21-563049.2,302.659116,-56.513676,79,44,58427.1849,0,0.559,,,,,,,,,,,,,19.981,0.0956,19.8493,0.2069,20.0842,0.0361,19.5371,0.0726,19.4204,0.0715,19.5771,0.0308,19.1577,0.0964,19.0945,0.0766,19.1781,0.0465,18.8051,0.0691,18.9466,0.1519,18.7739,0.1177,11.83,1585659456.0
38,94.26,1585659446,7,0,201035.88-563113.8,302.649436,-56.520522,47,36,58321.8191,0,0.784,,,,,,,,,,,,,20.1461,0.0239,20.1166,0.1224,20.1415,0.0376,19.8499,0.0606,19.859,0.1399,19.8227,0.0826,19.4712,0.132,19.2955,0.163,19.6045,0.0951,,,,,,,15.0,
39,95.35,481591418,20,0,201056.75-563231.6,302.736401,-56.542111,36,63,57906.2004,0,0.478,,,,,,,,,,,,,18.6513,0.1001,18.338,0.1103,18.8248,0.0191,18.1238,0.1169,17.7491,0.0954,18.3186,0.0141,17.8065,0.0797,17.5419,0.0767,17.9394,0.0161,17.5634,0.083,17.2804,0.064,17.6958,0.0246,11.1,481591417.0
40,95.73,481591458,16,0,201047.38-563021.8,302.697397,-56.506125,36,46,58282.221,0,0.713,,,,,,,,,,,,,18.8747,0.1322,18.6225,0.129,19.1507,0.018,18.2641,0.1263,17.8975,0.071,18.5895,0.0156,17.8687,0.1106,17.5393,0.0556,18.1232,0.0185,17.6195,0.1317,17.1642,0.0661,17.8717,0.0299,10.71,481591459.0
41,96.35,1585659605,2,0,201051.18-563030.8,302.713234,-56.508561,66,48,58317.5416,0,0.498,,,,,,,,,,,,,,,,,,,20.3867,0.1221,20.5323,0.1093,20.4461,0.1072,19.8175,0.0779,19.6274,0.1773,19.759,0.1086,,,,,,,15.0,
42,97.72,1585659508,11,0,201034.19-563201.6,302.642455,-56.53382,36,36,58468.3461,0,0.923,,,,,,,,,,,,,20.3272,0.0569,20.2607,0.223,20.2925,0.0491,19.503,0.0246,19.5131,0.0623,19.4976,0.0288,18.9372,0.0227,19.0895,0.0757,18.9522,0.0396,18.5584,0.0521,18.604,0.1135,18.5983,0.0668,12.59,1585659444.0
43,98.65,481591400,48,0,201034.42-563221.2,302.64346,-56.539277,36,36,58146.6593,22,1.0,14.333,0.018,14.3179,0.0108,14.3737,0.0134,13.9927,0.0183,13.9853,0.0108,14.0205,0.0118,12.7811,0.0203,12.798,0.0075,12.8473,0.0081,12.4999,0.024,12.5057,0.0092,12.5458,0.0103,12.3545,0.0203,12.3509,0.0065,12.3844,0.0071,12.3174,0.0184,12.3166,0.0072,12.3471,0.008,14.62,481591401.0
44,101.26,1585659456,4,0,201038.41-563037.3,302.660062,-56.510432,69,277,58321.2845,0,0.431,,,,,,,,,,,,,20.5815,0.1672,20.4109,0.1225,20.6722,0.0875,19.6915,0.168,19.6409,0.1086,19.9089,0.0497,19.0161,0.3546,18.7083,0.1269,19.4069,0.0804,,,,,,,11.83,481591364.0
45,103.07,2686744597,0,512,201058.28-563213.9,302.742845,-56.537209,36,36,56927.4068,6,0.47,17.9897,,18.5043,,18.2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.91,481591504.0
46,104.11,481591367,31,2,201042.66-563016.5,302.677784,-56.504631,36,53,58031.0267,0,0.983,,,,,,,,,,,,,17.7727,0.0137,17.7947,0.0162,17.7804,0.0093,17.2812,0.0084,17.2811,0.015,17.2813,0.0093,16.9366,0.0075,16.9373,0.0256,16.9358,0.0097,16.7606,0.0105,16.744,0.0298,16.7676,0.0134,7.81,481591366.0
47,107.72,481591405,14,0,201040.60-563335.1,302.669091,-56.559747,36,54,58276.8073,0,0.762,,,,,,,,,,,,,19.0635,0.0956,18.8844,0.1481,19.1339,0.023,18.5445,0.0812,18.4229,0.0632,18.6452,0.0183,18.1719,0.0606,17.9933,0.0532,18.2217,0.0197,17.95,0.0961,17.7179,0.1286,17.9477,0.0669,15.0,
48,107.78,1585659444,2,0,201032.97-563154.2,302.637351,-56.531744,36,36,58317.5416,0,0.608,,,,,,,,,,,,,,,,,,,20.4507,0.0323,20.8641,0.2379,20.484,0.1106,19.4029,0.0567,19.621,0.1053,19.4959,0.0865,,,,,,,12.59,1585659508.0
