,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
54,302.6484063,-56.52580303,27630.599,28215.35649,0.381987363,0.338729322,0.766542315,0.003287475,5.941454411,1,0.009127573,0,0.247645073,0.237254166,-0.030903483,0.011159003,0.247923195,0.237778366,-0.030826546,0.01123044,0.005776476,0.00203995,22.65453154,0.019306439,21.67921501,0.017856673,21.68498163,0.005051484,20.50189823,0.004373932,21.07252959,0.002582435,19.83679068,0.002191045,20.8129919,0.003756088,19.49781307,0.003260581,20.57390439,0.004437545,19.32679407,0.003756712,20.54358328,0.017089111,19.46967719,0.014125568,1036207,9,IN,1
50,302.6558933,-56.53039545,27573.63688,28152.88632,0.511492372,0.425148875,0.803717911,0.000491272,7.419168472,1,0.000213145,0,0.350413811,0.301926136,-0.03116795,0.010916787,0.352344692,0.304274946,-0.031091996,0.010986902,0.001615681,0.001578403,21.08109931,0.006536433,19.78836673,0.006035086,19.92978158,0.002459719,18.38746418,0.002325616,19.13918299,0.001336877,17.49600764,0.001280094,18.75981422,0.002188002,17.07952648,0.002143311,18.42807433,0.00144483,16.82600131,0.001359363,18.30551968,0.002686063,16.70508966,0.002233756,1036010,9,IN,1
48,302.6591146,-56.51362887,27550.89649,28382.56167,0.153191492,-0.006095863,0.766279459,0.001432831,6.856784344,1,0.005495352,0,0.087908875,0.003145495,-0.031611896,0.009888559,0.08773502,0.003220214,-0.031541068,0.009951443,0.004325098,0.001631196,21.84230314,0.010609502,20.68926594,0.009604128,20.80956179,0.003062033,19.42442626,0.002766249,20.14386796,0.001710483,18.66703203,0.001529285,19.84564005,0.002539672,18.31051021,0.002372748,19.61735562,0.002283609,18.13791386,0.001975918,19.48921134,0.006660769,17.98944644,0.00536748,1036923,9,IN,1
45,302.6601885,-56.51048641,27543.08103,28425.63255,-0.110091895,-0.011914539,0.79745239,0.002305381,6.556154251,1,0.051009196,0,-0.088112597,-0.00550009,-0.031011948,0.009742311,-0.088260204,-0.005656523,-0.03100865,0.009750316,0.002824008,0.003238408,21.78742908,0.010227478,20.76433369,0.009172014,21.46650764,0.004360341,20.13406233,0.003664984,20.68457449,0.002174406,19.28554827,0.001833376,20.36384076,0.003116036,18.87314334,0.00274623,20.06840721,0.002888872,18.65292678,0.002479614,19.94495644,0.010011691,18.50521571,0.008482288,1036926,9,IN,1
39,302.68685,-56.5552532,27337.74288,27814.18183,0.089226052,0.11456731,0.919039369,0.00134087,9.636260033,1,0.014441088,0,0.0719607,0.097588986,-0.02782539,0.005489346,0.072105564,0.09792193,-0.027750039,0.005536422,0.003433558,0.01276535,21.23026042,0.007002466,19.85030954,0.005825226,20.77832043,0.003077252,18.9839905,0.00250907,20.48015022,0.00197459,18.52804652,0.001506651,20.34099751,0.003190539,18.25615155,0.002511837,20.10308356,0.003137413,18.11133092,0.002137519,19.92973097,0.011902991,18.12025346,0.007665091,1024850,9,IN,1
36,302.6879977,-56.54969576,27329.57534,27890.30994,0.105400458,-0.964633286,0.957404792,0.226388142,17.18995094,1,0.075415933,0,-0.285002248,-0.149729071,-0.031533008,0.00568625,0.103358641,-0.906810284,-0.031460483,0.005734664,0.002773255,0.013069011,27.06791,1.112768485,23.8527538,0.517862161,26.25836384,0.296526292,22.57033865,0.122457593,25.56195544,0.133598827,21.96255831,0.074855006,24.7933618,0.124573363,21.51037335,0.127413014,24.6088146,0.164013792,21.05721075,0.114539236,26.37623539,3.870504078,20.63627681,0.313150937,1025186,9,IN,1
33,302.6940292,-56.55499385,27283.60487,27818.0781,-0.229187563,-0.520733237,0.742187321,0.00999642,5.922186852,1,0.060997556,0,-0.159824467,-0.332948017,-0.027405026,0.007132601,-0.159622461,-0.332524419,-0.027324636,0.007187622,0.003936562,0.010382773,23.51636391,0.044928126,23.00741707,0.042686617,22.60260055,0.011774356,21.54130376,0.010181602,22.10900416,0.006158696,21.10252765,0.00517575,21.84278203,0.009478026,20.70391531,0.007837997,21.61956621,0.011428625,20.52505493,0.009477138,21.55748313,0.05153092,20.71315526,0.043491418,1024879,9,IN,1
31,302.6978134,-56.52997559,27257.21646,28160.71877,-0.219790056,-0.853588402,0.629249692,0.003350873,6.763411522,1,0.495610361,0,-0.130375448,-0.444743515,-0.033237606,0.008533615,-0.130079433,-0.445021093,-0.033239692,0.00853651,0.000857162,0.00772806,21.461409,0.008160972,20.92946341,0.007852706,20.77653384,0.003390586,20.09524284,0.003170887,20.71673812,0.002424519,19.90474874,0.002202494,20.30657937,0.00325939,19.42886822,0.003007005,20.34202184,0.004010486,19.47440993,0.003621641,20.04848641,0.01586438,19.20967376,0.014311663,1034888,9,IN,1
27,302.7014442,-56.51260615,27231.29331,28398.65136,0.297522336,-0.068894796,0.481510103,0.014347796,5.161288738,1,0.072409984,0,0.079761117,-0.009645699,-0.030537372,0.009364525,0.080093049,-0.009074869,-0.030535998,0.009368513,0.005386735,0.003945506,24.20030023,0.082213557,23.70372281,0.076233739,23.70621372,0.030836794,23.20259275,0.030685745,21.94475647,0.005447335,21.30618943,0.005156628,21.02086034,0.004831157,20.36338967,0.00462659,20.60314046,0.004637351,19.97945545,0.004450073,20.42417677,0.016837377,19.84225164,0.016339746,1034918,9,IN,1
23,302.7049869,-56.55681566,27200.7841,27793.65805,-0.151356965,-0.060600519,0.311380625,0.015500998,3.508285761,1,0.001888786,0,-0.061069569,-0.007585017,-0.029473296,0.007088103,-0.060969219,-0.007472112,-0.029394727,0.007138733,0.002704112,0.003684915,24.79859202,0.164137494,24.62765191,0.165874981,23.05807344,0.015648676,22.84724014,0.015427794,21.34906791,0.00362187,21.08559984,0.003537847,20.54131157,0.003676119,20.25154496,0.003597523,20.17649386,0.003466589,19.90517934,0.003400259,20.07627239,0.012318158,19.83858397,0.012169937,1024863,9,IN,1
21,302.708589,-56.54033613,27174.97243,28019.44939,-0.050403424,0.091109507,0.728609324,0.014360692,7.246880531,1,0.0,0,-0.045468402,0.064052694,-0.03642433,0.006264686,-0.045429934,0.064034604,-0.0363639,0.006313435,0.001374131,0.002910507,24.26834971,0.096718854,23.69472397,0.087755998,23.12867092,0.017420939,22.20987569,0.015542451,22.49186171,0.008518587,21.35078626,0.00714157,22.25916436,0.011792469,20.99590829,0.00993171,22.05268424,0.016193503,20.77502262,0.013913537,22.2594596,0.094715341,21.33534762,0.075802694,1030942,9,IN,1
18,302.7101876,-56.54441291,27162.59096,27963.67302,-0.094733059,0.062388945,0.707563758,0.002038809,4.660106659,1,0.001627545,0,-0.076299211,0.044657411,-0.035128647,0.006812757,-0.076667838,0.044948634,-0.035063546,0.006863613,0.002293933,0.001541783,21.3875225,0.007957782,20.89253927,0.007532494,20.777508,0.003148236,20.03888344,0.002888285,20.27317067,0.001777921,19.43384516,0.001605388,20.01078579,0.002744817,19.1057519,0.002538353,19.81977296,0.002686109,19.00579427,0.0023668,19.72988075,0.008804361,18.93571448,0.007608243,1024847,9,IN,1
13,302.7185949,-56.53851937,27099.63192,28044.72969,-0.505147576,0.60490799,0.942959309,0.135262504,21.88653183,1,0.429646569,0,0.197402749,0.171097426,-0.036615972,0.006309871,-0.467633963,0.533082604,-0.036833301,0.002646186,-0.000921195,-0.002262181,25.74534136,0.353267602,23.18510726,0.577081347,25.66386209,0.191700635,22.06148341,0.114661091,25.30771215,0.103996209,21.45773118,0.047559072,25.16450165,0.176653566,21.08661563,0.067936075,25.29636242,0.358555332,21.25905832,0.132586351,24.62130619,0.937785451,21.55999765,1.309284935,1036314,9,IN,1
11,302.7204145,-56.53760934,27085.97285,28057.26858,0.358475596,0.404272079,0.949890494,0.06015088,24.33116341,1,0.197557529,0,0.390442154,0.358181429,-0.036914135,0.002647801,0.327808201,0.367947161,-0.036854398,0.002684251,-0.002223244,-0.002912017,25.72502836,0.343413828,23.92486931,0.409704956,25.37920136,0.147364415,22.65599921,0.093841786,24.47268559,0.048248742,21.76824486,0.033390088,23.33272472,0.032716182,20.90935686,0.032513924,22.83040401,0.036790059,20.57030624,0.039901517,22.78026713,0.20087959,20.86581453,0.275100629,1036302,9,IN,1
7,302.7248644,-56.52836847,27053.13428,28183.96075,0.621835232,0.738010943,0.258707643,0.011560007,3.233932734,1,0.003245865,0,0.100123308,0.159460322,-0.036857451,0.003112458,0.10021887,0.159448251,-0.036797386,0.003151847,-0.002894482,-0.003137742,24.3609777,0.098256683,24.24563541,0.100168674,22.52660113,0.011183757,22.34916382,0.011102152,20.93880433,0.002524065,20.72943125,0.002479201,20.40490521,0.003258249,20.18276351,0.003216919,20.10476282,0.003557437,19.89697448,0.003506409,19.9232473,0.013847965,19.7365827,0.013813829,1036286,9,IN,1
1,302.7361375,-56.54406457,26966.79361,27969.59966,-0.437827826,0.41530332,0.761450589,0.015640307,10.74583244,1,0.417876375,0,-0.233169637,0.242696125,-0.036149086,0.004080084,-0.226499692,0.238102466,-0.036086615,0.004124471,-0.003023859,-0.000456521,24.61767974,0.113854823,23.26047271,0.107882203,24.793684,0.083516454,23.38396555,0.095846909,22.90826295,0.011563197,21.03674731,0.009445465,22.3156281,0.013408297,20.45036768,0.011542053,21.83207554,0.014138068,20.04621098,0.012508948,21.61522576,0.056344003,19.86319849,0.048453491,1024900,9,IN,1
