,MainID,ra_now,dec_now,Gmag
8,6471713831794785792,303.25052681210383,-56.80553198457523,14.212436
39,6471725479746098944,303.21078291196653,-56.808251194778926,15.9152155
26,6471713797435043712,303.27515728388306,-56.800091499406605,16.297958
36,6471713518261629824,303.2832891168487,-56.831617339312466,16.468477
20,6471713831794787968,303.23409205888936,-56.80599411822901,17.342695
33,6471725479746098176,303.2168819976735,-56.80589599468215,17.41911
5,6471713831794786560,303.2388000832549,-56.812695810765945,17.424414
38,6471713488197396224,303.27788075551484,-56.834815528739675,17.440722
17,6471713861858457728,303.25349162335965,-56.80215828307449,17.820335
29,6471713797433303680,303.28441138671593,-56.80425344645581,18.053514
0,6471713763075306752,303.2625764063306,-56.815169200468866,18.236984
65,6471725647248730496,303.21357101895046,-56.79058989969754,18.648338
30,6471713797435042048,303.28442590081437,-56.803945518295,18.695913
12,6471713797435045248,303.264238456534,-56.8059725617172,18.787022
31,6471713586980538624,303.29262655022796,-56.81280205471128,18.804407
44,6471725578529249152,303.22273577489034,-56.79452216673125,19.025137
2,6471713758779225216,303.25326645990856,-56.81964398296721,19.029903
14,6471713831794786176,303.2451829717859,-56.803836938898456,19.649534
55,6471725578529250816,303.21758474313083,-56.79300093840533,19.717924
15,6471713556917703552,303.2654847458792,-56.824522054112265,19.730042
13,6471713831794786944,303.24033303793385,-56.80668122531281,19.776361
4,6471713827498711296,303.24185651615926,-56.8113531146035,19.795034
9,6471713793138977792,303.26085882377583,-56.80599033312968,19.808838
32,6471725479746477824,303.2196002540515,-56.80339699609965,20.019016
16,6471713758779799680,303.2492646832,-56.826629111864904,20.107128
10,6471713758782753536,303.2457764096092,-56.82297920501414,20.128803
11,6471713763073963008,303.2495117571664,-56.82418753534109,20.13379
1,6471713763074377216,303.2448285902849,-56.81332378255818,20.275465
34,6471725582824381184,303.2253016997827,-56.798800833803305,20.28963
23,6471713591277441408,303.2826109723507,-56.80826732807233,20.30741
52,6471713518264626560,303.29368847778784,-56.83300537733692,20.44749
25,6471713866154908672,303.24946544915906,-56.79627493490553,20.48959
18,6471713655700852992,303.23303054375765,-56.81995828346998,20.58787
3,6471713556915944064,303.2586818675625,-56.82122223530184,20.622805
35,6471713488196722432,303.2684803891043,-56.83518383972328,20.75352
19,6471713827498720512,303.24732230417885,-56.80132484488366,20.763947
6,6471713591277492864,303.2687466181102,-56.81565292047788,20.900162
22,6471713797435431424,303.27740297528794,-56.80365074083484,20.939337
7,6471713763075091328,303.23847395308826,-56.81638358842577,20.947903
37,6471713453836726912,303.2517308664097,-56.83865124927271,20.959986
40,6471713659996478336,303.2245412241769,-56.833468002128456,21.017002
27,6471713831794115200,303.24747640879025,-56.796175427587066,21.028397
41,6471713522556457984,303.2848860114766,-56.83279612959655,21.029072
21,6471713556916406400,303.2680121192659,-56.8267146461115,21.073122
28,6471713728714901504,303.21964782943604,-56.81129832750655,21.188593
24,6471713659996969984,303.22956793824716,-56.82744819313953,21.361311
