,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,17.77,481595904,23,0,201303.02-564854.3,303.262565,-56.815159,36,36,57950.9236,0,0.982,,,,,,,,,,,,,18.6553,0.0336,18.6668,0.0733,18.6597,0.0357,18.2438,0.0249,18.3079,0.0606,18.2361,0.0346,18.013,0.0111,18.1099,0.0239,18.0243,0.0147,17.8967,0.0192,17.9738,0.037,17.9447,0.0246,10.54,1585661487.0
1,17.95,481592707,8,0,201258.76-564847.4,303.244828,-56.813238,40,43,58330.6443,0,0.742,,,,,,,,,,,,,,,,,,,,,,,,,19.3224,0.0497,19.6144,0.1428,19.3725,0.0842,18.4852,0.0448,18.6093,0.1349,18.5417,0.0825,9.11,1585661478.0
2,18.23,481595903,15,0,201300.75-564910.4,303.25316,-56.819615,36,36,58275.2813,0,0.953,,,,,,,,,,,,,19.8698,0.0616,19.569,0.2294,19.892,0.0361,19.0735,0.0528,18.7918,0.1766,19.064,0.0376,18.4419,0.0216,18.4027,0.0634,18.4471,0.0217,18.0712,0.0383,18.0095,0.1192,18.0331,0.0458,12.28,1585666290.0
3,20.84,1585661487,1,0,201303.22-564843.9,303.263317,-56.81226,36,36,58317.5438,0,0.488,,,,,,,,,,,,,,,,,,,,,,,,,19.8435,0.0942,19.7271,0.1553,19.8226,0.1187,,,,,,,10.54,481595904.0
4,24.74,1585661480,1,0,201259.07-564832.5,303.246115,-56.809044,36,36,58591.7617,0,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.042,0.0552,18.0994,0.1187,18.1166,0.0787,11.78,1585661478.0
5,25.97,1585666290,1,0,201302.09-564916.3,303.25866,-56.821221,36,36,58317.5438,0,0.514,,,,,,,,,,,,,,,,,,,,,,,,,19.7919,0.0665,20.6775,0.4292,19.9191,0.1297,,,,,,,12.28,481595903.0
6,26.01,1585661478,4,3,201258.05-564840.6,303.241816,-56.811317,56,36,58317.8088,0,0.75,,,,,,,,,,,,,20.0963,0.0387,20.156,0.0977,20.0794,0.0675,19.7563,0.0349,19.7838,0.0875,19.7491,0.0599,19.6882,0.0261,20.0504,0.2046,19.6797,0.1048,,,,,,,7.72,481592706.0
7,30.13,481592706,36,2,201257.32-564845.3,303.238728,-56.812635,78,36,58000.2095,4,0.983,,,,,,,18.6854,0.1032,18.5578,0.2135,18.71,0.1225,17.7825,0.0127,17.8141,0.0158,17.7889,0.0112,17.4453,0.0123,17.4375,0.026,17.4446,0.0123,17.2227,0.0087,17.2495,0.0202,17.2205,0.0091,17.14,0.0133,17.1983,0.0253,17.1326,0.0165,7.72,1585661478.0
8,30.18,481595905,33,0,201304.50-564856.0,303.268795,-56.81566,36,99,57979.4295,0,0.654,,,,,,,,,,,,,17.8721,0.0702,17.6418,0.0253,18.0808,0.0166,17.5108,0.0967,17.2735,0.0305,17.6914,0.016,17.2089,0.0519,16.8601,0.0262,17.3253,0.0095,17.088,0.0493,16.7796,0.033,17.1261,0.0156,12.41,481595904.0
9,33.1,481592709,56,0,201300.12-564819.8,303.250514,-56.80552,36,43,57974.3274,7,0.993,16.1772,0.0123,16.1818,0.0213,16.1801,0.015,15.8479,0.0117,15.8729,0.0188,15.8504,0.0128,14.5443,0.0065,14.5515,0.0066,14.545,0.0071,14.1994,0.0071,14.2137,0.0071,14.1985,0.0077,14.0156,0.0052,14.0271,0.0065,14.0164,0.0058,13.9576,0.0062,13.9777,0.0076,13.9584,0.007,12.19,1585661481.0
