,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
26,303.2211361,-56.80916911,23311.69145,24348.79572,-0.514113009,0.318538308,0.383224785,0.016833333,3.010304451,1,0.000444346,0,-0.197754496,0.13653396,-0.017546176,0.032665587,-0.197804973,0.136971906,-0.017587224,0.032732975,0.004489778,0.039272233,24.08462492,0.086353347,23.92209269,0.086082682,23.12543025,0.013295099,22.88338228,0.013051649,21.99617725,0.004358711,21.72418687,0.004208452,21.51156852,0.004010934,21.17359264,0.003862241,20.98290436,0.00453469,20.69932285,0.004382959,20.67275162,0.009688892,20.35605587,0.009263848,783499,4,IN,2
22,303.2245348,-56.83346394,23286.68582,24016.20822,0.279733419,0.28243342,0.721309662,0.000355999,7.879817963,1,0.049025848,0,0.147028386,0.16867847,-0.016870319,0.029813156,0.147059992,0.168446407,-0.016910348,0.029877737,0.008087698,0.04723019,20.82645627,0.006133753,19.56183266,0.005702604,19.67699542,0.002299612,18.28543025,0.002241034,18.75191167,0.001275577,17.29650692,0.001249719,18.44460587,0.002110088,16.85592273,0.002098157,18.11342182,0.001279596,16.61709576,0.001250816,18.03441038,0.001244187,16.51969556,0.001084093,783445,4,IN,2
77,303.2258258,-56.83658391,23277.07858,23973.48792,0.328524947,0.83844316,0.702567816,0.106610812,11.52769279,1,0.86250947,0,0.191135357,0.52294083,-0.015779666,0.031541427,0.193822891,0.522967577,-0.015817685,0.031608149,0.006167195,0.044793199,27.82109626,2.70706984,25.28052893,1.529270848,25.5306797,0.13514544,22.43595838,0.056088767,24.82360292,0.060001814,21.98391103,0.041153263,23.96855253,0.033557955,21.11177419,0.029024595,23.87574228,0.060595231,21.12114894,0.052068471,24.89131446,0.471221616,22.48066372,0.518581191,774458,10,IN,2
74,303.2298468,-56.80924043,23246.42015,24347.7279,-0.047223512,0.067391403,0.706163824,0.009425105,5.230207443,1,0.021569094,0,-0.035174165,0.05330717,-0.018097372,0.028787678,-0.035149254,0.053593602,-0.018140359,0.028850883,0.00438433,0.039277788,23.72834543,0.06204997,22.59744542,0.055003473,22.8717712,0.010566331,21.97765523,0.00906212,22.21525296,0.005293911,21.14671217,0.004574935,22.04189857,0.005901636,20.90307853,0.005000986,21.78997249,0.008837213,20.75423269,0.007560397,21.78218485,0.026764309,20.69892774,0.022945781,783506,10,IN,2
72,303.2350608,-56.79754256,23207.10303,24507.7919,0.024674242,-0.039432131,0.738025069,0.010164107,6.663705826,1,0.00405215,0,0.012210005,-0.014289236,-0.017004996,0.031046849,0.01235897,-0.014214708,-0.017045023,0.031110691,0.004004717,0.041627827,23.74350809,0.063359298,22.3860874,0.051155728,23.02715759,0.011469758,21.87039648,0.009746708,22.41959264,0.006113248,21.23492996,0.00514609,22.23728292,0.006847469,20.94851208,0.005706653,21.99658061,0.011087861,20.77085291,0.009388464,22.0020369,0.032599214,20.71261288,0.026773049,783515,10,IN,2
70,303.2360526,-56.82443329,23200.24218,24139.69452,-0.105867244,-0.154641986,0.526636839,0.016984858,2.672338486,1,1.91e-06,0,-0.056213719,-0.060336178,-0.016170571,0.033689549,-0.061663732,-0.058859028,-0.016209092,0.033763375,0.00552033,0.041265667,24.62870759,0.14378304,24.39383364,0.149181488,23.36631541,0.01693682,22.91721619,0.015836083,22.29315735,0.005974253,21.82053569,0.005569935,21.56804019,0.004363368,20.97600664,0.004027015,21.15106714,0.005307699,20.64443379,0.004891801,21.01059529,0.01309406,20.48478529,0.01201707,783508,10,IN,2
68,303.2441137,-56.80088251,23139.32197,24461.9648,0.355159551,-0.419504195,0.952822685,0.012181607,16.40085602,1,0.774403892,0,0.321278347,-0.377783361,-0.017323547,0.03129014,0.317530036,-0.376513034,-0.017360657,0.03135116,0.003904014,0.042014192,26.05397641,0.520401592,24.19807188,0.568694513,24.05755027,0.029667432,21.79486337,0.017500094,22.97634834,0.010189022,20.45277591,0.007592449,21.73973968,0.004784249,19.4745193,0.004893424,21.15307496,0.005350933,19.06336516,0.005909018,21.08932608,0.014130021,18.92872927,0.015027796,783525,10,IN,2
66,303.2463405,-56.8105004,23122.85715,24330.28487,-0.168536425,0.176866204,0.641567171,0.015416238,5.169019699,1,4.55e-06,0,-0.108112315,0.120768389,-0.018075944,0.032612867,-0.107147306,0.120443642,-0.018117383,0.032680277,0.003447186,0.040093847,23.45755612,0.050572956,23.03199779,0.048727911,23.1404763,0.013015304,22.47996993,0.011533907,22.51936341,0.006891538,21.84597162,0.006132932,22.35051267,0.007749026,21.57897713,0.006877952,22.18186451,0.013445494,21.50750209,0.012115102,22.12242308,0.036386367,21.1169244,0.033070096,783520,10,IN,2
64,303.2473301,-56.8013108,23115.22549,24456.06129,0.185681,-0.453821123,0.853128076,0.000289224,8.804134369,1,0.01314948,0,0.152672277,-0.314713171,-0.017392694,0.031379488,0.153124541,-0.31480661,-0.017433675,0.031445224,0.003828882,0.041988612,20.31430589,0.005132547,18.68811687,0.004920167,19.33511246,0.002214328,17.47313818,0.002169042,18.82463861,0.001269415,16.89534168,0.00123911,18.67343816,0.002116572,16.60912593,0.002098277,18.39608045,0.001316014,16.46000257,0.001262883,18.34295179,0.001450806,16.34330485,0.001166416,783447,10,IN,2
60,303.2517944,-56.82037375,23082.23268,24195.06511,0.14429082,-0.069353461,0.891619921,0.016043384,9.026642799,1,0.604786985,0,0.110729559,-0.056559255,-0.017202159,0.037122873,0.112070829,-0.054740086,-0.017220713,0.037117291,0.005249584,0.040806297,28.13938773,3.697318153,26.22550484,3.45651091,24.25711758,0.037787159,22.30143195,0.041323543,23.26873572,0.013715654,21.54378892,0.009024282,23.16160924,0.015601818,21.29220018,0.010117096,23.25790667,0.035103887,21.10856246,0.03329727,22.72578578,0.062828881,20.51187104,0.058313123,783549,10,IN,2
