,MainID,ra_now,dec_now,Gmag
19,6471713453837662080,303.2418766977173,-56.84671562964887,8.668511
36,6471713419477926656,303.2167479667187,-56.8532576725216,11.520163
45,6471713831794785792,303.25052681206654,-56.805531984569384,14.212436
22,6471725479746098944,303.2107829119816,-56.808251194765724,15.9152155
35,6471690226654537472,303.18231440493287,-56.83625570658358,17.140041
27,6471713831794787968,303.2340920588601,-56.805994118176955,17.342695
30,6471725479746098176,303.21688199769267,-56.80589599467265,17.41911
12,6471713831794786560,303.2388000833536,-56.8126958106862,17.424414
15,6471713415181816320,303.2309977868356,-56.84695531264013,18.133623
33,6471713763075306752,303.262576406341,-56.81516920044433,18.236984
26,6471713380822672768,303.2598421175541,-56.8415005419602,18.367548
57,6471713797435045248,303.2642384565593,-56.80597256169354,18.787022
37,6471725441090278272,303.18694736545865,-56.81510789089552,18.955292
11,6471713758779225216,303.25326645987644,-56.81964398296433,19.029903
9,6471713690059751680,303.20505290622265,-56.81869029758161,19.079082
29,6471713625636358528,303.20894396453815,-56.84977319967977,19.160158
25,6471713385116447744,303.24947940355474,-56.84696096316536,19.319859
41,6471690153638943872,303.19238741185563,-56.846492998385315,19.648516
47,6471713831794786176,303.2451829717765,-56.80383693888722,19.649534
51,6471713380822669056,303.25644699131965,-56.85300680674603,19.661047
18,6471713453837660288,303.2548351552916,-56.84021997061323,19.699581
43,6471713385116448896,303.2413595894937,-56.85312252271033,19.713158
23,6471713556917703552,303.2654847458632,-56.824522054094594,19.730042
31,6471713831794786944,303.2403330379252,-56.80668122532621,19.776361
16,6471713827498711296,303.24185651611845,-56.81135311453496,19.795034
39,6471713385116448512,303.2422585110664,-56.852462741924185,19.805914
52,6471713793138977792,303.2608588237238,-56.80599033304955,19.808838
40,6471713385119062528,303.2603454942936,-56.845967162053604,19.952059
5,6471713758779799680,303.24926468314044,-56.826629111826264,20.107128
8,6471713453835931136,303.24410752613426,-56.83975292180182,20.126144
4,6471713758782753536,303.24577640964225,-56.822979205045044,20.128803
6,6471713763073963008,303.24951175720463,-56.82418753530904,20.13379
14,6471713763074377216,303.2448285901596,-56.81332378231719,20.275465
3,6471713694354904704,303.2048726847606,-56.82625357864089,20.42235
2,6471713655700852992,303.2330305437775,-56.81995828347417,20.58787
24,6471713385117248640,303.25980383023307,-56.84092315663048,20.59029
17,6471713556915944064,303.2586818676059,-56.82122223523167,20.622805
34,6471713488196722432,303.2684803891199,-56.83518383968526,20.75352
46,6471713591277492864,303.2687466181102,-56.81565292047788,20.900162
32,6471690226653600896,303.18564770138045,-56.8373252918578,20.908175
21,6471725445385430400,303.19095718705813,-56.81896317404076,20.937761
7,6471713763075091328,303.23847395308826,-56.81638358842577,20.947903
10,6471713453836726912,303.2517308664809,-56.83865124924499,20.959986
1,6471713659996478336,303.2245412241769,-56.833468002128456,21.017002
28,6471713556916406400,303.2680121192659,-56.8267146461115,21.073122
13,6471713728714901504,303.21964782943604,-56.81129832750655,21.188593
20,6471713453838047232,303.24990688272186,-56.844371848185695,21.22665
0,6471713659996969984,303.22956793824716,-56.82744819313953,21.361311
