,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
44,303.1832631,-56.85296148,23595.95724,23749.65814,0.37024191,0.599104881,0.905536175,0.015606356,5.574620724,1,0.591963604,0,0.321021152,0.527351053,-0.015354804,0.03151461,0.321177334,0.527788043,-0.015395438,0.031582136,0.003661633,0.042146666,23.28118455,0.039853916,22.33662626,0.039380316,23.1104125,0.01364035,21.57468636,0.009565607,23.16067693,0.013007573,21.50254954,0.008250541,23.13892447,0.016225458,,,23.03611898,0.029528134,21.17960137,0.019065824,24.24315224,0.257303865,23.41179593,0.361586242,774378,4,IN,0
43,303.1851054,-56.84416997,23582.06711,23869.98658,0.034632139,-0.098302692,0.572545588,0.017794363,16.84749985,1,0.000650289,0,0.011896783,-0.039468476,-0.015005935,0.031363109,0.009918466,-0.03918023,-0.015046435,0.03142982,0.003503948,0.042466633,24.61228523,0.141955812,24.34373502,0.147549639,23.07555628,0.013811306,22.5717408,0.012873672,22.41108091,0.006767451,21.87378043,0.006199242,22.25041869,0.007443277,21.60564399,0.006684058,22.0803608,0.01211052,21.52819893,0.011110847,22.33961709,0.043573086,21.76895629,0.040254443,779181,4,IN,0
42,303.188842,-56.82901625,23553.91735,24077.39094,0.110008292,0.280710697,0.791926026,0.019339954,2.194085121,1,-0.000761841,0,0.07762802,0.224012281,-0.01686362,0.033852851,0.079412468,0.222599626,-0.016903255,0.03392477,0.007428431,0.045781357,25.79427144,0.406713257,27.84920096,4.820310887,23.75403873,0.024675963,22.71698446,0.020159132,23.04886005,0.011183747,21.94123693,0.008726259,22.98103191,0.013181151,21.69469854,0.009732183,22.81982041,0.023283805,21.72552503,0.018691472,23.36736274,0.109832181,22.45779039,0.106868688,783916,4,IN,0
41,303.1897981,-56.83075323,23546.77795,24053.60855,0.081090137,0.231471136,0.633470237,0.011631534,3.98566103,1,7.56e-06,0,0.081098489,0.162757972,-0.015354424,0.034165019,0.043146797,0.14907591,-0.015391693,0.034237508,0.008171772,0.046359571,24.0709729,0.083437752,23.7300303,0.089473444,22.91929025,0.011570562,22.24375794,0.010663484,22.2157224,0.005385443,21.22030656,0.004829273,22.02935833,0.005960554,20.94478415,0.005324434,21.84166375,0.009690065,21.11677839,0.008827369,21.97446409,0.030465746,21.0627641,0.028925415,783914,4,IN,0
40,303.1914746,-56.81832288,23534.0683,24223.74655,0.094958246,0.649717987,0.193064719,0.033604044,11.83139133,1,0.001719322,0,0.007375897,0.169859216,-0.016985824,0.033243166,0.00618655,0.170124069,-0.01702537,0.033309635,0.004634069,0.039388976,23.11630873,0.034409547,23.03231962,0.034443469,22.58331437,0.008053685,22.47097332,0.008012449,21.86757575,0.004176279,21.74308186,0.004126945,21.77866948,0.004819277,21.62230482,0.00474904,21.58172736,0.007434197,21.44532939,0.007319142,21.89727676,0.029824738,21.76262516,0.029764295,784950,4,IN,0
38,303.1936778,-56.82106177,23517.59794,24186.24084,0.014690084,-0.061398648,0.75443244,0.003332576,3.988932371,1,0.014048482,0,0.003079294,-0.029515107,-0.016322591,0.035198991,0.003003148,-0.029460518,-0.016360004,0.035266977,0.006110371,0.04206948,22.96524362,0.029799425,22.2703424,0.027183289,21.86005783,0.004749955,20.73112646,0.004106982,21.17269549,0.002463598,19.98718343,0.002117397,20.99552541,0.003041171,19.66425639,0.002711411,20.74149673,0.00366761,19.5681778,0.003101593,20.78098636,0.010358734,19.73716232,0.008621455,784713,4,IN,0
37,303.2040899,-56.831953,23439.76428,24037.08027,-0.07037475,-0.300484031,0.568282187,0.001766174,4.672032356,1,0.000640261,0,-0.040922828,-0.11940241,-0.015835375,0.034080138,-0.040870294,-0.119399562,-0.015872449,0.034150887,0.007827757,0.046407893,22.09470684,0.014371867,21.60516934,0.013842944,20.81726678,0.002844223,20.06292171,0.002721286,20.05302246,0.00152158,19.26846569,0.001461222,19.78034677,0.002252886,18.89105103,0.002214717,19.50189068,0.001711964,18.69875818,0.001632119,19.46919137,0.003324252,18.64152327,0.003054835,783459,4,IN,0
36,303.2077652,-56.81451579,23411.96721,24275.73365,0.417678475,0.063331865,0.63830477,0.00137996,5.235515594,1,2.96e-07,0,0.219617642,0.050098644,-0.01606268,0.034414415,0.219750047,0.050046928,-0.016102565,0.034485329,0.004188445,0.03974973,22.11544007,0.014371406,21.64387716,0.013551346,20.78398207,0.002737131,19.885547,0.00260235,19.99889428,0.001466608,19.06898433,0.001403309,19.72942124,0.002231343,18.69052942,0.00218988,19.44238008,0.001666231,18.49036942,0.001569376,19.38212944,0.003129195,18.40227555,0.002781248,785128,4,IN,0
35,303.2092224,-56.8289409,23401.27998,24078.26716,0.034524109,-0.028622188,0.747362554,0.001714891,6.190973282,1,7.3e-10,0,0.016532036,-0.006182787,-0.017279757,0.034365679,0.016613439,-0.006249475,-0.017318547,0.034437381,0.006656523,0.046740882,22.3341422,0.017313763,21.16995776,0.015371708,21.19927416,0.00333678,19.85701564,0.002991956,20.46885341,0.001713586,19.08619074,0.001556628,20.23969196,0.002395682,18.72850772,0.002283498,19.9416608,0.002114441,18.55117796,0.001878028,19.9327618,0.004855829,18.54979796,0.004079879,783467,4,IN,0
34,303.212908,-56.8172127,23373.48145,24238.77228,-0.412096292,-0.803198218,0.626665413,0.008224516,3.559195995,1,0.00013487,0,-0.263127403,-0.486315807,-0.017196947,0.033449019,-0.263444275,-0.486186802,-0.017236887,0.033514235,0.004402914,0.039880076,23.05582295,0.032697838,22.68878903,0.031126771,22.2878669,0.006261213,21.73790153,0.005576574,21.7662495,0.003775947,21.21484727,0.003377285,21.58693817,0.004198336,20.95181909,0.003789091,21.44793343,0.006680507,20.89975033,0.006029721,21.45558054,0.019928122,20.87994667,0.017926597,784775,4,IN,0
33,303.2178107,-56.81340463,23336.68457,24290.85177,-0.057444803,0.084581353,0.754319012,0.012586404,22.23336029,1,0.000759485,0,-0.046123399,0.069083586,-0.01596902,0.034825926,-0.043662842,0.068771824,-0.016008306,0.034897171,0.004984557,0.039043728,24.65111359,0.145192693,24.20875626,0.163479095,23.31756176,0.01540417,22.37220386,0.012907723,22.60076943,0.007268946,21.60362091,0.005947309,22.45332045,0.008269916,21.31075905,0.006610702,22.28186403,0.014263815,21.25762949,0.011578152,22.32116891,0.042916362,21.27094282,0.034874076,785411,4,IN,0
29,303.2213285,-56.83341311,23310.69489,24016.9368,-0.376029313,0.147169337,0.85987854,0.010606013,11.28091717,1,0.660391338,0,-0.298242233,0.113651428,-0.016322494,0.034066495,-0.293689668,0.110582687,-0.016360415,0.03413577,0.008124458,0.047226805,25.00590787,0.200806813,23.60724199,0.244785735,23.89390359,0.028985667,21.77308246,0.021860856,22.76833466,0.009257863,20.62206504,0.006977294,22.38367778,0.008130623,20.12437519,0.005861199,22.0716578,0.011824477,19.89621447,0.008472326,22.76738346,0.063424552,21.14986465,0.08227628,783511,4,IN,0
