,MainID,ra_now,dec_now,Gmag
17,6471753895249833600,302.72740186575334,-56.67840266522911,14.32582
66,6471756884547081344,302.67955187848935,-56.64669316705548,15.040945
54,6471755407078315392,302.76870588357804,-56.65677665922909,15.362728
13,6471756918906927360,302.7195439710626,-56.65195485651063,15.9327135
30,6471753792170617344,302.7288078077868,-56.68503826639268,16.18795
48,6471753929609566080,302.7675966504751,-56.657384134977725,16.987846
39,6471756948970570880,302.7290655076286,-56.64116649665087,17.494106
7,6471753959673308800,302.7242629929916,-56.65821269225138,17.601519
41,6471753719155129984,302.7681187893833,-56.66416246158782,17.78169
10,6471753890953811712,302.73691391490456,-56.673666141425095,18.010357
2,6471753959673297920,302.71648444523544,-56.66744045720924,18.01455
23,6471753792170620160,302.7177523026133,-56.68111081720679,18.02651
0,6471753959673305472,302.72512933539196,-56.661000460228664,18.093956
62,6471756880251509888,302.6823618983719,-56.64609303786653,18.157827
4,6471753890953819136,302.73232239955416,-56.66772879088308,18.234892
49,6471753684795366400,302.7524372909087,-56.68375740331994,18.235865
21,6471756914610821888,302.71392745801893,-56.64904667721727,18.485826
40,6471756948970568576,302.7393391760249,-56.641551521675915,18.560038
18,6471753792170619264,302.72135112528383,-56.6790029393538,18.58079
25,6471753994033059712,302.7411790434211,-56.64924888272999,18.825405
32,6471756880251083648,302.6946561897529,-56.64989704462954,19.212496
28,6471756918906815616,302.7047057247179,-56.64855016525981,19.218525
20,6471753895249832576,302.73127289622005,-56.679961387778285,19.243582
59,6471753684795360000,302.7531641434407,-56.688345309758574,19.271372
3,6471753856595061632,302.71689103929947,-56.66814382341711,19.273111
31,6471753822234332672,302.6933720853011,-56.67677834473284,19.325655
15,6471756811531588480,302.70037853599786,-56.66343853857544,19.343039
67,6471753822234317184,302.69100848337365,-56.68871471211135,19.519648
9,6471753959673311488,302.726805519837,-56.65613545274963,19.581743
26,6471753998329046272,302.75151747870416,-56.65304402000735,19.642508
12,6471753929609569664,302.74547518501697,-56.66513870329743,19.799206
27,6471756811531578112,302.6914673036198,-56.67066770430388,19.901302
37,6471756781467863168,302.6874667531991,-56.67345730251444,19.932331
1,6471753959676072192,302.71817173038727,-56.66188828748502,20.091827
36,6471753998327405952,302.7401561252683,-56.644029709875205,20.129578
33,6471753792169679360,302.7120257395874,-56.68498370799155,20.19349
22,6471756914610818432,302.7034303181429,-56.652457233226066,20.213285
14,6471753895250117376,302.74326604563095,-56.671256841693996,20.264662
46,6471753757810997632,302.70168085061204,-56.68572170942878,20.266756
44,6471756983330309376,302.7090202883342,-56.64125105136528,20.31441
50,6471756884547817088,302.6844940945326,-56.65175964660857,20.33448
58,6471755402783037440,302.76660637225945,-56.64994100330262,20.37134
51,6471753822234325120,302.6926230867939,-56.682694431282364,20.418375
34,6471753684796111616,302.7550106180631,-56.67791190753651,20.420813
69,6471753826530363392,302.68214899701627,-56.68452658483503,20.42525
8,6471753895248894080,302.7344396161351,-56.66675089960678,20.43209
35,6471756983333027712,302.7052433634276,-56.64483218779876,20.460817
29,6471753792170620544,302.71420919364186,-56.68392960047187,20.501844
43,6471756781466228864,302.68149459911336,-56.6710889343491,20.598509
11,6471753860888460672,302.7107251312155,-56.67349991182738,20.618809
24,6471753856594524288,302.6959931254329,-56.672552538764876,20.64919
19,6471753994033054592,302.73956933533844,-56.652026259311846,20.677748
38,6471753719157980544,302.758504554673,-56.67629125670768,20.72481
42,6471753689090457984,302.7492118540869,-56.68427674458686,20.72815
53,6471753689090458496,302.7428366989654,-56.68751541261357,20.748384
5,6471753856594527104,302.71400293989643,-56.66649674326048,20.791092
6,6471753860889397632,302.71637099976147,-56.668682100688955,20.892431
47,6471753826530641920,302.6881821082873,-56.679439541743825,21.106178
16,6471753792171362560,302.7215798212423,-56.678203980155686,21.113707
45,6471753826530663296,302.6974173382547,-56.68402673831865,21.712784
