,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,11.48,481592163,9,1,201053.82-564002.4,302.724053,-56.667461,36,89,58322.8822,0,0.645,,,,,,,,,,,,,20.0732,0.1004,19.4742,0.3621,20.0391,0.0679,19.4582,0.1028,19.2665,0.1357,19.5517,0.0321,19.023,0.1461,19.099,0.2649,19.092,0.1357,,,,,,,14.95,481592162.0
1,12.11,481592164,26,0,201054.04-563939.3,302.72511,-56.660959,36,50,57952.8585,0,0.982,,,,,,,,,,,,,18.8419,0.0211,18.9258,0.0247,18.839,0.0169,18.1183,0.0104,18.1268,0.0187,18.1145,0.0126,17.623,0.0236,17.628,0.0354,17.6089,0.017,17.42,0.0144,17.5017,0.0453,17.4307,0.021,10.13,481592161.0
2,14.57,1585660670,4,0,201052.38-563942.6,302.718187,-56.661839,46,61,58317.8088,0,0.517,,,,,,,,,,,,,20.4722,0.0513,20.67,0.1116,20.4925,0.0577,20.1229,0.0277,20.2488,0.1397,20.1508,0.0822,19.8226,0.0539,19.956,0.1756,19.8846,0.1204,,,,,,,14.06,481592164.0
3,14.61,1585660673,7,0,201055.54-563953.8,302.731354,-56.664939,36,43,58257.2885,1,0.594,,,,,,,,,,,,,20.4079,0.0855,20.2959,0.2004,20.4188,0.0542,19.8969,0.0634,19.7321,0.0927,19.8867,0.0421,19.3788,0.1085,19.2968,0.1244,19.3481,0.0739,,,,,,,8.46,1585660675.0
4,19.27,481592162,25,3,201051.98-564003.0,302.716505,-56.667646,41,133,57901.7053,0,0.812,,,,,,,,,,,,,18.7886,0.0488,18.5561,0.2831,18.7782,0.0218,17.9598,0.0513,17.7313,0.0366,17.9445,0.0144,17.2109,0.0463,16.9848,0.0441,17.2299,0.0133,16.8103,0.068,16.6806,0.0468,16.9068,0.0174,14.95,481592163.0
5,20.39,481592165,22,0,201055.76-564003.6,302.732273,-56.667703,37,59,57907.2088,0,0.981,,,,,,,,,,,,,18.6093,0.0116,18.6503,0.0376,18.6105,0.0129,18.2541,0.0118,18.2425,0.0272,18.2618,0.0135,18.0392,0.014,18.003,0.0717,18.0271,0.0177,17.8913,0.0277,17.8834,0.0876,17.9241,0.0292,5.4,1585660675.0
6,21.91,1585660675,1,0,201056.23-564000.0,302.734249,-56.666669,36,36,58317.5438,0,0.692,,,,,,,,,,,,,,,,,,,,,,,,,19.4509,0.066,19.6238,0.1333,19.4567,0.0827,,,,,,,5.4,481592165.0
7,21.92,481592161,34,0,201053.83-563929.3,302.724263,-56.658184,36,53,57952.9325,0,0.983,,,,,,,18.8528,0.0664,18.9588,0.1006,18.8792,0.0834,17.9232,0.0135,17.9302,0.0135,17.9265,0.0097,17.6197,0.0094,17.6381,0.0179,17.6218,0.0109,17.4104,0.0084,17.4177,0.0278,17.4234,0.0118,17.3552,0.0175,17.3525,0.0975,17.3541,0.0186,8.95,481592166.0
8,29.85,481592166,8,0,201054.46-563921.8,302.726772,-56.656117,36,92,58266.5578,0,0.923,,,,,,,,,,,,,19.9291,0.0291,19.8416,0.058,19.9335,0.0315,19.5131,0.0465,19.3836,0.0443,19.5588,0.0321,19.2678,0.1044,19.28,0.0733,19.3492,0.0619,,,,,,,8.95,481592161.0
9,42.26,481592168,19,0,201056.88-564025.0,302.73686,-56.673674,41,36,57880.5012,0,0.981,,,,,,,,,,,,,18.4001,0.0145,18.4418,0.0506,18.4033,0.0144,18.011,0.0135,18.0516,0.0224,18.0168,0.0152,17.7614,0.0148,17.8293,0.0387,17.7563,0.0179,17.6919,0.0243,17.7306,0.0602,17.7026,0.0297,15.0,
10,42.45,481592171,36,0,201058.92-563954.2,302.745469,-56.665125,36,64,57892.746,3,0.632,,,,,,,,,,,,,16.7665,0.0834,16.4302,0.0189,17.1623,0.0079,16.1912,0.0947,15.862,0.0202,16.5804,0.0083,15.7415,0.088,15.4092,0.0195,16.0958,0.0083,15.4819,0.0794,15.1037,0.0201,15.7946,0.0096,15.0,
11,42.48,481591766,27,3,201050.57-564024.3,302.710729,-56.673521,36,62,58095.4728,0,0.444,18.0171,0.2466,17.9404,0.0731,18.4963,0.0717,17.4588,0.2067,16.7558,0.2009,17.9928,0.0362,15.393,0.1405,14.6693,0.1322,16.0746,0.0106,14.5937,0.1474,13.9808,0.1374,15.4585,0.0088,13.9979,0.1608,13.5295,0.1111,14.9123,0.0136,13.7081,0.1505,13.3358,0.077,14.5877,0.0101,15.0,
12,45.31,2686745669,0,16,201058.37-564016.2,302.74321,-56.671187,52,42,58317.5405,0,0.498,,,,,,,,,,,,,20.5655,,20.7324,,20.7002,,20.3555,,20.6215,,20.4159,,19.973,,20.4518,,19.9663,,,,,,,,15.0,
13,45.38,481592160,51,0,201052.69-563906.7,302.719527,-56.651917,36,37,57998.0407,8,0.984,17.6604,0.0204,17.8293,0.0804,17.6914,0.0248,17.2791,0.0207,17.2748,0.0561,17.2731,0.0199,16.2361,0.0065,16.2477,0.0125,16.2353,0.0069,15.9421,0.0073,15.9553,0.0088,15.9405,0.0076,15.7671,0.0068,15.796,0.0081,15.768,0.0076,15.7313,0.0082,15.7728,0.0108,15.7351,0.0093,15.0,
14,45.67,481592159,8,0,201050.73-563913.8,302.711124,-56.653769,36,61,58266.5578,0,0.602,,,,,,,,,,,,,20.1917,0.049,20.3213,0.1185,20.194,0.039,19.6766,0.0593,19.6979,0.1108,19.6864,0.0547,19.2977,0.0994,19.6784,0.1346,19.2669,0.0577,,,,,,,15.0,
