,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
40,302.6891436,-56.66554507,27311.02691,26303.94226,,,,,2.304290771,1,0.979978927,0,-0.025438254,0.033894244,-0.019923275,0.021244788,-0.025502199,0.033925202,-0.01996191,0.021297041,0.015961991,0.031406011,24.53593611,0.11008054,20.55069475,0.058247514,26.87603203,0.513616624,21.73302871,0.088886518,27.00109978,0.463681812,21.36131554,0.055717978,26.94259605,0.643114992,20.98508839,0.063839634,26.87346536,1.157318376,20.50171559,0.070623951,25.25457732,0.80919309,19.48169723,0.085772473,1019860,2,IN,1
36,302.6968073,-56.64744894,27254.64784,26552.65866,-0.735552251,0.209352881,0.793515265,0.004478845,5.849956036,1,2.9e-05,0,-0.540142416,0.153566114,-0.023287103,0.021764839,-0.540078759,0.153707445,-0.023312317,0.021739703,0.015770134,0.021326517,22.22804089,0.013554942,21.4869317,0.012670775,21.70453637,0.005127689,20.52175768,0.004470314,21.47166985,0.003280006,20.28292199,0.002740914,21.46121921,0.004842549,20.18890689,0.004007606,21.29382968,0.006935786,20.10671226,0.005644303,21.30671805,0.022830357,20.14321535,0.018176193,1023403,2,IN,1
34,302.698102,-56.65497973,27244.25479,26449.63717,-0.640467346,-0.105427302,0.709148467,0.11502149,11.86509514,1,0.41327654,0,-0.229869127,-0.037946476,-0.021740326,0.022312376,-0.390058786,-0.036075417,-0.021778883,0.022215763,0.015519175,0.024078485,25.97521936,0.398824317,24.4450752,0.975769112,25.23673693,0.108386377,22.56669951,0.121646857,24.78047215,0.058966887,21.6844152,0.042778936,24.33036015,0.05848732,21.45165113,0.061815866,24.32517603,0.112286927,21.83560056,0.154604726,26.84110286,3.812857772,,1.159731254,1023154,2,IN,1
32,302.7019779,-56.65545185,27215.05145,26443.35724,-0.199937075,0.034924716,0.60475266,0.152753741,9.58754921,1,-0.001559569,0,0.129197749,-0.056127855,-0.021722237,0.022186703,-0.110949092,0.035411961,-0.021782773,0.022092093,0.016221271,0.025694542,26.85170572,0.911895787,,0.237978188,25.32414222,0.117667723,22.6639797,0.141785786,24.81572145,0.059904832,21.6305776,0.041203643,24.98551076,0.108352385,21.82019061,0.093964749,25.24382467,0.26296682,23.63896034,0.87196931,26.07571921,1.832123596,,0.400580856,1009754,2,IN,1
28,302.7107197,-56.65004356,27149.73049,26517.79266,0.01724185,0.195987523,0.822224438,0.00260157,7.103873253,1,0.020795116,0,0.008610146,0.153885743,-0.025096105,0.020354788,0.008539352,0.15403451,-0.025122218,0.020328641,0.016249343,0.01885803,22.58308765,0.01823472,21.71838518,0.015647767,21.67704855,0.005153693,20.27799686,0.004183964,21.00853648,0.002389109,19.579589,0.001945868,20.79962747,0.003301946,19.25794931,0.002775404,20.50617487,0.00372692,19.10953416,0.002924901,20.47266511,0.010938355,18.96646353,0.008225602,1023537,2,IN,1
21,302.7237,-56.64679086,27052.31593,26562.90336,-0.438021988,-0.185948595,0.932222903,0.004272889,12.81766796,1,0.451180029,0,-0.378526232,-0.158386501,-0.023115323,0.016413408,-0.375450909,-0.156807065,-0.023159996,0.016456796,0.01408517,0.016716209,22.74211491,0.022071149,20.65002221,0.014863735,22.12496859,0.007149149,19.75476631,0.004468387,21.9066996,0.004819001,19.60655268,0.003000525,21.90763822,0.007181168,19.47482976,0.004392264,21.72795032,0.010825306,19.36705498,0.006531542,22.65854911,0.082076165,20.46985374,0.097641931,1023538,2,IN,1
16,302.7312994,-56.66493508,26993.68,26314.8765,-0.000797574,0.718566537,0.46809876,0.005805001,3.714004993,1,0.497706375,0,-0.013357652,0.322081625,-0.021686825,0.015602728,-0.013317805,0.322213948,-0.021731686,0.01565253,0.014600287,0.02712379,22.11669478,0.012362735,21.73397203,0.012026656,21.28326239,0.004169657,20.85399302,0.003927225,20.9107828,0.00253272,20.50693191,0.002397485,20.51900869,0.003024863,20.06002011,0.002901962,20.16673742,0.002951186,19.75585682,0.002784493,19.81668141,0.00601134,19.38387895,0.005508361,1019731,2,IN,1
12,302.7357104,-56.66361038,26960.60391,26333.20091,0.024347302,-0.19554688,0.613061488,0.190483943,9.862381935,1,0.004448868,0,-0.235599699,-0.293448679,-0.021746837,0.01558824,0.007328358,-0.118785813,-0.022394732,0.015295889,0.013782108,0.028584658,27.7543868,2.08830359,25.00481978,1.163096412,25.8951271,0.208375108,22.52118782,0.130172239,24.94714139,0.069148632,21.38815581,0.040035211,24.68188263,0.083144495,21.1453059,0.063412225,24.54832808,0.138022622,21.42532087,0.117945444,26.37502887,2.375089103,21.6511064,0.304398598,1009683,2,IN,1
8,302.7401002,-56.68270731,26926.09524,26071.98682,0.266465098,-0.015847875,0.834154129,0.02215841,8.327379227,1,0.811880675,0,0.204894269,-0.009369856,-0.017851908,0.017905103,0.205798864,-0.009621503,-0.017894382,0.01795797,0.012188203,0.024097235,23.17501823,0.030268597,22.10819311,0.024621999,23.31941359,0.016246871,21.90533331,0.012522862,23.33953105,0.016712459,21.84335816,0.012620146,23.2252034,0.019549534,21.58148782,0.013997364,22.79229177,0.025709241,21.18971412,0.018864706,23.41010105,0.144973278,21.94152439,0.179054696,1019760,2,IN,1
5,302.7454714,-56.66513242,26887.06115,26312.78323,-0.462422788,0.056259289,0.784191668,8.09e-05,9.056698799,1,3.5e-05,0,-0.307951448,0.048621263,-0.023624363,0.019991023,-0.309124708,0.049085267,-0.023650086,0.019964958,0.014540804,0.030425893,19.39528554,0.004429586,17.92139688,0.004383281,18.06224819,0.002153972,16.30725211,0.002135,17.21297105,0.001224768,15.42906693,0.001217303,16.90238838,0.002090772,15.03022872,0.002086368,16.56687557,0.001224817,14.77924034,0.001214584,16.47449883,0.000832404,14.65845608,0.000775167,1022659,2,IN,1
