,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,3.9,444891267,13,0,114542.57-645026.7,176.427215,-64.840675,36,59,58326.1773,0,0.97,,,,,,,,,,,,,19.397,0.0285,19.4195,0.069,19.3836,0.0467,18.5696,0.0236,18.5098,0.0325,18.5395,0.0292,17.9516,0.0223,17.8975,0.081,17.9271,0.0329,17.4913,0.0239,17.607,0.0559,17.484,0.0426,8.16,1540074125.0
1,5.6,1540074125,3,0,114543.80-645028.5,176.432404,-64.841197,61,36,58580.8399,0,0.526,,,,,,,,,,,,,,,,,,,20.038,0.0448,20.7872,0.188,20.2168,0.0876,19.1549,0.0494,19.7981,0.2058,19.3613,0.116,,,,,,,8.16,444891267.0
2,10.09,445133050,12,3,114543.99-645037.3,176.433051,-64.843666,73,73,57960.6155,0,0.971,,,,,,,,,,,,,,,,,,,17.2661,0.0906,17.2034,0.1418,17.2595,0.0923,15.5278,0.0567,15.443,0.0212,15.6426,0.0161,14.573,0.0396,14.4975,0.0193,14.592,0.0223,2.81,2636826316.0
3,11.58,2636826316,9,3,114544.35-645036.5,176.434828,-64.843474,341,163,58240.6368,0,0.961,,,,,,,,,,,,,17.7411,0.04,17.6174,0.0484,17.7604,0.025,16.8119,0.1392,16.6691,0.02,16.9812,0.0209,,,,,,,,,,,,,2.81,445133050.0
4,15.29,444891266,19,3,114542.46-645014.5,176.42685,-64.837353,36,37,58215.8068,0,0.984,,,,,,,,,,,,,18.0986,0.0385,18.1357,0.0244,18.0846,0.0502,16.8792,0.0111,16.9181,0.0218,16.8912,0.0205,15.8313,0.0107,15.8482,0.0199,15.8399,0.0159,15.1547,0.0167,15.2147,0.0183,15.1597,0.0216,7.36,444891265.0
5,15.68,444891264,20,3,114545.16-645022.8,176.438065,-64.839638,36,46,58219.9372,0,0.983,,,,,,,,,,,,,18.8346,0.0254,18.9427,0.0431,18.8359,0.0337,17.2215,0.0144,17.3091,0.0157,17.2395,0.0215,15.7886,0.0109,15.8357,0.0161,15.793,0.0156,14.8677,0.0168,14.9266,0.0174,14.8713,0.0213,8.14,444891263.0
6,17.14,444891643,10,0,114540.29-645028.6,176.417635,-64.841303,159,83,58471.0403,0,0.858,,,,,,,,,,,,,19.3355,0.2033,19.8658,0.122,19.5039,0.0498,18.4285,0.1176,18.5549,0.0615,18.5402,0.0293,17.8579,0.0733,17.8705,0.0963,17.8321,0.0326,17.4206,0.1324,17.7777,0.1684,17.4491,0.0787,9.88,445133461.0
7,17.89,444891265,11,3,114543.55-645012.0,176.431378,-64.836667,36,36,58240.5751,0,0.952,,,,,,,,,,,,,19.6824,0.0556,19.8078,0.0719,19.7302,0.0564,18.8227,0.02,18.8364,0.0393,18.845,0.0328,18.1118,0.0227,18.2871,0.0497,18.1799,0.0455,17.6928,0.0279,17.8965,0.126,17.7753,0.0536,7.36,444891266.0
8,19.4,444891263,11,1,114544.91-645014.8,176.437044,-64.837418,36,57,58135.3881,0,0.963,,,,,,,,,,,,,19.5936,0.0343,19.6338,0.0738,19.6238,0.0531,18.7332,0.0227,18.8547,0.0768,18.7637,0.0317,17.9898,0.0253,18.1894,0.0534,18.0623,0.0429,17.5956,0.0345,17.6982,0.091,17.6633,0.0587,8.14,444891264.0
9,20.17,444891262,18,3,114546.11-645028.9,176.441994,-64.841343,36,36,58195.5441,0,0.983,,,,,,,,,,,,,18.4029,0.0179,18.5644,0.0344,18.4073,0.0296,17.4344,0.0151,17.5423,0.0173,17.4429,0.0222,16.6713,0.0131,16.787,0.0273,16.6847,0.0188,16.1679,0.0212,16.3436,0.0345,16.1803,0.0264,8.59,444891264.0
10,21.31,445133461,4,1043,114539.91-645038.3,176.416153,-64.843974,36,36,58474.8072,0,0.957,,,,,,,,,,,,,,,,,,,19.0653,0.0244,19.3026,0.0759,19.0926,0.0466,17.992,,18.1686,,18.0151,,17.4091,0.0315,17.7048,0.2002,17.4333,0.0586,6.4,2636826913.0
11,21.73,2636826915,0,17,114541.27-645048.5,176.421977,-64.846807,118,610,58580.5298,0,0.977,,,,,,,,,,,,,18.4782,,18.4814,,18.6263,,17.7009,,17.5471,,17.9915,,,,,,,,,,,,,,1.53,445133463.0
12,22.15,445133047,22,1,114545.88-645041.2,176.441132,-64.84475,50,58,58171.1712,0,0.984,18.9756,0.0611,19.1126,0.1446,18.9907,0.1099,18.4599,0.0314,18.5034,0.0853,18.4555,0.0409,16.8965,0.0132,16.9047,0.0158,16.8971,0.021,16.2376,0.0186,16.2016,0.0314,16.2403,0.0252,15.6925,0.0176,15.6311,0.0226,15.6933,0.0162,15.3674,0.0287,15.2848,0.027,15.3643,0.0232,10.68,2636826316.0
13,23.25,445133463,14,3,114541.15-645050.7,176.421606,-64.847202,182,143,58106.9812,0,0.91,,,,,,,,,,,,,18.415,0.1885,18.2414,0.0813,18.5664,0.0627,17.4256,0.1029,17.1661,0.0726,17.5008,0.0375,16.3063,0.0321,16.162,0.0202,16.3114,0.0182,15.5002,0.0334,15.3489,0.0613,15.5027,0.0235,1.53,2636826915.0
14,23.42,444891642,19,3,114540.56-645011.7,176.418907,-64.836562,36,36,58215.8068,0,0.983,,,,,,,,,,,,,17.9376,0.0186,17.9777,0.0395,17.9359,0.0269,17.266,0.0121,17.3031,0.0157,17.2699,0.0215,16.7426,0.0117,16.799,0.0229,16.7514,0.0191,16.4279,0.0198,16.5619,0.0276,16.4433,0.0263,8.68,444891636.0
15,24.11,444891636,17,3,114541.70-645006.9,176.423588,-64.835201,36,97,58278.375,0,0.967,,,,,,,,,,,,,18.9399,0.0934,18.7444,0.1021,19.0118,0.0362,17.763,0.0833,17.6522,0.0265,17.8245,0.0245,16.7514,0.0429,16.5586,0.0234,16.7471,0.0191,16.13,0.0448,15.9773,0.0323,16.108,0.0242,8.68,444891642.0
16,26.63,2636826913,0,17,114538.90-645036.7,176.412093,-64.843551,36,36,58580.5361,0,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9061,,15.9768,,16.2361,,2.24,445133462.0
17,26.87,2636826918,0,19,114539.59-645045.9,176.414975,-64.846105,36,36,58580.5305,0,0.571,,,,,,,,,,,,,,,,,,,18.0529,,18.5134,,19.752,,,,,,,,,,,,,,4.87,445133464.0
