,MainID,ra_now,dec_now,Gmag
0,6210089815971933056,234.74664769478866,-28.5948592740762,11.632585
3,6210089609813518848,234.75379775363334,-28.598766429185048,12.935514
25,6210089575453779712,234.74865976190947,-28.608887387136665,13.163652
10,6210089609813519104,234.76096729638957,-28.59631719961101,13.251937
80,6210089506734308736,234.75705364403726,-28.618240637902456,14.897699
68,6210089506734302464,234.76032995874968,-28.61474855522609,15.312802
31,6210089781612194432,234.72922636059647,-28.59731402578863,15.790286
117,6210089403655071616,234.7216995868338,-28.61406943658769,15.898589
13,6210089609813518464,234.75266256374013,-28.60581830244357,16.15786
20,6210089919051165184,234.75342266015087,-28.579860996812965,16.237
5,6210089781612194304,234.74330518329214,-28.599765135772365,16.65468
73,6210089987770625536,234.7410412563264,-28.57013634288951,16.72041
11,6210089575453763840,234.7449157164271,-28.6048103578467,16.789818
70,6210089502436496256,234.75291562137366,-28.61720469171197,16.858107
87,6210089953410903808,234.7676368570218,-28.573242234411236,16.966042
64,6210089983472921216,234.74636618264032,-28.570890407318593,17.004063
101,6210089541094041472,234.7740534201053,-28.610515786042257,17.037464
82,6210089850331671808,234.72291888717888,-28.58087706921526,17.090643
61,6210089506734302336,234.75152577614827,-28.615951264258854,17.113222
114,6210089747252473728,234.77378361471574,-28.572495572266266,17.221409
43,6210089880393704448,234.73840607615054,-28.575545211404883,17.247313
30,6210089536796236160,234.75935792102894,-28.607712877758168,17.406046
103,6210089197496641280,234.72911565180323,-28.61596138213412,17.545258
8,6210089605515791488,234.7485814720988,-28.60206365805321,17.782953
19,6210089781612193920,234.7382330048624,-28.604508777468915,17.901543
12,6210089811674225792,234.7406819339584,-28.583156680370553,17.903152
88,6210089536796235264,234.76767727217268,-28.61398567639707,17.980497
33,6210089536796236416,234.7616745968968,-28.606789269787186,18.059772
69,6210089399357361408,234.7228190447688,-28.60141561761008,18.074303
44,6210089399357360128,234.73085320225934,-28.606811768426105,18.103628
29,6210089781612194560,234.72927836537443,-28.594763380992656,18.117357
105,6210089193198929024,234.7313668577348,-28.61751845750926,18.252283
77,6210089742954668416,234.77575828289707,-28.58677908024163,18.286936
59,6210089536796236544,234.76995127417322,-28.605674364222047,18.341356
6,6210089815971933312,234.74870227843493,-28.58575287172674,18.3805
7,6210089605517317760,234.75366737887407,-28.600178991604295,18.394342
56,6210089914753443072,234.76095869933388,-28.574996300559246,18.426516
27,6210089846033963648,234.73090318253028,-28.58816591691308,18.451836
122,6210092835331204992,234.7213909822126,-28.57271493898223,18.47597
91,6210089399357360256,234.72130982628147,-28.605555964386276,18.616198
49,6210089880393704576,234.7362929853659,-28.575423494997757,18.663189
4,6210089811674288640,234.74042259447054,-28.592150151153877,18.686058
85,6210089747249918080,234.77654115329162,-28.584432403106824,18.709032
48,6210089502436496512,234.75396364926172,-28.61410878238981,18.812792
67,6210089639875452288,234.77427912699522,-28.59982468079054,18.815237
62,6210089914753444352,234.75263008290426,-28.571344007811913,18.877365
89,6210089536796236032,234.7735376817824,-28.608432289626013,18.901646
23,6210089914753442432,234.74957068755643,-28.57870522304817,18.959076
72,6210089953408351616,234.76333643544615,-28.573535890863145,19.00821
35,6210089846037563904,234.72813956297242,-28.58977909176691,19.017216
46,6210089914753519744,234.75704607327938,-28.574444112622768,19.26156
55,6210089536796250752,234.75924113754263,-28.612990132291273,19.3322
40,6210089846033963264,234.72713515319913,-28.589284073718776,19.357586
26,6210089605515727744,234.75645077282044,-28.608097080474224,19.360083
58,6210089639875452544,234.7733481274063,-28.597196421345576,19.407026
34,6210089708594945280,234.76777469533053,-28.58881305323137,19.413754
93,6210089639875466240,234.77534160633252,-28.606699136042266,19.434736
76,6210089506731830784,234.75525971565528,-28.617738420575733,19.470152
112,6210089399357436672,234.7243804784592,-28.614872626987886,19.487928
79,6210089953408352768,234.7641208902091,-28.57269799356988,19.491077
83,6210089742954668672,234.7761577644987,-28.58426202594089,19.531963
75,6210089846034039680,234.72164754735155,-28.58665303656261,19.663502
9,6210089811674302080,234.74419275513344,-28.58399799171236,19.713627
24,6210089914753518336,234.75748619933472,-28.58080774606659,19.723719
71,6210089506731732352,234.75348919104826,-28.617138335297977,19.79171
53,6210089639875467264,234.77167256136178,-28.600080197714167,19.817991
47,6210089712890179840,234.7696579768288,-28.583862466044515,19.853771
108,6210089399357437440,234.72125783833917,-28.610107146465456,19.86255
65,6210089506731732480,234.7504446620247,-28.616526059531907,19.869331
14,6210089811674300800,234.73514787418225,-28.58863447420254,19.925966
74,6210089506731831168,234.75548035874223,-28.617243767726194,20.02258
104,6210089742954684672,234.77475877523037,-28.577452010430626,20.045258
63,6210089983472921472,234.74254067867298,-28.57165044171374,20.137238
66,6210089987767937792,234.74262596091074,-28.571029138538904,20.185328
52,6210089712890180736,234.76880225135795,-28.581787896361153,20.249456
60,6210089850328978688,234.72310061226847,-28.595892731417784,20.31473
38,6210089846034040064,234.7289199774248,-28.586251501863803,20.316668
81,6210089742954684288,234.77547448404604,-28.583322966894663,20.320782
1,6210089609810961664,234.75191448795,-28.59312571759195,20.431118
41,6210089644170696960,234.77011620655514,-28.59877395253683,20.436947
