,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
38,2,1636148068921376768,Gaia DR3 6210092835331204992,6210092835331204992,1397364999,2016.0,234.72139495327588,0.18119806,-28.57269727403418,0.15872587,0.1534793341643033,0.22140463,0.69320744,6.8125095,-1.3194647840954024,0.25678295,-6.683509616095183,0.22766799,-0.24395189,-0.15013723,0.013452369,-0.18483254,-0.33834416,-0.21099645,0.4534875,-0.16221872,-0.10266136,-0.46839643,224,0,224,0,1.4206076,260.02548,0.5115006,1.3503321,31,False,1.4727954,,,,,,,,26,14,0.4132325,32,13,0,0.010377165,116.488754,0,0,1.0670857,0.24752805,0.37401372,0.26686954,0.56123513,-121.99685,23.67591,-17.125294,-34.89725,False,268,766.5828467229375,1.3326025,575.25244,18.47597,28,337.004852404554,10.560907,31.910597,19.019451,29,603.855183025533,9.888011,61.069427,17.795563,1.227343,0.0,0.0,0.0,1.0,0,1.2238884,0.5434818,0.6804066,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.9254538359649,21.34690387741381,239.1156605067453,-8.837281703541207,False,False,0,False,False,False,False,False,True,False,False,2.7930653e-11,7.19381e-13,0.9999915,4623.566,4610.9355,4637.298,4.8364,4.8171,4.8633,-1.3935,-1.5537,-1.2775,1538.452,1471.716,1586.1355,0.0079,0.0017,0.0198,0.0062,0.0013,0.0155,0.0033,0.0007,0.0084,MARCS,0.0317052925138512,IN,2,1
37,5,1636148068921376768,Gaia DR3 6210089399357361408,6210089399357361408,274263618,2016.0,234.7228427274039,0.3995243,-28.6013882836942,0.3996422,0.4789569055903144,0.43005812,1.1137028,12.99383,-7.866879139878469,0.61342686,-10.341751489214428,0.6013644,-0.4688644,-0.023720615,0.17001991,-0.3831735,-0.2811337,-0.49353087,0.6648495,0.074771896,-0.21709809,-0.6493287,225,0,225,0,30.416893,1745.7256,2.8580987,60.52992,31,False,1.4076568,,,,,,,,26,13,1.1200469,31,12,0,0.1540241,162.88075,0,0,2.7559834,0.25155494,0.4335344,0.24505997,0.5751024,-124.73154,32.389805,-17.259602,-35.55873,False,258,1109.7514830163166,7.6575174,144.92314,18.074303,28,456.6149196701086,10.99921,41.513428,18.689667,30,1092.3249869733622,10.04824,108.70809,17.152016,1.3957539,0.0,1.0,0.0,2.0,0,1.5376511,0.6153641,0.922287,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.90686493870174,21.32399136267308,239.123662953324,-8.864890889708448,False,False,0,False,False,False,False,False,True,True,False,1.1416944e-13,1.9459852e-09,0.9999765,4926.2485,4902.8623,4947.527,3.8243,3.8072,3.8524,0.1961,0.1112,0.2536,4385.3667,4268.1035,4455.659,1.0588,1.0347,1.0794,0.8136,0.7943,0.8301,0.4313,0.4203,0.4402,MARCS,0.0238702997332193,IN,2,1
101,8,1636148068921376768,Gaia DR3 6210092839626372992,6210092839626372992,1738069692,2016.0,234.72391641646675,0.85822344,-28.57593137838461,0.9821822,-0.6971889182438158,0.9491652,-0.7345285,3.393249,-3.392291552373852,1.4234251,-0.0806011028820554,1.5737237,-0.4983811,0.122463696,0.39238718,-0.4276618,-0.4722027,-0.54237086,0.7384753,0.09852888,-0.2090139,-0.69541514,191,0,189,2,1.1390378,216.76587,0.9932162,0.2938227,95,False,,1.5772927,0.1908456,-0.31860343,0.21296027,-0.24948777,-0.07281402,0.017206011,23,13,2.8305042,27,10,0,0.014773781,153.36816,0,0,1.0582687,0.156296,0.40018162,0.17157419,0.5234653,-125.38392,26.3069,-25.274323,-35.261272,False,215,114.47981370793816,0.8346154,137.16475,20.540545,21,58.77625660591713,9.328397,6.300789,20.915537,20,106.8174033423713,9.4643545,11.286285,19.67629,1.4464879,0.0,0.0,0.0,1.0,0,1.2392464,0.37499237,0.864254,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.92507097099235,21.343000599465388,239.1186009907398,-8.839912374603092,False,False,0,False,False,False,False,False,False,False,False,2.8583806e-06,6.4695556e-08,0.99999666,,,,,,,,,,,,,,,,,,,,,,,0.0279249276051663,IN,5,1
100,10,1636148068921376768,Gaia DR3 6210089850329127680,6210089850329127680,835698140,2016.0,234.72521205194565,2.2991133,-28.59465086514367,2.328772,,,,,,,,,-0.65634435,,,,,,,,,,150,0,150,0,7.6679873,317.57645,7.056086,6.485017,3,False,,,,,,,,,17,9,8.311434,19,5,0,0.2746173,19.829384,0,0,,0.25949565,0.47485656,0.15544815,0.4044149,-150.39575,21.357475,-22.208681,-38.592144,False,154,89.52859512005624,1.3076668,68.46438,20.807463,13,53.889124112960495,9.700234,5.5554457,21.009789,17,102.742286442669,6.064043,16.94287,19.718523,1.7495127,0.0,0.0,0.0,2.0,0,1.2912655,0.20232582,1.0889397,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.91319691940856,21.327855179277925,239.1241253005276,-8.857854440163736,False,False,0,False,False,False,False,False,False,False,False,2.8381437e-05,7.196811e-06,0.9991468,,,,,,,,,,,,,,,,,,,,,,,0.0205114753972034,IN,5,1
35,17,1636148068921376768,Gaia DR3 6210089781612194560,6210089781612194560,1055303532,2016.0,234.72929242564408,0.13414685,-28.594755069079238,0.114367515,0.4333515359619694,0.1550173,2.7955043,5.630842,-4.67082496426929,0.18666558,-3.144801660753624,0.16713023,-0.28616938,-0.05056931,-0.025793556,-0.20195442,-0.28293774,-0.24021697,0.432876,-0.12998223,-0.074914716,-0.4878442,234,0,234,0,-1.3211002,209.95511,0.0,0.0,31,False,1.485496,,,,,,,,27,14,0.30334783,32,14,0,0.015287261,161.55173,0,0,0.9374836,0.19946744,0.3744965,0.22418477,0.58681077,-122.03583,26.271025,-18.353762,-34.881435,False,267,1066.605825404947,1.5147303,704.1556,18.117357,29,476.593351496431,9.8565235,48.35309,18.643173,29,772.829558076352,9.447607,81.80162,17.527687,1.1714008,0.0,1.0,0.0,1.0,0,1.1154861,0.52581596,0.5896702,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.91608828271114,21.32549039295348,239.12767639560195,-8.85712290088469,False,False,0,False,False,False,False,False,True,True,False,3.0616454e-11,8.701665e-13,0.9999925,4856.2017,4844.1636,4870.456,4.7662,4.7498,4.7833,-1.0444,-1.1792,-0.9584,1766.7233,1711.6488,1813.4789,0.0075,0.0018,0.0189,0.006,0.0014,0.0151,0.0032,0.0007,0.0081,PHOENIX,0.0169412441765875,IN,2,1
33,19,1636148068921376768,Gaia DR3 6210089846033963648,6210089846033963648,810530152,2016.0,234.73093217897133,0.16094162,-28.588142378942827,0.14515676,0.5382618015937525,0.18949479,2.8405097,13.118999,-9.633229281316662,0.23349273,-8.905560900704307,0.21202777,-0.29140452,-0.1265779,-0.0007685784,-0.2218304,-0.31482464,-0.26374045,0.4561733,-0.11109708,-0.08243948,-0.50669783,246,0,245,1,-0.360472,241.53305,0.0,0.0,31,False,1.3891484,,,,,,,,28,14,0.38478175,33,14,0,0.02165897,164.37428,0,0,0.98221105,0.24256158,0.37931797,0.24989074,0.59765786,-122.73691,29.076708,-15.920224,-34.610317,False,279,783.8137267556109,1.3917165,563.1993,18.451836,31,263.39462419326344,7.3142104,36.011356,19.287025,29,713.5821696612401,7.875866,90.603645,17.614286,1.24644,0.0,1.0,0.0,0.0,0,1.672739,0.8351898,0.8375492,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.9218057744281,21.32966592562765,239.1275379273972,-8.850356664527743,False,False,0,False,False,False,False,False,True,False,False,1.0446634e-13,2.7663403e-12,0.9999951,3989.6956,3940.7632,4193.146,4.7672,4.6573,4.8365,-0.5415,-0.7751,-0.0617,1094.3793,938.6808,1459.6515,0.0455,0.0084,0.1389,0.0331,0.0061,0.1017,0.0178,0.0032,0.0548,PHOENIX,0.0163976645364687,IN,2,1
96,23,1636148068921376768,Gaia DR3 6210089884688873600,6210089884688873600,1010690502,2016.0,234.7346191267212,14.165627,-28.575991143013685,5.5845704,,,,,,,,,0.20253871,,,,,,,,,,51,0,50,1,2.2297912,68.75327,5.640568,1.6736574,3,False,,,,,,,,,6,5,10406.489,7,1,0,0.16305776,98.187744,0,0,,0.29628977,0.6046834,0.32589743,0.47226843,-15.19169,-11.368801,-36.074284,-28.90998,False,60,72.33546656548185,1.1993352,60.31297,21.038988,4,249.7767613233541,194.77449,1.2823895,19.344662,5,81.17272634150896,27.201696,2.9841053,19.974371,4.5752034,0.0,0.0,0.0,0.0,1,-0.62970924,-1.6943264,1.0646172,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.93280251603164,21.33696049517085,239.12786640190876,-8.83778568863512,False,False,0,False,False,False,False,False,False,False,False,0.00027244134,1.3816838e-05,0.9990717,,,,,,,,,,,,,,,,,,,,,,,0.0214374670492755,IN,5,1
95,26,1636148068921376768,Gaia DR3 6210089884688871296,6210089884688871296,1612919654,2016.0,234.7373240625953,1.1261914,-28.583059788886896,1.2501953,0.1472836232399491,1.1765729,0.12518018,9.912619,-9.20004924541106,1.6111387,-3.690407010305472,1.8573139,-0.6509985,0.2633492,0.33573565,-0.45355606,-0.46957436,-0.52945805,0.7199028,0.10554459,-0.25198954,-0.7434223,159,0,159,0,0.7492492,176.24487,0.0,0.0,95,False,,1.4298648,0.22800206,-0.35322413,0.29623628,-0.26649308,-0.09648995,0.05830518,18,11,3.3532624,21,9,0,0.026254466,173.91348,0,0,1.0409273,0.15828407,0.55042595,0.2123322,0.50663954,-119.12514,35.53995,-30.660023,-38.37044,False,175,104.28854718291954,1.026574,101.58893,20.641775,18,50.45974531616724,7.100237,7.106769,21.081179,16,65.76976351441256,9.038221,7.276848,20.20283,1.1144992,0.0,1.0,0.0,0.0,0,0.8783493,0.43940353,0.43894577,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.92992663249134,21.3300011890233,239.13186710556056,-8.844108701070677,False,False,0,False,False,False,False,False,False,False,False,2.0528854e-07,2.6597565e-08,0.99999344,,,,,,,,,,,,,,,,,,,,,,,0.0144269775579934,IN,5,1
31,28,1636148068921376768,Gaia DR3 6210089781612193920,6210089781612193920,1483313744,2016.0,234.73825426587663,0.11951946,-28.604496544177373,0.10466834,0.0405766981708141,0.13508551,0.30037788,8.443817,-7.062259149541566,0.17354146,-4.628450209582436,0.15188746,-0.25139737,-0.0812937,0.007547074,-0.159963,-0.24019153,-0.18225935,0.32781228,-0.09689581,-0.07323402,-0.40908659,209,0,209,0,0.6901917,226.64906,0.0,0.0,31,False,1.5355959,,,,,,,,24,14,0.2713137,29,12,0,0.029384438,0.340273,0,0,1.0327114,0.18151096,0.33510667,0.16341187,0.6723478,-122.84655,29.372307,-13.978233,-34.348946,False,234,1301.1558265640056,1.8254999,712.76685,17.901543,28,663.8028107842215,10.735756,61.831028,18.283445,28,903.2673598667692,11.387435,79.3214,17.358355,1.2043678,0.0,0.0,0.0,0.0,0,0.9250908,0.3819027,0.5431881,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.9159258448285,21.31296902309013,239.13771336566012,-8.864768628318233,False,False,0,False,False,False,False,False,True,True,False,6.111306e-11,6.2311484e-13,0.9999762,5270.1064,5255.972,5285.9736,4.7224,4.688,4.7542,-1.8411,-2.0178,-1.6911,1978.9014,1899.2697,2082.151,0.0069,0.0019,0.0164,0.0056,0.0015,0.0135,0.0031,0.0008,0.0074,MARCS,0.0141531459186419,IN,2,1
29,31,1636148068921376768,Gaia DR3 6210089811674225792,6210089811674225792,1170451549,2016.0,234.74071074772283,0.12074881,-28.58315459493607,0.11426512,0.1866888013258872,0.13755643,1.3571798,9.605457,-9.572996281365777,0.16946614,-0.78902251420701,0.15798753,-0.39916167,-0.08854675,0.059093054,-0.2968648,-0.3002052,-0.3102343,0.5212601,-0.10019883,-0.09627525,-0.53029996,226,0,225,1,-0.09959178,226.2879,0.0,0.0,31,False,1.5473619,,,,,,,,26,13,0.2874887,31,14,0,0.022965956,174.63937,0,0,0.99374354,0.26356032,0.4523676,0.24729773,0.5825559,-124.2354,34.16672,-17.222218,-35.77905,False,252,1299.229536489238,1.6025368,810.73303,17.903152,26,688.3652293255204,9.720551,70.81546,18.243996,26,865.0524332615443,8.758587,98.76621,17.405289,1.1956453,0.0,1.0,0.0,0.0,0,0.838707,0.3408432,0.49786377,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.93232063324734,21.328031362190284,239.1348167102685,-8.843509769394739,False,False,0,False,False,False,False,False,True,True,False,1.1411756e-10,5.874374e-13,0.99994224,5485.441,5471.3477,5498.662,4.7301,4.7122,4.7412,-1.2126,-1.3552,-1.065,2324.808,2274.988,2391.9954,0.0032,0.0007,0.0089,0.0027,0.0006,0.0074,0.0014,0.0003,0.0041,MARCS,0.0125062227035772,IN,2,1
