,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight
136,1636148068921376768,Gaia DR3 6709878766312642944,6709878766312642944,971370067,2016.0,279.1070714678106,0.02800625,-44.310962390678384,0.027481558,9.444046668136274,0.03627957,260.31308,233.16922,-169.78778201045824,0.029032728,-159.81237730420762,0.025417969,0.310874,-0.1410698,-0.31422037,-0.08144234,-0.4061344,0.026462223,-0.5791927,-0.15898152,0.26626527,0.27233106,388,388,386,2,33.965813,5241.4224,0.27015355,108.87402,31,True,1.5613959,,,,,,,,44,16,0.045355573,44,29,1,0.05996338,178.0133,0,0,2.4547431,,,,,,,,,False,365,1779062.4800243773,313.4844,5675.1226,10.061889,42,964080.0550189834,350.20596,2752.8945,10.37826,42,1176133.9284869677,195.44041,6017.8643,9.5717535,1.203001,0,9,0,0,0,0.80650616,0.31637096,0.4901352,-3.5800974,0.30870685,1,14,4,9,91.26656,1.2977946,0.041568086,976.58563,2.9569018,5500.0,4.0,-0.75,222,7.0314174,3.050941,9,9.3706255,0.009879328,10,,NOT_AVAILABLE,350.9254625673262,-16.072321778091943,276.9724166635441,-21.091858812878225,False,False,1,True,True,False,False,False,True,True,False,1.0508702e-13,5.249044e-13,0.99969655,5637.078,5635.7847,5639.4365,4.4233,4.4204,4.4256,-0.8523,-0.8582,-0.8465,104.9957,104.5841,105.4731,0.0008,0.0002,0.0023,0.0007,1e-04,0.0019,0.0004,1e-04,0.0011,MARCS,0.001044470811346175,IN,1
255,1636148068921376768,Gaia DR3 6709877911622228224,6709877911622228224,794955552,2016.0,279.13394768293995,0.013832492,-44.331400999153566,0.013685437,0.4357908341601665,0.018357476,23.739147,4.8173265,3.4687020953217935,0.015233038,-3.3428641567999313,0.0132362135,0.2633131,-0.1679401,-0.34894174,-0.070430905,-0.44942844,0.026651446,-0.60093105,-0.14142665,0.27477592,0.30113673,394,0,392,2,2.3472235,576.8493,0.07013989,4.461526,31,False,1.6888703,,,,,,,,46,16,0.023808174,46,30,0,0.08171761,176.77657,0,0,1.0846596,0.4429043,0.3981052,0.14857295,0.77968276,178.84842,-28.31001,15.817984,-43.046474,False,354,75257.84218135466,33.314964,2258.9802,13.495988,40,50228.82045732667,43.721947,1148.824,13.58616,38,36371.47834436385,25.44649,1429.3319,13.345993,1.1507146,0,0,0,0,0,0.24016666,0.090171814,0.14999485,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,350.9134407397522,-16.097895775391056,276.99149927654287,-21.11355022129731,False,False,0,True,True,False,False,False,True,True,False,1.03646895e-13,5.1771104e-13,0.9998398,8771.584,8747.828,8802.796,4.1284,4.1172,4.1415,0.1484,0.1173,0.1867,2326.0503,2285.723,2366.9944,0.3258,0.3187,0.3352,0.3053,0.2986,0.3142,0.1621,0.1585,0.1668,A,0.028082154029651266,IN,1
117,1636148068921376768,Gaia DR3 6709878598817010944,6709878598817010944,1115662372,2016.0,279.10236679668765,0.013399489,-44.31684560527141,0.013642594,0.8734043321084107,0.018322142,47.66934,7.730986,-2.8125863187309323,0.014888021,-7.201215636687655,0.012814049,0.16978747,-0.077767834,-0.40277973,-0.01968116,-0.5021575,0.114192925,-0.6443625,-0.23051797,0.34230694,0.1854877,381,0,379,2,-0.041680582,375.85947,0.0,2.0784012e-15,31,False,1.5915827,,,,,,,,44,16,0.02228931,44,29,0,0.06333726,177.0554,0,0,0.9975857,0.42630258,0.37115914,0.1036707,0.774299,-175.9507,-26.359459,13.334666,-43.181335,False,377,57980.02194648695,14.83928,3907.1992,13.779171,36,33206.45745547239,19.687147,1686.7074,14.035486,35,35508.12551801719,21.258411,1670.3094,13.372076,1.1851424,0,0,0,0,0,0.6634102,0.25631523,0.40709496,24.370443,7.6913304,2,15,4,9,6.7091403,,,976.5857,,6250.0,4.5,-0.5,101,,,,13.156851,0.071906015,12,,NOT_AVAILABLE,350.9184662288558,-16.0714574942054,276.96839137287435,-21.097501515342007,False,False,0,True,True,False,False,False,True,True,False,1.0414262e-13,5.2018714e-13,0.99979013,6277.186,6261.162,6292.602,4.1987,4.1832,4.2167,-0.139,-0.1514,-0.1278,1065.791,1047.3525,1082.3646,0.0657,0.0574,0.0736,0.0567,0.0495,0.0636,0.0305,0.0266,0.0342,MARCS,0.00778338640846631,IN,1
67,1636148068921376768,Gaia DR3 6709878938111557376,6709878938111557376,398876982,2016.0,279.09189736545244,0.02016683,-44.29104176325471,0.019296162,1.5527395801144388,0.024729503,62.78895,24.411022,-1.039328888952872,0.022950083,-24.388887243498345,0.01967314,0.25966787,-0.10420487,-0.35953885,-0.028569981,-0.33886728,0.02107506,-0.58713907,-0.09922072,0.23472264,0.36057183,365,0,364,1,2.396542,434.9602,0.07435692,2.3140721,31,False,1.5013694,,,,,,,,42,16,0.036000118,42,28,0,0.06365719,177.03717,0,0,1.0898027,0.43885693,0.44717726,0.21431786,0.7814655,172.63402,-30.67056,20.580008,-42.29839,False,342,29431.3689791841,5.9280114,4964.7964,14.515341,34,14152.645850021752,18.67369,757.8923,14.961448,32,21627.490587587672,19.041906,1135.7839,13.91038,1.2157143,0,0,0,0,0,1.0510674,0.4461069,0.60496044,-34.746304,5.1036654,2,10,2,8,3.3691382,,,976.51166,,5000.0,4.0,0.0,111,,,,13.577297,0.14797807,10,,NOT_AVAILABLE,350.94030313736084,-16.05467561571272,276.96224374774215,-21.071251336006974,False,False,0,True,True,False,False,False,True,True,False,1.03072966e-13,5.1484435e-13,0.999896,5237.144,5222.4185,5250.2793,4.5954,4.5873,4.6044,0.0522,0.0296,0.068,548.8453,540.41,555.9216,0.1925,0.1827,0.2018,0.1555,0.1477,0.1631,0.0823,0.0781,0.0864,MARCS,0.02244624684931159,IN,1
129,1636148068921376768,Gaia DR3 6709878701896224768,6709878701896224768,1033102508,2016.0,279.1052309327732,0.021760099,-44.317764698204336,0.022400364,0.19156043342509693,0.03021489,6.339935,4.4396987,-3.040093642872387,0.024553241,-3.2355453954596505,0.020939957,0.17702906,-0.07456961,-0.3798969,-0.009436044,-0.5202694,0.13786736,-0.63325304,-0.2557306,0.33936796,0.19509469,391,0,391,0,1.0197077,427.4216,0.0,0.0,31,False,1.4696063,,,,,,,,45,16,0.036517657,45,30,0,0.050315883,177.50409,0,0,1.0360497,0.43338728,0.38471106,0.12548251,0.7767112,-178.4793,-26.8504,16.176956,-42.91433,False,383,18402.07677688799,4.3024135,4277.152,15.0252,41,8186.5221630287715,13.317624,614.71344,15.555794,40,14566.832353339902,11.466648,1270.3654,14.339482,1.2364558,0,2,0,0,0,1.2163115,0.5305939,0.6857176,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,350.91839669389503,-16.073702408476773,276.9705163883496,-21.09855675589929,False,False,0,True,False,False,False,False,True,True,False,1.0220223e-13,5.1049545e-13,0.9999822,4776.76,4677.6475,4851.2,2.6003,2.4643,2.8181,-0.2417,-0.2501,-0.2331,6619.9346,5211.7983,7655.8955,0.1714,0.0514,0.2549,0.1344,0.0401,0.2005,0.071,0.0211,0.1062,MARCS,0.007800234447543447,IN,1
251,1636148068921376768,Gaia DR3 6709877980341711488,6709877980341711488,1078469905,2016.0,279.13366717661927,0.022540113,-44.31028020575801,0.02273289,0.8536898576009391,0.030232146,28.23782,15.864494,9.775579863336393,0.024975182,-12.4948077067252,0.021318857,0.2020281,-0.042152748,-0.39433146,-0.020494785,-0.4900591,0.1129567,-0.63621753,-0.2520009,0.3359138,0.2137671,383,0,382,1,-0.55983275,375.56802,0.0,0.0,31,False,1.5273626,,,,,,,,44,16,0.037582662,44,30,0,0.046377394,177.0974,0,0,0.9788035,0.4226915,0.42088428,0.13610801,0.7724558,178.96852,-28.269732,20.313143,-42.750114,False,379,17779.875531580416,4.55797,3900.832,15.062545,41,9062.75636238424,14.96849,605.4556,15.445392,41,12466.05217605891,10.066872,1238.3243,14.508574,1.2108526,0,0,0,0,0,0.9368181,0.38284683,0.5539713,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,350.9336799857213,-16.089650830518725,276.9928169320199,-21.092464277091924,False,False,0,True,False,False,False,False,True,True,False,1.0264799e-13,5.127216e-13,0.999938,5459.616,5448.3613,5472.5015,4.4168,4.4037,4.4307,0.0402,0.0252,0.056,970.3901,952.4187,989.2456,0.1117,0.103,0.1214,0.0918,0.0847,0.0998,0.0488,0.045,0.0531,MARCS,0.01827090591058402,IN,1
82,1636148068921376768,Gaia DR3 6709878667536493056,6709878667536493056,420612270,2016.0,279.0957873913941,0.024594935,-44.30550985690691,0.023958616,0.24734321363386993,0.031855717,7.764484,8.006494,-1.8313166853727876,0.026848976,-7.794242297439304,0.023324864,0.29167435,-0.09698381,-0.32912073,-0.05281428,-0.38221273,0.021711422,-0.5829006,-0.12066617,0.2847895,0.32531685,392,0,390,2,2.2845607,469.6134,0.0769204,1.391762,31,False,1.5116777,,,,,,,,45,16,0.04210676,45,29,0,0.061985478,177.6459,0,0,1.0825603,0.4294723,0.40764353,0.14751871,0.7773203,178.32018,-28.746372,17.14754,-42.970943,False,361,15926.903423804339,3.7865536,4206.174,15.182038,37,7793.544688302174,8.3778715,930.25354,15.609204,36,11734.874396449894,14.24454,823.8156,14.5742,1.2261277,0,0,0,2,0,1.0350046,0.427166,0.60783863,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,350.92749683724475,-16.062776557312283,276.9641760283617,-21.085874141180398,False,False,0,True,False,False,False,False,True,True,False,1.0222028e-13,5.105867e-13,0.9999804,5694.177,5683.131,5705.823,3.5653,3.5597,3.5693,-0.3698,-0.3704,-0.3687,3211.5193,3200.3188,3229.9287,0.5538,0.5465,0.5622,0.4569,0.4506,0.4639,0.2471,0.2437,0.251,MARCS,0.010024453529216219,IN,1
202,1636148068921376768,Gaia DR3 6709878701896221568,6709878701896221568,1234712660,2016.0,279.12290791019973,0.024579681,-44.31135097963376,0.023638265,3.6125083869884866,0.030610885,118.01385,33.0413,-4.225861862310093,0.02779586,-32.76994982694484,0.023694882,0.20665841,-0.16558611,-0.34265873,0.013606056,-0.39465618,0.08226488,-0.5816312,-0.11689055,0.23530649,0.2950263,381,0,381,0,1.1127608,412.70633,0.0,0.0,31,False,1.3645128,,,,,,,,44,16,0.042346813,44,29,0,0.051241953,0.5017312,0,0,1.0399531,0.45404613,0.40834522,0.1817217,0.7745427,175.61575,-28.608807,18.007507,-42.848503,False,379,15055.25379636625,4.957439,3036.9016,15.243147,43,4731.2840057190815,8.35679,566.16046,16.151094,42,15076.025335440536,13.387163,1126.1554,14.302178,1.315641,0,0,0,0,0,1.848916,0.90794754,0.9409685,-16.798378,8.914739,2,12,3,8,3.454096,,,976.58563,,4250.0,4.5,0.5,101,,,,13.898467,0.14483182,10,,NOT_AVAILABLE,350.9295916303646,-16.082943490560197,276.9845064166705,-21.093011864461936,False,False,0,True,False,False,False,False,False,True,False,1.0964923e-13,5.4788417e-13,0.9992449,,,,,,,,,,,,,,,,,,,,,,,0.010629376257215049,IN,1
259,1636148068921376768,Gaia DR3 6709878804975438976,6709878804975438976,1517127266,2016.0,279.13507345738884,0.025002234,-44.291463114832666,0.02581163,0.7661999815868231,0.03463482,22.122244,4.9618883,4.615445881125746,0.028424976,-1.8215369399966033,0.024339873,0.2077738,-0.04261694,-0.3889811,-0.04863812,-0.52585363,0.100296095,-0.63749963,-0.25967792,0.35363087,0.2146138,393,0,392,1,-1.7722964,353.44113,0.0,0.0,31,False,1.4971619,,,,,,,,45,17,0.04282448,45,29,0,0.043594744,178.30206,0,0,0.93613464,0.39415142,0.3933166,0.0897746,0.77938926,-175.09183,-27.399504,13.077017,-42.836433,False,387,13213.164921984233,3.5907218,3679.8074,15.38485,41,6295.655044456296,13.307837,473.07877,15.8409395,40,9811.034986832827,10.442317,939.5458,14.768608,1.2189881,1,0,0,0,0,1.0723314,0.45608997,0.61624146,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,350.95218116570624,-16.083399201694988,276.9952579767819,-21.073758443581827,False,False,0,True,False,False,False,False,True,True,False,1.02396654e-13,5.114669e-13,0.9999629,5041.4966,5034.933,5049.457,4.4059,4.3849,4.4559,-0.1838,-0.1965,-0.1702,1005.9449,914.3801,1045.58,0.0038,0.0009,0.0101,0.003,0.0007,0.0081,0.0016,0.0004,0.0043,PHOENIX,0.026917060674505874,IN,1
45,1636148068921376768,Gaia DR3 6709878942414408064,6709878942414408064,894575755,2016.0,279.0840379294057,0.028850213,-44.28705361967556,0.027693821,0.5347343272558392,0.035437156,15.089651,3.225055,-3.225054563068656,0.032976344,0.0018366726696186794,0.028243667,0.33827972,-0.07461667,-0.360214,-0.110338435,-0.35808298,-0.052132156,-0.5844334,-0.12726253,0.2537887,0.42389035,358,0,356,2,-0.9911354,339.60345,0.0,2.1454165e-15,31,False,1.5544325,,,,,,,,41,16,0.053196672,41,27,0,0.061498985,177.03546,0,0,0.9618886,0.40188736,0.47682098,0.1864252,0.7820731,172.81024,-31.809721,22.631132,-42.59369,False,353,11286.421567727695,3.8881989,2902.7378,15.555976,38,6052.743137630981,12.963247,466.91565,15.883661,38,7528.540773696768,9.4747715,794.58813,15.056118,1.2033294,0,0,0,0,0,0.82754326,0.32768536,0.4998579,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,350.94190064972435,-16.0479525123492,276.95651614438225,-21.066893442106654,False,False,0,True,False,False,True,False,True,True,False,1.02453114e-13,5.117496e-13,0.9999574,5728.248,5711.662,5751.56,3.8211,3.8072,3.8725,-0.6174,-0.6399,-0.5924,2800.9597,2599.1433,2840.3354,0.072,0.0606,0.0857,0.0604,0.0508,0.0719,0.0326,0.0274,0.0388,PHOENIX,0.028901589502515333,IN,1
