RA,DEC,J,H,Av,R,Weight
274.7438834,-13.80791066,12.71024485,12.615406,-4.3843844,10.939674,0
274.7059671,-13.78019698,14.27335619,13.832111,-3.3033033,13.432515,0
274.754341,-13.83068389,16.49502229,15.945682,-0.54054054,18.030157,0
274.6659601,-13.79560953,12.93108215,12.55665,-0.42042042,14.569521,0
274.7059686,-13.7808792,13.92327477,13.388028,-0.18018018,15.76832,0
274.7334369,-13.80937636,15.18282805,14.416686,-0.06006006,17.131176,0
274.6456526,-13.75817454,15.70904625,14.900103,0.42042042,18.070608,0
274.6713822,-13.75795206,15.66421037,14.805153,0.9009009,18.438985,0
274.6672712,-13.78400242,15.88718743,15.015254,1.021021,18.765266,0
274.6933607,-13.82215012,15.24288765,14.390099,1.2612613,18.327572,0
274.655734,-13.79252075,16.48288913,15.63222,1.5015015,19.77418,0
274.6865775,-13.77597078,16.01711403,15.05792,1.7417417,19.515012,0
274.6778566,-13.79812379,16.7220068,15.866256,1.8618619,20.323208,0
274.7371652,-13.8267186,16.31375956,15.383904,2.1021021,20.121567,0
274.6927951,-13.80675465,16.51519252,15.561212,2.3423423,20.529607,0
274.7469642,-13.76160459,16.093616,15.074879,2.4624625,20.211334,0
274.6723216,-13.78891471,17.35907787,16.468793,2.4624625,21.476796,0
274.7197363,-13.76780721,16.72782996,15.762305,2.5825826,20.948851,0
274.7295277,-13.76291599,17.53469492,16.624593,2.8228228,21.962323,0
274.6392163,-13.79656426,17.67878327,16.773247,2.9429429,22.209714,0
274.6546439,-13.80587523,16.94691901,15.94696,3.0630631,21.581153,0
274.6390748,-13.77686867,17.79360911,16.87204,3.0630631,22.427843,0
274.7520574,-13.79942949,17.21357996,16.237573,3.1831832,21.951118,0
274.6491202,-13.80568368,16.74106533,15.692755,3.1831832,21.478603,0
274.6883749,-13.77424056,16.96524009,15.962963,3.1831832,21.702778,0
274.7009597,-13.8189224,12.67434802,12.392846,3.1831832,17.411886,0
274.6478846,-13.80719213,15.7795227,14.714324,3.3033033,20.620364,0
274.6652617,-13.78969385,16.67845566,15.600342,3.3033033,21.519297,0
274.6525694,-13.75182735,16.62974969,15.452383,3.9039039,21.987107,0
274.7411008,-13.80308512,18.79941921,17.92376,4.024024,24.26008,0
274.6637819,-13.81428119,12.89727233,12.498878,4.024024,18.357933,0
274.7349202,-13.78576578,16.76942945,15.57668,4.1441441,22.333393,0
274.6750424,-13.80097534,16.01821358,14.873666,4.1441441,21.582178,0
274.6894845,-13.79924595,16.71157947,15.520852,4.1441441,22.275543,0
274.7193875,-13.75630371,15.68061074,14.588748,4.1441441,21.244575,0
274.6930495,-13.82411339,15.50503456,14.43215,4.3843844,21.275605,0
274.7549712,-13.79283347,16.95537857,15.745844,4.5045045,22.829253,0
274.6977063,-13.80212552,15.75617534,14.622534,4.7447447,21.836656,0
274.6609504,-13.77941893,13.67912298,12.827741,4.984985,19.96621,0
274.7082126,-13.78233035,15.31017559,14.248768,4.984985,21.597263,0
274.7421673,-13.79215326,16.74208604,15.412412,5.3453453,23.339083,0
274.6763833,-13.83173291,14.97810673,13.945879,5.3453453,21.575104,0
274.6892076,-13.79623434,15.63169781,14.493314,5.3453453,22.228695,0
274.6712559,-13.79701704,16.30115591,15.022602,5.4654655,23.001456,0
274.6473669,-13.76582241,17.11745893,15.789664,5.5855856,23.921063,0
274.6259515,-13.73800227,15.94476073,14.711387,5.9459459,23.058274,0
274.7207155,-13.82727295,16.46337001,15.108896,6.3063063,23.886794,0
274.6779088,-13.79171413,13.88316239,12.908815,6.3063063,21.306586,0
274.6626911,-13.74334951,16.67561019,15.298419,6.4264264,24.202337,0
274.6672263,-13.77858008,14.19052126,13.13337,6.9069069,22.130461,0
274.6952217,-13.75574034,16.54577839,15.155676,6.9069069,24.485718,0
274.7293812,-13.77900516,13.44168907,12.535556,7.3873874,21.794842,0
274.7094002,-13.75881444,15.07869552,13.900026,7.3873874,23.431849,0
274.6938628,-13.75295135,13.46529344,12.579437,7.5075075,21.92175,0
274.6597528,-13.79266683,14.91687864,13.724213,7.7477477,23.579942,0
274.6615081,-13.79489763,18.38743501,16.898207,7.7477477,27.050498,0
274.6409006,-13.81775369,17.47709156,15.889724,7.7477477,26.140155,0
274.7088639,-13.80291359,16.54353333,15.09237,7.987988,25.413203,0
274.6554292,-13.76583966,14.35959101,13.192504,8.1081081,23.332564,0
274.7125213,-13.77350706,14.59818322,13.402841,8.2282282,23.67446,0
274.660621,-13.76136054,15.35695201,14.07413,8.3483483,24.536532,0
274.6841579,-13.80482211,13.77248103,12.715446,8.3483483,22.952061,0
274.6771508,-13.79313136,15.02568432,13.792208,8.4684685,24.308567,0
274.668632,-13.78840423,13.90785236,13.029464,8.5885886,23.294039,0
274.6502961,-13.74934832,13.98443149,12.835681,8.7087087,23.473921,0
274.6349447,-13.73758646,18.0882527,16.424233,8.7087087,27.577742,0
274.6703219,-13.77664083,13.82705369,12.771891,8.7087087,23.316543,0
274.6383882,-13.81326893,16.22748582,14.800575,8.7087087,25.716975,0
274.7107663,-13.74705883,14.8772984,13.621927,8.7087087,24.366788,0
274.697675,-13.83964189,19.35040088,17.810861,8.8288288,28.943194,0
274.6662369,-13.79100356,18.54964965,16.901504,8.9489489,28.245746,0
274.6908568,-13.79936685,16.01688094,14.618473,8.9489489,25.712977,0
274.6619409,-13.74364525,16.2689918,14.807609,9.0690691,26.068391,0
274.6799465,-13.77759253,14.18811974,13.218517,9.4294294,24.297429,0
274.6545789,-13.81124035,17.29374016,15.617655,9.5495495,27.506353,0
274.7177144,-13.77751571,13.30077399,12.362141,9.5495495,23.513387,0
274.6322666,-13.75984997,14.42999853,13.434843,9.6696697,24.745915,0
274.671743,-13.74284898,16.35048162,14.839089,9.6696697,26.666398,0
274.744224,-13.83244532,14.21533092,13.191358,9.7897898,24.63455,0
274.6909848,-13.79281956,15.11368614,13.742433,10.03003,25.739512,0
274.7201894,-13.81015484,14.96383475,13.600904,10.03003,25.589661,0
274.6750834,-13.82841393,14.26416531,13.162039,10.27027,25.096598,0
274.6860124,-13.80010126,14.54720617,13.505443,10.510511,25.586245,0
274.6882628,-13.81034584,14.14535484,13.089982,10.750751,25.391001,0
274.6882628,-13.81034584,14.14535484,13.089982,10.750751,25.391001,0
274.6655536,-13.7643539,13.67357863,12.62863,10.870871,25.022528,0
274.7508692,-13.7610719,13.53706865,12.467613,11.111111,25.092624,0
274.667721,-13.76556987,14.60695163,13.433395,11.231231,26.265811,0
274.7304387,-13.78102007,13.6534708,12.55115,11.471471,25.518936,0
274.6689294,-13.77204579,15.71697491,14.177899,11.471471,27.582441,0
274.6945299,-13.78252068,16.27848489,14.665379,11.591592,28.247254,0
274.6550898,-13.78907158,14.66181009,13.361851,11.711712,26.733882,0
274.7225662,-13.74461536,13.76920229,12.639406,11.831832,25.944578,0
274.7406658,-13.74504651,14.22376658,13.06131,11.831832,26.399142,0
274.7064332,-13.77492469,15.25984918,14.075238,11.831832,27.435225,0
274.7059074,-13.78861497,15.45203571,14.213875,12.192192,27.937321,0
274.7031817,-13.76974287,18.27083777,16.272632,12.432432,30.96273,0
274.6858745,-13.84299534,15.80283088,14.164949,12.552553,28.598026,0
274.6952598,-13.77406177,16.36052751,14.663176,12.672673,29.259026,0
