,RA,DEC,J,H,Av,R,Weight,in_field
0,274.6659601,-13.79560953,12.93108215,12.55665,-0.42042042,14.569521,1,IN
1801,274.665047,-13.7595638,19.0543641,17.23142,10.750751,30.30001,1,IN
1802,274.6504374,-13.75954807,18.01999736,16.168066,10.750751,29.265643,1,IN
1803,274.6949501,-13.75914524,19.51700929,17.761685,10.750751,30.762655,1,IN
1804,274.6893135,-13.75777698,18.36144131,16.466937,10.750751,29.607087,1,IN
1805,274.6897912,-13.75416318,18.3560953,16.461331,10.750751,29.601741,1,IN
1806,274.6667055,-13.75378725,14.92817488,13.821758,10.750751,26.173821,1,IN
1807,274.6561741,-13.79880888,14.52247616,13.46622,10.750751,25.768122,1,IN
1808,274.6532478,-13.79613799,19.0630803,17.248057,10.750751,30.308726,1,IN
1809,274.6798795,-13.795406,14.92586601,13.81683,10.750751,26.171512,1,IN
1810,274.6498182,-13.78986165,19.14549992,17.353212,10.750751,30.391146,1,IN
1811,274.6638089,-13.78904077,14.83602924,13.759026,10.750751,26.081675,1,IN
1812,274.6738634,-13.78598383,18.80866435,16.9567,10.750751,30.05431,1,IN
1813,274.6678851,-13.78591031,19.36944648,17.587601,10.750751,30.615092,1,IN
1814,274.691389,-13.78501301,18.59438789,16.717511,10.750751,29.840034,1,IN
1815,274.6979072,-13.78399998,19.37480767,17.573416,10.750751,30.620453,1,IN
1816,274.6845674,-13.78232856,15.03570875,13.919037,10.870871,26.384658,1,IN
1817,274.6591108,-13.77927092,18.02625386,16.167255,10.870871,29.375203,1,IN
1800,274.6895118,-13.75981625,18.95002404,17.11925,10.750751,30.19567,1,IN
1818,274.685408,-13.77240009,19.54319933,17.764664,10.870871,30.892148,1,IN
1799,274.6709875,-13.76240265,19.77894845,18.042283,10.750751,31.024594,1,IN
1797,274.6958954,-13.7627273,19.37010944,17.571235,10.750751,30.615755,1,IN
1780,274.6962913,-13.78261653,18.91297541,17.098914,10.630631,30.055318,1,IN
1781,274.6855575,-13.7783766,15.00757047,13.906695,10.750751,26.253216,1,IN
1782,274.6536005,-13.77717171,20.22372658,18.516605,10.750751,31.469372,1,IN
1783,274.6520706,-13.77701859,19.39732956,17.611081,10.750751,30.642975,1,IN
1784,274.6554173,-13.77659799,14.81337896,13.718364,10.750751,26.059025,1,IN
1785,274.6532611,-13.77651659,19.38288568,17.632505,10.750751,30.628531,1,IN
1786,274.6972839,-13.77473854,16.5193258,14.929707,10.750751,27.764972,1,IN
1787,274.6959104,-13.77286507,19.11627119,17.319172,10.750751,30.361917,1,IN
1788,274.6641366,-13.7720622,19.6134856,17.885242,10.750751,30.859131,1,IN
1789,274.6730248,-13.76874021,14.73788786,13.650137,10.750751,25.983534,1,IN
1790,274.6717791,-13.76831782,18.59347646,16.710912,10.750751,29.839122,1,IN
1791,274.6541016,-13.76797883,19.72548439,17.98012,10.750751,30.97113,1,IN
1792,274.6800831,-13.76474148,20.27498985,18.582258,10.750751,31.520636,1,IN
1793,274.6705814,-13.7645146,18.33599454,16.418523,10.750751,29.58164,1,IN
1794,274.6530791,-13.76356135,19.99564142,18.272952,10.750751,31.241287,1,IN
1795,274.665307,-13.76338817,19.11015372,17.294467,10.750751,30.3558,1,IN
1796,274.6768945,-13.76332938,19.71813899,17.995041,10.750751,30.963785,1,IN
1798,274.6954188,-13.76267555,20.0077141,18.286038,10.750751,31.25336,1,IN
