,MainID,ra_now,dec_now,Gmag
705,4146599166888812032,274.65017549472753,-13.793468904953311,8.574139
442,4146612494169472256,274.66706328637224,-13.755174660747464,9.049136
264,4146600781797073920,274.69104610418367,-13.775265613153433,9.595738
45,4146600678717290624,274.67823571693754,-13.780836539220333,9.925525
205,4146612395388085376,274.6617479844558,-13.778977769074203,10.515964
63,4146600640059736704,274.6698258874817,-13.781130036098626,10.9122715
294,4146612395388089344,274.6577710673332,-13.776442119602462,10.91822
315,4146612425449995648,274.67069249726586,-13.758243626320414,11.217353
718,4146599162597495680,274.6540624029451,-13.798003324414015,11.288234
582,4146600575638051712,274.686086869529,-13.799015699433633,11.601361
616,4146599162597494528,274.65308015971567,-13.792529682086784,11.840738
37,4146600674426016640,274.6757890814059,-13.781127397054885,11.945735
166,4146600674426037248,274.68742469662595,-13.773596051070548,11.959834
70,4146600644352707072,274.6697988305841,-13.781438115548625,11.999284
307,4146612425449995776,274.6602733925369,-13.7656294606674,12.309884
349,4146600777505252608,274.6876335842016,-13.761407828318388,12.396782
529,4146600575638052608,274.68766778282276,-13.796449188835561,12.472567
342,4146600640059737088,274.66001047057193,-13.785864112088733,12.513246
261,4146600777505249408,274.6855195168397,-13.763379089996414,12.565578
449,4146612528535774080,274.687384605322,-13.756975173781731,12.861246
17,4146600678717295104,274.6737238720498,-13.778859774426417,12.884526
608,4146600369479619584,274.6899640078569,-13.798121577012656,12.899008
56,4146612425456526208,274.66816623661737,-13.771699047052616,12.990537
148,4146600644357557888,274.6670357502966,-13.783577372568287,13.214215
670,4146600403839355392,274.6947723358752,-13.796871573693418,13.23528
572,4146612498467318400,274.6544109828375,-13.7582056015955,13.342925
411,4146600609998380800,274.69419504093884,-13.783313783095169,13.348633
152,4146600644357559680,274.6656380270774,-13.782338883575498,13.4941635
556,4146610913628015872,274.65272334348055,-13.788734483521969,13.538541
445,4146599093878041088,274.66923504111315,-13.795640807281355,13.543217
27,4146600674426021888,274.67870782446124,-13.778524859412013,13.543739
579,4146610913628014080,274.65185711436925,-13.788600683470195,13.545285
3,4146600678717298304,274.6732497101157,-13.775268320154426,13.672956
