,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,5.94,266608083,39,3,181841.58-134630.9,274.673321,-13.775257,47,36,57396.2346,8,0.994,16.8896,0.0268,16.881,0.0657,16.8885,0.0312,16.3334,0.0244,16.2493,0.0573,16.352,0.0236,14.6357,0.0173,14.5969,0.0272,14.6334,0.0171,13.8228,0.0146,13.7909,0.017,13.8266,0.0113,13.0734,0.0179,13.0436,0.0126,13.0904,0.0139,12.634,0.024,12.5327,0.024,12.6455,0.0214,10.06,266608091.0
1,6.54,266608104,6,1,181842.22-134624.4,274.675934,-13.773425,55,38,57219.3098,0,0.977,,,,,,,,,,,,,,,,,,,,,,,,,17.9272,0.0729,18.0255,0.0735,17.9327,0.0384,17.0853,0.0395,17.2335,0.1037,17.1013,0.0556,4.9,2374957661.0
2,7.21,266608098,4,1,181842.48-134631.2,274.677031,-13.775351,55,68,57038.0339,0,0.835,,,,,,,,,,,,,,,,,,,,,,,,,17.2898,0.1879,17.6603,0.0823,17.5633,0.0652,16.2282,0.2461,16.0543,0.6599,16.6228,0.1552,4.08,2374957661.0
3,7.77,2374957661,0,1043,181842.49-134627.1,274.677072,-13.774218,36,36,58430.72,0,0.944,,,,,,,,,,,,,,,,,,,,,,,,,18.6631,,19.1678,,18.8472,,17.519,,17.8671,,17.4469,,4.08,266608098.0
4,11.94,2374957651,0,17,181842.81-134631.7,274.678376,-13.775499,36,36,58741.3762,0,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0385,,18.5409,,18.2639,,4.73,266608098.0
5,14.57,266608081,41,3,181841.69-134643.8,274.673735,-13.778857,36,36,57575.2117,16,0.991,14.0834,0.0218,14.0167,0.0217,14.1105,0.0201,13.8686,0.0125,13.8077,0.0137,13.8826,0.0113,13.2027,0.0112,13.0412,0.0915,13.2109,0.0097,12.9132,0.013,12.8617,0.0218,12.9205,0.0111,12.6839,0.0136,12.6333,0.0168,12.6891,0.0141,12.5418,0.0179,12.4662,0.0254,12.5505,0.0185,10.89,266608095.0
6,14.6,266608091,1,1043,181841.07-134624.3,274.671156,-13.773418,65,86,57498.754,0,0.979,,,,,,,,,,,,,,,,,,,,,,,,,18.0226,,18.4685,,18.1399,,17.2806,0.0509,17.7957,0.2006,17.3187,0.1134,3.15,266608092.0
7,15.12,266608093,37,3,181841.80-134615.1,274.674241,-13.770866,74,66,57733.2669,0,0.986,,,,,,,,,,,,,16.7159,0.0285,16.7896,0.0164,16.6851,0.0265,15.561,0.0118,15.6738,0.0117,15.5544,0.0104,14.4968,0.0107,14.5169,0.0212,14.4968,0.011,13.8906,0.0164,13.8861,0.0359,13.8959,0.0171,6.56,266608105.0
8,15.51,266608105,13,3,181842.26-134615.0,274.676118,-13.770831,48,62,57400.8078,0,0.982,,,,,,,,,,,,,,,,,,,,,,,,,16.9442,0.0504,16.8223,0.0295,16.9367,0.0336,16.177,0.0507,15.977,0.0702,16.1427,0.0286,4.36,266608106.0
9,16.33,266608099,11,1,181843.10-134628.3,274.679633,-13.774437,43,76,57469.7636,0,0.981,,,,,,,,,,,,,,,,,,,18.1719,0.0493,18.2209,0.2773,18.2304,0.0556,17.1063,0.0313,17.4495,0.0547,17.2083,0.0382,16.3115,0.0497,16.5479,0.0983,16.3743,0.0561,5.83,2374957651.0
10,17.1,266608092,9,3,181840.97-134621.4,274.670762,-13.77263,104,182,57279.7034,0,0.982,,,,,,,,,,,,,,,,,,,,,,,,,17.2244,0.0747,16.8685,0.1429,17.0567,0.069,16.1561,0.0813,15.923,0.0978,16.2192,0.0387,3.15,266608091.0
11,17.17,266608082,4,1024,181840.88-134635.8,274.670385,-13.776627,36,38,56938.6061,0,0.941,,,,,,,,,,,,,,,,,,,,,,,,,17.0176,0.0239,17.3878,0.0653,17.0617,0.0402,16.1637,,16.7184,,16.2026,,11.39,266608083.0
12,18.14,266608097,1,3,181842.88-134642.7,274.678694,-13.778537,36,36,57235.491,0,0.936,,,,,,,,,,,,,,,,,,,13.4927,0.0834,13.4353,0.0215,13.5443,0.0246,,,,,,,,,,,,,8.08,2374957648.0
13,19.79,266608106,1,0,181842.40-134611.0,274.676689,-13.769754,36,36,57498.754,0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3711,0.062,17.7217,0.1406,17.5407,0.1328,4.36,266608105.0
14,21.32,1309068158,2,0,181841.22-134611.9,274.671771,-13.769976,36,36,57210.5581,0,0.699,,,,,,,,,,,,,,,,,,,,,,,,,18.8983,0.2045,19.6287,0.0972,19.4689,0.0987,18.0708,0.1157,18.7133,0.1026,18.5038,0.1058,5.84,266608094.0
15,22.19,266608095,31,3,181842.19-134652.0,274.67581,-13.781113,38,36,57431.7564,8,0.999,12.8884,0.0268,12.8869,0.0243,12.8993,0.0261,12.7721,0.0133,12.7774,0.0116,12.7869,0.0127,12.2007,0.0132,12.2105,0.0115,12.2191,0.0111,11.9532,0.014,11.962,0.0093,11.9721,0.011,11.7574,0.0187,11.7708,0.014,11.7825,0.0152,11.6405,0.0249,11.6506,0.0189,11.6708,0.021,8.52,266608096.0
16,22.76,266608094,13,3,181841.53-134608.3,274.673075,-13.768962,53,65,57400.8078,3,0.983,,,,,,,,,,,,,,,,,,,,,,,,,17.0855,0.0495,17.1458,0.0411,17.0303,0.0215,16.1885,0.0522,16.2635,0.0797,16.1653,0.0246,5.84,1309068158.0
17,22.84,266608100,5,0,181843.57-134632.0,274.681505,-13.775594,60,36,57359.1614,0,0.963,,,,,,,,,,,,,,,,,,,,,,,,,17.9908,0.2267,17.9673,0.2119,18.0958,0.1319,17.3481,0.045,17.4878,0.044,17.4127,0.0423,4.71,1309068168.0
18,23.81,266608096,25,3,181842.77-134650.9,274.678229,-13.780822,36,36,57508.0908,6,1.0,10.5708,0.0235,10.5132,0.024,10.6546,0.0253,10.6239,0.0129,10.5737,0.0255,10.6563,0.0195,10.2101,0.0113,10.1825,0.0108,10.209,0.0129,9.987,0.0131,9.9607,0.0122,9.9792,0.0146,9.8157,0.025,9.7742,0.0247,9.8101,0.0266,9.7496,0.05,9.6909,0.05,9.7461,0.0528,4.79,2374957648.0
19,23.98,266608107,2,1025,181843.23-134614.6,274.680215,-13.770674,36,36,57948.5455,0,0.944,,,,,,,,,,,,,,,,,,,,,,,,,18.7455,,18.9174,,18.7655,,17.7025,0.2206,17.6555,0.1748,17.6993,0.2588,7.18,266608108.0
20,25.78,2374957648,0,24,181843.09-134650.1,274.679581,-13.78061,139,211,58301.5849,285,0.984,13.696,,13.6088,,13.5849,,13.2471,,13.1845,,13.2343,,12.7836,,12.6904,,12.7889,,12.1986,,12.14,,12.2416,,12.21,,12.2408,,12.7097,,11.8613,,11.8969,,12.5014,,4.79,266608096.0
21,26.37,1309068168,2,1,181843.76-134635.7,274.682357,-13.776606,36,136,58741.3755,0,0.961,,,,,,,,,,,,,,,,,,,,,,,,,18.5353,0.1636,18.7315,0.0771,18.7096,0.0716,17.6039,0.0742,17.6112,0.0818,17.61,0.0771,4.38,266608102.0
22,26.66,266608086,47,3,181840.35-134618.0,274.668181,-13.771687,38,36,57714.3269,10,1.0,14.5145,0.0184,14.5011,0.0182,14.5189,0.0192,14.2887,0.0107,14.2829,0.0106,14.292,0.0114,13.4558,0.0064,13.4497,0.0062,13.4571,0.0079,13.0503,0.008,13.0487,0.0104,13.0489,0.0098,12.6845,0.0129,12.7052,0.0126,12.6791,0.0141,12.4512,0.0165,12.4351,0.0239,12.4443,0.018,8.94,1309068159.0
23,27.1,266608108,16,3,181843.07-134607.7,274.679438,-13.768827,87,107,57869.9115,0,0.839,,,,,,,,,,,,,,,,,,,,,,,,,17.0852,0.1154,16.9851,0.0976,17.2955,0.0717,16.0698,0.1016,15.955,0.0982,16.278,0.0313,1.48,2374957667.0
24,27.55,266608079,12,1537,181840.10-134631.2,274.667129,-13.775343,45,36,57528.1172,113,0.983,,,,,,,,,,,,,18.762,,19.7107,,18.9056,,17.3606,,17.9298,,17.4267,,16.1457,0.0131,16.3554,0.0489,16.1569,0.0131,15.4395,0.0319,15.6904,0.0521,15.4445,0.033,8.86,266608084.0
25,28.46,266608118,12,0,181841.99-134601.5,274.674989,-13.767094,103,55,57470.8631,0,0.975,,,,,,,,,,,,,,,,,,,,,,,,,17.493,0.0311,17.6776,0.0683,17.5071,0.0377,16.5908,0.025,16.5847,0.0802,16.589,0.0307,6.2,266608128.0
26,28.5,2374957667,2,19,181843.09-134606.3,274.679546,-13.76843,59,39,57028.0597,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,17.8305,0.0693,17.6908,0.0625,17.7664,0.052,17.0281,,17.2484,,17.0273,,1.48,266608108.0
27,28.63,266608129,14,3,181842.66-134603.1,274.67766,-13.767479,533,158,57793.7641,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,17.1731,0.1098,16.8853,0.1551,17.1678,0.0424,16.4373,0.0722,16.2818,0.1316,16.4197,0.035,3.32,266608128.0
28,28.73,266608080,34,3,181840.75-134652.3,274.669818,-13.781192,36,36,57471.1587,3,1.0,11.4967,0.0206,11.4818,0.0178,11.5385,0.019,11.4314,0.0125,11.4259,0.0102,11.4481,0.0111,10.8816,0.0151,10.8852,0.0094,10.9052,0.011,10.6355,0.016,10.6322,0.0105,10.6404,0.0125,10.4374,0.0224,10.4377,0.0157,10.4435,0.017,10.3698,0.0302,10.333,0.0231,10.3407,0.0251,12.92,266605688.0
29,28.81,266608128,13,3,181842.43-134601.9,274.67676,-13.767182,413,130,57349.7952,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,17.2237,0.0171,17.2355,0.1007,17.2089,0.0184,16.3096,0.0304,16.2705,0.0541,16.3166,0.0255,3.32,266608129.0
