,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
285,1735,274.6500353,-13.76407398,18.86583066,17.071912,10.510511,29.90487,1,IN,4
299,1721,274.650653,-13.78447152,18.42583249,16.563642,10.39039,29.361568,1,IN,4
279,1724,274.6513037,-13.77822049,19.18698549,17.430015,10.510511,30.226025,1,IN,4
236,1783,274.6520706,-13.77701859,19.39732956,17.611081,10.750751,30.642975,1,IN,4
465,1876,274.6526399,-13.77689751,19.82362034,18.034976,11.111111,31.379176,1,IN,4
199,1370,274.6532064,-13.76689514,18.31915999,16.694323,8.7087087,27.80865,1,IN,4
452,1791,274.6541016,-13.76797883,19.72548439,17.98012,10.750751,30.97113,1,IN,4
221,1900,274.6546976,-13.771069,18.34112739,16.38258,11.231231,29.999986,1,IN,4
388,1468,274.6552519,-13.78250229,19.25156346,17.637251,9.4294294,29.360873,1,IN,4
290,1728,274.6557635,-13.77435371,18.8611343,17.052915,10.510511,29.900173,1,IN,4
508,2012,274.6563457,-13.76273947,20.00247289,18.175109,11.711712,32.074545,1,IN,4
220,1937,274.6569387,-13.78366752,18.1739552,16.258703,11.351351,29.936118,1,IN,4
425,1913,274.6576337,-13.79281004,19.65032339,17.843683,11.231231,31.309182,1,IN,4
302,1637,274.6581335,-13.77079732,19.20986671,17.475261,10.15015,29.938996,1,IN,4
997,1660,274.6587918,-13.7819001,20.14183616,18.482593,10.27027,30.974269,2,IN,4
234,1515,274.6593115,-13.78352104,19.62685456,18.015092,9.5495495,29.839467,1,IN,4
367,1475,274.65988,-13.77002729,19.77551017,18.194579,9.4294294,29.88482,1,IN,4
366,1705,274.6604344,-13.76181876,18.55675049,16.714367,10.39039,29.492486,1,IN,4
293,1848,274.6612192,-13.77226309,18.47025918,16.537598,10.990991,29.922512,1,IN,4
976,2523,274.6617293,-13.78355253,16.03002531,14.120934,19.159159,34.506902,2,IN,4
281,1444,274.662365,-13.7921865,18.8339528,17.213611,9.1891892,28.736656,1,IN,4
253,1960,274.6632703,-13.79824542,19.83089632,18.025276,11.471471,31.696362,1,IN,4
960,2620,274.6637888,-13.75786439,18.03488205,15.781212,21.801802,38.784432,2,IN,4
287,1407,274.6643524,-13.79049297,17.03700468,15.449976,8.9489489,26.733101,1,IN,4
181,1366,274.6649919,-13.77669364,19.65050641,18.147624,8.7087087,29.139996,1,IN,4
241,1524,274.6656952,-13.77428239,19.19855701,17.542231,9.6696697,29.514473,1,IN,4
490,1694,274.6663836,-13.7775705,19.61675721,17.910171,10.39039,30.552493,1,IN,4
289,1464,274.6669329,-13.78880266,19.48771132,17.89528,9.3093093,29.493717,1,IN,4
203,1381,274.6677942,-13.7756885,18.52147493,16.900398,8.8288288,28.114268,1,IN,4
492,1364,274.668632,-13.78840423,13.9078513,13.029463,8.5885886,23.294038,1,IN,4
219,1360,274.6693901,-13.76097269,19.6055733,18.124155,8.5885886,28.99176,1,IN,4
898,2374,274.6700919,-13.79117017,15.59233704,14.00436,14.954955,30.453599,2,IN,4
893,2530,274.6706306,-13.77204537,15.62551979,13.692944,19.399399,34.309004,2,IN,4
209,1948,274.6711861,-13.76761502,19.91568147,18.090098,11.471471,31.781147,1,IN,4
218,1748,274.6721955,-13.78087574,19.58076416,17.862758,10.630631,30.723107,1,IN,4
131,1950,274.6728561,-13.76491737,14.13060214,13.018781,11.471471,25.996068,1,IN,4
858,2617,274.6737463,-13.75527332,15.13104154,12.980539,21.681682,35.777288,2,IN,4
211,1467,274.674238,-13.78455154,14.40395737,13.448695,9.3093093,24.409964,1,IN,4
173,1401,274.6752476,-13.75879926,18.61488641,16.976091,8.9489489,28.310983,1,IN,4
385,1645,274.6760049,-13.76337672,19.45796638,17.754172,10.15015,30.187096,1,IN,4
222,1456,274.6766883,-13.76142845,17.46152985,15.773946,9.3093093,27.467536,1,IN,4
304,1997,274.6776196,-13.78656705,19.87158591,18.028302,11.591592,31.840355,1,IN,4
272,1507,274.6784719,-13.75852174,18.55961474,16.842779,9.5495495,28.772227,1,IN,4
328,1458,274.679045,-13.75717816,18.83816442,17.198876,9.3093093,28.844171,1,IN,4
144,1852,274.6796632,-13.76920617,15.01973784,13.89509,10.990991,26.47199,1,IN,4
174,1923,274.6804312,-13.76479054,20.24105875,18.451899,11.351351,32.003221,1,IN,4
778,2393,274.6809565,-13.77353417,17.79775302,15.730695,15.435435,33.072228,2,IN,4
335,1734,274.681597,-13.76440951,19.90341316,18.213191,10.510511,30.942452,1,IN,4
189,1875,274.6825533,-13.77939889,18.71637572,16.791644,11.111111,30.271931,1,IN,4
212,1739,274.683074,-13.75526731,19.43852185,17.687049,10.510511,30.477561,1,IN,4
255,1749,274.6838047,-13.77675873,19.34797888,17.607007,10.630631,30.490321,1,IN,4
742,2636,274.6843918,-13.7517627,15.18471182,12.965742,22.162162,36.244172,2,IN,4
736,2429,274.6850799,-13.76308948,14.44675892,12.880783,16.156156,30.341053,2,IN,4
317,1861,274.6856273,-13.75586859,19.19022469,17.36487,10.990991,30.642477,1,IN,4
347,1469,274.6862395,-13.77939706,18.8868547,17.24108,9.4294294,28.996164,1,IN,4
714,2398,274.6870903,-13.79233934,19.6357372,17.243675,15.435435,34.910212,2,IN,4
386,1363,274.6875931,-13.752177,18.28637342,16.660118,8.5885886,27.67256,1,IN,4
702,1537,274.6883889,-13.78801062,16.08033284,14.615814,9.6696697,26.396249,2,IN,4
445,1932,274.6894494,-13.75022434,18.17010812,16.266616,11.351351,29.93227,1,IN,4
315,1691,274.6902233,-13.78248271,14.33897585,13.248078,10.39039,25.274712,1,IN,4
682,1686,274.6907515,-13.7881277,19.37725199,17.663832,10.27027,30.209685,2,IN,4
267,1984,274.6912929,-13.76181662,17.20471557,15.447878,11.591592,29.173485,1,IN,4
666,2130,274.6920326,-13.76546151,18.66870447,16.59514,12.312312,31.257293,2,IN,4
656,2478,274.692558,-13.75614063,19.21529507,16.767484,17.957958,36.659139,2,IN,4
648,2667,274.6931547,-13.78218141,18.15660472,15.76042,23.483483,40.352401,2,IN,4
259,1998,274.6937223,-13.78511217,20.23972068,18.434069,11.591592,32.20849,1,IN,4
179,1772,274.6945863,-13.78823562,19.854874,18.138969,10.630631,30.997216,1,IN,4
363,1398,274.6951485,-13.76715057,17.04297263,15.461786,8.9489489,26.739069,1,IN,4
446,1509,274.6956839,-13.75690728,19.18766828,17.547787,9.5495495,29.400281,1,IN,4
