,MainID,ra_now,dec_now,Gmag
5,6290634093584313088,209.7932988047917,-19.507724672670868,11.1654215
13,6290634918218083584,209.77510901455096,-19.476313655085992,15.745483
14,6290633990505097088,209.7876282837693,-19.51312458166113,16.327576
6,6290633887425882624,209.7998153729244,-19.508331329094137,16.45248
16,6290633921785908096,209.81768006533477,-19.49893572220511,17.438208
25,6290634020569550848,209.76694440864298,-19.511451880399274,17.93145
0,6290634158008524288,209.78919914018786,-19.48978732096609,18.44342
23,6290634535965664128,209.8178082247829,-19.471422135271894,18.703129
2,6290634123648792960,209.8057792567709,-19.48186593872637,19.304493
11,6290634948282525952,209.78998972891225,-19.470046366904455,19.563667
7,6290634054929304192,209.77240971138707,-19.493567007838312,19.60542
1,6290634948282518528,209.7862162400634,-19.477657698801845,19.904411
8,6290633883130602496,209.80643815406196,-19.505221334009075,19.92131
15,6290633917490344704,209.81618731363687,-19.501086309079987,20.037315
4,6290633887426041344,209.80269738938543,-19.50412191289107,20.314356
9,6290634501605911296,209.81373489995593,-19.486002372104643,20.376661
17,6290633986209809536,209.7857931313693,-19.514842064394063,20.589449
3,6290634093583830272,209.79517756968778,-19.504935819610203,20.64101
12,6290634501605913216,209.81348142597736,-19.48421300123292,20.770035
10,6290634948282523648,209.78556481540917,-19.471135766963133,20.847433
