,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,0.79,108276158,11,0,135910.27-192924.4,209.792778,-19.490177,92,109,57703.3259,0,0.578,,,,,,,,,,,,,,,,,,,19.3756,0.2631,19.1694,0.0703,19.9145,0.051,18.3818,0.1812,18.0843,0.0594,18.9628,0.0306,18.2477,0.2148,17.7833,0.203,18.5397,0.0586,12.02,108276157.0
1,12.43,108276157,37,0,135909.42-192923.2,209.789258,-19.489817,44,54,57515.5488,0,0.979,,,,,,,,,,,,,19.7626,0.0217,19.819,0.0501,19.7636,0.0244,18.7925,0.0266,18.8791,0.0521,18.7713,0.0253,17.6725,0.0098,17.7282,0.016,17.6646,0.0103,17.2484,0.0113,17.3411,0.0346,17.2565,0.0162,12.02,108276158.0
2,30.88,108276164,2,0,135910.41-192853.2,209.793313,-19.481431,162,36,57303.1741,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,19.7541,0.1104,19.7917,0.1773,19.7014,0.1141,,,,,,,15.0,
3,36.75,108276156,7,0,135912.08-192950.6,209.800303,-19.497465,85,62,57832.254,0,0.572,,,,,,,,,,,,,20.7824,0.072,20.7703,0.106,20.7729,0.0737,19.9791,0.1222,19.7405,0.0858,19.9642,0.0532,19.587,0.1043,19.7005,0.1246,19.5635,0.0697,,,,,,,6.98,108276154.0
4,37.67,108276154,1,0,135911.73-192955.7,209.798854,-19.49884,36,36,57889.5313,0,0.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1289,0.123,18.3046,0.1087,18.2638,0.0887,4.65,108276155.0
5,41.94,108276155,2,0,135912.00-192958.2,209.800003,-19.499546,411,304,57889.525,0,0.976,,,,,,,,,,,,,18.8559,0.038,18.8823,0.0573,18.8272,0.0334,18.3807,0.028,18.3926,0.039,18.3858,0.029,,,,,,,,,,,,,4.65,108276154.0
6,49.85,108276163,13,0,135908.69-192839.4,209.786257,-19.477658,50,56,57691.9088,0,0.877,,,,,,,,,,,,,,,,,,,20.2781,0.0448,20.2958,0.1347,20.3032,0.1217,19.0852,0.0294,19.1279,0.0656,19.0658,0.0323,18.5891,0.0528,18.7391,0.0923,18.5568,0.0664,15.0,
7,52.59,108276166,21,0,135913.40-192854.6,209.805803,-19.481887,40,38,57548.1321,0,0.959,,,,,,,,,,,,,19.6047,0.0099,19.7095,0.0392,19.606,0.0215,19.2914,0.0182,19.3389,0.0506,19.3298,0.0268,19.0352,0.022,19.196,0.0494,19.081,0.0372,18.922,0.0383,19.1755,0.1032,18.9475,0.0832,15.0,
8,61.11,108276159,9,0,135912.67-193015.0,209.802784,-19.5042,90,36,57704.6014,0,0.703,,,,,,,,,,,,,,,,,,,20.0784,0.1285,19.9757,0.1521,20.0576,0.0612,19.4192,0.0651,19.3176,0.0834,19.4369,0.0533,19.0531,0.178,19.1743,0.1713,19.1067,0.1555,12.96,108276081.0
9,63.8,108276077,40,0,135910.41-193027.7,209.793364,-19.507716,36,36,57759.5159,13,0.998,12.7753,0.0129,12.7684,0.0125,12.774,0.0149,12.3006,0.0123,12.3023,0.012,12.2984,0.0129,11.3952,0.0066,11.386,0.0065,11.4032,0.0071,11.1696,0.0085,11.1632,0.0081,11.1704,0.0092,11.0615,0.006,11.0573,0.0057,11.0635,0.0066,11.0525,0.0125,11.061,0.0121,11.0535,0.0128,10.64,2175486469.0
10,65.76,2175486469,0,24,135911.15-193028.6,209.796488,-19.507955,36,36,58195.6889,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,17.8701,,17.2758,,18.7857,,,,,,,,10.64,108276077.0
11,70.04,108276078,62,0,135911.96-193029.9,209.799825,-19.508333,36,36,57740.1659,3,0.987,18.085,0.0215,18.1448,0.1059,18.0801,0.0304,17.7429,0.0221,17.8141,0.0992,17.7454,0.0247,16.7531,0.0049,16.7551,0.0131,16.7544,0.0056,16.4606,0.0054,16.4822,0.0124,16.4588,0.0058,16.2939,0.0046,16.3285,0.012,16.296,0.0056,16.2398,0.008,16.3044,0.0193,16.2462,0.0095,11.41,2175486469.0
12,70.78,108276123,16,0,135905.38-192936.8,209.772403,-19.493548,64,36,57659.6758,0,0.925,,,,,,,,,,,,,20.1323,0.0244,20.2581,0.0588,20.1759,0.0412,19.555,0.0193,19.5426,0.0536,19.5224,0.0331,19.3028,0.0256,19.3421,0.0979,19.2886,0.0462,18.9798,0.0922,19.2193,0.2089,19.0245,0.1627,15.0,
13,71.51,108276081,10,0,135913.56-193018.6,209.806442,-19.505233,49,48,57706.3423,6,0.855,,,,,,,,,,,,,20.1581,0.0264,20.3354,0.058,20.2223,0.0368,19.8995,0.028,20.1743,0.1257,19.9961,0.0546,19.7689,0.0459,19.7676,0.2603,19.7013,0.1116,,,,,,,12.96,108276159.0
14,72.2,108276162,6,0,135915.30-192909.3,209.813766,-19.486007,59,54,57624.7794,0,0.677,,,,,,,,,,,,,,,,,,,20.6631,0.0589,20.7405,0.1385,20.6846,0.1179,19.5927,0.0561,19.721,0.0859,19.6357,0.0623,,,,,,,15.0,
15,72.39,108276165,20,0,135909.60-192812.1,209.790008,-19.47008,63,41,57754.8889,2,0.915,,,,,,,,,,,,,20.5899,0.0291,20.5075,0.1823,20.643,0.06,19.7311,0.0329,19.8132,0.061,19.7659,0.0407,18.8916,0.0188,18.7735,0.1749,18.8902,0.0418,18.4985,0.0362,18.7153,0.0632,18.5516,0.0467,15.0,
16,77.82,108276128,53,0,135906.05-192834.5,209.775199,-19.476278,36,40,57582.521,11,0.99,,,,,,,,,,,,,16.7646,0.0051,16.7759,0.0067,16.7631,0.0052,15.8746,0.0049,15.8866,0.0079,15.8751,0.0052,15.1408,0.0043,15.1579,0.006,15.1429,0.0047,14.8419,0.0076,14.8741,0.0137,14.8426,0.0084,15.0,
17,85.16,108276076,64,0,135909.05-193047.2,209.787689,-19.513137,36,36,57732.4285,3,0.985,17.9788,0.0216,18.0638,0.0594,17.9999,0.0479,17.5717,0.0183,17.5461,0.0672,17.5713,0.0208,16.633,0.005,16.6445,0.0094,16.634,0.0051,16.3423,0.0053,16.3612,0.0061,16.3438,0.0058,16.1594,0.0047,16.1965,0.0086,16.1587,0.0053,16.1185,0.008,16.1735,0.0169,16.1185,0.0091,8.73,2175486466.0
