,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
7,0,1636148068921376768,Gaia DR3 6290634020569550848,6290634020569550848,1061066314,2016.0,209.7669586576205,0.11515788,-19.511441014288923,0.10428702,0.2808368181584628,0.13335052,2.1060047,6.5363183,-5.081500448871942,0.14846744,-4.111181013637792,0.14283882,-0.244095,-0.31653547,-0.01476565,-0.10340934,-0.061400555,-0.046686556,-0.089287065,0.02571611,0.16220427,-0.3984095,189,0,189,0,-0.07880251,189.41139,0.0,0.0,31,False,1.5422399,,,,,,,,22,14,0.23843236,26,10,0,0.11305916,17.355972,0,0,0.9940864,0.30567083,0.31567782,0.29381686,0.8489633,-129.75523,45.049603,-7.4270067,-26.469301,False,222,1265.805878448854,1.6631486,761.09,17.93145,23,647.7394271528187,13.706855,47.256607,18.310041,22,855.9885605960279,9.598766,89.17693,17.416725,1.187961,0,1,0,0,0,0.89331627,0.37859154,0.51472473,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.0846543379725,40.56603043763395,214.49371901318423,-6.908803204829238,False,False,0,False,False,False,False,False,True,True,False,4.5268646e-11,2.780476e-12,0.9999866,5421.8296,5405.962,5454.583,4.727,4.7065,4.7485,-1.7802,-1.9962,-1.6188,2208.05,2149.24,2258.5818,0.0071,0.0017,0.0241,0.0059,0.0014,0.02,0.0032,0.0007,0.011,MARCS,0.0325401978026378,IN,2,0
11,1,1636148068921376768,Gaia DR3 6290634054929304192,6290634054929304192,59108741,2016.0,209.77240002544872,0.3666658,-19.49355088727465,0.3083505,-0.0091825519567267,0.39335632,-0.023344107,7.009599,3.45460171098187,0.5124531,-6.09919748098794,0.47027725,-0.09458374,-0.27473876,0.11446045,-0.115756266,-0.02132872,-0.06367612,0.18391123,0.022705348,0.21187285,-0.13438472,176,0,175,1,-0.29073867,171.82074,0.0,0.0,31,False,1.4206964,,,,,,,,21,13,0.73622507,26,9,0,0.13576233,18.949883,0,0,0.9823242,0.2065483,0.21141648,0.2384572,0.9041663,-119.44226,39.836998,-6.521888,-24.566303,False,207,270.88154094062656,1.1525272,235.03267,19.60542,21,124.63138781013464,8.468742,14.716635,20.099474,23,205.61624775740623,14.055484,14.628899,18.965252,1.2191589,0,0,0,0,0,1.134222,0.4940548,0.64016724,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.09902996469094,40.58110139228048,214.49229547112168,-6.890246052486571,False,False,0,False,False,False,False,False,False,False,False,9.272043e-10,4.553549e-08,0.99999326,,,,,,,,,,,,,,,,,,,,,,,0.0196720663055951,IN,3,0
2,2,1636148068921376768,Gaia DR3 6290634918218083584,6290634918218083584,1411623968,2016.0,209.77520294130005,0.03597206,-19.47626820748198,0.038675983,2.578965598215017,0.04779164,53.962692,37.65851,-33.50362851128184,0.05638963,-17.1950597367263,0.06426943,-0.24264862,-0.08804278,-0.020033333,-0.0948382,-0.38789773,0.022387605,-0.19645077,-0.17352761,0.37041506,-0.5669706,173,0,173,0,-0.014125961,172.28024,0.0,0.0,31,False,1.3653352,,,,,,,,20,13,0.105763055,23,9,0,0.07321709,16.93027,0,0,0.9972465,0.27284566,0.3198541,0.41157648,0.853999,-95.614716,46.242905,-12.452838,-26.277267,False,198,9478.804741044903,5.551461,1707.4432,15.745483,23,2982.1981421563364,13.197674,225.96393,16.6522,23,9390.52395148816,11.313828,830.0041,14.816171,1.305304,0,0,0,0,0,1.83603,0.9067173,0.9293127,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1100610130745,40.59644739217868,214.48873683587664,-6.873123226244283,False,False,0,True,False,False,False,False,True,True,False,1.0493143e-13,5.24444e-13,0.999712,4251.9507,4247.7974,4257.8857,4.6262,4.617,4.633,0.2497,0.2377,0.2618,379.1992,375.9835,383.4027,0.8229,0.8125,0.8342,0.596,0.5884,0.6043,0.32,0.3161,0.3244,MARCS,0.0216260442150361,IN,1,0
19,3,1636148068921376768,Gaia DR3 6290634948282523648,6290634948282523648,843755717,2016.0,209.7855648154092,1.738948,-19.471135766963133,1.4754301,,,,,,,,,-0.302022,,,,,,,,,,78,0,78,0,-0.6871381,64.39295,0.0,0.0,3,False,,,,,,,,,9,8,11.949863,9,2,0,0.12232015,27.97573,0,0,,0.32579765,0.21430807,0.51281494,0.89179313,-83.005226,34.892742,-7.197087,-24.360806,False,77,86.29253375572071,1.2081689,71.42423,20.847433,7,70.18127001699821,13.648934,5.141886,20.72299,8,57.21289730605669,18.986494,3.0133471,20.35416,1.4763058,0,0,0,0,0,0.36882973,-0.124443054,0.49327278,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1244610343163,40.59793926005266,214.49616482936835,-6.864913976710877,False,False,0,False,False,False,False,False,False,False,False,0.0017298557,7.1983166e-05,0.9976208,,,,,,,,,,,,,,,,,,,,,,,0.0200994594098517,IN,5,0
10,5,1636148068921376768,Gaia DR3 6290634948282518528,6290634948282518528,717484298,2016.0,209.78621009933292,0.5430026,-19.477627913879854,0.450693,0.975293250395174,0.6527763,1.4940697,11.479991,2.190377589546678,0.84439963,-11.269092244876862,1.0120189,-0.104443625,0.114631325,0.23878634,-0.03363804,-0.1985313,-0.017348845,0.0038448547,-0.036533833,0.44393668,-0.49163005,143,0,143,0,0.32586664,156.2251,0.0,0.0,95,False,,1.2094702,0.14479235,0.1289898,0.1489072,-0.08820685,0.09106609,-0.26264504,17,11,1.5953861,21,7,0,0.032486547,18.50242,0,0,1.0173028,0.19481039,0.2456231,0.37875006,0.8681964,-66.46316,40.844746,-16.786106,-25.584694,False,176,205.67529216318,1.2512453,164.37648,19.904411,11,57.33467408153721,7.692309,7.4535065,20.9425,19,246.00811256510968,10.5806,23.250866,18.770521,1.4748626,0,0,0,0,0,2.171978,1.0380878,1.1338902,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.12229658962355,40.59162919703245,214.49901312592715,-6.870789459413,False,False,0,False,False,False,False,False,False,False,False,3.5634356e-13,4.120192e-09,0.9999973,,,,,,,,,,,,,,,,,,,,,,,0.0138971413214928,IN,3,0
1,6,1636148068921376768,Gaia DR3 6290633990505097088,6290633990505097088,1498556572,2016.0,209.78768459083784,0.04629299,-19.513125127772238,0.049172603,0.4010751813958101,0.064689696,6.1999855,20.081202,-20.080137993005863,0.068185925,0.2066172321191077,0.07683275,-0.21432947,-0.16012809,0.0010747941,-0.058887042,-0.4146013,0.14221087,-0.3282957,-0.23077454,0.47115368,-0.55194736,189,0,188,1,0.9367273,209.34358,0.0,1.4856265e-15,31,False,1.5486606,,,,,,,,22,13,0.12805605,26,10,0,0.08958435,15.530048,0,0,1.0475105,0.30300388,0.32484785,0.40119308,0.8443445,-107.057205,44.8334,-11.222872,-26.460325,False,218,5545.187373614067,3.2984085,1681.1705,16.327576,25,2948.3342854542766,19.808107,148.84482,16.6646,25,3714.175312167399,20.264637,183.28358,15.823239,1.2014941,0,1,0,1,0,0.84136105,0.3370247,0.50433636,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1080730597276,40.55778741300912,214.51275902075992,-6.90358811134927,False,False,0,True,False,False,False,False,True,True,False,1.0214225e-13,5.105468e-13,0.9999882,5604.127,5567.287,5653.8667,4.4634,4.4208,4.4982,-1.3457,-1.4117,-1.2612,1684.7253,1592.8562,1805.6241,0.0315,0.0068,0.0647,0.0263,0.0056,0.0541,0.0143,0.003,0.0295,PHOENIX,0.0236474123475898,IN,1,0
6,7,1636148068921376768,Gaia DR3 6290634158008524288,6290634158008524288,1627707738,2016.0,209.78925235963928,0.18189198,-19.48978021779932,0.17310958,1.4485194951805422,0.24056378,6.0213532,19.17108,-18.981774718993307,0.30373,-2.6874782112288886,0.32300407,-0.15616003,-0.19704145,0.14063168,-0.23759554,-0.3837708,-0.0413612,-0.12644288,-0.20517646,0.39108977,-0.61691135,150,0,150,0,-0.49072286,142.42061,0.0,0.0,31,False,1.3051307,,,,,,,,18,12,0.556244,22,7,0,0.008307905,102.74826,0,0,0.96904683,0.30827814,0.27475628,0.4775104,0.8430357,-90.29935,40.357304,-12.509783,-26.44662,False,183,789.9122839145805,1.6869048,468.26132,18.44342,20,179.681402271002,10.505953,17.102818,19.702284,21,881.431488334848,11.236279,78.445145,17.384924,1.34333,0,0,0,0,0,2.31736,1.2588634,1.0584965,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1203862268055,40.57922760929337,214.50597790098325,-6.881186159687428,False,False,0,False,False,False,False,False,True,False,False,1.1147558e-13,1.2660765e-12,0.9999795,3580.248,3554.8794,3616.221,4.2615,4.1814,4.3633,-0.4896,-0.5821,-0.4153,1077.7267,1027.2858,1155.5468,0.7023,0.6569,0.7421,0.4772,0.4464,0.5041,0.2747,0.2579,0.2899,PHOENIX,0.00346929344855,IN,2,0
9,8,1636148068921376768,Gaia DR3 6290634948282525952,6290634948282525952,837464066,2016.0,209.78999690488016,0.34204054,-19.4700525968888,0.3326731,0.8948968740406931,0.46552518,1.9223384,3.4797049,-2.5597634665883007,0.50999725,2.357107614964752,0.6157966,-0.18399501,-0.18228525,-0.036476657,-0.09291981,-0.35138807,0.08476546,-0.29239693,-0.26844198,0.50599146,-0.5455702,188,0,188,0,-0.8549345,175.10376,0.0,0.0,95,False,,1.3419541,0.103231676,-0.040772885,0.13276055,-0.24001065,-0.009312399,-0.39622185,22,13,0.99604934,26,10,0,0.11887582,16.437208,0,0,0.95372224,0.30300826,0.32489586,0.40111008,0.8443632,-107.05112,44.827686,-11.220211,-26.46357,False,220,281.50109864453793,1.2744943,220.87279,19.563667,23,90.98299150976472,8.28076,10.987276,20.441141,24,274.41471105916816,8.063284,34.032623,18.651876,1.298033,0,0,0,0,0,1.7892647,0.87747383,0.91179085,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1301207578629,40.59753126019712,214.49973165213245,-6.862445438216504,False,False,0,False,False,False,False,False,False,False,False,1.2084805e-09,2.0560567e-07,0.99998957,,,,,,,,,,,,,,,,,,,,,,,0.020136980748125,IN,3,0
3,9,1636148068921376768,Gaia DR3 6290634093584313088,6290634093584313088,332748153,2016.0,209.7933643942952,0.014289084,-19.50771211485778,0.016427133,1.8659528247498407,0.018955182,98.44025,23.868868,-23.39120642100308,0.021538092,-4.75123912743039,0.025527224,-0.3676048,-0.00958361,0.011377137,0.03404988,-0.3580201,0.1313964,-0.27566817,-0.16463277,0.4096736,-0.5857949,188,188,185,3,-3.1543267,459.18158,0.09393793,11.485663,31,True,1.5782872,,,,,,,,21,13,0.041848116,25,9,1,0.08323225,15.567356,0,0,0.836702,,,,,,,,,False,211,643840.0394303118,165.57295,3888.558,11.1654215,23,360610.9192069239,286.9133,1256.8638,11.445945,23,408029.6577688332,142.76161,2858.119,10.721167,1.1938378,0,0,0,0,0,0.7247782,0.2805233,0.44425488,-14.359936,0.41107172,1.0,11.0,3.0,10.0,41.986553,-1.663345,0.97792494,918.8302,3.6032972,6500.0,4.0,0.0,222.0,,,,10.569554,0.012124531,5.0,44.192898,NOT_AVAILABLE,324.11712776681946,40.56104928493553,214.51591923126497,-6.896651271737041,False,False,0,True,True,True,False,False,True,True,False,1.0286146e-13,5.137878e-13,0.9999169,6121.436,6085.126,6139.3604,3.7622,3.7466,3.7746,-0.3667,-0.3861,-0.3422,518.1569,513.2675,524.9767,0.1268,0.1046,0.1376,0.1086,0.0896,0.1179,0.0587,0.0484,0.0638,MARCS,0.0177175061165779,IN,1,0
17,10,1636148068921376768,Gaia DR3 6290634093583830272,6290634093583830272,343157374,2016.0,209.7951775696879,1.2944368,-19.50493581961021,1.6759459,,,,,,,,,-0.43430692,,,,,,,,,,102,0,101,1,1.8062617,122.48046,2.5200033,1.176934,3,False,,,,,,,,,12,8,4.635526,14,4,0,0.14969073,109.63309,0,0,,0.58305776,0.6655677,0.5704364,0.8411992,-124.65867,53.963963,-4.634755,-28.791214,False,110,104.36214880769164,1.3802302,75.61214,20.64101,7,50.38126965816463,13.9061365,3.6229522,21.082869,11,80.62503818641419,8.170937,9.867294,19.98172,1.2553048,0,0,0,0,0,1.1011486,0.4418583,0.6592903,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.12048947577074,40.56307572843,214.5165609844271,-6.893453936530976,False,False,0,False,False,False,False,False,False,False,False,4.482976e-05,6.8206127e-06,0.9995251,,,,,,,,,,,,,,,,,,,,,,,0.015086529270589,IN,5,0
