,MainID,ra_now,dec_now,Gmag
9,2686641269308329600,323.78800910838305,-1.0366820618409356,9.653306
6,2686638348730996736,323.8046424123329,-1.0362255487558907,14.875406
7,2686638245651757824,323.81282876794546,-1.058949272092543,16.625961
15,2686638039493325184,323.818871209501,-1.061684170309431,16.64749
30,2686638451810211712,323.82076691227917,-1.0242128647503346,18.170586
21,2686636566319478016,323.81368260365525,-1.071971389581351,18.433294
19,2686638280011508864,323.8241198836008,-1.038893249747666,18.64345
27,2686636802542737664,323.7789107037158,-1.0685314884913333,18.788515
10,2686636768182998528,323.7998646053124,-1.0692455825777794,18.992292
3,2686638314371245824,323.8007746569128,-1.0414058856449542,19.430841
1,2686638314371245568,323.7991947208032,-1.0427233231251931,19.483507
17,2686636802542742144,323.7823802521925,-1.0637488214408695,19.584377
8,2686638280011757824,323.81788544976075,-1.0461063116212708,19.682415
12,2686638348730987648,323.81757051082013,-1.0360658584395075,19.879333
0,2686638314371974400,323.80016677796004,-1.0500696682083406,19.913765
18,2686636733823256448,323.7962979115307,-1.0733385537549007,20.045591
26,2686641342322701056,323.7858105363312,-1.024152863464082,20.498882
5,2686638245652016128,323.81026922991,-1.0571385017373034,20.824554
11,2686638353025902976,323.80716976175717,-1.0291769150469594,20.878534
16,2686636566319139840,323.8011571615321,-1.0722300052847766,20.913054
13,2686638043787744640,323.82052123204943,-1.0571637469482946,20.94709
2,2686636768183009408,323.80059752133735,-1.055905229967206,21.487421
4,2686636772478167424,323.8025228900597,-1.059580867817053,21.648922
14,2686636806837654528,323.78264553337186,-1.0606302265010341,21.7641
