,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,1.65,5384091,52,2,213512.14-010256.9,323.800577,-1.049202,65,125,57588.7519,12,0.302,,,,,,,,,,,,,18.7102,0.1084,18.3328,0.0515,19.5492,0.0254,17.5281,0.0886,17.0844,0.0311,18.4589,0.0182,16.7204,0.112,16.4649,0.029,17.7527,0.0151,16.3805,0.1366,16.2402,0.0321,17.4068,0.0132,1.72,2009100463.0
1,3.35,2009100463,8,0,213512.09-010258.6,323.800376,-1.049636,194,316,57306.9088,0,0.538,,,,,,,,,,,,,,,,,,,,,,,,,17.2602,0.192,17.6107,0.2888,17.7121,0.0562,16.873,0.1455,16.5646,0.1449,17.3193,0.0584,1.72,5384091.0
2,7.18,5384084,2,3,213512.58-010300.4,323.802401,-1.050108,46,36,57221.6553,0,0.542,,,,,,,,,,,,,,,,,,,19.8464,0.4026,21.1075,0.6228,20.2634,0.069,19.53,0.2333,19.2663,0.16,19.7059,0.1013,,,,,,,7.33,5384091.0
3,14.69,5384079,18,0,213511.39-010304.0,323.797475,-1.051124,69,61,57378.8735,0,0.813,,,,,,,,,,,,,,,,,,,19.9222,0.0734,19.21,0.0654,20.0099,0.0366,19.2936,0.0451,18.6926,0.1118,19.2769,0.0326,19.0175,0.0557,18.7775,0.1808,18.9445,0.0995,11.74,2009100463.0
4,20.87,5384092,6,3,213513.53-010249.2,323.806361,-1.047012,185,145,57171.295,0,0.52,,,,,,,,,,,,,,,,,,,20.3877,0.1438,19.8545,0.2266,20.5017,0.1107,19.7627,0.1481,19.3532,0.2545,19.8227,0.0844,,,,,,,4.01,5384093.0
5,21.84,5384085,4,0,213513.19-010311.8,323.804987,-1.053286,47,53,57135.646,0,0.484,,,,,,,,,,,,,,,,,,,20.8553,0.0695,21.0034,0.3472,20.8755,0.1178,20.0369,0.0182,20.2185,0.1003,20.1059,0.0997,,,,,,,14.75,5384084.0
6,22.9,5384094,30,0,213511.80-010233.7,323.79918,-1.042707,50,84,57563.9511,0,0.957,,,,,,,,,,,,,19.7211,0.0147,19.7233,0.0258,19.7208,0.016,19.5273,0.0112,19.6039,0.0411,19.5539,0.0146,19.3972,0.0149,19.4493,0.0462,19.4215,0.0313,,,,,,,7.25,5384095.0
7,24.12,5384093,6,3,213513.78-010250.6,323.807403,-1.047404,36,36,57172.6178,0,0.615,,,,,,,,,,,,,,,,,,,20.5723,0.0491,19.9513,0.1424,20.5048,0.0417,19.9795,0.0869,20.0622,0.1919,19.9769,0.1222,,,,,,,4.01,5384092.0
8,24.84,5384083,46,0,213512.15-010320.6,323.800636,-1.055737,51,88,57600.7991,7,0.677,,,,,,,,,,,,,20.2354,0.0494,20.1664,0.0493,20.2374,0.0271,19.0668,0.023,19.0174,0.0288,19.1004,0.0122,18.288,0.0425,18.1538,0.023,18.3314,0.0175,18.009,0.0437,17.9632,0.1018,17.9978,0.0194,15.0,
9,26.73,5384095,40,0,213512.18-010229.1,323.800729,-1.041418,36,75,57529.4276,0,0.973,,,,,,,,,,,,,20.6165,0.0395,20.6212,0.0717,20.6063,0.0445,19.5854,0.0176,19.6194,0.0403,19.5812,0.0183,18.4571,0.0137,18.4816,0.0313,18.4441,0.0159,18.0385,0.0147,18.1996,0.0395,18.0557,0.0211,7.25,5384094.0
