,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
7,0,1636148068921376768,Gaia DR3 2686636802542737664,2686636802542737664,416537984,2016.0,323.7789146848307,0.3808841,-1.068510326514234,0.28113428,0.8415709685647452,0.348791,2.412823,8.146984,-1.5059831315725607,0.50379276,-8.00658221352754,0.30720282,-0.048411552,0.25177068,-0.67099774,0.090740226,-0.23768504,0.12039496,-0.86537933,-0.3083201,0.24810866,-0.008395963,273,0,269,4,2.549432,341.06653,0.78252983,2.3465517,31,False,1.3265662,,,,,,,,32,14,0.7546671,37,28,0,0.025767775,158.01143,0,0,1.1116686,0.08589592,0.6379176,0.07277021,0.19458003,-34.538963,-10.937931,-27.002396,5.0492663,False,294,574.8320121279082,1.210275,474.9598,18.788515,31,141.58653409541793,9.521616,14.870011,19.960987,30,626.9005834845455,11.95433,52.441296,17.754898,1.3368899,0,1,0,1,0,2.206089,1.172472,1.033617,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.4019620698327,-36.252260418392126,325.7369204238982,12.58556388026992,False,False,0,False,False,False,False,False,True,False,False,1.3001349e-13,5.6388824e-13,0.9999528,3645.8281,3617.448,3669.4458,4.8905,4.8434,4.9471,-0.5414,-0.665,-0.432,657.9844,578.6651,726.7625,0.3828,0.3176,0.4412,0.2628,0.2174,0.3029,0.1531,0.1269,0.1762,MARCS,0.0294737329119284,IN,2,0
11,1,1636148068921376768,Gaia DR3 2686636802542742144,2686636802542742144,1545161172,2016.0,323.7823759240723,0.5138924,-1.0637340193571123,0.31579232,-0.0947271521742066,0.51062673,-0.18551154,5.8347507,1.637251468687793,0.66856116,-5.600332142118275,0.3349156,-0.11676522,0.47319812,-0.6582229,0.21241546,-0.08690195,0.23884882,-0.77631724,-0.52900875,0.10611054,-0.10974797,308,0,308,0,-0.37687021,310.0633,0.0,0.0,31,False,1.5998273,,,,,,,,36,15,1.021586,41,29,0,0.039109994,156.4294,0,0,0.98363554,0.10942344,0.6042594,0.017946525,0.17052776,-13.8902,-10.55367,10.219626,11.360477,False,332,276.18213278821923,0.8588215,321.5827,19.584377,32,150.9198456475892,8.91666,16.925602,19.891676,36,165.14532314500707,9.074801,18.19823,19.20323,1.1444085,0,2,0,1,0,0.68844604,0.30729866,0.38114738,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.40926959843013,-36.25251028220331,325.741878311715,12.588936693160782,False,False,0,False,False,False,False,False,False,False,False,9.4019434e-08,5.4189856e-13,0.9999876,,,,,,,,,,,,,,,,,,,,,,,0.0237414540869503,IN,3,0
22,3,1636148068921376768,Gaia DR3 2686641342322701056,2686641342322701056,798992666,2016.0,323.7858070272809,1.2595966,-1.0241472204847264,1.0807849,-0.0654120194953614,1.3486052,-0.048503462,2.5140252,1.3274284904713327,1.830622,-2.1350074209392997,1.2978637,0.15822884,0.5023841,-0.72698796,-0.17051336,-0.29741168,-0.23196648,-0.9029483,-0.45442784,0.23134424,0.39541605,255,0,255,0,0.90890545,283.31485,0.0,0.0,95,False,,1.3799381,0.18203302,-0.15122215,0.23559806,-0.38540855,0.20739697,-0.106451504,29,11,2.8933299,33,24,0,0.018163953,143.7706,0,0,1.0396478,0.1395884,0.68118817,0.088702016,0.14009418,-34.701828,-14.534171,54.419186,-3.13764,False,279,118.95807213534006,0.8126248,146.38745,20.498882,24,66.65103148255758,9.43651,7.063102,20.779024,30,137.63842441507356,9.51972,14.458242,19.401047,1.7173232,0,21,0,25,0,1.3779774,0.28014183,1.0978355,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.45254255011799,-36.23351427704309,325.75853797791086,12.62519356391833,False,False,0,False,False,False,False,False,False,False,False,5.6333585e-05,2.343849e-06,0.9999359,,,,,,,,,,,,,,,,,,,,,,,0.0289173170633843,IN,5,0
2,4,1636148068921376768,Gaia DR3 2686641269308329600,2686641269308329600,994794204,2016.0,323.78804355412706,0.037983797,-1.0365614272283554,0.021285076,5.206029532545275,0.027199393,191.40242,47.4654,-13.03032970905997,0.041995894,-45.641810322355305,0.021636354,-0.43899697,0.07539046,-0.77819383,0.4575287,-0.016956031,0.4462029,-0.8374819,-0.2573911,0.01233043,-0.30409268,271,271,267,4,4.1444154,817.7065,0.10465569,12.00421,31,True,1.6005639,,,,,,,,31,14,0.0683068,35,27,2,0.046086643,157.46382,0,0,1.185061,,,,,,,,,False,281,2591936.1028354405,408.74377,6341.2246,9.653306,31,1516185.8779906244,467.46747,3243.404,9.886662,33,1561310.9608774695,365.86957,4267.398,9.264172,1.1873351,0,0,0,0,0,0.6224899,0.23335552,0.3891344,5.293095,0.26520774,1.0,17.0,1.0,11.0,120.24767,-0.75029284,0.76285625,506.70065,3.0360703,6750.0,4.5,0.25,222.0,18.43451,1.9755995,16.0,9.1117525,0.0051718517,16.0,137.09204,NOT_AVAILABLE,53.441242144525575,-36.24223423508373,325.75651816230777,12.612734510157104,False,False,0,True,True,True,False,False,True,True,False,1.2558453e-13,6.272884e-13,0.9976672,6415.95,6414.281,6420.8057,4.1448,4.1377,4.1704,-0.3405,-0.3445,-0.3355,187.2932,180.1157,189.2905,0.0008,0.0001,0.003,0.0007,0.0001,0.0026,0.0004,0.0,0.0014,PHOENIX,0.017748234790486,IN,1,0
15,5,1636148068921376768,Gaia DR3 2686636733823256448,2686636733823256448,1128528088,2016.0,323.7963074405567,0.8486239,-1.073321254361896,0.68456143,1.1777749665115302,0.8055354,1.462102,7.4721437,-3.604651053300786,1.124077,-6.545182985094504,0.77719545,0.2848951,0.46353558,-0.74072176,-0.22651795,-0.07853545,-0.26329616,-0.9101555,-0.4546352,0.12497019,0.33510548,292,0,289,3,-0.05216525,300.14304,0.0,0.0,31,False,1.5089291,,,,,,,,35,14,1.789115,40,30,0,0.058602907,66.50153,0,0,0.9966394,0.116051026,0.6391694,0.059746098,0.21111646,-6.090747,-12.159785,10.9513035,4.994204,False,313,180.5970054501417,0.78560615,229.88237,20.045591,32,100.19922515103376,7.2122726,13.892879,20.336382,33,124.48153195962573,8.32878,14.94595,19.510134,1.2441001,0,0,0,0,0,0.82624817,0.29079056,0.5354576,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.40888886447382,-36.269417099862046,325.752126129579,12.575302161963425,False,False,0,False,False,False,False,False,False,False,False,1.964735e-08,9.131384e-13,0.9999839,,,,,,,,,,,,,,,,,,,,,,,0.0249052382394945,IN,4,0
10,6,1636148068921376768,Gaia DR3 2686638314371245568,2686638314371245568,892792580,2016.0,323.7991854171292,0.5165729,-1.0427164287210515,0.3045405,-0.0076621406018942,0.4817587,-0.015904518,4.3807106,3.51943937267212,0.65005344,-2.608480928835776,0.3207801,-0.21421024,0.44162723,-0.67949945,0.30181944,-0.11225412,0.3127243,-0.79117405,-0.51991403,0.12166236,-0.1881842,308,0,308,0,-0.9023198,291.36536,0.0,0.0,95,False,,1.625412,0.07561614,-0.06305745,0.22889057,-0.16800947,0.10586323,-0.14818022,35,15,1.0059872,41,30,0,0.02664477,152.67436,0,0,0.96242076,0.13547112,0.6426201,0.058785874,0.17613792,-6.6857777,-8.77416,6.1436415,6.637541,False,326,303.0705109397093,0.84954935,356.74268,19.483507,34,161.8153303316233,8.59869,18.818604,19.815992,33,187.39593467574477,7.634931,24.544548,19.065994,1.1522443,0,1,0,0,0,0.7499981,0.3324852,0.4175129,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.44250700926955,-36.254920596252205,325.7652240133574,12.603258033212343,False,False,0,False,False,False,False,False,False,False,False,1.0716663e-08,5.4823827e-13,0.99997526,,,,,,,,,,,,,,,,,,,,,,,0.0063460567125205,IN,3,0
9,7,1636148068921376768,Gaia DR3 2686636768182998528,2686636768182998528,883682248,2016.0,323.79984553576645,0.35036507,-1.0691947198487537,0.212332,1.0388555334693623,0.33597356,3.0920753,20.551407,7.213659704531155,0.45749903,-19.24378899328484,0.22562781,-0.18617895,0.4149858,-0.64865977,0.27593598,-0.07632189,0.29543772,-0.7663323,-0.48594272,0.10176138,-0.17470074,319,0,318,1,-0.5129631,314.2469,0.0,0.0,31,False,1.2928598,,,,,,,,37,15,0.6975114,43,31,0,0.015405567,148.66214,0,2,0.9785106,0.13340247,0.6016311,0.049828403,0.19631001,-6.1801534,-9.179124,16.501263,12.668234,True,345,476.4632490272504,0.9865275,482.97006,18.992292,35,121.17007972696132,10.594438,11.437141,20.130054,37,585.9958203785725,12.876974,45.50726,17.82816,1.4841982,0,35,0,37,0,2.3018951,1.1377621,1.1641331,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.41557859145784,-36.27008930653172,325.7569394314352,12.578035771048366,False,False,0,False,False,False,False,False,True,False,False,1.7567752e-13,1.0975739e-12,0.9993886,3262.8816,3208.992,3414.0164,4.4631,4.1048,4.677,-0.6731,-0.8229,-0.3358,746.8474,489.8388,844.7427,0.2385,0.1219,0.4092,0.1566,0.0798,0.27,0.0951,0.0486,0.1646,PHOENIX,0.0203838403333837,IN,3,0
8,10,1636148068921376768,Gaia DR3 2686638314371245824,2686638314371245824,54172596,2016.0,323.80077519700086,0.6555913,-1.0414107943470647,0.3553503,1.327796906116151,0.5015529,2.6473718,1.8683994,-0.2043072307581264,0.77045655,1.857195423001773,0.37388957,-0.42698526,0.20642237,-0.73979884,0.48077232,-0.010355769,0.46558076,-0.8277915,-0.33852646,0.013776673,-0.374784,305,0,304,1,2.1521,394.98224,1.1077539,2.2409842,95,False,,1.2076181,0.08204811,-0.08326787,0.23934077,-0.16091909,0.109886386,-0.17887503,35,14,1.2301415,40,29,0,0.03846976,86.60013,0,0,1.0882854,0.17499818,0.6559224,0.0588689,0.22326113,-7.342522,-6.3167,0.12116376,7.7032495,False,326,318.134330087358,0.93459046,340.39972,19.430841,29,80.28305842388653,6.073633,13.218292,20.576982,30,429.98303801019154,8.577924,50.1267,18.164267,1.6039329,0,1,0,1,0,2.412716,1.146141,1.2665749,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.44494536309934,-36.25552478481503,325.7672022007769,12.603968203226096,False,False,0,False,False,False,False,False,False,False,False,9.492466e-13,2.74983e-10,0.9999715,,,,,,,,,,,,,,,,,,,,,,,0.0074261062964567,IN,3,0
19,12,1636148068921376768,Gaia DR3 2686636772478167424,2686636772478167424,1334473133,2016.0,323.8025228900597,15.174389,-1.0595808678170529,10.073733,,,,,,,,,-0.13888769,,,,,,,,,,66,0,66,0,11.787758,303.85458,34.53822,19.733698,3,False,,,,,,,,,8,6,36.114357,11,11,0,0.625607,69.14917,11,10,,0.2338038,0.67213666,0.30665627,0.39351347,-2.8529844,-1.5825895,7.244061,10.903887,False,74,41.245647924898826,1.5040593,27.422888,21.648922,10,183.48797449637192,22.858309,8.027189,19.679523,10,405.8626571034046,40.64483,9.985592,18.226948,14.288795,0,0,0,0,0,1.4525757,-1.9693985,3.4219742,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,53.42735405959391,-36.26701429090309,325.76276934171057,12.586234362544554,False,False,0,False,False,False,False,False,False,False,False,0.00032731242,0.0394407,0.960232,,,,,,,,,,,,,,,,,,,,,,,0.0108716725454668,IN,5,0
1,13,1636148068921376768,Gaia DR3 2686638348730996736,2686638348730996736,586972121,2016.0,323.80470539973663,0.03526509,-1.0362086559432735,0.022315733,1.86041160224088,0.034733254,53.56284,24.669544,-23.827232632458745,0.048807107,-6.391354522376837,0.023295354,-0.21614154,0.30550972,-0.6238182,0.31733245,-0.0334736,0.35619462,-0.70667315,-0.470374,0.014256598,-0.1569796,311,0,308,3,0.883337,333.9726,0.02763502,0.21028148,31,False,1.4750525,,,,,,,,36,15,0.07337722,42,30,0,0.03210046,152.98222,0,0,1.0349839,0.15335818,0.5852359,0.0763334,0.17295016,-5.1315126,-11.4929495,0.30868328,12.85148,False,324,21124.39426800236,4.762884,4435.2104,14.875406,30,9547.415439515711,16.218748,588.6654,15.388827,29,16405.301126379833,19.389938,846.0729,14.210435,1.2285662,0,0,0,0,0,1.1783924,0.51342106,0.66497135,24.666212,5.9821167,2.0,20.0,4.0,12.0,4.5867558,,,905.1694,,4750.0,3.5,0.25,111.0,,,,13.890491,0.1113079,19.0,,NOT_AVAILABLE,53.45301472232222,-36.25592780521932,325.77275816375874,12.60758831308276,False,False,0,True,True,False,False,False,True,True,False,1.03506843e-13,5.1701205e-13,0.999853,4794.1934,4783.115,4805.8564,4.5432,4.5272,4.5566,-0.0765,-0.0901,-0.0633,541.709,529.8306,556.9651,0.0654,0.0549,0.0778,0.0514,0.0431,0.0612,0.0271,0.0227,0.0323,MARCS,0.0131986937012438,IN,1,0
