,MainID,ra_now,dec_now,Gmag
9,6793720277439595776,312.4993288476892,-32.27333634887006,16.616755
19,6793720552317512576,312.4680525476083,-32.26039484559931,17.32469
17,6793720552317511808,312.4698040119687,-32.26171823079203,17.82944
36,6793720414878549376,312.51241398395666,-32.259227751399585,17.833328
21,6793720204423382784,312.51193551809007,-32.290754507064634,18.325106
7,6793720277437653120,312.4978850768122,-32.273888850354346,18.470089
18,6793720204423378048,312.50508276285507,-32.29793059047339,19.021547
10,6793720277437652608,312.49993298976216,-32.27328493029795,19.104559
8,6793720449238504320,312.47456799167406,-32.269259194527486,19.250818
13,6793720483598926592,312.49359348493954,-32.266831715996304,19.34927
12,6793720174361279360,312.49604564657034,-32.29388610293735,19.408875
20,6793719796404157184,312.48928220144904,-32.305671695585204,19.52721
22,6793720548020792064,312.4752185287256,-32.256630473345915,19.674864
4,6793720273142867072,312.4952997728681,-32.280964069342794,19.70144
23,6793720032628225664,312.4613969848056,-32.29947455702504,19.861834
0,6793720444944499840,312.4789710807938,-32.27794591284905,20.178616
11,6793720483596099072,312.47985167821344,-32.26587396716806,20.551954
16,6793720071280375168,312.46230257444216,-32.28882286299338,21.103369
14,6793720479301310976,312.4828452598092,-32.26309088364783,21.116858
3,6793720483598930176,312.48349782941966,-32.271977152213545,21.414406
6,6793720238783119104,312.4806528769944,-32.29361307184507,21.461203
15,6793720071281382144,312.46272545304436,-32.284417998688625,21.514946
2,6793720444941560192,312.4748146325224,-32.279310522563506,21.54494
1,6793720479301301888,312.4835191618401,-32.27507754720966,21.67261
5,6793720243080199168,312.47819040661415,-32.291657881049176,21.781118
