,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,5.58,234169047,7,0,204955.84-321648.6,312.482664,-32.280224,55,40,58589.8158,0,0.576,,,,,,,,,,,,,20.0522,0.2724,19.5052,0.0875,20.4415,0.0757,18.9293,0.2224,18.3579,0.1774,19.3535,0.0425,18.2567,0.1916,18.0968,0.2277,18.6061,0.0485,17.976,0.401,17.5995,0.1256,18.3216,0.0992,14.07,234169059.0
1,19.65,234169059,2,16,204954.93-321640.4,312.478891,-32.277964,102,135,58016.4094,0,0.52,,,,,,,,,,,,,,,,,,,20.7815,0.0572,21.147,0.2814,20.9043,0.1929,19.1158,,18.6678,,19.2434,,18.7536,0.0996,18.6268,0.1686,18.7296,0.1414,13.31,234169057.0
2,21.95,234169060,2,0,204956.04-321630.1,312.483472,-32.275041,42,80,58016.9052,0,0.528,,,,,,,,,,,,,,,,,,,20.0691,0.0743,20.4019,0.1144,20.0499,0.1269,,,,,,,18.8677,0.0725,19.2127,0.3281,18.941,0.171,7.05,2336591998.0
3,28.99,2336591998,0,19,204955.93-321623.2,312.483046,-32.273115,36,36,58016.4066,0,0.594,,,,,,,,,,,,,,,,,,,19.5819,,19.0138,,19.9494,,,,,,,,,,,,,,4.09,234169061.0
4,29.16,234169057,2,16,204953.94-321645.4,312.474824,-32.27932,69,49,58016.9024,1,0.706,,,,,,,,,,,,,,,,,,,19.7729,0.1569,19.4901,0.0759,19.8468,0.0615,19.1579,,19.1171,,19.1564,,,,,,,,13.31,234169059.0
5,32.77,234169061,6,0,204956.03-321619.0,312.483438,-32.272028,36,116,58392.6877,0,0.572,,,,,,,,,,,,,20.0469,0.1597,19.5573,0.2858,20.2126,0.0531,18.7055,0.188,18.1556,0.1243,18.9868,0.0353,18.0155,0.1936,17.8018,0.1271,18.2409,0.0623,17.5891,0.389,17.8225,0.1458,17.9522,0.1414,4.09,2336591998.0
6,33.65,234169068,5,0,204958.86-321651.3,312.495221,-32.280937,36,36,58181.1489,0,0.731,,,,,,,,,,,,,,,,,,,20.1852,0.1035,20.0974,0.1365,20.2226,0.0855,18.7142,0.1031,18.561,0.0762,18.7673,0.059,18.3322,0.0392,18.1625,0.0794,18.2696,0.0942,15.0,
7,41.92,234169046,5,0,204954.77-321729.8,312.478283,-32.291641,94,47,58421.4949,3,0.637,,,,,,,,,,,,,,,,,,,19.8098,0.0393,19.736,0.1042,19.7899,0.0499,19.1306,0.0789,19.4455,0.2593,19.1251,0.0796,18.7043,0.1357,18.699,0.2135,18.6087,0.1267,10.06,234169041.0
8,46.12,234169041,4,0,204955.36-321736.7,312.48067,-32.293576,36,36,58170.4853,0,0.776,,,,,,,,,,,,,,,,,,,20.0049,0.0481,19.9621,0.1049,19.9953,0.07,19.23,0.0959,19.2581,0.1282,19.3247,0.0946,18.9484,0.058,19.1534,0.2013,19.0124,0.1822,10.06,234169046.0
9,49.25,2336592009,0,19,204959.49-321625.9,312.497894,-32.27387,36,36,58016.4121,0,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0291,,17.9427,,18.061,,4.56,234169069.0
10,51.81,234169058,4,0,204953.89-321609.0,312.474566,-32.269226,55,40,58523.7519,0,0.692,,,,,,,,,,,,,20.1507,0.0304,20.3133,0.1488,20.1846,0.0516,19.3389,0.0541,19.4817,0.1983,19.3354,0.0818,,,,,,,,,,,,,15.0,
11,53.77,234169069,24,0,204959.82-321623.8,312.499259,-32.273348,107,36,58173.5429,0,0.961,,,,,,,,,,,,,16.9601,0.0373,16.8172,0.0124,17.0853,0.0111,16.4884,0.0292,16.3583,0.014,16.5524,0.0098,16.1604,0.0227,16.0352,0.0216,16.1916,0.0114,16.0511,0.0303,15.8886,0.0251,16.055,0.019,4.56,2336592009.0
12,56.24,234169042,7,0,204956.46-321747.9,312.485262,-32.296705,36,106,58394.2205,0,0.56,,,,,,,,,,,,,19.7832,0.1838,19.7246,0.1684,20.1987,0.0441,19.3405,0.1514,19.1427,0.0727,19.5467,0.0526,18.7188,0.2621,18.3063,0.1001,19.0257,0.0734,,,,,,,15.0,
13,58.47,234169066,8,0,204959.06-321737.6,312.496095,-32.293842,36,46,58079.8475,1,0.87,,,,,,,,,,,,,20.6521,0.0462,20.9556,0.1498,20.7123,0.076,19.7671,0.0201,19.936,0.0839,19.8065,0.0593,18.6717,0.0341,18.6886,0.0813,18.7078,0.041,18.1579,0.0368,18.2925,0.0898,18.1879,0.0708,15.0,
14,58.94,234169078,5,0,204958.46-321600.5,312.493577,-32.266803,55,36,58340.7514,0,0.641,,,,,,,,,,,,,20.6637,0.038,20.7872,0.1097,20.695,0.0935,19.6397,0.0407,19.772,0.1206,19.6702,0.0625,18.4024,0.0589,18.6679,0.1045,18.382,0.0929,17.9058,0.1334,18.0817,0.1683,18.1485,0.1682,15.0,
15,61.43,234169045,1,0,204951.46-321704.9,312.464435,-32.284704,36,36,58016.4066,0,0.494,,,,,,,,,,,,,,,,,,,20.3572,0.2406,20.2863,0.1235,20.475,0.1312,,,,,,,,,,,,,5.18,234169056.0
16,64.93,234169062,6,0,204955.89-321546.9,312.482827,-32.26311,36,67,58817.8494,2,0.502,,,,,,,,,,,,,19.8247,0.0536,19.8081,0.0988,19.8391,0.0352,18.8886,0.0912,18.7159,0.1749,18.9228,0.0334,18.3011,0.0821,18.3081,0.1402,18.3251,0.0666,,,,,,,15.0,
17,66.22,234169056,6,0,204951.02-321703.8,312.462764,-32.284428,59,73,58423.6035,2,0.637,,,,,,,,,,,,,20.4752,0.1304,20.1872,0.1486,20.5753,0.0675,19.2549,0.137,18.9636,0.0908,19.3547,0.0569,18.3932,0.1604,18.2052,0.1257,18.5427,0.0521,18.0758,0.1857,17.9796,0.1809,18.179,0.0777,5.18,234169045.0
18,66.77,234169040,8,0,204954.00-321752.3,312.475052,-32.297981,99,196,58523.1344,1,0.486,,,,,,,,,,,,,19.6776,0.0969,19.597,0.076,19.8695,0.0451,19.4517,0.1418,19.4728,0.2827,19.4676,0.0958,18.7702,0.273,18.7421,0.1237,19.1109,0.0789,,,,,,,15.0,
19,82.5,234169063,14,3,204952.74-321542.0,312.469739,-32.26171,40,36,57866.2359,0,0.981,,,,,,,,,,,,,18.1421,0.0117,18.1365,0.0255,18.1494,0.0135,17.8013,0.0144,17.8104,0.0258,17.7973,0.0154,17.5963,0.027,17.5902,0.0528,17.576,0.0318,17.4545,0.0458,17.4601,0.0749,17.4432,0.0646,6.99,234169064.0
20,82.86,234169044,3,16,204951.63-321751.2,312.465152,-32.297584,58,36,58016.739,0,0.677,,,,,,,,,,,,,,,,,,,20.0964,0.0854,20.0583,0.1888,20.0686,0.0744,19.4749,,19.8285,,19.5873,,18.684,0.194,18.8086,0.2235,18.6137,0.1277,12.89,234169043.0
21,87.77,234169016,14,0,205001.22-321752.3,312.505059,-32.297919,58,66,58270.3409,0,0.966,,,,,,,,,,,,,19.8745,0.025,19.817,0.0789,19.8937,0.0314,19.0579,0.0582,18.9929,0.1098,19.0642,0.0626,18.4222,0.0258,18.3434,0.0602,18.389,0.0314,18.2391,0.0586,18.3351,0.094,18.2144,0.0567,15.0,
22,89.25,234169064,19,3,204952.32-321537.3,312.468033,-32.260409,39,36,57934.0791,0,0.983,,,,,,,,,,,,,17.6452,0.0082,17.6375,0.0224,17.6452,0.0096,17.3219,0.013,17.3051,0.0158,17.3313,0.0126,17.1165,0.0271,17.0511,0.0271,17.1123,0.0276,17.0642,0.0269,17.1586,0.0468,17.0893,0.0398,6.99,234169063.0
23,89.73,234168985,6,0,204957.43-321820.2,312.48928,-32.305659,38,36,57738.5108,0,0.784,,,,,,,,,,,,,,,,,,,20.3121,0.1163,20.5384,0.0966,20.2206,0.1188,18.6264,0.1039,18.4881,0.1362,18.6368,0.0519,18.0518,0.0342,18.1321,0.0988,18.0861,0.0724,15.0,
24,91.25,234169067,15,0,205002.86-321726.5,312.511909,-32.290725,44,36,58177.2889,2,0.98,,,,,,,,,,,,,18.6233,0.0117,18.644,0.0219,18.6257,0.0133,18.3512,0.0132,18.4183,0.0531,18.3506,0.0169,18.1905,0.0183,18.1121,0.0745,18.1823,0.0246,18.1251,0.0206,18.2817,0.0775,18.1261,0.0526,15.0,
25,91.67,234169050,2,0,204948.97-321648.7,312.454065,-32.280236,130,89,58016.9024,0,0.492,,,,,,,,,,,,,,,,,,,20.2873,0.2214,20.2591,0.2444,20.254,0.1773,,,,,,,,,,,,,15.0,
