,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
14,0,1636148068921376768,Gaia DR3 6793720032628225664,6793720032628225664,1663081482,2016.0,312.46139659135787,0.46040118,-32.29945199213155,0.33456087,1.57878106871145,0.6100891,2.5877876,8.538312,0.1258265866261352,0.61932105,-8.53738470385115,0.49548072,0.3055939,0.09857558,0.20312504,-0.3006568,0.13602872,-0.24943414,-0.029849537,-0.4690515,-0.33251023,0.3158835,316,0,316,0,2.996331,420.00323,1.3403698,1.8963488,95,False,,1.2515851,0.099831596,0.04123812,0.118276276,0.0035061291,-0.07691589,-0.19199328,37,18,0.94403344,49,10,0,0.041940257,33.815395,1,0,1.1216003,0.18908255,0.4917373,0.0838858,0.27287424,-20.052965,-25.016115,-20.59006,29.794914,False,383,213.9013188473778,0.81131166,263.64877,19.861834,40,50.58769428075434,4.810822,10.515395,21.07843,45,255.5874144706789,6.165305,41.45576,18.729048,1.4313848,0,0,0,2,0,2.3493824,1.2165966,1.1327858,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.724817040009208,-37.97049161632106,306.0255717511328,-14.01673522990823,False,False,0,False,False,False,False,False,False,False,False,8.4191265e-11,5.696012e-13,0.99997294,,,,,,,,,,,,,,,,,,,,,,,0.0265947868520024,IN,3,0
19,1,1636148068921376768,Gaia DR3 6793720071280375168,6793720071280375168,195854760,2016.0,312.46230257444216,4.7603664,-32.28882286299338,2.28532,,,,,,,,,0.41997504,,,,,,,,,,94,0,93,1,1.7520922,112.56335,3.6807277,0.991578,3,False,,,,,,,,,11,7,12.367506,12,2,0,0.32987002,158.98213,0,0,,0.46302226,0.74295634,0.2601967,0.2534612,-5.807315,-20.770924,-8.095364,-26.352888,False,91,68.17091764451787,1.0168847,67.03899,21.103369,8,38.90518636960589,17.491568,2.2242253,21.363523,11,73.81141649735606,14.452969,5.1070075,20.077587,1.6534412,0,0,0,0,0,1.2859364,0.26015472,1.0257816,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.738237392436584,-37.969213236098014,306.0293623275725,-14.006733292835074,False,False,0,False,False,False,False,False,False,False,False,5.6791327e-05,8.294882e-06,0.9996476,,,,,,,,,,,,,,,,,,,,,,,0.0200344354802415,IN,4,0
2,3,1636148068921376768,Gaia DR3 6793720552317512576,6793720552317512576,918441693,2016.0,312.46804355371967,0.08753076,-32.260394001727754,0.051801514,0.2725753936392149,0.1160363,2.3490527,2.8951893,2.8775306760588464,0.10516662,-0.3192773200402062,0.08187569,0.15146144,0.14018592,0.2602782,-0.387256,0.052211005,-0.24923608,0.04153232,-0.40214157,-0.415378,0.16350736,330,0,328,2,-0.20018941,329.96063,0.0,0.0,31,False,1.537192,,,,,,,,38,17,0.155277,51,12,0,0.04620031,12.570442,0,0,0.9911049,0.21770124,0.47772,0.08096696,0.26188824,-18.031504,-18.720083,-21.315123,31.519123,False,385,2213.4565731171188,1.669744,1325.6263,17.32469,46,1155.2377145914331,8.855539,130.45369,17.681864,45,1529.2889745960397,8.456534,180.8411,16.78667,1.212821,1,1,0,0,0,0.8951931,0.35717392,0.5380192,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.774810771723365,-37.9685412149613,306.04227827444146,-13.980758409193486,False,False,0,True,False,False,False,False,True,True,False,1.022756e-13,5.111101e-13,0.99997526,5365.9683,5353.625,5384.843,4.7137,4.6948,4.734,-1.7416,-1.844,-1.6379,1612.0575,1584.3444,1639.9933,0.01,0.0023,0.0269,0.0083,0.0019,0.0223,0.0045,0.001,0.0122,MARCS,0.0247977328466993,IN,1,0
3,4,1636148068921376768,Gaia DR3 6793720552317511808,6793720552317511808,1653508824,2016.0,312.46980796366097,0.116389185,-32.26170447067007,0.069442734,0.4816284545172178,0.1560016,3.0873303,5.3574333,-1.2642973867629437,0.1408761,-5.206116097909399,0.110411905,0.16070151,0.14381741,0.26067874,-0.3807322,0.06639464,-0.24496394,0.037320543,-0.41869885,-0.41471228,0.18510266,331,0,331,0,-1.1628348,308.9187,0.0,0.0,31,False,1.5342584,,,,,,,,38,17,0.20949474,51,12,0,0.050028775,9.930962,0,0,0.9538006,0.23446076,0.47508836,0.08534501,0.26920402,-18.371939,-19.001038,-21.437044,31.575954,False,387,1390.4994363265546,1.4504341,958.6781,17.82944,45,718.5067053704053,9.526661,75.42062,18.197466,47,958.4032873297097,9.345327,102.554276,17.294025,1.2059767,0,0,0,3,0,0.9034405,0.36802673,0.53541374,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.773541394818082,-37.97025646393202,306.04338201166127,-13.98243064081229,False,False,0,False,False,False,False,False,True,True,False,1.0236157e-13,5.1682703e-13,0.99996686,5315.9854,5302.179,5334.289,4.6905,4.6664,4.7185,-1.1362,-1.3,-0.9575,2118.2483,2048.1152,2201.982,0.0075,0.0019,0.0188,0.0061,0.0015,0.0155,0.0033,0.0008,0.0084,MARCS,0.0228887744649313,IN,1,0
9,5,1636148068921376768,Gaia DR3 6793720449238504320,6793720449238504320,1509042894,2016.0,312.474567043136,0.33766583,-32.2692572549165,0.18673776,0.393597764179681,0.44968837,0.8752678,0.7941121,0.3034483589855622,0.46043903,-0.733848142124688,0.31366664,0.119409986,0.056588612,0.3107567,-0.40590453,0.19185513,-0.31902245,0.029485442,-0.5412018,-0.33715844,0.13170134,304,0,304,0,-0.6112251,296.34018,0.0,0.0,31,False,1.373832,,,,,,,,35,17,0.67838174,48,10,0,0.033935897,6.1616693,0,0,0.97400427,0.24909264,0.51129544,0.13349612,0.18858463,-17.158009,-14.806024,-14.882353,27.079702,False,363,375.50805412157047,1.0021713,374.6945,19.250818,41,127.96265416500354,8.027379,15.940777,20.070833,41,331.66639071931337,8.198138,40.456306,18.446142,1.2240192,0,0,0,0,0,1.624691,0.82001495,0.80467606,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.765113822064189,-37.975651191560935,306.04521265379884,-13.990802214759777,False,False,0,False,False,False,False,False,False,False,False,4.3489736e-09,1.1817915e-10,0.9999985,,,,,,,,,,,,,,,,,,,,,,,0.0143639881453045,IN,2,0
13,7,1636148068921376768,Gaia DR3 6793720548020792064,6793720548020792064,1278246671,2016.0,312.4752054104904,0.42804524,-32.2566113138362,0.27594167,0.5294640480251104,0.64321554,0.8231518,8.376424,4.197260067882529,0.56912625,-7.248964454844621,0.48073032,0.20622747,0.04022389,0.3044884,-0.21773097,0.031464983,-0.12263015,0.24085023,-0.47987196,-0.4517673,0.29139006,296,0,295,1,0.7289103,322.82742,0.8263248,0.7870788,31,False,1.4743164,,,,,,,,34,15,0.8896845,47,19,0,0.06304302,4.2015753,1,0,1.0292578,0.2096493,0.4967431,0.11061696,0.24229597,-16.274736,-20.795607,-18.07906,34.5288,True,349,254.0979447742538,0.87885046,289.12534,19.674864,40,127.56532514535296,7.6939673,16.579916,20.074211,41,185.56471545952192,8.13696,22.805164,19.076656,1.2323202,0,38,0,39,0,0.9975548,0.3993473,0.5982075,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.780990907404767,-37.97376167420188,306.0493546670875,-13.978799844133524,False,False,0,False,False,False,False,False,False,False,False,1.6677156e-09,9.953803e-10,0.9999852,,,,,,,,,,,,,,,,,,,,,,,0.0256405381414341,IN,3,0
22,8,1636148068921376768,Gaia DR3 6793720243080199168,6793720243080199168,1542446695,2016.0,312.47819040661415,28.241919,-32.29165788104916,15.436389,,,,,,,,,-0.4755848,,,,,,,,,,49,0,49,0,11.69651,267.97018,49.297897,20.958412,3,False,,,,,,,,,6,5,74.732666,9,8,1,0.1650301,26.137047,0,11,,0.26079896,0.43107074,0.26139113,0.51414806,133.69406,-26.291065,2.6173153,37.666725,True,63,36.5173694041742,1.665047,21.931734,21.781118,5,63.76499171572161,4.0316973,15.815918,20.827085,8,210.50968386600584,11.358771,18.532787,18.939714,7.5108004,0,5,0,7,0,1.8873711,-0.9540329,2.841404,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.737961222238374,-37.98293828511597,306.0418551499919,-14.01317539689149,False,False,0,False,False,False,False,False,False,False,False,7.092735e-05,0.00011222872,0.9987773,,,,,,,,,,,,,,,,,,,,,,,0.0117015394553205,IN,5,0
18,9,1636148068921376768,Gaia DR3 6793720444944499840,6793720444944499840,1298867841,2016.0,312.4788968211753,0.6713438,-32.2779312938059,0.43335658,0.8535263820774299,0.8645084,0.9872968,24.38969,23.754241663472804,0.82723296,-5.53109550118956,0.74188334,0.37405,0.04266521,0.10657637,-0.47602016,0.058872964,-0.33983415,-0.24279489,-0.4339344,-0.32457963,0.39355716,301,0,301,0,0.87996227,340.7653,0.84222513,0.36894295,95,False,,1.2752066,0.12882149,-0.027824063,0.041221283,-0.011441874,-0.092591844,-0.10105685,35,16,1.3396686,47,11,1,0.042008374,53.513855,0,0,1.035302,0.18243997,0.5024531,0.1130379,0.24394988,-28.934626,-21.192263,-23.693604,30.76802,False,346,159.7720158537292,0.7604447,210.1034,20.178616,33,39.80670565028534,5.452679,7.300394,21.338652,41,176.71217393561872,8.435473,20.948696,19.12973,1.355174,0,0,0,1,0,2.2089214,1.1600361,1.0488853,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.755200320265285,-37.98090268755155,306.0463633399255,-14.000150702707158,False,False,0,False,False,False,False,False,False,False,False,2.2890365e-11,5.7002097e-13,0.99999344,,,,,,,,,,,,,,,,,,,,,,,0.0054739541251984,IN,4,0
17,10,1636148068921376768,Gaia DR3 6793720483596099072,6793720483596099072,1172657911,2016.0,312.4798537529357,1.1083919,-32.2658530060816,0.6216591,0.0110853768650513,1.356864,0.008169851,7.9583154,-0.6637525607288741,1.487302,-7.930587350441808,1.1261195,0.24507792,-0.0784378,0.23265505,-0.3935784,0.05772924,-0.3159712,-0.13844249,-0.4468252,-0.17693722,0.3995873,254,0,250,4,0.7078306,277.7791,1.2332957,0.33851326,95,False,,1.5101002,0.19955693,-0.054900095,0.08687333,-0.12731153,-0.08476261,-0.06780743,29,16,2.2645962,37,7,2,0.10285783,8.810575,0,0,1.0308322,0.16008171,0.5530925,0.11850688,0.12442368,-17.735489,-19.11651,-15.409402,26.388638,False,275,113.28310727974322,0.9070143,124.89672,20.551954,29,50.62004798242391,6.207357,8.154847,21.077736,28,75.6518373998057,6.6724586,11.337925,20.050846,1.1146576,0,0,0,0,0,1.0268898,0.52578163,0.50110817,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.770437372447727,-37.97938791919237,306.0506107125839,-13.988768500775242,False,False,0,False,False,False,False,False,False,False,False,4.085632e-07,1.3090153e-09,0.99999774,,,,,,,,,,,,,,,,,,,,,,,0.0156832080602737,IN,4,0
21,11,1636148068921376768,Gaia DR3 6793720238783119104,6793720238783119104,20247579,2016.0,312.4806528769944,7.568963,-32.29361307184507,4.1663036,,,,,,,,,0.05941828,,,,,,,,,,135,0,134,1,48.48718,3520.5083,29.858627,83.83841,3,False,,,,,,,,,16,9,28.78333,20,1,1,0.25296402,174.64735,0,0,,0.44762614,0.58807784,0.40726298,0.101631284,12.106972,-9.392493,0.6536298,11.685974,False,168,49.03043819484171,1.0519906,46.607296,21.461203,13,61.156133887721865,8.106163,7.5443997,20.872442,16,197.34415303213075,11.525769,17.121994,19.009834,5.272241,0,0,0,0,0,1.862608,-0.5887604,2.4513683,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.736030354826609,-37.98535483995829,306.04335879859514,-14.01563048719014,False,False,0,False,False,False,False,False,False,False,False,3.0213001e-05,5.8504083e-05,0.9991635,,,,,,,,,,,,,,,,,,,,,,,0.0128566519265253,IN,5,0
