,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight
27107,14.8180125,-72.15561389,0.026655,33247,38020,15.869,0.02,23.139,0.026,00 59 16.323,-72 09 20.21,,-8.349924,IN,1
15139,14.7686625,-72.17354722,0.003954,6,7,12.609,0.002,12.742,0.002,00 59 04.479,-72 10 24.77,435,-3.4243138,IN,1
10560,14.75309583,-72.17448889,0.005552,8,9,13.454,0.002,13.679,0.003,00 59 00.743,-72 10 28.16,355,-3.1287055,IN,1
9824,14.75012083,-72.17721111,0.005582,10,11,13.602,0.002,13.833,0.003,00 59 00.029,-72 10 37.96,342,-3.0678852,IN,1
7466,14.73903333,-72.17601944,0.00909,12,13,13.972,0.002,14.197,0.003,00 58 57.368,-72 10 33.67,324,-2.897049,IN,1
17206,14.77488333,-72.17606944,0.002463,13,14,14.09,0.003,14.318,0.004,00 59 05.972,-72 10 33.85,,-2.8469613,IN,1
11731,14.75749583,-72.17534167,0.003958,14,15,14.113,0.003,14.332,0.004,00 59 01.799,-72 10 31.23,368,-2.828626,IN,1
13098,14.76211667,-72.17636111,0.002218,16,17,14.383,0.003,14.622,0.004,00 59 02.908,-72 10 34.90,396,-2.7257662,IN,1
11869,14.75799583,-72.18811944,0.011081,38273,44506,19.732,0.019,22.565,0.022,00 59 01.919,-72 11 17.23,,-2.6537654,IN,1
18163,14.77805,-72.17813889,0.003042,17,18,14.47,0.003,14.672,0.004,00 59 06.732,-72 10 41.30,487,-2.653765,IN,1
17499,14.77580417,-72.17598889,0.002741,21,22,14.562,0.004,14.757,0.005,00 59 06.193,-72 10 33.56,476,-2.6063604,IN,1
17676,14.7763875,-72.1656,0.012153,15,16,14.214,0.003,14.176,0.003,00 59 06.333,-72 09 56.16,482,-2.5535896,IN,1
17254,14.77501667,-72.17916389,0.002637,31,32,14.963,0.004,15.243,0.006,00 59 06.004,-72 10 44.99,471,-2.5030541,IN,1
24342,14.80290833,-72.18586944,0.01349,23,24,14.724,0.004,14.875,0.005,00 59 12.698,-72 11 09.13,615,-2.4945574,IN,1
28628,14.82755833,-72.18608889,0.020055,26,27,14.831,0.004,15.033,0.005,00 59 18.614,-72 11 09.92,682,-2.4923208,IN,1
26523,14.81465833,-72.18658611,0.016837,25,26,14.825,0.004,14.997,0.005,00 59 15.518,-72 11 11.71,655,-2.4681718,IN,1
23997,14.80130417,-72.18554167,0.012902,24,25,14.736,0.004,14.856,0.005,00 59 12.313,-72 11 07.95,602,-2.4614635,IN,1
11826,14.75785417,-72.17870833,0.003427,33,34,14.981,0.004,15.202,0.006,00 59 01.885,-72 10 43.35,370,-2.442233,IN,1
20287,14.78531667,-72.17741389,0.005199,18621,20230,19.309,0.019,21.683,0.016,00 59 08.476,-72 10 38.69,,-2.4323952,IN,1
14458,14.76650417,-72.18087778,0.003424,30,31,14.963,0.004,15.159,0.005,00 59 03.961,-72 10 51.16,417,-2.4279225,IN,1
17088,14.77455833,-72.18065833,0.003688,32,33,14.971,0.004,15.152,0.005,00 59 05.894,-72 10 50.37,467,-2.4109292,IN,1
25807,14.81062917,-72.19995,0.025911,29,30,14.961,0.004,15.137,0.005,00 59 14.551,-72 11 59.82,637,-2.410928,IN,1
18900,14.78049167,-72.17372778,0.005299,35,36,15.075,0.005,15.305,0.006,00 59 07.318,-72 10 25.42,495,-2.4082458,IN,1
23386,14.79849167,-72.166,0.014748,36,37,15.091,0.005,15.325,0.006,00 59 11.638,-72 09 57.60,593,-2.4046679,IN,1
16115,14.77164167,-72.17736389,0.001022,39,40,15.131,0.005,15.365,0.006,00 59 05.194,-72 10 38.51,451,-2.3867793,IN,1
24432,14.803375,-72.18122778,0.011354,34,35,15.065,0.005,15.264,0.006,00 59 12.810,-72 10 52.42,617,-2.3849907,IN,1
8626,14.74485833,-72.18094167,0.007966,40,41,15.138,0.005,15.36,0.006,00 58 58.766,-72 10 51.39,330,-2.3729155,IN,1
8702,14.74525833,-72.17746389,0.007063,38,39,15.128,0.005,15.345,0.006,00 58 58.862,-72 10 38.87,332,-2.3729153,IN,1
21702,14.79095417,-72.18307778,0.00889,43,44,15.216,0.005,15.444,0.006,00 59 09.829,-72 10 59.08,549,-2.3434,IN,1
17650,14.77631667,-72.17566944,0.003053,42,43,15.185,0.005,15.382,0.006,00 59 06.316,-72 10 32.41,481,-2.329535,IN,1
20528,14.78616667,-72.17060556,0.008794,49,50,15.41,0.005,15.681,0.007,00 59 08.680,-72 10 14.18,523,-2.2951002,IN,1
19288,14.78177917,-72.18010278,0.004869,45,46,15.267,0.005,15.444,0.006,00 59 07.627,-72 10 48.37,500,-2.2749755,IN,1
10792,14.75396667,-72.18591667,0.009496,51,52,15.419,0.005,15.626,0.007,00 59 00.952,-72 11 09.30,356,-2.2338326,IN,1
17173,14.77479583,-72.17601389,0.002474,48,49,15.358,0.005,15.53,0.007,00 59 05.951,-72 10 33.65,,-2.229807,IN,1
29839,14.8359125,-72.16612222,0.023612,53,54,15.449,0.005,15.658,0.007,00 59 20.619,-72 09 58.04,701,-2.2222037,IN,1
13031,14.76184583,-72.177075,0.002031,57,58,15.533,0.006,15.781,0.007,00 59 02.843,-72 10 37.47,395,-2.2195213,IN,1
15243,14.76902917,-72.17717222,0.000391,54,55,15.45,0.005,15.65,0.007,00 59 04.567,-72 10 37.82,439,-2.2137072,IN,1
