,MainID,ra_now,dec_now,Gmag
166,4689015740666629120,14.768753390811595,-72.17355014975385,12.528789
2342,4689015534562135552,14.724742902324923,-72.20133912192752,12.889208
283,4689015702019200896,14.753176542996686,-72.17450084508783,13.44606
285,4689015706360739456,14.750229196265122,-72.17721814290961,13.610789
523,4689015706360740096,14.739165810712771,-72.17602567621532,13.970528
73,4689015740720446592,14.77490737018663,-72.17607095763113,14.027737
165,4689015706360700288,14.75759201023586,-72.17534672195264,14.125322
719,4689015736378946688,14.776487726243097,-72.16559747168574,14.198797
59,4689015706360713088,14.762189701675233,-72.17637765721177,14.382007
113,4689015672000982912,14.778143579691234,-72.17813943427385,14.499837
94,4689015740720446464,14.775886630568488,-72.17600412704574,14.613872
814,4689015461582019200,14.802962700144528,-72.18586649045955,14.714672
766,4689015465788811008,14.801348306743849,-72.18553974651314,14.738154
3154,4690516608412243584,14.847336710696037,-72.20018138829347,14.8220625
1447,4689015465842590464,14.827591676241678,-72.18608871492019,14.835639
1118,4689015465788809600,14.814704858060812,-72.1865873984595,14.845061
671,4689015671948281728,14.803429628927244,-72.18122815244358,14.941515
2155,4689015397123159424,14.810638576450643,-72.19995047819498,14.957128
133,4689015637641238400,14.766582130973067,-72.18087932554405,14.957387
149,4689015671947195264,14.774622991183074,-72.18065974135922,14.970747
131,4689015706360723200,14.757936891720725,-72.1787113637697,14.998804
87,4689015672000962048,14.775093858863633,-72.17916113375853,15.01002
266,4689015740720435968,14.78057787905967,-72.1737259916283,15.079859
921,4689015736378951936,14.79856350046728,-72.16600237703392,15.098237
445,4689015706360755584,14.74494130992823,-72.18094755530873,15.131225
388,4689015706360742784,14.745345570715148,-72.17746646731796,15.133989
14,4689015740720467328,14.771733553384596,-72.1773673923934,15.142081
114,4689015736459927424,14.77640006948078,-72.17567213453206,15.21785
513,4689015667659473920,14.791008368485938,-72.18307561925913,15.230487
37,4689015740720451072,14.772729410873639,-72.17844598844546,15.255538
237,4689015667659471360,14.781830445747545,-72.1801049420498,15.270241
363,4689015633299729280,14.770016419846248,-72.18416012712983,15.316664
2218,4689016530994388352,14.708740173808257,-72.15845494489777,15.397288
503,4689015736378949504,14.786251951394913,-72.1706023410002,15.436397
552,4689015637641295104,14.75402695779263,-72.18591978857316,15.446257
2,4689015740720455808,14.769103245779055,-72.17717475425742,15.469165
