,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,8.28,498402850,29,3,005905.97-721035.6,14.774873,-72.176367,78,178,57722.7491,0,0.111,11.6528,0.1377,11.1876,0.0783,12.7142,0.0892,11.6381,0.1064,11.0219,0.0733,12.8156,0.0705,11.7427,0.1641,11.2194,0.1032,13.1381,0.12,12.0825,0.1831,11.3605,0.0885,13.3011,0.1001,12.3403,0.172,11.827,0.1079,13.5911,0.0508,12.596,0.1795,12.1589,0.0855,13.7681,0.0255,7.24,498402848
1,8.31,498402849,9,3,005902.70-721035.8,14.761418,-72.176582,61,48,56950.7814,0,0.029,,,,,,,12.8256,0.2348,13.2521,0.0295,13.5794,0.0308,,,,,,,13.243,0.3295,13.7496,0.0236,14.1212,0.0307,13.5414,0.2084,13.9759,0.0462,14.481,0.0191,13.7811,0.2276,13.9115,0.0843,14.7104,0.0192,4.54,498402852
2,10.43,2714337755,9,3,005903.95-721049.2,14.766485,-72.180341,54,190,57263.475,0,0.028,,,,,,,,,,,,,,,,,,,13.5524,0.4412,12.335,0.0228,14.7858,0.032,13.5107,0.1981,12.7789,0.1683,15.01,0.02,13.6386,0.1927,13.172,0.2894,14.9725,0.054,2.32,498402846
3,10.9,498402848,2,3,005906.72-721041.2,14.778002,-72.178135,36,36,56946.4731,0,0.671,,,,,,,,,,,,,,,,,,,,,,,,,14.8543,0.1136,14.8186,0.0257,14.9056,0.0343,15.1105,0.1303,15.5809,0.0379,15.1647,0.0348,7.24,498402850
4,12.34,498402844,4,3,005901.85-721042.9,14.757735,-72.178606,36,43,56948.9577,0,0.049,,,,,,,13.6568,0.2139,13.7218,0.0417,13.913,0.0427,,,,,,,,,,,,,14.6222,0.156,14.4996,0.1386,14.8409,0.0231,15.0036,0.2303,14.6137,0.0358,15.1528,0.0348,8.34,498402849
5,12.68,498402846,2,19,005904.02-721049.4,14.766614,-72.180984,75,98,56951.4418,0,0.027,13.33,,11.4195,,14.1576,,13.4282,0.2898,12.7136,0.0303,14.31,0.0317,,,,,,,,,,,,,,,,,,,,,,,,,2.32,2714337755
6,12.85,498402852,19,3,005901.78-721033.5,14.757604,-72.176103,98,204,57921.5369,0,0.029,11.8706,0.2316,11.0051,0.0784,14.0235,0.1057,12.0584,0.1635,11.0621,0.0699,14.0442,0.0399,11.9654,0.2211,11.3951,0.1049,14.417,0.0194,12.5586,0.2903,11.6136,0.0284,14.633,0.0271,13.0266,0.2107,11.8852,0.2843,15.049,0.1402,13.022,0.4554,12.2016,0.0351,15.3036,0.0462,2.54,498402853
7,13.95,498402857,31,3,005904.46-721025.0,14.768651,-72.173627,36,36,57756.2317,4,0.989,11.9213,0.0248,11.865,0.0143,11.9635,0.0175,12.007,0.0233,11.9575,0.0129,12.0668,0.0159,12.282,0.0352,12.2405,0.0122,12.3696,0.0162,12.5702,0.0363,12.5243,0.0125,12.6523,0.0169,12.9677,0.0274,12.9217,0.0199,13.014,0.015,13.2214,0.0316,13.1594,0.0217,13.2673,0.0154,10.09,498402859
8,14.79,498402853,4,19,005901.80-721031.2,14.756699,-72.175454,683,296,56948.9581,0,0.857,11.9017,,11.5079,,13.6463,,,,,,,,,,,,,,,,,,,,14.5922,0.0546,14.5799,0.0264,14.6191,0.0226,14.851,0.0602,14.7558,0.0889,14.8603,0.0236,2.54,498402852
9,17.5,498402847,4,3,005907.84-721046.4,14.782672,-72.179591,36,36,56948.9582,0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,13.7938,0.4036,13.3985,0.029,15.2319,0.0356,14.2591,0.2239,13.9374,0.223,15.4651,0.033,7.34,498402848
10,17.91,498402854,6,3,005901.13-721029.2,14.75472,-72.174783,56,38,57194.4598,0,0.214,,,,,,,11.8782,0.2814,12.2293,0.0393,13.3014,0.0306,,,,,,,12.2919,0.3729,12.7914,0.0226,13.9724,0.0306,12.653,0.232,13.3495,0.0522,14.3663,0.0389,13.0313,0.399,13.4542,0.0317,14.6444,0.034,2.0,2714337764
11,19.91,2714337764,4,3,005900.75-721028.2,14.753131,-72.174513,36,36,56948.9581,0,0.972,,,,,,,,,,,,,,,,,,,,,,,,,14.0138,0.0298,13.7786,0.0312,14.0307,0.022,14.3136,0.0234,14.2223,0.0195,14.3245,0.0226,2.0,498402854
12,20.85,498402845,38,3,005859.82-721038.0,14.74943,-72.177224,36,36,57893.8751,3,0.981,12.8699,0.0685,12.7163,0.0396,13.1768,0.0476,12.948,0.0593,12.7831,0.1019,13.2885,0.0367,13.1208,0.0764,13.0105,0.064,13.5222,0.0161,13.5447,0.0829,13.2663,0.1136,13.8212,0.0216,13.9666,0.0742,13.6315,0.0634,14.2493,0.0342,14.3792,0.0561,13.9798,0.0828,14.5087,0.0255,8.72,498402843
13,20.99,498402858,3,3,005901.91-721021.3,14.75807,-72.172588,36,36,56949.7866,0,0.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5973,0.1607,16.214,0.0741,16.7113,0.1148,5.31,498402859
14,21.03,498402843,4,1,005900.12-721046.6,14.750545,-72.179621,36,36,56949.2037,0,0.793,,,,,,,,,,,,,,,,,,,,,,,,,16.5421,0.0759,17.6453,0.3429,16.5401,0.0544,16.8328,0.0242,17.3457,0.121,16.8178,0.0468,7.51,498402842
15,21.98,498402859,3,3,005902.86-721018.1,14.761955,-72.171715,36,167,56949.7866,0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6235,0.0281,16.6776,0.0553,16.6061,0.0357,5.31,498402858
16,23.14,498404707,1,3,005909.36-721035.2,14.789052,-72.176456,36,36,56955.4312,0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2834,0.2351,16.2935,0.189,16.4098,0.0609,6.57,498404708
17,23.87,498402860,1,0,005906.14-721016.4,14.775654,-72.17126,36,36,56946.4729,0,0.592,,,,,,,,,,,,,,,,,,,,,,,,,17.7304,0.145,17.7749,0.118,17.8552,0.1189,,,,,,,11.5,498402857
18,25.74,498402825,8,1,005902.05-721102.4,14.75857,-72.183997,36,43,57294.3746,0,0.969,,,,,,,15.5043,0.0561,15.1594,0.1082,15.5176,0.0741,,,,,,,,,,,,,15.8865,0.0243,15.7784,0.0432,15.8879,0.0233,16.1123,0.0178,16.0728,0.0756,16.0925,0.0266,4.5,2714337717
19,27.27,498404704,5,3,005910.27-721042.7,14.792844,-72.178542,36,48,56950.4491,0,0.931,,,,,,,,,,,,,,,,,,,,,,,,,16.404,0.0271,16.4066,0.0587,16.405,0.0354,16.7304,0.0257,16.7338,0.0975,16.7079,0.0385,4.28,498404703
20,27.56,2714337766,0,513,005901.03-721016.1,14.754323,-72.17116,36,36,56955.4305,0,0.51,,,,,,,,,,,,,,,,,,,17.8903,,19.295,,18.0015,,,,,,,,,,,,,,5.65,498402856
21,28.26,498402842,11,19,005858.86-721051.5,14.745304,-72.180955,39,36,57490.1579,0,0.94,14.398,,13.9294,,14.5415,,14.6198,0.0798,14.5509,0.0459,14.6601,0.0444,,,,,,,,,,,,,15.6217,0.0595,15.5139,0.0718,15.6327,0.0219,15.931,0.0288,15.5842,0.1539,15.9301,0.0176,7.51,498402843
22,28.88,498402829,8,3,005909.00-721059.0,14.787187,-72.183073,270,36,57470.7632,2,0.026,,,,,,,,,,,,,,,,,,,,,,,,,13.5926,0.2541,13.5236,0.1652,16.0746,0.0455,13.9245,0.2357,14.0122,0.183,15.984,0.0901,13.1,498402828
23,29.03,498404703,6,3,005910.47-721046.9,14.793677,-72.179703,36,36,57185.1348,0,0.891,,,,,,,,,,,,,,,,,,,,,,,,,16.201,0.0236,16.3479,0.0647,16.1887,0.0322,16.4302,0.0499,16.4996,0.1602,16.3991,0.035,4.28,498404704
24,29.08,498402827,1,1,005904.62-721108.0,14.769295,-72.185573,36,36,56947.4553,0,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0341,0.0648,17.4559,0.1453,17.2069,0.0947,12.15,498402822
25,29.45,498404710,3,1,005910.35-721028.0,14.793231,-72.174529,55,444,56949.7866,0,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0376,0.0591,16.6672,0.181,16.9847,0.0854,5.76,498404708
26,29.7,498404708,2,3,005910.75-721033.7,14.794864,-72.176048,36,118,56951.4433,0,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2682,0.0705,16.021,0.2084,16.3272,0.0385,5.76,498404710
27,30.16,2714337717,0,19,005901.46-721105.9,14.756094,-72.184993,213,248,59195.5739,0,0.043,14.3436,,12.889,,16.0266,,14.3225,,12.8804,,16.271,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,498402823
28,31.0,498404715,7,3,005909.64-721019.3,14.789986,-72.172001,96,36,57151.0397,0,0.884,,,,,,,16.3985,0.0933,16.0641,0.1021,16.4757,0.059,,,,,,,16.9856,0.0519,17.0579,0.1807,17.001,0.0823,17.394,0.0642,17.2275,0.1131,17.4001,0.0824,17.5051,0.0539,17.9125,0.1835,17.6163,0.1199,6.09,498404716
