,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
397,61,14.6872625,-72.19388611,0.029726,7256,7730,21.658,0.021,21.096,0.015,00 58 44.943,-72 11 37.99,,1.2441489,IN,1,4
197,287,14.68950833,-72.17878889,0.024159,10274,10957,22.037,0.014,21.736,0.014,00 58 45.482,-72 10 43.64,,1.1801975,IN,1,4
484,647,14.69264583,-72.197575,0.030644,8171,8703,21.771,0.017,21.56,0.017,00 58 46.235,-72 11 51.27,,0.9807398,IN,1,4
218,890,14.6948375,-72.19755833,0.03013,885,987,18.851,0.022,17.693,0.019,00 58 46.761,-72 11 51.21,,0.5218973,IN,1,4
587,1088,14.69647917,-72.19418611,0.027598,3746,4027,20.734,0.016,20.582,0.013,00 58 47.155,-72 11 39.07,,0.46420604,IN,1,4
263,1300,14.69825833,-72.18260833,0.022045,3007,3241,20.387,0.015,20.215,0.014,00 58 47.582,-72 10 57.39,,0.32691184,IN,1,4
224,1570,14.70037917,-72.18631389,0.022585,2975,3208,20.373,0.016,20.261,0.016,00 58 48.091,-72 11 10.73,,0.2669857,IN,1,4
184,1864,14.70262083,-72.17410556,0.020399,10246,10926,22.033,0.034,21.452,0.047,00 58 48.629,-72 10 26.78,,1.428849,IN,1,4
268,2461,14.70681667,-72.16608333,0.022024,8856,9431,21.855,0.02,21.341,0.021,00 58 49.636,-72 09 57.90,,1.2893165,IN,1,4
316,2868,14.70956667,-72.17392778,0.01834,196,200,16.908,0.011,15.1,0.005,00 58 50.296,-72 10 26.14,,0.23434085,IN,1,4
240,3188,14.71179167,-72.20040556,0.028702,3957,4246,20.814,0.019,20.596,0.018,00 58 50.830,-72 12 01.46,,0.5590153,IN,1,4
814,3489,14.7139,-72.19360833,0.023169,9363,9965,21.922,0.022,21.299,0.029,00 58 51.336,-72 11 36.99,,1.416774,IN,1,4
195,3797,14.71605417,-72.16802778,0.018598,10876,11615,22.11,0.021,21.722,0.022,00 58 51.853,-72 10 04.90,,1.2906591,IN,1,4
449,4055,14.7178,-72.17620556,0.015521,7610,8111,21.707,0.023,21.128,0.017,00 58 52.272,-72 10 34.34,,1.2812676,IN,1,4
165,4349,14.7199,-72.15485833,0.027068,10108,10775,22.017,0.046,21.421,0.031,00 58 52.776,-72 09 17.49,,1.4351091,IN,1,4
207,4608,14.72171667,-72.19052222,0.019313,9805,10447,21.98,0.024,21.443,0.029,00 58 53.212,-72 11 25.88,,1.3657889,IN,1,4
641,4983,14.7244,-72.16148056,0.020919,12870,13785,22.345,0.03,21.835,0.021,00 58 53.856,-72 09 41.33,,1.5048736,IN,1,4
375,5427,14.72726667,-72.16774167,0.015915,589,637,18.356,0.017,18.332,0.017,00 58 54.544,-72 10 03.87,294.0,-0.7137523,IN,1,4
691,5749,14.72929583,-72.15738333,0.023401,9091,9681,21.886,0.035,21.317,0.038,00 58 55.031,-72 09 26.58,,1.352374,IN,1,4
353,6067,14.73125833,-72.15908889,0.02163,6789,7232,21.581,0.043,20.707,0.044,00 58 55.502,-72 09 32.72,,1.4887725,IN,1,4
536,6467,14.73364583,-72.18514167,0.013079,5827,6219,21.376,0.016,21.064,0.013,00 58 56.075,-72 11 06.51,,0.8944272,IN,1,4
