,MainID,ra_now,dec_now,Gmag
689,4657680410895734784,84.65058453804069,-69.09943208743022,11.641526
0,4657685534828216192,84.6766350545961,-69.10084108918807,11.692837
329,4657685534828270976,84.6781024294441,-69.09516671250515,11.735343
1940,4657685500468567040,84.73781367181411,-69.10156688116696,11.821152
1606,4657685564856502528,84.67651029488718,-69.0828273646495,11.903245
1532,4657686286410997504,84.65404525668865,-69.08551541184285,12.002826
1181,4657685569167442432,84.67335230105209,-69.08706637843686,12.163399
1032,4657685569188021120,84.70199064806503,-69.09240892031796,12.383311
467,4657679659311713024,84.69039762012838,-69.10626437992454,12.408047
1139,4657685569188005248,84.67345546943079,-69.08754887194618,12.433876
378,4657685530496770944,84.68994999656722,-69.09662589161148,12.469158
121,4657685534828221824,84.66895398657002,-69.09923257083832,12.59948
2156,4657686290742293888,84.64011735963267,-69.08069207549097,12.691869
64,4657685534828234496,84.67548974998745,-69.0986984296874,12.70561
136,4657679659312960256,84.66760069267279,-69.09997357121057,12.799051
93,4657685534828257792,84.68441529059344,-69.10166446648954,12.957328
716,4657680415225947008,84.64979313786029,-69.10256705488831,12.971637
1348,4657679586261960064,84.70721445566814,-69.11195660747923,13.058961
3,4657685534807648896,84.67811255490675,-69.10108758382408,13.081666
107,4657679659312965248,84.67534042552971,-69.10399680097365,13.21165
8,4657685534835434240,84.67877715672427,-69.10137640152992,13.213364
434,4657679654981424640,84.66313427148471,-69.10591237995119,13.224257
1011,4657685534828092032,84.67316438134127,-69.08874287542734,13.225654
284,4657685530496768640,84.68418393185446,-69.09639576758472,13.263954
129,4657679659312999296,84.68004589324568,-69.104027897068,13.352338
122,4657679659312957312,84.67669796719451,-69.10420459747506,13.379241
232,4657685530496766336,84.67958375917226,-69.09635762864453,13.402618
1321,4657680376535927040,84.65026172915587,-69.11292582963536,13.464909
1543,4657680380866211200,84.65172821490404,-69.11597739120542,13.490199
153,4657685534828252672,84.6847530872972,-69.09852979012139,13.540366
519,4657679654981423744,84.66036190091852,-69.10611156423225,13.553191
1157,4657686286459828992,84.65724423822185,-69.08918434286525,13.600119
557,4657685530545537920,84.68506792161337,-69.09340037598103,13.606085
1176,4657679624951968640,84.66186759929711,-69.113759218618,13.631475
388,4657685534828096640,84.67936033931632,-69.09456506590512,13.660404
372,4657685534807640832,84.68864203695676,-69.09627729240792,13.68164
2606,4657679586261967616,84.73884603967534,-69.11937654498023,13.698327
114,4657685534828260608,84.68388839444557,-69.09908553741514,13.713927
615,4657685534828075648,84.67201680983933,-69.09234770159935,13.720772
361,4657679659292382080,84.67590771433969,-69.10711537462734,13.731356
427,4657685534828283904,84.6924423823384,-69.10484966315575,13.761148
167,4657679659312998144,84.68029366373689,-69.10460468123401,13.778062
580,4657685534828272512,84.69037874103704,-69.09417254181093,13.887262
234,4657685534807650304,84.68205064270528,-69.09664559262515,13.905079
1166,4657685461824464896,84.71271372207823,-69.10569029096597,13.934298
394,4657685534807559936,84.69229488809333,-69.09763197905816,13.943012
453,4657679659290057984,84.69105050381394,-69.10580533705327,13.972437
1791,4657685569187906048,84.68571867747798,-69.08090030344661,13.97254
58,4657685534828213376,84.67291452539179,-69.09915046009895,14.024106
2,4657685534828216960,84.67784854797466,-69.10075306347288,14.025091
25,4657685534828236416,84.67297375004978,-69.10025129294628,14.074246
1191,4657685569167442304,84.67479405140506,-69.08696261879835,14.109441
1174,4657685500468549248,84.71004555829818,-69.09395860685316,14.125574
4,4657685534835421440,84.6768515735203,-69.10037448442291,14.126651
399,4657685534828230528,84.69497686334815,-69.10088116858222,14.168091
1,4657685534807598720,84.67704897966456,-69.10127785350345,14.191481
20,4657679659292338176,84.67505825235195,-69.10211637628967,14.20822
356,4657679655028521472,84.67393474447974,-69.10696401583256,14.214699
1113,4657685466108816512,84.71336656470055,-69.09982660546827,14.233928
1674,4657685466108826624,84.7197118152214,-69.11200684918468,14.250305
157,4657685534828253056,84.68532393821005,-69.09876655228427,14.273014
446,4657679654981425664,84.66542237731916,-69.10667994646015,14.27661
6,4657685534835440000,84.67547756836757,-69.10019026973859,14.280361
1474,4657679590592243328,84.71334208245676,-69.11144203654963,14.2996855
2451,4657686325102027648,84.639186306551,-69.07734294758933,14.348646
81,4657679659312965120,84.6745068725123,-69.10349060750133,14.36268
669,4657680415225947776,84.65101761210332,-69.10234626601358,14.409566
482,4657685534828074624,84.67760692560923,-69.09355082530479,14.412484
70,4657679659312979200,84.67944442617683,-69.10312204378478,14.433413
115,4657679659312965632,84.67447401933258,-69.10402163643265,14.4482155
223,4657685534807639808,84.68733624668037,-69.09838062661728,14.469164
856,4657685534828067712,84.67004035626778,-69.09031973247734,14.477542
221,4657679659312983808,84.66408729684971,-69.10181696309907,14.486693
49,4657685534828242176,84.67782069880097,-69.09899617289388,14.489843
123,4657685534828260480,84.68359592094572,-69.09880090521354,14.4934435
104,4657685534828255232,84.67044466341316,-69.09888513493688,14.542073
1328,4657685569167418752,84.6645325102707,-69.08622050070188,14.582136
320,4657685534807649408,84.68363513422229,-69.09580569391751,14.587724
767,4657680415225904640,84.64824869433495,-69.10185249396146,14.596083
383,4657685530496768512,84.68404668470791,-69.09507676615866,14.612445
1637,4657686286410990464,84.63463948441543,-69.08995735486457,14.618517
13,4657685534828217600,84.67990068286306,-69.10103141619516,14.620691
339,4657685534828217856,84.69287295522896,-69.09983062514544,14.623259
1193,4657685564856500480,84.67139907746581,-69.0870067678852,14.645833
1757,4657686325102489600,84.65359884492806,-69.08286272841967,14.673098
225,4657685534807652224,84.68063189782224,-69.09655677390653,14.676834
547,4657685534828273536,84.69069783132407,-69.09468959143204,14.678902
1106,4657685466088274688,84.71266465422475,-69.09855011596137,14.686883
595,4657686290742451072,84.65848565937314,-69.09536954473016,14.6897
340,4657685534807655168,84.68003739503226,-69.09516631739689,14.707154
649,4657679659311801600,84.67777803871232,-69.10996842957555,14.708401
50,4657679659312952192,84.67116082248636,-69.10051486070024,14.726166
2013,4657685564905715584,84.67989922815661,-69.07831381620359,14.737512
237,4657685530496759552,84.66730497367537,-69.09758316797613,14.740838
1999,4657680415225898368,84.62265404084162,-69.08921964640055,14.745562
2104,4657685564905335680,84.67475489703551,-69.07744297975354,14.746079
406,4657685534807637376,84.69281071079743,-69.09766206877822,14.765096
878,4657685534828102784,84.66520073937377,-69.09066844946035,14.7728815
367,4657685534807638656,84.69132723023107,-69.09745366545317,14.793246
2197,4657686290742282112,84.62499738912167,-69.0847785537248,14.803071
946,4657685461777222016,84.70946936509002,-69.10123753075516,14.903076
352,4657685534835438336,84.69217966615022,-69.09847091555012,14.90637
704,4657685569167465984,84.69407153612183,-69.09365913863417,14.911088
