,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,0.97,494751675,16,3,053842.22-690603.4,84.675898,-69.100948,57,36,58293.796,5,0.672,9.2058,0.1316,8.9828,0.029,10.2042,0.0288,9.2275,0.1266,8.9992,0.0194,10.1695,0.0263,9.2267,0.1719,8.9612,0.0198,10.0783,0.0273,9.0311,0.1656,8.891,0.0675,10.0541,0.0312,9.0189,0.1873,8.8652,0.025,10.086,0.0298,9.1447,0.1512,8.8209,0.0282,10.0561,0.0614,8.08,2709403734.0
1,7.27,2709403734,0,27,053843.53-690607.3,84.68141,-69.102029,49,295,57681.7419,160,0.065,,,,,,,,,,,,,,,,,,,,,,,,,9.9523,,11.0986,,13.7052,,9.9778,,11.03,,13.3754,,5.04,2709403735.0
2,11.31,2709403735,0,27,053844.45-690606.0,84.685209,-69.101677,303,84,57009.4805,156,0.977,13.6634,,13.6482,,13.8838,,13.178,,13.1221,,13.3384,,,,,,,,12.7192,,12.6315,,12.9004,,12.8002,,12.697,,12.8836,,12.6254,,12.5189,,12.7324,,5.04,2709403734.0
3,14.28,2709403736,0,27,053844.57-690555.1,84.685721,-69.098641,205,83,57143.9326,118,0.983,12.9717,,13.0391,,13.05,,12.4815,,12.6127,,12.7742,,,,,,,,12.0287,,12.2677,,12.5403,,11.906,,12.1929,,12.5139,,11.7934,,12.1779,,12.5262,,6.23,2709403738.0
4,19.71,494751667,20,3,053843.95-690545.4,84.683002,-69.095948,133,146,58443.5624,10,0.159,10.7451,0.1649,9.865,0.0173,12.4988,0.0287,10.7526,0.1674,9.8878,0.0169,12.5073,0.0234,10.7776,0.2651,10.0305,0.0198,12.6186,0.027,10.7039,0.2477,10.055,0.0614,12.7183,0.0388,10.7216,0.1901,10.0766,0.0204,12.9155,0.0734,10.7412,0.1865,10.2268,0.0904,13.0527,0.1056,4.2,494751676.0
5,19.99,494751676,0,23,053843.17-690543.9,84.679974,-69.09551,36,36,58321.4079,40,0.81,,,,,,,,,,,,,,,,,,,,,,,,,9.7189,,10.5026,,12.3759,,10.423,,11.2378,,12.2719,,4.2,494751667.0
6,20.31,2709403738,0,27,053845.28-690550.1,84.688675,-69.097269,36,36,57009.4804,186,0.029,,,,,,,,,,,,,10.0787,,10.3944,,12.9546,,,,,,,,,,,,,,,,,,,,2.46,2709403740.0
7,20.56,2709403741,0,31,053844.78-690547.2,84.686601,-69.09646,72,36,57681.7419,150,0.021,,,,,,,,,,,,,,,,,,,,,,,,,9.8645,,10.8681,,13.5281,,9.948,,10.9083,,13.4579,,3.59,2709403740.0
8,22.44,1605797351,1,1025,053840.27-690543.9,84.66795,-69.095527,97,57,59187.5183,0,0.999,,,,,,,,,,,,,15.0047,,14.8168,,14.9711,,15.0937,,15.4273,,15.0911,,,,,,,,15.1584,0.0473,15.2564,0.0461,15.1461,0.0499,5.35,1605797352.0
9,22.5,2709403740,0,27,053845.44-690547.8,84.689357,-69.096629,209,222,57009.4802,180,0.029,10.9943,,10.81,,12.2104,,11.1493,,10.6982,,12.1944,,,,,,,,10.8377,,10.8114,,12.2342,,11.0819,,10.827,,12.3382,,,,,,,,1.38,494751666.0
10,22.88,494751666,1,19,053845.67-690548.8,84.690265,-69.096836,99,136,57007.5081,18,0.029,,,,,,,,,,,,,,,,,,,,,,,,,11.1119,0.4402,11.2993,0.0254,12.3936,0.0335,11.161,,11.3538,,12.4045,,1.38,2709403740.0
11,24.76,2709403719,0,19,053845.42-690622.0,84.689254,-69.106138,337,132,58759.3698,3,0.989,12.4583,,12.8227,,12.6671,,12.3948,,14.0262,,13.0407,,12.4147,,15.0876,,13.1804,,12.3696,,14.3272,,13.7258,,12.0633,,12.1193,,12.3117,,12.1108,,12.3307,,12.5685,,2.63,494751652.0
12,25.34,494751652,27,3,053845.83-690620.8,84.69101,-69.105761,36,103,58096.2234,0,0.983,11.372,0.12,11.7639,0.0204,12.7949,0.0263,11.3767,0.1215,11.7276,0.0273,12.7158,0.0208,11.2984,0.1725,11.4697,0.0681,12.5148,0.0236,11.2593,0.1558,11.5538,0.0169,12.4154,0.0307,11.5218,0.1125,11.6889,0.0165,12.4052,0.024,11.6125,0.111,11.6447,0.0443,12.3761,0.0221,2.63,2709403719.0
13,26.11,1605797345,2,3,053838.94-690621.7,84.662312,-69.106077,129,551,58954.1362,0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,11.8122,0.3117,11.9357,0.0399,12.9228,0.0455,11.8069,0.2716,11.3378,0.0407,12.8399,0.0444,15.0,
14,27.75,1605797352,0,1024,053839.69-690540.0,84.665358,-69.094362,66,107,59096.7653,0,0.937,,,,,,,,,,,,,15.2818,,15.3857,,15.3015,,15.659,,16.2133,,15.6565,,,,,,,,15.4904,,15.5282,,15.469,,5.35,1605797351.0
15,27.96,494751653,1,3,053844.51-690628.9,84.685282,-69.108065,138,274,57007.5085,0,0.783,,,,,,,,,,,,,,,,,,,17.0547,,,,20.3328,,,,,,,,15.9042,0.1909,15.7267,0.0463,16.034,0.0508,8.61,2709403719.0
16,29.32,2709403743,0,4096,053844.45-690536.1,84.68521,-69.093383,36,36,58735.2367,0,0.984,,,,,,,,,,,,,14.3323,,,,14.4864,,,,,,,,,,,,,,14.124,,15.655,,14.389,,9.66,494751667.0
