,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
111,97,1636148068921376768,Gaia DR3 4657680380866163456,4657680380866163456,1678404242,2016.0,84.6169369570353,0.020758672,-69.10806954211482,0.022218287,0.0067236101485796,0.021181304,0.31743136,1.8126343,1.709931297157145,0.030453125,0.6014800599464897,0.02968867,0.008509436,-0.11135936,-0.19029456,-0.03443798,0.12072377,-0.010632031,-0.46675688,0.2862167,-0.22195646,-0.09875094,291,0,289,2,0.024290571,333.886,0.035458,0.25804216,31,False,1.7194883,,,,,,,,34,25,0.044634257,39,14,0,0.018907808,34.49407,0,0,0.9998455,0.1378578,0.05196259,0.06418522,0.11638941,-47.366272,32.739952,-10.351148,0.9009968,False,308,19719.77724991881,10.59804,1860.7004,14.950111,33,14456.62478733081,66.688,216.77998,14.9383745,30,11017.58420557268,41.423203,265.97617,14.642679,1.2918102,0.0,0.0,0.0,0.0,0.0,0.2956953,-0.01173687,0.30743217,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.47635116296664,-31.69223028680043,306.0939013573379,-86.7445177638674,False,False,0,True,True,False,False,False,True,True,False,8.000977e-08,5.2715053e-13,0.9998557,34282.074,32051.54,36004.668,4.2868,4.2647,4.3243,-0.9414,-0.9833,-0.8956,22030.568,17866.44,23812.621,1.3799,1.3644,1.3862,1.3573,1.3406,1.3639,0.7431,0.7332,0.7471,OB,0.0224590954100615,IN,1,2
999,115,1636148068921376768,Gaia DR3 4657686286463435904,4657686286463435904,1003088071,2016.0,84.61843851343164,0.12747681,-69.08623484873841,0.12771596,0.0782535806736562,0.119453035,0.65509915,1.41548,1.3813753998673628,0.18106179,0.3088458602173253,0.19110003,0.18204415,-0.09572724,-0.3184474,-0.12571454,-0.042746745,-0.13674565,-0.44221753,0.25141665,0.038127836,0.14010061,261,0,261,0,1.0045308,286.72382,0.0,0.0,95,False,,1.4996449,0.03729961,-0.24830435,-0.09351101,-0.17325366,0.011805054,-0.018874194,30,23,0.28493536,34,12,0,0.013592579,51.317657,0,0,1.0434834,0.1820039,0.05827993,0.03064047,0.1257267,-77.97698,-37.60234,39.846817,-5.8352594,False,253,1024.4282351102777,2.0558152,498.30753,18.161163,19,638.0232254979051,29.931591,21.316048,18.32645,18,1028.3920240078878,29.940601,34.34774,17.217499,1.6266783,0.0,13.0,0.0,14.0,0.0,1.1089516,0.16528702,0.94366455,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.45078672297103,-31.694201832845625,306.34071759131496,-86.76129860593225,False,False,0,False,False,False,False,False,True,True,False,3.6598614e-08,4.8048502e-08,0.99999917,4782.0913,4575.3315,4851.568,4.8374,4.642,4.9034,-2.4342,-2.4848,-2.3437,1253.0051,1122.3608,1423.0134,0.2679,0.0617,0.3506,0.2097,0.0479,0.2749,0.1145,0.026,0.1503,PHOENIX,0.0254493010737521,IN,2,2
994,148,1636148068921376768,Gaia DR3 4657680273514662272,4657680273514662272,1279911786,2016.0,84.62024331199878,0.15952274,-69.11377853692731,0.1868889,-0.1339382484653457,0.14167288,-0.945405,1.729356,1.5246325747703349,0.2314826,0.8161911045616577,0.23504984,0.4083731,-0.2441393,-0.42186043,-0.36252376,-0.13173342,-0.3340714,-0.6991048,0.34285116,0.11356486,0.32128856,264,0,264,0,0.59514815,280.89832,0.0,0.0,95,False,,1.5597788,0.04341718,-0.119097546,-0.052779496,-0.12902646,-0.05624636,0.06894718,30,21,0.40251502,37,13,0,0.025008393,40.84013,3,29,1.0250111,0.17586376,0.15553726,0.032161627,0.28954312,-36.435802,-37.806152,21.300793,-1.7723649,False,284,812.8464377490726,1.4781895,549.89325,18.412346,0,,,,,0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.48285718276577,-31.690403777106287,306.0122816876494,-86.74098568952441,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0238637861575836,IN,2,2
455,184,1636148068921376768,Gaia DR3 4657680380844436864,4657680380844436864,1394338819,2016.0,84.62287005661554,0.028594662,-69.10570974181094,0.030791957,-0.0109139424185499,0.029076694,-0.37535018,1.7771592,1.685440587857561,0.040919434,0.5635465293435025,0.038581822,0.023591913,-0.117745206,-0.18745933,-0.059735008,0.07652102,-0.050193157,-0.4021783,0.21973212,-0.14660239,-0.025967406,290,0,288,2,-1.0542704,347.26724,0.10604142,1.3713683,95,False,,1.6417395,0.008846644,-0.11751105,-0.055387516,-0.13272172,-0.01795063,0.12541524,33,24,0.057241935,38,14,0,0.05146598,67.16644,1,0,0.9547731,0.14105532,0.03494878,0.019813772,0.07436876,-50.275105,62.966496,3.2633257,7.4774313,False,304,10540.619905559632,9.211969,1144.2308,15.630201,34,7713.938147295329,87.542244,88.11675,15.620352,32,6324.596486197537,52.225685,121.101265,15.245314,1.331851,0.0,30.0,0.0,29.0,0.0,0.37503815,-0.009849548,0.3848877,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.47331083904936,-31.69039911564457,306.09311877968935,-86.74768694331694,True,False,0,True,False,False,False,False,True,True,False,0.53025395,0.010704398,0.0005378645,24515.326,24462.17,30485.39,4.4389,4.39,4.4672,-0.9822,-0.9948,-0.9452,11523.869,11099.596,18263.531,1.4614,1.4582,1.5672,1.4105,1.4074,1.5239,0.7682,0.7665,0.8336,OB,0.0197663350882754,IN,1,2
275,220,1636148068921376768,Gaia DR3 4657680380866288000,4657680380866288000,252113813,2016.0,84.62524664551356,0.09897894,-69.10727979406116,0.10119413,2.1059783062244284,0.09650959,21.821442,18.577942,8.189848100943726,0.1412791,-16.675321301363837,0.13329384,0.097124584,-0.1213141,-0.1831443,-0.13214448,0.0054165637,-0.13381468,-0.4388983,0.23371705,-0.1356353,0.03183039,297,0,297,0,40.66208,3887.1047,1.0760423,141.5707,95,False,,1.3614043,0.028560583,-0.14989424,-0.072413735,-0.09189081,0.043815233,0.12698896,34,24,0.20046411,38,14,0,0.024189688,4.3340464,38,0,3.0931053,0.13959576,0.051035594,0.04782424,0.14689402,-62.29014,-9.137649,-12.852595,-2.2157617,False,320,10987.137619988443,14.207045,773.35846,15.5851555,32,3441.226210301602,77.17456,44.590164,16.49676,31,10370.582819836189,62.121998,166.93898,14.708387,1.2570889,0.0,16.0,0.0,16.0,0.0,1.788372,0.9116039,0.8767681,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.475029615785,-31.68937711318396,306.0636792132178,-86.74705977677766,False,False,0,True,False,False,False,False,True,True,False,1.0204977e-13,9.330606e-11,0.9999973,4407.794,4401.6523,4414.478,4.5572,4.535,4.578,0.4932,0.4817,0.4984,486.1763,468.2192,505.5882,0.7003,0.6898,0.713,0.5155,0.5076,0.5249,0.2725,0.2683,0.2775,PHOENIX,0.0193991959632985,IN,1,2
974,247,1636148068921376768,Gaia DR3 4657686290742286848,4657686290742286848,917587146,2016.0,84.62752283528422,0.15260771,-69.0864817623541,0.14854452,0.0330291599915309,0.14217868,0.23230739,2.0045912,1.990544796795487,0.21687597,0.236891618484326,0.20296814,0.10865192,-0.11700035,-0.2748714,-0.07913811,-0.0017919494,-0.053665806,-0.46023878,0.2213407,-0.009355082,0.0578816,287,0,286,1,-0.713776,282.70184,0.0,0.0,95,False,,1.6747406,0.04593794,-0.20699942,-0.09835513,-0.16429175,0.057751086,0.12315375,33,24,0.30960432,37,15,0,0.008895309,32.52965,1,0,0.9688114,0.1456236,0.06691367,0.08575042,0.12644462,-54.15632,-5.435655,49.122334,-4.1122684,False,274,831.2305791924418,3.0070877,276.4238,18.388063,29,1521.852456179643,110.16898,13.813802,17.38261,31,1362.826419517615,106.8913,12.749648,16.911795,3.4703715,0.0,4.0,0.0,3.0,0.0,0.47081566,-1.0054531,1.4762688,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.45063876898155,-31.690952140252055,306.2946974605523,-86.76325326487299,False,True,0,False,False,False,False,False,False,False,False,0.0020185765,0.99798125,7.1357725e-10,,,,,,,,,,,,,,,,,,,,,,,0.0227222620677377,IN,2,2
973,267,1636148068921376768,Gaia DR3 4657680376582954112,4657680376582954112,925449179,2016.0,84.62937228603609,0.08216995,-69.11023349510332,0.09165808,0.0438271254867307,0.081340306,0.5388119,1.7168512,1.593232996285031,0.1251169,0.6396771588105032,0.11852353,0.12677255,-0.18789235,-0.31066465,-0.13474743,0.050869286,-0.11561772,-0.5255684,0.27555734,-0.049120054,0.09626008,288,0,287,1,-0.41431177,297.03754,0.0,0.0,95,False,,1.6569225,0.024576973,-0.13839103,-0.124237105,-0.14892139,-0.0035774603,0.1535116,33,24,0.18417454,38,15,0,0.015005842,73.621216,0,0,0.98139524,0.14663592,0.0033899988,0.042004548,0.124668136,-65.80396,66.19377,-15.558158,2.4649267,False,310,1696.8416558160754,6.56505,258.4659,17.613264,36,1168.4951630650305,37.932312,30.804745,17.669476,36,1006.2738766664428,26.962374,37.32141,17.241104,1.281657,0.0,0.0,0.0,0.0,0.0,0.42837143,0.05621147,0.37215996,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,279.4782797415102,-31.68757704022917,306.0099671083559,-86.74579652911892,False,False,0,True,False,False,True,False,True,True,False,0.0022021686,3.380945e-09,0.99779594,7310.3364,7290.106,7331.831,4.3884,4.3793,4.3949,-2.4391,-2.4845,-2.3604,5807.9175,5755.676,5870.89,0.0017,0.0003,0.0047,0.0015,0.0003,0.0042,0.0008,0.0001,0.0023,PHOENIX,0.0192531712161348,IN,2,2
65,284,1636148068921376768,Gaia DR3 4657680376535920896,4657680376535920896,1656971595,2016.0,84.63070638137427,0.45859203,-69.10422928880986,0.540231,1.2671830124880998,0.48426622,2.6167076,4.075049,3.7144938028359897,0.69892466,-1.6758760328621056,0.682134,-0.08657943,-0.18732555,-0.28525373,0.054245654,0.27331543,0.06850412,-0.5586867,0.26894635,-0.34122956,-0.17308225,269,0,269,0,90.29753,13840.66,5.0257215,579.55786,95,False,,1.3593725,0.13012469,-0.02866898,-0.027530367,-0.09871199,-0.111109085,0.082709484,31,23,1.0792594,35,14,0,0.18048435,84.538,0,0,6.898733,0.21691386,0.06748207,0.04068905,0.1064039,-53.102303,51.56604,-25.364931,4.999433,False,286,2752.488373888498,20.849283,132.01837,17.088053,31,3876.801481899666,111.84715,34.661602,16.36736,30,3835.3543620237942,95.1178,40.32215,15.788382,2.801885,0.0,0.0,0.0,0.0,0.0,0.5789776,-0.7206936,1.2996712,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.4712060453255,-31.68779230900441,306.0731051446025,-86.75063906963655,False,False,0,True,False,False,False,False,False,True,False,1.0605716e-07,9.765089e-05,0.99990225,,,,,,,,,,,,,,,,,,,,,,,0.0167144679246184,IN,1,2
333,304,1636148068921376768,Gaia DR3 4657686286460107904,4657686286460107904,1633719160,2016.0,84.63268236671372,0.08296817,-69.08262627189308,0.079489194,-0.0307620045024253,0.07921246,-0.38834804,1.9459984,1.8298409912076483,0.10757023,0.6622627090138861,0.108497754,0.11771735,0.019966451,-0.209704,-0.07956924,0.12816288,-0.028469846,-0.41802007,0.19963665,-0.10084434,-0.012427857,266,0,264,2,4.5801024,462.73862,0.5267971,6.712443,95,False,,1.7029173,0.023467746,-0.18510155,-0.046151757,-0.23268956,0.02273215,0.018490408,30,23,0.15498841,36,13,0,0.010017456,30.730598,0,0,1.206883,0.14460419,0.1354006,0.01020281,0.19382781,-85.67247,-14.047832,45.740036,-3.5181549,False,281,2947.428933896925,5.2977915,556.3505,17.013758,32,2997.838820071586,63.763294,47.015118,16.64652,32,1956.8622355090024,57.508648,34.027267,16.518995,1.6810248,0.0,32.0,0.0,32.0,0.0,0.12752533,-0.3672371,0.49476242,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.4458899284225,-31.68956310643331,306.3152445729069,-86.7673658327845,False,False,0,True,False,False,False,False,False,True,False,1.8153341e-07,3.392028e-06,0.9999902,,,,,,,,,,,,,,,,,,,,,,,0.0241148399761393,IN,1,2
352,321,1636148068921376768,Gaia DR3 4657680410895729408,4657680410895729408,1709644425,2016.0,84.63442253885721,0.03145143,-69.09571891983803,0.03145933,-0.0039077897809169,0.030623754,-0.12760648,1.7210585,1.6238957420734983,0.045416813,0.5700920677626903,0.041805312,0.07662812,-0.09086083,-0.18174718,-0.06619157,0.035643324,-0.05234381,-0.43883315,0.22941329,-0.1719842,-0.020044012,315,0,315,0,-3.1043787,354.1215,0.0,0.0,95,False,,1.6750289,0.009335375,-0.14979154,-0.08306334,-0.14019768,0.0030614587,0.10802675,36,25,0.06339938,39,15,0,0.01616587,38.43274,1,0,0.87672716,0.11229699,0.07914172,0.018868927,0.15254113,-52.805256,-4.134664,51.11746,-0.82985187,False,322,8720.58531439505,12.31043,708.39,15.836002,34,10093.485456837205,358.4762,28.156641,15.32844,32,7880.515204335524,178.34962,44.18577,15.006509,2.0611002,0.0,11.0,0.0,10.0,0.0,0.3219309,-0.50756264,0.8294935,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.4610921370329,-31.6874493417874,306.1542404449133,-86.7579247749294,False,False,0,True,False,False,False,False,False,True,False,6.882794e-05,0.0022558933,0.9976747,,,,,,,,,,,,,,,,,,,,,,,0.0159433731721493,IN,1,2
