,MainID,ra_now,dec_now,Gmag
3,2447042532971262592,356.07335044407864,-4.36290093805519,17.314741
13,2447039513610198016,356.08700813177495,-4.384003475932872,17.981997
20,2447042846504818560,356.0915079625993,-4.364854056437216,18.341164
17,2447039509314279424,356.0907389650272,-4.378847864151231,18.608295
15,2447042709065864064,356.04393679194544,-4.366325627373942,18.720692
16,2447039509314280576,356.0908067154804,-4.375774183571038,19.027416
22,2447042846504818048,356.0882327566185,-4.357297384433775,19.56888
21,2447042915224305024,356.08271181760557,-4.352187981439584,19.93683
8,2447042537267432960,356.07453289723657,-4.356661756399874,20.141142
6,2447039479250718592,356.07932635797283,-4.3843249223849385,20.306248
5,2447039371875322368,356.06560119441724,-4.388718241881091,20.309298
19,2447042743425862912,356.05980681431015,-4.348955187218754,20.385138
9,2447042537267171968,356.0625379464756,-4.354595974433621,20.412949
4,2447039513610197376,356.0809522767357,-4.375677295423081,20.52616
12,2447039376171508096,356.0677701462886,-4.3961574619043615,20.604006
0,2447042537267433088,356.06119108007084,-4.363295853750217,20.611403
2,2447042532971262976,356.0624126146828,-4.3626552775349525,20.884022
14,2447039376171503744,356.0652337431407,-4.396478146151385,20.952232
1,2447039479249333760,356.0758807239891,-4.380326785637124,21.021204
7,2447042498612988544,356.0490191493518,-4.370778097082951,21.031858
10,2447039474954536320,356.0743434736411,-4.3917973940498465,21.040968
11,2447039513610456832,356.0883521288738,-4.370007258939767,21.230131
18,2447039509314277120,356.0894886613756,-4.38436356976877,21.647535
