,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,7.0,8583415,7,0,234415.58-042228.1,356.064965,-4.374556,36,36,57713.2388,0,0.638,,,,,,,,,,,,,20.2612,0.0969,20.0853,0.1358,20.2497,0.0652,19.997,0.0422,19.9046,0.135,19.9599,0.0366,19.4269,0.0913,19.3411,0.1125,19.4215,0.0727,,,,,,,15.0,
1,31.67,8583409,2,0,234414.69-042249.4,356.061235,-4.38047,119,88,57796.1766,0,0.497,,,,,,,,,,,,,,,,,,,20.1512,0.055,20.1585,0.127,20.1693,0.0746,,,,,,,,,,,,,15.0,
2,41.42,8583425,18,3,234414.68-042147.6,356.061207,-4.363293,45,81,57769.5649,3,0.933,,,,,,,,,,,,,19.343,0.0676,19.1083,0.1353,19.394,0.0219,18.6965,0.0992,18.3392,0.1344,18.7954,0.0181,18.3138,0.0504,18.0866,0.0412,18.3033,0.0306,18.0224,0.0623,17.6753,0.0732,18.0167,0.0476,4.6,8583430.0
3,41.57,8583419,26,3,234418.19-042249.1,356.075895,-4.380338,51,37,57540.748,8,0.053,,,,,,,,,,,,,16.1352,0.2876,15.3348,0.1086,17.0662,0.0215,15.5337,0.152,14.5858,0.0521,16.3997,0.0098,15.1032,0.1042,14.3576,0.1004,15.8763,0.0151,14.6941,0.1292,14.3442,0.0685,15.5446,0.0102,15.0,
4,41.64,8583430,14,3,234414.94-042145.8,356.062345,-4.362704,36,40,57713.4718,3,0.925,,,,,,,,,,,,,19.4985,0.0448,19.2249,0.0346,19.5239,0.02,18.8678,0.0553,18.6093,0.0851,18.9046,0.0186,18.5082,0.0651,18.2397,0.1172,18.4011,0.0504,18.1223,0.0733,17.8616,0.1093,18.0883,0.0385,4.6,8583425.0
5,44.98,8583431,31,0,234417.59-042146.2,356.073317,-4.362934,44,58,57716.2852,7,0.983,,,,,,,18.6078,0.096,18.7433,0.1193,18.7142,0.0911,17.6155,0.0073,17.6073,0.0085,17.618,0.0077,17.3068,0.0091,17.3106,0.0187,17.3094,0.0083,17.1389,0.0142,17.1499,0.0222,17.1399,0.0138,17.0769,0.0132,17.1173,0.0226,17.0801,0.0151,15.0,
6,51.9,8583420,30,3,234419.40-042232.4,356.080864,-4.375727,68,39,57655.1553,5,0.564,,,,,,,,,,,,,17.5826,0.1412,17.2902,0.0494,18.0748,0.0094,17.1538,0.0829,16.8675,0.0464,17.4323,0.0078,16.7854,0.0567,16.2338,0.0602,16.9309,0.0109,16.42,0.0739,16.0655,0.0521,16.6152,0.0121,15.0,
7,54.98,8583412,5,0,234415.72-042319.2,356.065566,-4.388711,36,36,57764.655,0,0.577,,,,,,,,,,,,,20.1703,0.0454,20.2562,0.0736,20.199,0.0581,20.3688,0.0532,20.4277,0.1565,20.3735,0.0977,,,,,,,,,,,,,15.0,
8,59.88,8583416,30,3,234419.02-042303.2,356.079266,-4.384277,44,71,57618.6547,13,0.217,,,,,,,,,,,,,16.8939,0.2011,16.2994,0.051,17.2164,0.0109,16.1194,0.0891,15.6329,0.0243,16.5476,0.01,15.714,0.0663,15.1955,0.0366,16.0376,0.0101,15.3518,0.0854,14.977,0.0412,15.7099,0.0096,15.0,
9,66.88,8583434,21,0,234417.87-042123.8,356.07452,-4.356663,36,37,57793.9342,10,0.97,,,,,,,,,,,,,19.0288,0.0146,19.0313,0.0267,19.0257,0.0154,18.3677,0.0204,18.309,0.0185,18.3795,0.0117,17.9231,0.0286,17.8136,0.0299,17.8724,0.0208,17.6125,0.0219,17.5735,0.0417,17.5631,0.0209,15.0,
10,69.48,8583433,17,0,234414.99-042116.4,356.062515,-4.354602,36,60,57744.7118,1,0.935,,,,,,,,,,,,,19.7981,0.0248,19.7543,0.1014,19.7746,0.0283,19.201,0.0323,19.1677,0.0721,19.1737,0.0286,18.6894,0.0386,18.775,0.0512,18.7062,0.0434,18.3667,0.0224,18.4973,0.0776,18.372,0.0486,15.0,
11,69.52,8583426,1,0,234413.52-042125.3,356.056245,-4.357143,36,36,57636.6119,0,0.353,,,,,,,,,,,,,,,,,,,20.5685,0.0924,20.5716,0.1475,20.5608,0.1163,,,,,,,,,,,,,15.0,
12,70.29,8583413,18,3,234417.46-042331.0,356.072782,-4.391992,59,63,57806.3488,0,0.462,,,,,,,,,,,,,19.625,0.0743,19.4089,0.0373,19.7132,0.023,19.022,0.0733,18.7937,0.048,19.0775,0.0229,18.545,0.087,18.223,0.0481,18.5532,0.0356,18.3053,0.085,18.0649,0.0995,18.3161,0.0412,5.47,8583414.0
13,71.58,8583414,20,3,234417.82-042330.3,356.074296,-4.391809,38,36,57821.7908,2,0.946,,,,,,,,,,,,,19.2378,0.0507,19.115,0.0334,19.3122,0.0766,18.6106,0.0722,18.3759,0.0987,18.7014,0.066,18.4033,0.0479,18.2215,0.0823,18.3733,0.0218,18.1331,0.0427,18.0198,0.049,18.1022,0.0322,5.47,8583413.0
14,73.78,8583421,8,0,234420.79-042239.8,356.086675,-4.3778,36,50,57825.4558,0,0.696,,,,,,,,,,,,,20.5164,0.0493,20.5339,0.1086,20.5122,0.0593,19.879,0.0411,19.7705,0.1214,19.8651,0.0582,19.4677,0.0787,19.5697,0.1639,19.3968,0.0866,,,,,,,14.89,8583475.0
15,79.09,8583432,21,0,234421.19-042211.9,356.088343,-4.370014,36,51,57776.0276,12,0.653,,,,,,,,,,,,,18.8022,0.0741,18.604,0.0278,18.9989,0.0132,18.2076,0.0764,17.9674,0.0258,18.3789,0.0111,17.831,0.0929,17.5835,0.0446,17.9022,0.0254,17.5819,0.0753,17.2324,0.0922,17.6072,0.0217,15.0,
16,81.76,8583411,19,3,234416.25-042346.0,356.067755,-4.396153,36,43,57779.6282,0,0.915,,,,,,,,,,,,,19.0693,0.0419,18.9073,0.0258,19.1272,0.0142,18.4011,0.0326,18.2767,0.0208,18.4683,0.011,17.9918,0.0524,17.8075,0.0319,17.9866,0.0183,17.7101,0.0526,17.5556,0.0464,17.6543,0.0253,9.13,8583410.0
17,82.52,8583418,27,0,234420.87-042302.2,356.087015,-4.38398,36,40,57662.1169,6,0.981,,,,,,,,,,,,,19.2584,0.0114,19.3075,0.0261,19.2539,0.0154,18.3361,0.0095,18.3512,0.024,18.343,0.0108,17.2018,0.0093,17.273,0.027,17.1999,0.0113,16.7627,0.0106,16.8199,0.0273,16.7742,0.0154,8.92,8583474.0
18,82.99,8583410,22,3,234415.65-042347.2,356.065233,-4.396486,52,39,57691.9509,10,0.667,,,,,,,,,,,,,18.6697,0.0487,18.3712,0.0483,18.7771,0.0116,18.0714,0.0443,17.8247,0.0273,18.1659,0.0093,17.6582,0.0611,17.4253,0.0503,17.7051,0.0198,17.3703,0.0563,17.18,0.0326,17.3922,0.024,9.13,8583411.0
19,83.18,2014066943,0,1024,234418.58-042111.0,356.077434,-4.353057,36,36,57636.6175,11,0.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4915,,18.7275,,18.5028,,15.0,
