,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
7,0,1636148068921376768,Gaia DR3 2447042709065864064,2447042709065864064,396086538,2016.0,356.0438615282501,0.22439778,-4.366282296720692,0.14424787,2.2317876433852444,0.22381352,9.97164,32.78624,28.393182378321267,0.2814383,-16.394044400766656,0.17730902,0.13047238,0.12139586,-0.42134413,-0.21189106,-0.25648057,-0.17856811,-0.0007116726,0.08894546,-0.22189835,0.21979125,230,0,227,3,-0.97732157,211.36546,0.0,0.0,31,False,1.2849408,,,,,,,,26,14,0.4112814,32,11,0,0.04385743,58.479412,0,0,0.95250106,0.15868875,0.37700108,0.34593856,0.66489947,-128.61227,-4.685305,-49.20921,20.176601,False,276,611.8855340287477,1.3601522,449.86548,18.720692,25,134.11731120195887,7.8021255,17.189842,20.01983,27,715.5912323719191,10.09681,70.873,17.611233,1.3886724,0,0,0,0,0,2.408598,1.299139,1.1094589,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.80048939052446,-62.15020769796408,354.63594230657867,-2.435001611674148,False,False,0,False,False,False,False,False,True,False,False,1.05900396e-13,6.82885e-13,0.999712,3184.9897,3173.5803,3204.9885,4.7119,4.6737,4.7546,-0.686,-0.7273,-0.6204,340.3333,329.8404,360.3673,0.0041,0.0009,0.0128,0.0026,0.0006,0.0083,0.0016,0.0003,0.0052,PHOENIX,0.0237740483895993,IN,2,0
22,1,1636148068921376768,Gaia DR3 2447042498612988544,2447042498612988544,1586539871,2016.0,356.0490191493518,11.986964,-4.370778097082954,4.123254,,,,,,,,,0.32311165,,,,,,,,,,43,0,43,0,3.4988782,76.32564,10.19306,4.3826356,3,False,,,,,,,,,5,4,45915.29,5,1,0,0.5110264,162.63544,0,0,,0.2695913,0.31047282,0.14457306,0.8787311,16.461288,0.49045554,15.613336,22.717684,False,40,72.81212036305473,2.1232455,34.292843,21.031858,3,108.11415608617364,59.304916,1.8230218,20.253836,2,110.25017733536257,11.922327,9.247371,19.641947,2.9990108,0,1,0,0,0,0.6118889,-0.77802277,1.3899117,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.80437172425474,-62.156793312246215,354.63887886333873,-2.4411701750727803,False,False,0,False,False,False,False,False,False,False,False,0.0003769411,3.316604e-05,0.99924135,,,,,,,,,,,,,,,,,,,,,,,0.0177245108905747,IN,5,0
11,2,1636148068921376768,Gaia DR3 2447042743425862912,2447042743425862912,1312016279,2016.0,356.0598068143101,2.59985,-4.348955187218755,1.9889061,,,,,,,,,0.116610564,,,,,,,,,,154,0,152,2,30.062511,1496.5801,15.53728,49.833046,3,False,,,,,,,,,18,12,6.106642,24,24,0,0.014979612,62.593285,0,0,,0.13965496,0.40209088,0.31060106,0.62324315,-108.77124,-10.817242,-53.990715,17.398321,False,194,132.09653943021445,1.8547392,71.221085,20.385138,18,389.5816343141601,13.180588,29.557228,18.862045,20,873.0140627409206,21.506876,40.592323,17.395342,9.558128,0,1,0,1,0,1.4667034,-1.5230923,2.9897957,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.84932092349915,-62.14450401370584,354.6574350607212,-2.425414897238415,False,True,0,False,False,False,False,False,False,False,False,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.02542987752441,IN,3,0
15,3,1636148068921376768,Gaia DR3 2447042537267433088,2447042537267433088,1024565891,2016.0,356.06119108007084,2.399855,-4.363295853750217,1.2953835,,,,,,,,,-0.17065507,,,,,,,,,,169,0,165,4,10.628266,434.07562,10.257071,25.879866,3,False,,,,,,,,,20,12,4.968437,25,25,0,0.110791124,6.5869937,0,0,,0.17371161,0.5458925,0.33350235,0.6687287,-129.84839,2.5814111,-54.304646,16.846027,False,196,107.24713106422548,1.353121,79.25908,20.611403,17,181.85359418016063,11.090934,16.396599,19.689238,20,428.6476543844051,18.280203,23.448736,18.167645,5.6924715,0,1,0,1,0,1.5215931,-0.9221649,2.443758,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.83488411460245,-62.15723496816252,354.65300174456627,-2.4391240532633365,False,False,0,False,False,False,False,False,False,False,False,0.0009816856,0.039032307,0.959986,,,,,,,,,,,,,,,,,,,,,,,0.0115096047633689,IN,4,0
14,5,1636148068921376768,Gaia DR3 2447042537267171968,2447042537267171968,691065918,2016.0,356.0625349435414,1.5095888,-4.354588541900916,1.1891241,1.0851593755019884,1.7300178,0.62725335,3.0316982,1.1328727513771113,1.9821212,-2.812079938617754,1.3788574,0.1814913,0.25275236,-0.3601596,-0.020306459,-0.24986959,-0.05141929,0.18470715,0.16106935,-0.1649575,0.18412803,165,0,164,1,10.7704735,456.37097,7.8282905,13.650098,95,False,,1.5875254,0.3451981,-0.31158477,0.16591482,-0.2926459,0.0529894,0.0057097147,19,14,2.8490796,25,6,1,0.23427662,89.2277,0,0,1.6609731,0.21959583,0.31978214,0.40799493,0.6469253,-98.04563,-21.388126,-55.148884,20.700644,False,197,128.7558765223767,1.8450865,69.78311,20.412949,18,142.33297626027422,12.698894,11.208298,19.955278,19,309.2812038319182,17.202583,17.978765,18.52201,3.5075228,0,2,0,2,0,1.4332676,-0.4576702,1.8909378,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.84754332379772,-62.150704401875146,354.6576942382018,-2.431665294720199,False,True,0,False,False,False,False,False,False,False,False,0.00015441992,0.9797094,0.020136144,,,,,,,,,,,,,,,,,,,,,,,0.0193087115745974,IN,4,0
10,7,1636148068921376768,Gaia DR3 2447039371875322368,2447039371875322368,168522473,2016.0,356.0655852024772,0.73650867,-4.388690064174371,0.4735523,0.8383683368095818,0.7503034,1.1173724,12.249509,6.032768975560582,0.8650906,-10.66096407950485,0.5815258,0.15733302,0.2607619,-0.5129328,-0.23379903,-0.23128663,-0.11951781,0.07138981,0.04131307,-0.25265115,0.3232576,194,0,193,1,1.9050276,243.46204,1.1338856,0.55462176,31,False,1.7168756,,,,,,,,22,13,1.315474,22,10,0,0.07208211,90.99354,0,0,1.0980061,0.19675955,0.3581049,0.40169996,0.6315449,-105.79477,-8.463301,-50.70806,20.888065,False,189,141.6537248085424,0.9727529,145.62149,20.309298,18,102.72015475452471,7.2748218,14.119955,20.309402,14,58.66971818800467,8.054389,7.284192,20.32686,1.1393267,0,0,0,0,0,-0.017457962,0.000104904175,-0.017562866,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.81275348636669,-62.180842413714736,354.6469304218567,-2.464169378443477,False,False,0,False,False,False,False,False,False,False,False,5.838412e-08,4.6117454e-11,0.9999978,,,,,,,,,,,,,,,,,,,,,,,0.0152536329062608,IN,3,0
13,8,1636148068921376768,Gaia DR3 2447039376171508096,2447039376171508096,1376536003,2016.0,356.0677701462886,3.110639,-4.3961574619043615,2.548456,,,,,,,,,0.048667632,,,,,,,,,,121,0,119,2,14.97275,520.63495,14.398772,26.188738,3,False,,,,,,,,,14,10,6.357396,19,19,0,0.107472375,118.79577,3,0,,0.22356583,0.5405841,0.36872682,0.58017904,-138.3055,-1.6374599,-50.57691,15.62466,False,160,107.98028578771228,1.5426546,69.99641,20.604006,16,251.04282531910147,12.489873,20.09971,19.339172,17,529.4631439282789,17.082174,30.995068,17.938307,7.2282267,0,0,0,0,0,1.4008656,-1.2648335,2.665699,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.80783116731834,-62.188274261470426,354.6459627058406,-2.471887750571905,False,True,0,False,False,False,False,False,False,False,False,0.008219907,0.99048764,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0227186709213407,IN,4,0
2,9,1636148068921376768,Gaia DR3 2447042532971262592,2447042532971262592,690497389,2016.0,356.0733400683934,0.08992156,-4.362885539499056,0.06816503,0.2086082778053667,0.09821451,2.1240067,7.018803,3.914238701963455,0.121684395,-5.826004764197808,0.07615434,0.18222252,0.06592394,-0.38703158,-0.16232021,-0.35587487,-0.19505228,0.026923828,0.09476978,-0.22282887,0.16503611,210,0,209,1,1.1187228,235.77846,0.14824307,0.45195743,31,False,1.5375444,,,,,,,,24,15,0.17502733,30,10,0,0.05096538,66.273926,0,0,1.0542297,0.23975223,0.32445455,0.43892097,0.64892054,-128.53102,-13.656661,-48.324806,20.80152,False,259,2233.829728025015,2.2243388,1004.26685,17.314741,29,1155.142577768698,15.334834,75.32801,17.681953,28,1469.766570629973,13.327218,110.28307,16.829775,1.1750712,0,4,0,2,0,0.8521786,0.3672123,0.48496628,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.8570218826268,-62.1635620331393,354.6642921695528,-2.443559098675732,False,False,0,True,False,False,False,False,True,True,False,3.874689e-11,9.131605e-13,0.9999767,5428.85,5417.5186,5443.246,4.6682,4.6431,4.6978,-1.0398,-1.1734,-0.9171,1850.5348,1785.8613,1907.7571,0.005,0.0012,0.0132,0.0041,0.001,0.0109,0.0022,0.0005,0.006,MARCS,0.0125429311967415,IN,1,0
9,11,1636148068921376768,Gaia DR3 2447042537267432960,2447042537267432960,1776941481,2016.0,356.07453289723657,1.7881639,-4.356661756399874,1.3170978,,,,,,,,,-0.11303609,,,,,,,,,,153,0,150,3,30.865164,1558.273,8.95319,43.174324,3,False,,,,,,,,,18,13,3.2582245,24,24,0,0.15618375,38.537727,0,0,,0.2782248,0.41070735,0.44862545,0.62435335,-107.752594,-8.482564,-52.97312,18.392694,False,199,165.38257003710885,2.2011635,75.134155,20.141142,21,285.2014205643988,9.494485,30.038641,19.200663,20,673.7501083321802,13.4750595,49.999786,17.67665,5.798383,0,0,0,1,0,1.5240135,-0.9404793,2.4644928,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.86648363211579,-62.15902033011162,354.6678590445611,-2.438319769129928,False,True,0,False,False,False,False,False,False,False,False,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0185803567625133,IN,3,0
18,12,1636148068921376768,Gaia DR3 2447039479249333760,2447039479249333760,1806184500,2016.0,356.0758807239891,34.077896,-4.380326785637124,20.764334,,,,,,,,,-0.104148075,,,,,,,,,,66,0,66,0,278.0441,342768.75,71.503136,10877.012,3,False,,,,,,,,,8,6,148.25117,18,16,5,0.52939814,50.62097,1,21,,0.20695825,0.5978128,0.21655877,0.6849202,-167.12918,5.091491,-50.112057,15.996377,True,100,73.53010481726156,2.6491961,27.755629,21.021204,9,1267.97864995531,129.28006,9.807999,17.580763,9,2579.028389133581,219.93262,11.726448,16.219255,52.3188,0,9,0,9,0,1.3615074,-3.4404411,4.8019485,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,84.84098281016453,-62.17951673476233,354.6596850060785,-2.4605716643412947,False,True,0,False,False,False,False,False,False,False,False,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0115261799401222,IN,5,0
