,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
20,0,1636148068921376768,Gaia DR3 6455312554283333888,6455312554283333888,718349283,2016.0,308.488233685646,0.18840337,-59.60457113686572,0.18254887,0.1260412400250655,0.29378182,0.4290301,7.1002297,-1.7747954664561414,0.21793334,-6.87483546893565,0.22740036,-0.1918271,0.21189883,-0.17909722,-0.07072339,-0.22190237,0.013021654,0.018659871,-0.28279698,-0.06651029,-0.12224699,459,0,456,3,0.340938,478.11032,0.0,0.0,95,False,,1.4528656,0.058854003,0.01731213,-0.06889284,0.0650811,0.050823905,0.041483965,53,25,0.32884866,70,24,0,0.012356035,60.59706,0,0,1.0106426,0.09442513,0.16778393,0.12712495,0.5068159,51.84431,43.90316,-8.960802,27.084064,False,581,303.35335514180764,0.64130676,473.02377,19.482494,61,106.129742798218,5.688426,18.657137,20.273949,66,268.9940264847307,5.984848,44.94584,18.673538,1.2365901,0,1,0,1,0,1.6004105,0.7914543,0.80895615,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.2667448905403,-36.02114889992465,294.0238684569458,-39.33426602062728,False,False,0,False,False,False,False,False,False,False,False,6.757338e-11,6.980588e-11,0.9999991,,,,,,,,,,,,,,,,,,,,,,,0.0249324121261185,IN,3,0
34,1,1636148068921376768,Gaia DR3 6455312794802819968,6455312794802819968,339314912,2016.0,308.49251874275853,1.5815775,-59.58544062288378,1.4653671,2.438550004215351,2.1995184,1.1086745,2.056793,-2.0311210251466054,2.0806236,-0.3239516023796761,2.039331,-0.24123709,0.16553408,0.15144962,-0.123195365,-0.1817663,-0.022095438,0.33649182,-0.2918952,-0.115448944,-0.12331265,301,0,298,3,25.289196,1509.8074,14.112504,44.14618,95,False,,1.7321572,0.48473844,0.040357348,0.058957193,0.039972108,0.16359384,-0.0839505,35,19,3.069507,58,58,0,0.19573444,37.532303,0,1,2.2104464,0.05760379,0.1853133,0.1729491,0.47892052,-23.237957,28.599567,-18.580723,28.919542,False,469,78.08489865486743,0.71291196,109.52951,20.95595,47,102.57685640065674,6.1886935,16.57488,20.310919,46,256.7885419504842,7.632321,33.644882,18.723957,4.6022396,0,0,0,0,0,1.5869617,-0.645031,2.2319927,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.28987669190394,-36.0256956957107,294.03443932952314,-39.31683577152059,False,True,0,False,False,False,False,False,False,False,False,0.00010809671,0.50061584,0.49926484,,,,,,,,,,,,,,,,,,,,,,,0.0300114159044599,IN,5,0
2,2,1636148068921376768,Gaia DR3 6455312588643071232,6455312588643071232,513510469,2016.0,308.4986623898045,0.020629408,-59.59490110504674,0.019845912,0.3943289554040286,0.031830285,12.388483,6.974752,4.412132777733169,0.02293266,-5.401874366340323,0.024533132,-0.17779145,0.28907087,-0.3118412,-0.040259536,-0.14034918,0.035438918,-0.105891064,-0.3222604,-0.04655355,-0.05061875,497,0,494,3,-0.8263934,484.5746,0.0,0.0,31,False,1.57077,,,,,,,,57,25,0.0346522,75,25,0,0.008072138,21.171843,0,0,0.973016,0.101883374,0.1539809,0.07183082,0.4973959,32.17559,52.70331,-7.120406,26.391527,False,637,9889.7440786167,2.595136,3810.8772,15.699404,68,5447.117707913116,10.037407,542.68176,15.998125,67,6415.8880528778245,10.503187,610.85156,15.2297535,1.1995261,0,1,0,1,0,0.7683716,0.2987213,0.46965027,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.27778950723825,-36.02759635525549,294.0343337133548,-39.326793929702426,False,False,0,True,False,False,False,False,True,True,False,3.2006443e-11,5.103365e-13,0.9999856,6069.9087,6047.1187,6094.778,4.1231,4.0976,4.1474,-1.1822,-1.207,-1.159,2484.9343,2391.4243,2588.1653,0.1652,0.1531,0.1779,0.1409,0.1305,0.1518,0.0769,0.0712,0.0829,PHOENIX,0.0220950796228377,IN,1,0
13,3,1636148068921376768,Gaia DR3 6455312588643070976,6455312588643070976,73855593,2016.0,308.50243943308413,0.2952984,-59.58822761669054,0.29281637,0.2887705126461748,0.4620887,0.6249244,1.0093774,-0.213282894448692,0.33379662,-0.9865865714651996,0.3618832,-0.18780947,0.2445289,-0.22746822,-0.0429843,-0.09229222,0.0064190375,-0.09623688,-0.34198332,0.00475606,-0.08790934,506,0,500,6,23.008139,1686.2333,3.6479032,37.787582,95,False,,1.4550171,0.09011508,0.043794546,0.027664922,-0.020177457,0.13524269,0.019543989,58,25,0.51539326,76,24,0,0.12913212,75.304726,0,0,1.8142765,0.09366136,0.18603148,0.09528198,0.5074003,44.366558,48.7557,-5.1427197,25.943209,False,660,483.4459991346649,2.0510585,235.70561,18.976498,72,1151.4953652122372,7.7116027,149.31985,17.685387,71,2264.4429405083624,9.849443,229.90567,16.360493,7.0658116,0,0,0,0,0,1.324894,-1.291111,2.616005,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.2856801235599,-36.030329382041295,294.0394365262913,-39.32108355867093,False,True,0,True,False,False,False,False,False,False,False,3.169735e-13,1.0,2.072757e-16,,,,,,,,,,,,,,,,,,,,,,,0.0244135279030114,IN,2,0
33,4,1636148068921376768,Gaia DR3 6455312691720790656,6455312691720790656,1343850161,2016.0,308.50655389823675,3.1958394,-59.584456138320405,3.1934717,,,,,,,,,0.037947744,,,,,,,,,,243,0,238,5,47.209507,3456.0027,25.393145,104.00963,3,False,,,,,,,,,29,15,8.028632,49,43,4,0.19730654,68.01541,1,6,,0.059877355,0.23729375,0.1670978,0.42938584,-18.664808,22.812567,-5.56063,24.716038,True,371,62.19046383941116,0.6789685,91.59551,21.203058,40,191.3836263115848,7.719671,24.791683,19.63378,38,551.3082003436176,5.954729,92.58325,17.89441,11.942214,0,40,0,38,0,1.7393703,-1.5692787,3.308649,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.2899842672319,-36.03286848827662,294.0435478283089,-39.31817730121017,False,True,0,False,False,False,False,False,False,False,False,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0258297220093193,IN,5,0
32,5,1636148068921376768,Gaia DR3 6455265550160463744,6455265550160463744,228243012,2016.0,308.509773773045,9.580963,-59.62233689408765,3.7194993,,,,,,,,,-0.67867386,,,,,,,,,,42,0,42,0,0.9831898,45.350697,4.037929,0.8750332,3,False,,,,,,,,,5,3,31308.973,6,0,1,0.25981796,119.76924,0,0,,0.28364587,0.80144984,0.3768436,0.30486417,-5.372248,23.832014,-7.29627,25.507498,False,49,54.60795510674969,1.3908411,39.262543,21.344227,5,49.96657110027301,24.631676,2.0285494,21.091843,5,55.29294606584331,15.518104,3.5631251,20.391222,1.9275491,0,0,0,0,0,0.70062065,-0.2523842,0.95300484,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.24326033093445,-36.02972751865594,294.0298601432931,-39.354585135723774,False,False,0,False,False,False,False,False,False,False,False,0.0030314496,0.00013767734,0.9955211,,,,,,,,,,,,,,,,,,,,,,,0.0223051454541114,IN,5,0
0,6,1636148068921376768,Gaia DR3 6455312519921199488,6455312519921199488,180406550,2016.0,308.5109684277418,0.040492523,-59.60692734323286,0.03851901,1.0532532123093337,0.06114923,17.224308,6.1772475,-6.078282410922843,0.04602302,-1.1013025148426483,0.048923813,-0.18513092,0.27911323,-0.22826917,-0.0078729205,-0.08952216,0.034969334,-0.07355106,-0.2769582,-0.018510705,-0.10203656,484,0,483,1,2.3400679,586.78455,0.08630956,0.35819125,95,False,,1.4012007,0.012167707,0.003506748,0.03740293,0.014010893,0.112244524,0.028343882,56,25,0.07021991,74,71,1,0.012458449,2.855872,0,1,1.0759951,0.09632476,0.15853907,0.07903593,0.49968463,33.550236,47.25594,-4.232619,26.326864,True,608,3010.331524639654,1.5272739,1971.0488,16.990831,60,1136.6542171645112,6.6329994,171.36354,17.69947,64,2665.3612774781577,7.106107,375.08035,16.183506,1.2629889,0,60,0,64,0,1.5159645,0.70863914,0.80732536,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.2620698225063,-36.03226490741638,294.0369824911173,-39.34018085685622,False,False,0,True,False,False,False,False,True,True,False,1.0279014e-13,5.441105e-13,0.9999243,4499.3755,4492.659,4504.538,4.6653,4.6594,4.6692,0.1863,0.1518,0.2233,904.2129,898.6471,912.2698,0.3532,0.3424,0.3632,0.2649,0.2567,0.2724,0.1394,0.1351,0.1433,PHOENIX,0.0135639214436145,IN,1,0
27,7,1636148068921376768,Gaia DR3 6455312584346065920,6455312584346065920,1761195464,2016.0,308.5121853001503,0.25832906,-59.59263490363779,0.25627956,0.202893031684833,0.41381735,0.4902961,9.573708,-2.0508322368079845,0.2966158,-9.351468920040505,0.3260932,-0.20185854,0.29594824,-0.0966506,-0.10845841,-0.13342778,-0.050888676,-0.048270572,-0.36055243,0.027829362,-0.14643912,465,0,460,5,0.00011959897,480.55276,0.0,0.0,31,False,1.458994,,,,,,,,53,24,0.47189456,69,24,0,0.00402866,64.87754,0,0,0.99927145,0.10419432,0.19990505,0.09766748,0.54349583,31.856468,51.890232,-0.8169163,25.649801,False,591,191.4633110489564,0.5742024,333.4422,19.982153,64,88.01676033399816,4.478389,19.653667,20.477129,66,141.5902800602624,4.894828,28.926508,19.370312,1.1992221,0,0,0,1,0,1.1068172,0.49497604,0.6118412,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.27950816976244,-36.03467085835916,294.04365394225584,-39.32683822908179,False,False,0,False,False,False,False,False,False,False,False,7.599524e-10,6.199762e-13,0.99999416,,,,,,,,,,,,,,,,,,,,,,,0.0178019625697665,IN,4,0
26,8,1636148068921376768,Gaia DR3 6455312687425731712,6455312687425731712,1499137927,2016.0,308.5137939951051,0.3029449,-59.58835878564437,0.29244742,0.3290006834472263,0.47599265,0.6911886,6.8430066,3.5173643381323205,0.36299452,-5.8698285102397865,0.36608475,-0.22745924,0.16969642,-0.13681026,-0.07738639,-0.10757935,-0.037816882,-0.0045303525,-0.32350898,0.06582543,-0.18709199,457,0,454,3,-0.15796177,472.64615,0.0,0.0,31,False,1.4546921,,,,,,,,52,24,0.5594534,71,23,0,0.015055958,51.26603,0,0,0.9939924,0.15939528,0.22530366,0.1494735,0.49322334,72.09551,43.94639,-7.6838474,27.05179,False,604,159.27854533393273,0.54426897,292.64676,20.181974,61,81.2849466994632,5.055379,16.078903,20.563517,61,109.61066552813732,4.5392017,24.147564,19.648264,1.1985017,0,1,0,1,0,0.9152527,0.3815422,0.5337105,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.2846279306548,-36.03601535799766,294.0464211471364,-39.32304797481257,False,False,0,False,False,False,False,False,False,False,False,1.1060615e-09,5.4695517e-13,0.999994,,,,,,,,,,,,,,,,,,,,,,,0.0205113140902741,IN,4,0
3,10,1636148068921376768,Gaia DR3 6455312687425289600,6455312687425289600,226736728,2016.0,308.5193864892739,0.077402286,-59.584546101329146,0.07613559,0.3738807287321192,0.11628913,3.215096,6.1468368,0.3126797262693772,0.08950086,-6.138878881518132,0.095262095,-0.18347174,0.28140905,-0.3052219,-0.002628643,-0.15640247,0.04934537,-0.1162021,-0.25343704,-0.026177406,-0.12674606,488,0,486,2,-0.90098697,472.59225,0.0,0.0,31,False,1.4744908,,,,,,,,56,25,0.13852587,73,26,0,0.014692113,175.46877,0,0,0.97040594,0.10702021,0.15938874,0.060456563,0.49574688,38.3838,56.766495,0.0018935754,25.784174,False,630,1000.2126138523116,0.9002628,1111.023,18.187136,67,457.3785556025284,6.842995,66.83894,18.687853,64,775.7398614823827,7.3179927,106.00446,17.523605,1.2328563,0,4,0,2,0,1.1642475,0.50071716,0.66353035,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,337.2888662224577,-36.03930261894405,294.0514662763486,-39.32034258540247,False,False,0,False,False,False,False,False,True,True,False,1.02132414e-13,5.123793e-13,0.9999897,4686.2505,4651.6606,4835.566,4.8151,4.6999,4.8443,-1.3701,-1.5143,-0.782,1422.0817,1349.0092,1788.0815,0.0547,0.0104,0.2048,0.0431,0.0081,0.1622,0.0233,0.0044,0.0873,MARCS,0.0224097992529829,IN,1,0
