,MainID,ra_now,dec_now,Gmag
29,6455312691722282880,308.52438434118386,-59.58041326800359,15.5070505
0,6455265584520977024,308.5345828358525,-59.609112866863455,15.576935
18,6455312588643071232,308.4986854313538,-59.594915382564245,15.699404
15,6455312691722282368,308.52458828517865,-59.58546456994024,16.605516
7,6455312519921199488,308.51093667368536,-59.6069302540461,16.990831
27,6455312691722283520,308.51943511548745,-59.58162024552379,17.061281
20,6455312687425289600,308.51938812168345,-59.58456232680148,18.187136
4,6455265683303172352,308.54778351101453,-59.616086058463885,18.269432
12,6455265648943442432,308.57401839963404,-59.6056933700869,18.523294
24,6455312588643070976,308.50243831947495,-59.58823022430561,18.976498
21,6455265614583689728,308.56651081835753,-59.62265546214574,19.135494
2,6455265683303173760,308.55134819859836,-59.614334904075946,19.244886
5,6455265584520976128,308.53622774716735,-59.61755604776867,19.40061
39,6455267195131690112,308.57755903909134,-59.58287508477378,19.409573
26,6455312554283333888,308.4882244144364,-59.604589307520804,19.482494
22,6455312657363761536,308.54372025586053,-59.58217325181521,19.54048
23,6455265545864210560,308.5218511350977,-59.6273972086252,19.690113
1,6455265584520976384,308.5369934637557,-59.611097548756014,19.794388
30,6455265515801496960,308.5521796790655,-59.629600208638394,19.864422
41,6455267199428675072,308.5831273259355,-59.58492968235924,19.952036
6,6455312618705803520,308.545514565837,-59.592162942304,19.957367
25,6455265618880709760,308.57810364564295,-59.61893564921395,19.962666
11,6455312584346065920,308.5121745907758,-59.59265962020257,19.982153
14,6455312687425731712,308.5138123603186,-59.588374299997085,20.181974
9,6455312691720788736,308.5193452365073,-59.59108628120372,20.356695
13,6455265653238950400,308.57597507450197,-59.60316633343376,20.594172
10,6455265721958427776,308.57046492231984,-59.60173019797175,20.712774
33,6455265408425723776,308.5752699485791,-59.62323041657268,20.856785
38,6455312794802819968,308.49250813859163,-59.58544147910936,20.95595
3,6455265687599145088,308.56046251504074,-59.6028198228468,21.051111
17,6455312657361214208,308.5442752334629,-59.58324443000367,21.141113
16,6455312691720953600,308.52742828283516,-59.58397873683679,21.151447
31,6455312691720790656,308.50655389823675,-59.58445613832041,21.203058
8,6455265614583696896,308.55838748877727,-59.61394030429918,21.326061
19,6455265550160463744,308.509773773045,-59.62233689408764,21.344227
