,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,15.69,485808237,43,0,203408.29-593632.7,308.534601,-59.609103,36,38,57938.4416,0,0.984,17.5792,0.0201,17.6107,0.0959,17.5851,0.0323,17.2814,0.0248,17.3404,0.0557,17.3074,0.0293,15.9239,0.0061,15.9113,0.0083,15.9263,0.0067,15.57,0.0072,15.5777,0.013,15.5717,0.0078,15.3487,0.0065,15.3768,0.0073,15.3472,0.0073,15.2866,0.0076,15.3252,0.0109,15.2868,0.0085,15.0,
1,41.97,1591949151,10,0,203412.30-593651.5,308.551333,-59.614326,36,36,58561.2577,0,0.961,,,,,,,,,,,,,20.1333,0.0275,20.4062,0.1568,20.1699,0.0468,19.351,0.0365,19.5271,0.1355,19.3769,0.0367,18.6753,0.0222,18.8261,0.0762,18.6981,0.0459,18.3835,0.0207,18.472,0.1387,18.3992,0.0693,8.99,485808238.0
2,44.07,485808238,16,0,203411.46-593657.6,308.547812,-59.616075,36,36,58042.4005,0,0.981,,,,,,,,,,,,,19.2719,0.0177,19.2513,0.0372,19.2732,0.0197,18.4176,0.0317,18.403,0.116,18.4108,0.0295,17.6298,0.0267,17.7505,0.0305,17.6706,0.0228,17.3807,0.0153,17.4578,0.0324,17.3838,0.0238,8.99,1591949151.0
3,45.26,1591949149,11,0,203408.69-593703.1,308.536243,-59.617556,36,53,58437.4247,0,0.918,,,,,,,,,,,,,20.0825,0.026,20.073,0.0674,20.0991,0.0373,19.3736,0.029,19.4649,0.0682,19.382,0.0369,18.9755,0.0273,18.975,0.089,18.9741,0.0581,18.7216,0.0456,19.028,0.1183,18.8553,0.0855,15.0,
4,48.36,1591949090,4,0,203410.98-593532.0,308.545685,-59.592222,133,184,57786.2634,0,0.554,,,,,,,,,,,,,,,,,,,20.1388,0.1062,20.087,0.1535,20.109,0.0902,19.2319,0.068,19.3218,0.1209,19.2839,0.0787,18.7156,0.2338,18.6407,0.1442,18.7933,0.1395,15.0,
5,48.82,485808174,33,0,203402.63-593624.8,308.510966,-59.606922,36,36,57588.3347,0,0.984,,,,,,,,,,,,,17.7373,0.0107,17.7242,0.0168,17.7359,0.0114,16.9897,0.0205,17.0057,0.0214,16.9923,0.0196,16.5188,0.0073,16.5522,0.0103,16.5227,0.0089,16.3074,0.0081,16.3851,0.0138,16.3109,0.0105,15.0,
6,49.73,1591949152,11,0,203413.98-593650.0,308.55834,-59.613925,36,38,58437.4247,0,0.726,,,,,,,,,,,,,20.1237,0.0434,20.5191,0.245,20.1547,0.0528,19.2529,0.0583,19.1336,0.0917,19.1942,0.069,18.6305,0.0914,18.5481,0.1027,18.5878,0.0416,18.3836,0.0736,18.2726,0.0899,18.2596,0.0505,12.84,1591949151.0
7,59.85,1591949089,1,0,203404.64-593527.9,308.519499,-59.591092,36,36,58665.5406,0,0.498,,,,,,,,,,,,,,,,,,,20.4571,0.0413,20.6557,0.1714,20.5493,0.1334,,,,,,,,,,,,,14.2,1591949084.0
8,61.33,1591949157,2,0,203416.90-593605.9,308.570523,-59.601678,151,59,58697.953,0,0.489,,,,,,,,,,,,,,,,,,,20.5436,0.1275,20.3964,0.1763,20.5913,0.1384,,,,,,,19.3536,0.0577,19.387,0.2294,19.2686,0.1808,11.38,1591949159.0
9,64.16,1591949082,4,0,203402.92-593533.3,308.512232,-59.592584,36,59,58665.5433,0,0.556,,,,,,,,,,,,,20.4771,0.0726,20.5743,0.0759,20.5204,0.0492,20.062,0.0715,20.1823,0.1899,20.0663,0.087,,,,,,,,,,,,,14.29,1591949089.0
10,66.48,485808240,21,0,203417.75-593620.3,308.573972,-59.605697,36,36,57774.8393,0,0.979,,,,,,,,,,,,,19.5058,0.0201,19.5502,0.0462,19.4994,0.0233,18.5856,0.0492,18.6624,0.0673,18.5909,0.0617,17.9159,0.0195,17.9708,0.0397,17.9283,0.0203,17.6214,0.0111,17.7048,0.0379,17.6272,0.0238,9.51,1591949159.0
11,70.3,1591949159,3,0,203418.22-593611.5,308.575942,-59.603251,36,84,58122.7357,0,0.569,,,,,,,,,,,,,,,,,,,,,,,,,19.5026,0.0625,19.7888,0.1975,19.699,0.1591,18.7367,0.1142,18.5767,0.1849,18.7258,0.0842,9.51,485808240.0
12,73.73,1591949084,4,0,203403.29-593518.1,308.513821,-59.58839,36,48,58665.5433,0,0.546,,,,,,,,,,,,,20.6029,0.0523,20.9358,0.1025,20.6148,0.0647,20.1285,0.069,20.4515,0.1331,20.32,0.1086,,,,,,,,,,,,,14.2,1591949089.0
13,74.31,485808211,28,2,203405.88-593507.4,308.524534,-59.58543,36,36,57783.2851,0,0.984,,,,,,,,,,,,,17.1738,0.0079,17.1951,0.0141,17.1735,0.008,16.6107,0.0115,16.6489,0.0163,16.6083,0.0128,16.2407,0.0072,16.2771,0.011,16.2423,0.0086,16.0697,0.0084,16.1179,0.0147,16.0682,0.0104,9.92,485808210.0
14,79.55,485808205,48,0,203359.67-593541.5,308.498671,-59.594891,36,36,57638.3783,0,0.986,17.1139,0.0219,17.2355,0.0326,17.1273,0.0236,16.7731,0.019,16.7961,0.0389,16.7764,0.0204,15.9488,0.0062,15.9565,0.0067,15.9527,0.0066,15.7138,0.0082,15.7214,0.0113,15.7113,0.0094,15.5613,0.007,15.5938,0.0112,15.5644,0.0076,15.5317,0.0082,15.5721,0.0189,15.5365,0.009,15.0,
15,80.73,485808210,17,3,203404.64-593504.2,308.519385,-59.584536,36,42,57790.0589,0,0.981,,,,,,,,,,,,,18.6811,0.0121,18.7445,0.0288,18.6876,0.013,18.2158,0.0243,18.3123,0.0417,18.2465,0.0225,17.8553,0.0149,17.918,0.0431,17.8971,0.0199,17.6944,0.0183,17.9104,0.0449,17.7215,0.0284,9.92,485808211.0
16,82.51,1591949153,12,0,203415.94-593721.4,308.566483,-59.622617,36,36,58406.0285,0,0.965,,,,,,,,,,,,,19.597,0.0233,19.6737,0.0407,19.6081,0.0265,19.0972,0.0225,19.1256,0.0464,19.1029,0.0296,18.7306,0.0239,18.7818,0.0681,18.7118,0.0464,18.7643,0.093,18.9934,0.176,18.642,0.1509,15.0,
17,82.94,1591948999,11,0,203406.61-593738.8,308.527608,-59.627488,52,55,58237.5048,0,0.73,,,,,,,,,,,,,20.5986,0.1092,20.5695,0.1079,20.6085,0.0717,19.8116,0.0668,19.7388,0.0793,19.7722,0.0509,19.2026,0.0518,19.1412,0.1121,19.2151,0.0562,18.9044,0.0659,18.9732,0.2966,18.9221,0.1662,10.23,1591948998.0
18,83.36,1591949096,8,0,203410.50-593455.5,308.543955,-59.582075,215,108,58235.4095,0,0.753,,,,,,,,,,,,,19.719,0.0672,19.6551,0.0647,19.8099,0.0297,19.1854,0.3109,19.1747,0.0957,19.4699,0.0528,18.9219,0.1532,18.8943,0.1199,19.1779,0.0657,18.6081,0.2868,18.6495,0.1432,18.8882,0.1522,15.0,
19,85.56,1591948992,10,0,203405.23-593738.5,308.521893,-59.627418,36,36,58195.8235,0,0.791,,,,,,,,,,,,,20.5384,0.0777,20.8837,0.1325,20.6518,0.0992,19.7434,0.0321,20.0526,0.0958,19.8002,0.065,19.1763,0.0221,19.462,0.0928,19.2364,0.0536,18.8591,0.1173,19.1089,0.1697,18.881,0.1178,10.41,1591948999.0
20,87.85,485808206,34,0,203400.57-593517.5,308.502521,-59.588202,66,36,57552.7038,0,0.796,,,,,,,18.8634,0.0792,19.0296,0.1437,18.9095,0.0999,17.3143,0.0554,17.0355,0.0243,17.4082,0.0101,16.9139,0.056,16.6359,0.0529,16.8972,0.0265,16.4067,0.0565,16.0932,0.0239,16.4831,0.0088,16.2172,0.0531,15.8692,0.0279,16.2464,0.0132,15.0,
21,89.2,1591949155,4,0,203418.71-593707.9,308.578051,-59.618896,66,68,58681.9945,0,0.818,,,,,,,,,,,,,20.321,0.0627,20.2415,0.207,20.3582,0.0547,19.9611,0.0385,20.0246,0.1081,20.021,0.084,19.5919,0.1031,19.5764,0.1798,19.5085,0.134,,,,,,,15.0,
