source_id,ra_Gaia,dec_Gaia,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight
5.94E+18,251.7653398,-45.84544276,11.084389,5.5835056,NOT_AVAILABLE,22,251.765404,-45.845417,251.7653859,-45.8454192,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,5.7140002,0.007,1.866,9.996,6.0229997,,1,1,1
5.94E+18,251.7725203,-45.84352211,11.310527,6.8679686,VARIABLE,54,251.772512,-45.843544,251.7724975,-45.8435444,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,4.309,0.519999,1.3509999,1.322,6.21,,1,1,1
5.94E+18,251.7699681,-45.84029843,11.770791,5.250722,NOT_AVAILABLE,68,251.770032,-45.840321,251.7700194,-45.8403211,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,6.513,0.008999,14.001,,6.0879998,,1,1,1
5.94E+18,251.7775525,-45.84506858,11.784122,5.5522127,VARIABLE,70,251.777583,-45.845074,251.7775686,-45.8450738,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,6.6030001,0.004999,7.0440001,,6.171,,1,1,1
5.94E+18,251.767177,-45.84681885,11.98181,5.1797705,VARIABLE,20,251.767229,-45.846809,251.7672103,-45.8468112,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,6.8829998,0.010999,7.0279998,,6.2069997,,1,1,1
5.94E+18,251.7592401,-45.84973519,12.348214,5.9858303,VARIABLE,3,251.759273,-45.849747,251.7592496,-45.8497515,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,6.716,0.007,5.4899997,0.014999,4.795,0.010999,1,1,1
5.94E+18,251.7635382,-45.84784751,12.780431,5.974348,VARIABLE,7,251.763543,-45.847847,251.7635224,-45.8478502,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,7.1350002,0.010999,7.0489997,,6.2839999,,1,1,1
5.94E+18,251.7556523,-45.86273866,13.027338,4.865925,VARIABLE,46,251.755678,-45.862686,251.7556429,-45.8626944,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,8.1330003,0.010999,7.6859998,,6.9299998,,1,1,1
5.94E+18,251.7695539,-45.85667177,13.639342,8.474987,VARIABLE,25,251.769539,-45.856632,251.7695128,-45.8566363,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,6.3779997,0.008999,4.381,0.075,2.6099998,0.407999,1,1,1
5.94E+18,251.7488104,-45.84756822,13.681605,4.471731,NOT_AVAILABLE,6122,251.7488466,-45.8475749,251.7488221,-45.8475808,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.2600002,0.024,8.1680002,0.041,7.2709999,0.054,1,1,1
