,source_id,RA,DEC,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight,in_field,mask
277,5.94e+18,251.7409068,-45.85551719,16.993235,4.434552,NOT_AVAILABLE,1145.0,251.7409471,-45.8555147,251.7409138,-45.8555241,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.737,0.009999,11.76,0.007,11.314999,0.010999,0.0,1.0,2.0,IN,3
269,5.94e+18,251.7432412,-45.85315439,17.820948,4.2736874,NOT_AVAILABLE,3333.0,251.7432771,-45.8531535,251.7432464,-45.8531619,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.600999,0.010999,12.635,0.007,12.187,0.014,0.0,1.0,2.0,IN,3
264,5.94e+18,251.7447205,-45.8602386,17.613619,4.9776735,NOT_AVAILABLE,3128.0,251.7447608,-45.8602328,251.7447247,-45.8602427,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.892999,0.010999,11.770999,0.008999,11.236,0.013,0.0,1.0,2.0,IN,3
260,5.94e+18,251.7454797,-45.85937409,18.374176,4.795124,NOT_AVAILABLE,5787.0,251.7455224,-45.8593818,251.7454872,-45.8593913,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.562999,0.019999,12.454999,0.017999,11.913999,0.035,0.0,1.0,2.0,IN,3
257,5.94e+18,251.7470483,-45.85569213,18.755861,4.7953434,NOT_AVAILABLE,26732.0,251.7470788,-45.85567514,251.7470471,-45.8556834,13.9793,0.049,13.4936,0.082,13.2047,0.075,14.177,0.012,13.107999,0.008999,12.600999,0.017999,0.0,1.0,2.0,IN,3
256,5.94e+18,251.7478351,-45.86471207,17.68397,4.4969616,NOT_AVAILABLE,804.0,251.7478781,-45.8647026,251.7478391,-45.864713,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.319999,0.010999,12.314999,0.008999,11.854999,0.014999,0.0,1.0,2.0,IN,3
254,5.94e+18,251.7492583,-45.83316327,18.363762,4.5389614,NOT_AVAILABLE,1941.0,251.7492659,-45.8331683,251.7492534,-45.8331705,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.763999,0.009999,12.703,0.006,12.192999,0.010999,0.0,1.0,2.0,IN,3
137,5.94e+18,251.7513288,-45.84797186,17.41518,4.52719,NOT_AVAILABLE,3463.0,251.7513505,-45.8479763,251.7513264,-45.8479818,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.041,0.013,12.006999,0.010999,11.546999,0.018999,1.0,1.0,1.0,IN,3
140,5.94e+18,251.7525645,-45.84321507,18.151003,4.371557,NOT_AVAILABLE,5948.0,251.7526521,-45.8432025,251.7526323,-45.8432066,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.387,0.079999,12.449,0.056,11.911,0.105999,1.0,1.0,1.0,IN,3
81,5.94e+18,251.7534314,-45.86281734,18.582758,4.002268,VARIABLE,3058.0,251.7534722,-45.8628153,251.7534364,-45.8628242,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.829,0.014999,12.770999,0.008,12.243,0.020999,1.0,1.0,1.0,IN,3
249,5.94e+18,251.7542958,-45.83026643,17.129074,4.826702,NOT_AVAILABLE,2062.0,251.7542962,-45.8302716,251.7542875,-45.8302721,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.522,0.008,11.447999,0.007,10.954,0.010999,0.0,1.0,2.0,IN,3
148,5.94e+18,251.7553346,-45.84043503,15.7051735,4.796052,VARIABLE,1684.0,251.7553494,-45.8404444,251.7553326,-45.8404473,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.097,0.012,10.003,0.007,9.4960002,0.010999,1.0,1.0,1.0,IN,3
82,5.94e+18,251.7561182,-45.85444715,17.447855,4.838851,NOT_AVAILABLE,3298.0,251.7561485,-45.8544494,251.7561204,-45.8544556,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.737,0.012,11.593,0.009999,11.085,0.014,1.0,1.0,1.0,IN,3
146,5.94e+18,251.7569553,-45.8600517,18.424734,5.449938,NOT_AVAILABLE,4845.0,251.7569996,-45.8600485,251.7569671,-45.860056,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.557,0.017,12.375,0.010999,11.802,0.019999,1.0,1.0,1.0,IN,3
70,5.94e+18,251.7581302,-45.83939309,16.549555,4.731515,NOT_AVAILABLE,1718.0,251.7581428,-45.8394029,251.7581277,-45.839405,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.038999,0.012,10.963999,0.008,10.496,0.012,1.0,1.0,1.0,IN,3
80,5.94e+18,251.7589687,-45.85351111,15.2415085,5.047781,NOT_AVAILABLE,5609.0,251.7589941,-45.8535152,251.7589675,-45.8535207,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.543999,0.008999,9.4280004,0.008,8.9049997,0.013,1.0,1.0,1.0,IN,3
56,5.94e+18,251.7598335,-45.84929176,15.282057,5.140811,NOT_AVAILABLE,6133.0,251.7598426,-45.849274,251.7598198,-45.8492782,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.303,0.043999,8.96,0.052,8.5109996,0.101999,1.0,1.0,1.0,IN,3
66,5.94e+18,251.760679,-45.86164486,15.322501,4.984647,NOT_AVAILABLE,5879.0,251.7607088,-45.8616435,251.760676,-45.8616507,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.694,0.008999,9.5830001,0.008,9.0600004,0.010999,1.0,1.0,1.0,IN,3
59,5.94e+18,251.7620773,-45.8540341,17.254343,4.697938,NOT_AVAILABLE,4329.0,251.7621033,-45.8540366,251.7620772,-45.8540416,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.664999,0.014999,11.579999,0.008,11.114999,0.019999,1.0,1.0,1.0,IN,3
175,5.94e+18,251.7628227,-45.8453261,15.96059,4.9780636,VARIABLE,3533.0,251.7628408,-45.845335,251.7628221,-45.8453377,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.215,0.012,10.076999,0.008999,9.571,0.017,1.0,1.0,1.0,IN,3
62,5.94e+18,251.7639063,-45.84296057,14.386993,5.2436657,NOT_AVAILABLE,34.0,251.763924,-45.842968,251.7639075,-45.8429699,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.3780002,0.025,8.1669998,,7.394,,1.0,1.0,1.0,IN,3
44,5.94e+18,251.7646452,-45.84734252,16.15776,5.267824,VARIABLE,5933.0,251.7646596,-45.8473523,251.7646397,-45.8473551,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.357999,0.017,10.189999,0.009999,9.6560001,0.016,1.0,1.0,1.0,IN,3
123,5.94e+18,251.7654299,-45.84067819,17.002327,4.9594307,VARIABLE,5197.0,251.7654138,-45.8406936,251.7653996,-45.8406946,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.923999,0.109999,11.017999,0.035,10.456,0.089,1.0,1.0,1.0,IN,3
88,5.94e+18,251.7665946,-45.85630222,19.19134,5.701969,NOT_AVAILABLE,6092.0,251.7666097,-45.8563045,251.766583,-45.8563092,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.795,0.017999,12.477999,0.021999,11.803999,0.035,1.0,1.0,1.0,IN,3
91,5.94e+18,251.7674963,-45.8482748,15.297314,5.0867443,NOT_AVAILABLE,3459.0,251.7675105,-45.8482794,251.7674907,-45.8482819,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.581,0.009999,9.5380001,0.018999,8.9189996,0.009999,1.0,1.0,1.0,IN,3
101,5.94e+18,251.7681936,-45.85379202,19.101679,4.3701477,NOT_AVAILABLE,5904.0,251.7682144,-45.8537994,251.7681902,-45.8538032,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.51,0.014999,12.109999,0.016,11.447999,0.032,1.0,1.0,1.0,IN,3
228,5.94e+18,251.7691193,-45.8731451,17.228827,4.8828506,NOT_AVAILABLE,523.0,251.769156,-45.873133,251.769116,-45.8731415,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.675999,0.008999,11.593,0.006,11.121,0.016,0.0,1.0,2.0,IN,3
