,MainID,ra_now,dec_now,Gmag
295,5940106763014985088,251.75592301979373,-45.843704429578295,10.937561
229,5940106763006654208,251.76533121079967,-45.845452306927186,11.084389
1069,5940105904023386752,251.76292574621192,-45.871962719078546,11.259188
541,5940106041452150272,251.77251332626466,-45.84353243281983,11.310527
1532,5940105830990286208,251.78125095477952,-45.87478511854166,11.504495
638,5940106041460479488,251.76995907761,-45.840308426918824,11.770791
664,5940106041460473216,251.77754441956003,-45.84507850284995,11.784122
734,5940106793062992128,251.76509321930283,-45.83735004865869,11.883687
219,5940106002789009536,251.7671692325398,-45.84682868625823,11.98181
20,5940106763006638848,251.75923060213387,-45.84974493934904,12.348214
109,5940106763006644096,251.7635307371914,-45.847856758236816,12.780431
1684,5940106831734472064,251.73478321284117,-45.82809245495704,12.83842
465,5940106655624023552,251.7556438076313,-45.86274776434022,13.027338
932,5940106037148742272,251.78521937208242,-45.84706710589909,13.233335
1124,5940106041460467456,251.78907574770733,-45.84715667814835,13.337629
624,5940106041452159488,251.7705969583275,-45.84078282667495,13.446194
408,5940106037148748416,251.76941511064,-45.8440499270167,13.639112
259,5940106007092341120,251.7695444947909,-45.8566824352799,13.639342
459,5940106797374722688,251.767258252905,-45.84203101961686,13.658828
312,5940106758703247360,251.74880275860178,-45.84757722943946,13.681605
138,5940106758703254656,251.75930401377605,-45.84646908339011,13.858897
1006,5940106797374731008,251.756438213438,-45.83278099663673,13.942816
364,5940106659935749120,251.75956370063406,-45.86162874305582,13.951048
184,5940106659927373056,251.75766551428427,-45.85820366024363,13.963886
2,5940106758703255168,251.7607165723434,-45.85249622532255,14.023279
812,5940106037157928064,251.77686659921633,-45.84060484998176,14.026128
751,5940106621264278784,251.7455964296876,-45.863610058590496,14.07758
1086,5940106007100712192,251.7791607830628,-45.867221322923506,14.185158
430,5940106041452130432,251.7737604703716,-45.84738389830554,14.276636
1317,5940106625576004992,251.74121461676071,-45.87183570001941,14.276823
227,5940106007100730368,251.7702547739944,-45.84983202325451,14.378337
339,5940106797366404480,251.7638987846603,-45.84296959952776,14.386993
1133,5940106831726177664,251.74002910920524,-45.836355827176654,14.425112
1298,5940106831734470784,251.74392543555894,-45.831280023574564,14.43367
1267,5940105904021494144,251.76841003617974,-45.874420350507066,14.45342
614,5940106797374726784,251.7623800302629,-45.838833933988546,14.470599
149,5940106002789011584,251.76629839258916,-45.855513515504896,14.554403
82,5940106007100732544,251.7647954427749,-45.849394979365904,14.562051
636,5940106041452153088,251.77409630828151,-45.842627420473846,14.609783
626,5940106655624021632,251.74339505724285,-45.85872009242558,14.64251
14,5940106763006638976,251.75940407895425,-45.850050788666444,14.675351
99,5940106763014980224,251.76112395447697,-45.84738333004863,14.676561
1506,5940199877892579584,251.78714533848031,-45.83293352670151,14.688482
178,5940106763014981248,251.75260333720715,-45.848273053380495,14.691893
251,5940106041460473472,251.76827972722216,-45.84647779722823,14.732966
117,5940106655624028160,251.75364062594684,-45.85412447621042,14.756791
434,5940106041452146432,251.7714588608841,-45.84486313621066,14.760118
276,5940106797376589568,251.76575166203696,-45.84457603741133,14.768445
127,5940106007092369152,251.76749640334424,-45.85202543304806,14.782972
90,5940106763006624640,251.76466084814928,-45.849066314490294,14.786344
81,5940106659935758976,251.75460961584292,-45.85379856097217,14.797423
1373,5940105869661755904,251.75596755206223,-45.87644192526412,14.807497
1263,5940105904021494528,251.77168716295208,-45.873633975696734,14.809304
37,5940106763006638336,251.76127195858462,-45.84921593392903,14.992711
1062,5940105899709768192,251.77520804253842,-45.868998832673256,15.066966
214,5940106007092338176,251.76296127814658,-45.85868455058735,15.099625
278,5940106041460470016,251.77115535077118,-45.848680430916694,15.149864
328,5940106041452149632,251.76711233153347,-45.844239374635386,15.153915
321,5940106659935753600,251.7515874454182,-45.85887361639035,15.163219
854,5940106724343511424,251.73868889295082,-45.84370939961318,15.17575
1076,5940199877892578816,251.77946756019395,-45.83699750164232,15.180423
543,5940106797374726144,251.76267648854343,-45.83995697782354,15.18224
1598,5940199877892579072,251.79152805277212,-45.8340784534203,15.238852
13,5940106758709795712,251.75895970160786,-45.85352069417197,15.2415085
695,5940106763014989184,251.74601187437412,-45.8412186310349,15.271654
1176,5940106831734469888,251.74473318209152,-45.83303593298715,15.272795
639,5940105904013098496,251.7672014075019,-45.864542450914655,15.281551
28,5940106763006638720,251.75982518846473,-45.84930364027798,15.282057
1026,5940106724343510784,251.73434690432705,-45.844112828184194,15.292607
181,5940106007100789760,251.76748836576644,-45.848284995241585,15.297314
1518,5940106689983753728,251.7261928168509,-45.865203554452115,15.305002
366,5940105904013114496,251.76067088079046,-45.8616542765275,15.322501
1590,5940106247618879616,251.7411268159349,-45.87690715252378,15.357904
1707,5940199877892579840,251.78970340323187,-45.83000671629532,15.395793
348,5940106041460475776,251.76836403486993,-45.844452145774156,15.409983
103,5940106763006643328,251.7630042705855,-45.84771042849824,15.504414
154,5940106007100727168,251.76807505135935,-45.852859940317515,15.513021
357,5940106763006661632,251.74804330964912,-45.84727619436353,15.548943
398,5940106659927359360,251.75758824911568,-45.861975708029874,15.551808
449,5940106007100720512,251.77244129294874,-45.85852999266362,15.55307
548,5940106041460471040,251.7760172368341,-45.84705221317374,15.566784
417,5940106758709791232,251.74748118447616,-45.84633810087207,15.5722275
577,5940106659935747456,251.7558192988837,-45.86411365590446,15.609009
96,5940106007092381056,251.76564342209937,-45.849589643683515,15.625835
689,5940106007100719104,251.77792168521546,-45.85924516968147,15.647277
687,5940105904021499776,251.7641500340752,-45.866094182249746,15.65206
453,5940106659935760896,251.74454033525728,-45.85410829774609,15.657798
510,5940105904013103744,251.76621389090369,-45.862941982611545,15.675524
1150,5940199873591623040,251.7830716929663,-45.83813760081707,15.684398
43,5940106763014970624,251.76080209751396,-45.854986290646885,15.685612
617,5940106797374727680,251.75597763641352,-45.83899641632446,15.694382
822,5940106758703255936,251.75176876463033,-45.83655557971707,15.695076
507,5940106041452129152,251.77504735255914,-45.84654379375713,15.695506
967,5940106002788987008,251.77927537720282,-45.86512076814983,15.701161
528,5940106758703256576,251.7553250811515,-45.84044454355507,15.7051735
116,5940106763006648832,251.7616046074627,-45.84716143362104,15.70672
163,5940106763006643584,251.76190631149007,-45.84617748081495,15.712761
290,5940105904013116416,251.76050548702693,-45.86058573644519,15.716935
874,5940106797374728576,251.76883883783714,-45.83584208327641,15.747763
654,5940106758703255296,251.7528460902183,-45.839063821065224,15.752914
731,5940106659927366272,251.74525654771008,-45.862788004925996,15.7542925
791,5940106041460476288,251.77760337764158,-45.84161780407109,15.756383
492,5940105904021502976,251.7605166280922,-45.86347573470278,15.795116
381,5940106763014986240,251.7579058629886,-45.842151848606754,15.797556
935,5940106041452121472,251.78478757991743,-45.845975596380036,15.813225
1271,5940199877886900608,251.78643915267267,-45.83779393740178,15.81943
865,5940106041460465408,251.78425013660484,-45.849058280516466,15.839692
1659,5940105934069507968,251.79268628456614,-45.870260519193955,15.840401
301,5940106797374720640,251.7658394041278,-45.84411501425203,15.840849
1346,5940105869661755648,251.7598445148542,-45.876233879754764,15.847589
692,5940106758703251456,251.74913011051328,-45.83961836548751,15.848607
1349,5940106694295558656,251.72548657629093,-45.855975557835976,15.85399
1554,5940199877892581248,251.77914884480475,-45.827843777876964,15.867704
984,5940106041452117888,251.78619726626266,-45.846446533275156,15.871966
322,5940106659935749632,251.75913570402213,-45.86100985757699,15.885628
1195,5940106831734469504,251.73813789134013,-45.836119951570424,15.8957815
391,5940106041452124800,251.77333099861565,-45.848070774718,15.913909
79,5940106007092355968,251.76554695576112,-45.85353408433867,15.935652
1013,5940106007092305152,251.78256265292413,-45.863334769366666,15.945946
206,5940106763014981760,251.76281229550634,-45.845336089781036,15.96059
128,5940106007092348672,251.7652646479529,-45.855762515600965,15.961437
273,5940106797366398592,251.7646116199911,-45.84420281584783,15.963594
119,5940106758709795840,251.76022175700086,-45.85695800927691,15.97933
360,5940106007100719872,251.7664857598466,-45.86048756982655,15.982361
464,5940106041460465664,251.7760584493991,-45.85112553912889,15.986829
484,5940106007100722688,251.77586530990692,-45.854810878672325,15.992412
1454,5940105904021492608,251.7702220706664,-45.87693252444747,16.013979
814,5940106724343501952,251.73703175322171,-45.855387607379534,16.014196
1455,5940105904021493120,251.7754658653961,-45.87565000982948,16.026514
936,5940105904021497984,251.76157391262362,-45.87019367944327,16.035759
1348,5940200633806826624,251.76304366616358,-45.82773705214328,16.057098
1666,5940199809173101440,251.79527465117334,-45.835883911564856,16.062147
114,5940106763014978304,251.7532643529293,-45.85058202131345,16.063848
1649,5940105830996862208,251.78190759707925,-45.876682500527366,16.068209
1057,5940106797374730752,251.76035858450265,-45.83197266835115,16.06829
688,5940106831734463744,251.74179464324402,-45.84503958406214,16.074757
1397,5940106625576002944,251.74375875728637,-45.874261279546225,16.083725
123,5940106659935753856,251.7587825271594,-45.85698912088732,16.090353
1549,5940106831734470272,251.72891402090468,-45.83500384776626,16.118586
1208,5940199873591749632,251.7749908024867,-45.832508974986176,16.12148
844,5940106797374771968,251.75757525403947,-45.835207043644225,16.122383
