objid,ra,dec,i,r,g,ra_px,dec_px
1237667253465252406,150.100514298887,24.813267590992,20.27214,21.83186,23.27916,1239.9596940471579,743.6864605360888
1237667253465252265,150.016954661597,24.8729152264726,21.88794,22.13759,22.60255,1956.7018470100184,238.5488591676468
1237667253465252298,150.034968087042,24.8694122497597,21.49639,21.6765,22.29912,1883.6251067242656,371.7410457280313
1237667253465252134,150.079019649018,24.7364286986489,19.68802,19.85307,20.34212,621.6564175234726,373.90315287364524
1237667253465252381,150.105225730076,24.7725547161783,19.19929,20.66292,22.13342,874.3218536915646,675.1047823822752
1237667253465252151,150.081132431662,24.8488333482344,19.60585,19.81848,20.46532,1595.4028330783585,682.969947096333
1237667253465251879,150.096524965708,24.8459081061117,15.92108,16.10438,16.54946,1533.5968403738168,797.0120542626299
1237667253465252086,150.12241781222,24.7736932667693,17.90849,18.90904,20.42067,843.6543128994113,814.0234690548054
1237667253465252416,150.119219621257,24.7879340538221,19.20853,19.94485,21.34874,975.2111765231884,825.735460048031
1237667253465252555,150.157815748474,24.8421932697895,20.84724,21.17864,22.34392,1356.7006157655394,1271.802771250368
1237667253465252078,150.180676508236,24.8247793203606,19.32526,19.44625,19.74047,1151.1798981488307,1407.33178191625
1237667253465252619,149.999864696013,24.8612241069933,21.14983,21.61847,23.70376,1895.33474705943,73.06800907117474
1237667253465252231,150.004370844159,24.8629823055929,21.41275,21.64698,22.3794,1899.9829298120837,113.25149608635593
1237667253465252232,150.039321767707,24.7601751152731,20.43775,21.70151,23.27543,922.2644468303124,121.73126165954102
1237667253465252238,150.006091105597,24.87068781918,20.51822,21.23598,22.59676,1962.9976095754512,146.92101849239998
1237667253465252631,150.063955019527,24.711566044849,20.77263,22.07191,23.70879,440.7855447498099,190.0507085358321
1237667253465252263,150.047370177917,24.777492536254,20.19995,21.35262,22.91834,1054.0079779891673,230.4556145459494
1237667253465252270,150.029069497277,24.8457399054135,20.94085,21.25412,21.53634,1691.467209223945,263.4895022224472
1237667253465252280,150.043224912429,24.8081839099602,21.26475,21.80422,23.08686,1331.025362306665,277.5794484655611
1237667253465252349,150.055240246254,24.8754708436351,19.53764,20.34261,21.77627,1888.4800058292149,547.6784620337602
1237667253465252110,150.104053167707,24.7358590808606,18.6737,20.02437,21.36388,557.5549775428852,570.4434624349536
1237667253465252370,150.092548247949,24.7982777034551,20.75002,21.74257,23.06082,1128.241022867212,641.735004587531
1237667253465252385,150.117943465582,24.7386194385347,19.25479,20.04275,21.46751,548.7919578501405,687.4971081607096
1237667253465252401,150.127369152874,24.7270553335398,19.17293,19.62668,20.72508,425.8390396574306,732.0170857179181
1237667253465252408,150.108864632776,24.7994589381271,19.15498,19.96381,21.51681,1100.007573560592,773.8098795019846
1237667253465252695,150.117139697183,24.794969812942,20.63964,22.04591,23.58083,1041.3868806631426,827.5718816874629
1237667253465252048,150.136453017228,24.8611657141491,19.47742,19.67509,20.00682,1572.276635079544,1152.220802153267
1237667253465252533,150.175408585803,24.7437756060006,19.39013,20.86357,22.22979,458.1222316218607,1155.4862056856234
1237667253465252741,150.188953367681,24.7299021354286,21.12262,21.70077,23.54653,305.3667908993442,1226.6551875090083
1237667253465252557,150.170806791651,24.8038655053782,22.25945,22.52461,23.22515,992.2940506903936,1275.0256922995072
1237667253465252114,150.197534353022,24.7406386152157,18.33304,19.90737,21.32783,378.65311445982707,1322.3965322565618
1237667253465252064,150.173872836352,24.8199075036535,18.16871,18.99392,20.40149,1124.7793937110328,1340.898950814295
1237667253465252583,150.166621624408,24.8607771421487,20.01521,21.05021,22.50803,1497.7960602850026,1389.6445546866644
1237667253465252591,150.172445418909,24.8474486435314,19.9242,20.66708,21.8696,1367.9991732564238,1401.0851456409512
1237667253465252592,150.166338640749,24.8699533342988,21.60867,21.93446,22.79867,1578.377430846232,1411.2246342152162
1237667253465251940,150.053222903924,24.7027343139434,18.15006,18.29981,18.67152,389.26966295476825,82.15988592804126
1237667253465251947,150.026658668497,24.7922117328858,17.01392,17.36624,18.3272,1231.13685652228,105.03070546444985
1237667253465251964,150.06686196896,24.7457040577214,20.03197,20.11363,20.17489,731.152555580318,301.8697724340051
1237667253465252315,150.059126502349,24.8254451783258,21.82323,22.04605,22.50449,1443.7341179404439,448.200264755544
1237667253465252000,150.067049481585,24.8810478696862,19.58931,19.58542,19.6088,1909.1505688897187,655.4918274844536
1237667253465252399,150.072702591847,24.8899249959173,20.70294,20.85983,21.26719,1973.0980248623564,723.2484810798715
1237667253465252023,150.083409198858,24.8889007663271,15.66439,16.31652,17.70884,1938.9083245506913,805.1692107297338
1237667253465252446,150.111400042967,24.8521522361897,20.10965,21.64613,23.28731,1552.8693641759596,930.8051765001467
1237667253465252039,150.158863887405,24.7140763382185,16.81295,17.47829,18.82687,238.49016272780932,947.5017309439735
1237667253465252046,150.155009743311,24.7989371411984,17.1265,17.36853,17.96133,986.609312891731,1137.3206597782835
1237667253465252176,150.170124455193,24.753788773978,20.6135,20.56498,20.45273,557.7848986949136,1139.669114781434
1237667253465252178,150.155575999516,24.8058525012559,20.50235,20.81886,21.00135,1045.4980949700703,1159.7516758258382
1237667253465252054,150.181582068273,24.7342820126028,16.24309,16.56132,17.51366,360.88767925409684,1179.6950759989181
1237667253465252058,150.181685965732,24.7563657363835,18.29272,18.54777,19.07592,552.9744227537908,1237.8134335690743
1237667253465252185,150.186266676784,24.747100987674,21.19019,21.15121,20.85834,461.489357289478,1250.0147319244375
1237667253465252189,150.187799764387,24.7612720025284,21.05267,21.13067,21.64889,581.2961192027154,1298.9045515118416
