\,target,x,y,dx1,dy1,dx2,dy2
0,slit1,12,12,1,1,1,1
1,slit2,112,12,1,1,1,1
2,slit3,212,12,1,1,1,1
3,slit4,312,12,1,1,1,1
4,slit5,412,12,1,1,1,1
5,slit6,512,12,1,1,1,1
6,slit7,612,12,1,1,1,1
7,slit8,712,12,1,1,1,1
8,slit9,812,12,1,1,1,1
9,slit10,912,12,1,1,1,1
10,slit11,1012,12,1,1,1,1
11,slit12,12,112,1,1,1,1
12,slit13,112,112,1,1,1,1
13,slit14,212,112,1,1,1,1
14,slit15,312,112,1,1,1,1
15,slit16,412,112,1,1,1,1
16,slit17,512,112,1,1,1,1
17,slit18,612,112,1,1,1,1
18,slit19,712,112,1,1,1,1
19,slit20,812,112,1,1,1,1
20,slit21,912,112,1,1,1,1
21,slit22,1012,112,1,1,1,1
22,slit23,12,212,1,1,1,1
23,slit24,112,212,1,1,1,1
24,slit25,212,212,1,1,1,1
25,slit26,312,212,1,1,1,1
26,slit27,412,212,1,1,1,1
27,slit28,512,212,1,1,1,1
28,slit29,612,212,1,1,1,1
29,slit30,712,212,1,1,1,1
30,slit31,812,212,1,1,1,1
31,slit32,912,212,1,1,1,1
32,slit33,1012,212,1,1,1,1
33,slit34,12,312,1,1,1,1
34,slit35,112,312,1,1,1,1
35,slit36,212,312,1,1,1,1
36,slit37,312,312,1,1,1,1
37,slit38,412,312,1,1,1,1
38,slit39,512,312,1,1,1,1
39,slit40,612,312,1,1,1,1
40,slit41,712,312,1,1,1,1
41,slit42,812,312,1,1,1,1
42,slit43,912,312,1,1,1,1
43,slit44,1012,312,1,1,1,1
44,slit45,12,412,1,1,1,1
45,slit46,112,412,1,1,1,1
46,slit47,212,412,1,1,1,1
47,slit48,312,412,1,1,1,1
48,slit49,412,412,1,1,1,1
49,slit50,512,412,1,1,1,1
50,slit51,612,412,1,1,1,1
51,slit52,712,412,1,1,1,1
52,slit53,812,412,1,1,1,1
53,slit54,912,412,1,1,1,1
54,slit55,1012,412,1,1,1,1
55,slit56,12,512,1,1,1,1
56,slit57,112,512,1,1,1,1
57,slit58,212,512,1,1,1,1
58,slit59,312,512,1,1,1,1
59,slit60,412,512,1,1,1,1
60,slit61,512,512,1,5,1,10
61,slit62,612,512,1,1,1,1
62,slit63,712,512,1,1,1,1
63,slit64,812,512,1,1,1,1
64,slit65,912,512,1,1,1,1
65,slit66,1012,512,1,1,1,1
66,slit67,12,612,1,1,1,1
67,slit68,112,612,1,1,1,1
68,slit69,212,612,1,1,1,1
69,slit70,312,612,1,1,1,1
70,slit71,412,612,1,1,1,1
71,slit72,512,612,1,1,1,1
72,slit73,612,612,1,1,1,1
73,slit74,712,612,1,1,1,1
74,slit75,812,612,1,1,1,1
75,slit76,912,612,1,1,1,1
76,slit77,1012,612,1,1,1,1
77,slit78,12,712,1,1,1,1
78,slit79,112,712,1,1,1,1
79,slit80,212,712,1,1,1,1
80,slit81,312,712,1,1,1,1
81,slit82,412,712,1,1,1,1
82,slit83,512,712,1,1,1,1
83,slit84,612,712,1,1,1,1
84,slit85,712,712,1,1,1,1
85,slit86,812,712,1,1,1,1
86,slit87,912,712,1,1,1,1
87,slit88,1012,712,1,1,1,1
88,slit89,12,812,1,1,1,1
89,slit90,112,812,1,1,1,1
90,slit91,212,812,1,1,1,1
91,slit92,312,812,1,1,1,1
92,slit93,412,812,1,1,1,1
93,slit94,512,812,1,1,1,1
94,slit95,612,812,1,1,1,1
95,slit96,712,812,1,1,1,1
96,slit97,812,812,1,1,1,1
97,slit98,912,812,1,1,1,1
98,slit99,1012,812,1,1,1,1
99,slit100,12,912,1,1,1,1
100,slit101,112,912,1,1,1,1
101,slit102,212,912,1,1,1,1
102,slit103,312,912,1,1,1,1
103,slit104,412,912,1,1,1,1
104,slit105,512,912,1,1,1,1
105,slit106,612,912,1,1,1,1
106,slit107,712,912,1,1,1,1
107,slit108,812,912,1,1,1,1
108,slit109,912,912,1,1,1,1
109,slit110,1012,912,1,1,1,1
110,slit111,12,1012,1,1,1,1
111,slit112,112,1012,1,1,1,1
112,slit113,212,1012,1,1,1,1
113,slit114,312,1012,1,1,1,1
114,slit115,412,1012,1,1,1,1
115,slit116,512,1012,1,1,1,1
116,slit117,612,1012,1,1,1,1
117,slit118,712,1012,1,1,1,1
118,slit119,812,1012,1,1,1,1
119,slit120,912,1012,1,1,1,1
120,slit121,1012,1012,1,1,1,1
